#eighty|h ˈæ ʃ ˈeɪ ɾ i
#three|h ˈæ ʃ θ ɹ ˈiː
breastwork|b ɹ ˈɛ s t w ɜː k
breastworks|b ɹ ˈɛ s t w ɜː k s
breath|b ɹ ˈɛ θ
breath's|b ɹ ˈɛ θ z
breathable|b ɹ ˈiː ð ə b əl
breathe|b ɹ ˈiː ð
breathed|b ɹ ˈiː ð d
breatheth|b ɹ ˈiː ð ə θ
breathin|b ɹ ˈɛ θ ɪ n
breathin'|b ɹ ˈɛ θ ɪ n
breathin's|b ɹ ˈɛ θ ɪ n z
breathing|b ɹ ˈiː ð ɪ ŋ
breathing's|b ɹ ˈiː ð ɪ ŋ z
breathing*|b ɹ ˈiː ð ɪ ŋ ˈæ s t ɚ ɹ ˌɪ s k
breathings|b ɹ ˈiː ð ɪ ŋ z
bred|b ɹ ˈɛ d
bredevoort|b ɹ ˈɛ d ɪ v ˌoːɹ t
breech|b ɹ ˈiː tʃ
breeches|b ɹ ˈiː tʃ ᵻ z
breed|b ɹ ˈiː d
breedin'|b ɹ ˈiː d ɪ n
breeding|b ɹ ˈiː d ɪ ŋ
breeks|b ɹ ˈiː k s
breezehome|b ɹ ˈiː z h oʊ m
brelas|b ɹ ˈɛ l ə z
brelfik|b ɹ ˈɛ l f ɪ k
brellach|b ɹ ˈɛ l æ tʃ
brelyna|b ɹ ɛ l ˈiː n ə
bremul|b ɹ ˈɛ m ʌ l
brendan's|b ɹ ˈɛ n d ə n z
brentford|b ɹ ˈɛ n t f ɚ d
brenus|b ɹ ˈɛ n ə s
brequet|b ɹ ˈɛ k eɪ
bresoth|b ɹ ˈɛ s ɑː θ
brethren|b ɹ ˈɛ ð ɹ ə n
bretons|b ɹ ˈɛ t ə n z
brevet|b ɹ ˈɛ v ɪ t
brew|b ɹ ˈuː
brew're|b ɹ ˈuː ɚ
brew's|b ɹ ˈuː z
brewin|b ɹ ˈuː ɪ n
brewin'|b ɹ ˈuː ɪ n
brewmaster|b ɹ ˈuː m æ s t ɚ
breya|b ɹ ˈeɪ ə
briar|b ɹ ˈaɪɚ
briars|b ɹ ˈaɪɚ z
briars'|b ɹ ˈaɪɚ z
briarwood|b ɹ ˈaɪɚ w ʊ d
bric|b ɹ ˈɪ k
brices|b ɹ ˈaɪ s ᵻ z
brick|b ɹ ˈɪ k
brick'll|b ɹ ˈɪ k əl
brick's|b ɹ ˈɪ k s
brickbrain|b ɹ ˈɪ k b ɹ eɪ n
bricked|b ɹ ˈɪ k t
brickfield|b ɹ ˈɪ k f iː l d
bricking|b ɹ ˈɪ k ɪ ŋ
bricklayer's|b ɹ ˈɪ k l eɪ ɚ z
bricklayers'|b ɹ ˈɪ k l eɪ ɚ z
brickwork|b ɹ ˈɪ k w ɜː k
bridal|b ɹ ˈaɪ d əl
bride|b ɹ ˈaɪ d
bridefeast|b ɹ ˈaɪ d f iː s t
bridewell|b ɹ ˈaɪ d w ɛ l
bridge|b ɹ ˈɪ dʒ
bridges|b ɹ ˈɪ dʒ ᵻ z
bridle|b ɹ ˈaɪ d əl
bridling|b ɹ ˈaɪ d l ɪ ŋ
brief|b ɹ ˈiː f
briefless|b ɹ ˈiː f l ə s
briefly|b ɹ ˈiː f l i
briefness|b ɹ ˈiː f n ə s
brielus|b ɹ ˈiː l ə s
brienne|b ɹ ɪ  ˈɛ n
briers|b ɹ ˈaɪɚ z
brig's|b ɹ ˈɪ ɡ z
brigade|b ɹ ɪ ɡ ˈeɪ d
brigadiers|b ɹ ˌɪ ɡ ɐ d ˈɪɹ z
brigand|b ɹ ˈɪ ɡ æ n d
brigandish|b ɹ ˈɪ ɡ ɐ n d ˌɪ ʃ
brigands|b ɹ ˈɪ ɡ æ n d z
brigette|b ɹ aɪ dʒ ˈɛ t
briggs|b ɹ ˈɪ ɡ z
briggs'|b ɹ ˈɪ ɡ z
briggs's|b ɹ ˈɪ ɡ z ᵻ z
bright|b ɹ ˈaɪ t
brighteneth|b ɹ ˈaɪ t iː n ə θ
brighter|b ɹ ˈaɪ ɾ ɚ
brightling|b ɹ ˈaɪ ɾ əl ɪ ŋ
brightly|b ɹ ˈaɪ t l i
brighton|b ɹ ˈaɪ t ə n
brigitte's|b ɹ ˈɪ dʒ ɪ t s
brigs|b ɹ ˈɪ ɡ z
brilliancy|b ɹ ˈɪ l i  ə n s i
brilliants|b ɹ ˈɪ l iə n t s
brim|b ɹ ˈɪ m
brimless|b ɹ ˈɪ m l ə s
brimmed|b ɹ ˈɪ m d
brimmin'|b ɹ ˈɪ m ɪ n
brims|b ɹ ˈɪ m z
brina|b ɹ ˈiː n ə
brindled|b ɹ ˈɪ n d əl d
brine|b ɹ ˈaɪ n
brinehammer|b ɹ ˈaɪ n h æ m ɚ
bring|b ɹ ˈɪ ŋ
bringer|b ɹ ˈɪ ŋ ɚ
bringers|b ɹ ˈɪ ŋ ɚ z
bringest|b ɹ ˈɪ ŋ ɡ ɪ s t
bringeth|b ɹ ˈɪ ŋ ə θ
bringin|b ɹ ˈɪ ŋ ɡ ɪ n
bringin'|b ɹ ˈɪ ŋ ɡ ɪ n
bringing|b ɹ ˈɪ ŋ ɪ ŋ
bringuier|b ɹ ˈɪ ŋ ɡ aɪ ɚ
bringuier's|b ɹ ˈɪ ŋ ɡ aɪ ɚ z
brink|b ɹ ˈɪ ŋ k
brinvilliers|b ɹ ˈɪ n v ɪ l ˌɪɹ z
briny|b ɹ ˈaɪ n i
briskness|b ɹ ˈɪ s k n ə s
bristler|b ɹ ˈɪ s l ɚ
bristlin'|b ɹ ˈɪ s l ɪ n
bristly|b ɹ ˈɪ s t l i
britain|b ɹ ˈɪ t ə n
britany|b ɹ ˈɪ t ə n i
brithaur|b ɹ ˈɪ θ ɔːɹ
brithaur's|b ɹ ˈɪ θ ɔːɹ z
british|b ɹ ˈɪ ɾ ɪ ʃ
britisher|b ɹ ˈɪ ɾ ɪ ʃ ɚ
britte|b ɹ ˈɪ t
brittlerock|b ɹ ˈɪ ɾ əl ɹ ˌɑː k
brittleshin|b ɹ ˈɪ ɾ əl ʃ ˌɪ n
broad|b ɹ ˈɔː d
broadcloth|b ɹ ˈɔː d k l ɔ θ
broader|b ɹ ˈɔː d ɚ
broadleaf|b ɹ ˈɔː d l iː f
broadly|b ɹ ˈɔː d l i
broadmoor|b ɹ ˈɔː d m oːɹ
broadness|b ɹ ˈɔː d n ə s
broads|b ɹ ˈɔː d z
broadsheet|b ɹ ˈɔː d ʃ iː t
broadsheets|b ɹ ˈɔː d ʃ iː t s
broadsides|b ɹ ˈɔː d s aɪ d z
broadsword's|b ɹ ˈɔː d s oːɹ d z
brodras|b ɹ ˈɑː d ɹ ə z
broggha…|b ɹ ˈɑː ɡ h ə
brogue|b ɹ ˈoʊ ɡ
broidered|b ɹ ˈɔɪ d ɚ d
broidery|b ɹ ˈɔɪ d ɚ ɹ i
broiling|b ɹ ˈɔɪ l ɪ ŋ
broke|b ɹ ˈoʊ k
broken|b ɹ ˈoʊ k ə n
brokenly|b ɹ ˈoʊ k ə n l i
brokenness|b ɹ ˈoʊ k ə n n ə s
brokil|b ɹ ˈɑː k ɪ l
brokilon|b ɹ ˈɑː k ɪ l ə n
brokvar|b ɹ ˈɑː k v ɑːɹ
brokvar's|b ɹ ˈɑː k v ɑːɹ z
brolus|b ɹ ˈoʊ l ə s
brompton|b ɹ ˈɑː m p t ə n
bronjun|b ɹ ˈɑː n dʒ ʌ n
bronsila|b ɹ ə n s ˈɪ l ə
bronze|b ɹ ˈɑː n z
bronzed|b ɹ ˈɑː n z d
broodings|b ɹ ˈuː d ɪ ŋ z
broodlings|b ɹ ˈuː d l ɪ ŋ z
brook|b ɹ ˈʊ k
brooked|b ɹ ˈʊ k t
broomstick's|b ɹ ˈuː m s t ɪ k s
broscoe|b ɹ ˈɑː s k oʊ
brotch|b ɹ ˈɑː tʃ
broth|b ɹ ˈɑː θ
brothe|b ɹ ˈɑː ð
brother|b ɹ ˈʌ ð ɚ
brother'll|b ɹ ˈʌ ð ɚ ɹ əl
brotherh|b ɹ ˈʌ ð ɚ
brotherhood|b ɹ ˈʌ ð ɚ h ˌʊ d
brotherhood's|b ɹ ˈʌ ð ɚ h ˌʊ d z
brotherly|b ɹ ˈʌ ð ɚ l i
brothers|b ɹ ˈʌ ð ɚ z
brothers'|b ɹ ˈʌ ð ɚ z
brothers're|b ɹ ˈʌ ð ɚ z ɚ
brought|b ɹ ˈɔː t
brow|b ɹ ˈaʊ
browed|b ɹ ˈaʊ d
brown|b ɹ ˈaʊ n
browned|b ɹ ˈaʊ n d
brownish|b ɹ ˈaʊ n ɪ ʃ
brownness|b ɹ ˈaʊ n n ə s
browsin|b ɹ ˈaʊ s ɪ n
brr|b ˌiː  ˌɑːɹ ɹ ˈɑːɹ
brrr|b ˌiː  ˌɑːɹ ɹ ˌɑːɹ ɹ ˈɑːɹ
brrrr|b ˌiː  ˌɑːɹ ɹ ˈɑːɹ ɹ ˌɑːɹ ɹ ˈɑːɹ
bru|b ɹ ˈuː
bruca's|b ɹ ˈuː k ə z
brugge|b ɹ ˈʌ ɡ
brugo|b ɹ ˈuː ɡ oʊ
bruiant|b ɹ ˈuː iə n t
bruiants|b ɹ ˈuː iə n t s
bruma|b ɹ ˈuː m ə
bruma's|b ɹ ˈuː m ə z
brume|b ɹ ˈuː m
brunswickers|b ɹ ˈʌ n s w ɪ k ɚ z
brunwulf|b ɹ ˈʌ n w ʌ l f
brurid|b ɹ ˈʊɹ ɹ ɪ d
brush|b ɹ ˈʌ ʃ
brush's|b ɹ ˈʌ ʃ ᵻ z
brushes|b ɹ ˈʌ ʃ ᵻ z
brushwood|b ɹ ˈʌ ʃ w ʊ d
brusquely|b ɹ ˈʌ s k l i
brussels|b ɹ ˈʌ s əl z
brutalized|b ɹ ˈuː ɾ əl ˌaɪ z d
brute|b ɹ ˈuː t
brute's|b ɹ ˈuː t s
brutes|b ɹ ˈuː t s
brutified|b ɹ ˈuː ɾ ᵻ f ˌaɪ d
brutishness|b ɹ ˈuː ɾ ɪ ʃ n ə s
bruxa|b ɹ ˈʌ k s ə
bruxae|b ɹ ˈʌ k s iː
bruxae…|b ɹ ˈʌ k s iː
bryanston|b ɹ ˈaɪ æ n s t ə n
bryling|b ɹ ˈaɪ l ɪ ŋ
bryling's|b ɹ ˈaɪ l ɪ ŋ z
brynjolf|b ɹ ˈɪ n dʒ ɑː l f
brynjolf's|b ɹ ˈɪ n dʒ ɑː l f s
btwo|b ˈiː t w ˈoʊ
bu|b ˈuː
bub|b ˈʌ b
bubate|b j ˈuː b eɪ t
bubble|b ˈʌ b əl
bubblegum|b ˈʌ b əl ɡ ə m
bubbles|b ˈʌ b əl z
bubbletop|b ˈʌ b əl t ˌɑː p
bubbly's|b ˈʌ b l i z
bubu|b ˈuː b uː
bucca|b ˈʌ k ə
buccaneer's|b ˌʌ k ɐ n ˈɪɹ z
buck|b ˈʌ k
bucket|b ˈʌ k ɪ t
bucket's|b ˈʌ k ɪ t s
bucketful|b ˈʌ k ɪ t f əl
buckingham|b ˈʌ k ɪ ŋ ˌæ m
buckingham's|b ˈʌ k ɪ ŋ ˌæ m z
buckinghams|b ˈʌ k ɪ ŋ ˌæ m z
buckinghamshire|b ˈʌ k ɪ ŋ ˌæ m ʃ ɚ
buckle|b ˈʌ k əl
bucklers|b ˈʌ k l ɚ z
bud|b ˈʌ d
budaapeesete|b j ˈuː d ɑː p ˌiː s iː t
buddy|b ˈʌ d i
budenaacawe|b j ˈuː d ə n ˌɑː k ɔː
budenaacene|b j ˈuː d ə n ˌɑː s iː n
budene|b j ˈuː d iː n
budenoce|b j ˈuː d ə n ˌoʊ s
budenu|b j ˈuː d ə n ˌuː
buff|b ˈʌ f
buffalo|b ˈʌ f ə l ˌoʊ
buffaloes|b ˈʌ f ə l ˌoʊ z
buffoons|b ə f ˈuː n z
buffout|b ˈʌ f aʊ t
bufoon|b j uː f ˈuː n
bug|b ˈʌ ɡ
bug's|b ˈʌ ɡ z
bugak|b j ˈuː ɡ æ k
bugbear|b ˈʌ ɡ b ɛɹ
buggered|b ˈʌ ɡ ɚ d
buggin|b ˈʌ ɡ ɪ n
buggin'|b ˈʌ ɡ ɪ n
buggins|b ˈʌ ɡ ɪ n z
buggy|b ˈʌ ɡ i
bugok|b j ˈuː ɡ ɑː k
bugs|b ˈʌ ɡ z
buh|b ˈʌ
build|b ˈɪ l d
builded|b ˈɪ l d ᵻ d
builder|b ˈɪ l d ɚ
builders|b ˈɪ l d ɚ z
buildeth|b ˈɪ l d ə θ
buildin'|b ˈɪ l d ɪ n
building|b ˈɪ l d ɪ ŋ
buildings|b ˈɪ l d ɪ ŋ z
built|b ˈɪ l t
bujold|b j ˈuː dʒ oʊ l d
bujold's|b j ˈuː dʒ oʊ l d z
bulalani|b j ˌʊ l ɐ l ˈɑː n i
bulalio|b j ʊ l ˈæ l ɪ  ˌoʊ
bulegaariyaa|b j ˌʊ l ɪ ɡ ˈɑːɹ ɹ ɪ j ˌɑː
bulfrek|b ˈʌ l f ɹ ɛ k
bulger's|b ˈʌ l dʒ ɚ z
bull|b ˈʊ l
bull's|b ˈʊ l z
bulldog's|b ˈʊ l d ɑː ɡ z
bullet|b ˈʊ l ɪ t
bullet's|b ˈʊ l ɪ t s
bulletholes|b ˈʊ l ɪ t h ˌoʊ l z
bullfinch|b ˈʊ l f ɪ n tʃ
bullfinches|b ˈʊ l f ɪ n tʃ ᵻ z
bullock|b ˈʊ l ə k
bulls|b ˈʊ l z
bullseye|b ˈʊ l s aɪ
bullseyer's|b ˈʊ l s eɪ ɚ z
bully|b ˈʊ l i
bulrose|b ˈʊ l ɹ oʊ z
bulrushes|b ˈʊ l ɹ ʌ ʃ ᵻ z
bulwarks|b ˈʊ l w ɔːɹ k s
bumble|b ˈʌ m b əl
bumblefuck|b ˈʌ m b əl f ˌʌ k
bumfuck|b ˈʌ m f ʌ k
bumph|b ˈʌ m f
bumpkins|b ˈʌ m p k ɪ n z
bun|b ˈʌ n
bunaa|b ˈʌ n ɑː
bunaawe|b ˈʌ n ɑː w
buncha|b ˈʌ n tʃ ə
buncher|b ˈʌ n tʃ ɚ
buncher's|b ˈʌ n tʃ ɚ z
bungle|b ˈʌ ŋ ɡ əl
bunk|b ˈʌ ŋ k
bunker|b ˈʌ ŋ k ɚ
bunker's|b ˈʌ ŋ k ɚ z
bunkhouse|b ˈʌ ŋ k h aʊ s
bunking|b ˈʌ ŋ k ɪ ŋ
bunn'droh|b ˈʌ n d ɹ oʊ
bunting|b ˈʌ n t ɪ ŋ
bunting's|b ˈʌ n t ɪ ŋ z
bunyan's|b ˈʌ n j ə n z
bunye|b ˈʌ n aɪ
buoyantly|b ˈɔɪ ə n t l i
buoyed|b ˈɔɪ d
bura|b j ˈʊɹ ɹ ə
buramog|b j ˈʊɹ ɹ ɐ m ˌɑː ɡ
buranelli|b j ˌʊɹ ɹ ə n ˈɛ l i
burden|b ˈɜː d ə n
burdened|b ˈɜː d ə n d
burdock|b ˈɜː d ɑː k
buree|b j ˈʊɹ ɹ iː
bureou|b j ˈʊɹ ɹ ɪ  ˌuː
burezhwa|b j ˈʊɹ ɹ ɛ ʒ w ə
burg|b ˈɜː ɡ
burgage|b ˈɜː ɡ ɪ dʒ
burgdale|b ˈɜː ɡ d eɪ l
burgdalers|b ˈɜː ɡ d eɪ l ɚ z
burgess'|b ˈɜː dʒ ɛ s
burghers|b ˈɜː ɡ ɚ z
burglars|b ˈɜː ɡ l ɚ z
burgstead|b ˈɜː ɡ s t ɛ d
burguk|b ˈɜː ɡ ʌ k
burguk's|b ˈɜː ɡ ʌ k s
burial|b ˈɛ ɹ ɪ  ə l
buried|b ˈɛ ɹ i d
burking|b ˈɜː k ɪ ŋ
burley's|b ˈɜː l i z
burn|b ˈɜː n
burn'd|b ˈɜː n d
burned|b ˈɜː n d
burners|b ˈɜː n ɚ z
burneth|b ˈɜː n ə θ
burnin|b ˈɜː n ɪ n
burnin'|b ˈɜː n ɪ n
burning|b ˈɜː n ɪ ŋ
burnings|b ˈɜː n ɪ ŋ z
burnishing|b ˈɜː n ɪ ʃ ɪ ŋ
burnt|b ˈɜː n t
buro|b j ˈʊɹ ɹ oʊ
burocracy|b j ʊɹ ɹ ˈɑː k ɹ ə s i
burrow|b ˈɜː ɹ oʊ
burrowed|b ˈɜː ɹ oʊ d
burrs|b ˈɜː z
burst|b ˈɜː s t
bursten|b ˈɜː s ʔ n̩
bursting|b ˈɜː s t ɪ ŋ
burthen|b ˈɜː ð ə n
burthens|b ˈɜː ð ə n z
bury|b ˈɛ ɹ i
burying|b ˈɛ ɹ i  ɪ ŋ
burz|b ˈɜː z
bus|b ˈʌ s
busdriver|b ˈʌ s d ɹ aɪ v ɚ
bush|b ˈʊ ʃ
bushe|b ˈʊ ʃ
bushes|b ˈʊ ʃ ᵻ z
bushido|b ʊ ʃ ˈiː d oʊ
busies|b ˈɪ z i z
business|b ˈɪ z n ə s
bust|b ˈʌ s t
bustled|b ˈʌ s əl d
busy|b ˈɪ z i
busybody|b ˈɪ z ɪ b ˌɑː d i
busying|b ˈɪ z i  ɪ ŋ
but|b ˈʌ t
but're|b ˈʌ ɾ ɚ
butcher|b ˈʊ tʃ ɚ
butchered|b ˈʊ tʃ ɚ d
butchers|b ˈʊ tʃ ɚ z
butler|b ˈʌ t l ɚ
buto|b j ˈuː ɾ oʊ
buts|b ˈʌ t s
butt|b ˈʌ t
butted|b ˈʌ ɾ ᵻ d
butter|b ˈʌ ɾ ɚ
buttercake|b ˈʌ ɾ ɚ k ˌeɪ k
butterfly|b ˈʌ ɾ ɚ f l ˌaɪ
buttface|b ˈʌ t f eɪ s
buttin'|b ˈʌ t ɪ n
button|b ˈʌ ʔ n̩
buttoned|b ˈʌ ʔ n̩ d
buttonhole|b ˈʌ ʔ n̩ h ˌoʊ l
buttoning|b ˈʌ ʔ n̩ ɪ ŋ
buttons|b ˈʌ ʔ n̩ z
buttony|b ˈʌ ʔ n̩ i
but…|b ˈʌ t
buuh|b ˈuː
buuut|b ˈuː ʌ t
buuuuraaaa|b ˈuː uː ɹ ˌææ ææ
buxton's|b ˈʌ k s t ə n z
buy|b ˈaɪ
buyer|b ˈaɪ ɚ
buyin'|b ˈaɪ ɪ n
buzu|b ˈuː z uː
buzz's|b ˈʌ z ᵻ z
buzzin'|b ˈʌ z ɪ n
bwa|b ˌiː d ˌʌ b əl j ˌuː ˈeɪ
bwacawe|b ˈiː w ˈæ k ɔː
bwah|b ˈiː w ˈɑː
bwale|b ˈiː w ˈeɪ l
bwane|b ˈiː w ˈeɪ n
bwanebwa|b ˈiː w ˈeɪ n b w ə
bwate|b ˈiː w ˈeɪ t
bwathethanye|b ˈiː w ˈɑː t h ɪ θ ˌæ n aɪ
by|b ˈaɪ
bye|b ˈaɪ
byfield|b ˈaɪ f iː l d
byfield's|b ˈaɪ f iː l d z
bypaths|b ˈaɪ p æ θ s
byron|b ˈaɪ ɹ ɑː n
byronic|b aɪ ɹ ˈɑː n ɪ k
c|s ˈiː
c'mere|s ˈiː m ˈɪɹ
caa|k ˈɑː
caabenaku|k ˌɑː b ə n ˈɑː k uː
caacawe|k ˈɑː k ɔː
caacawene|k ˈɑː k ɔː n
caacehu|k ɑː s ˈɛ h uː
caacene|k ˈɑː s iː n
caaceneme|k ˈɑː s ə n ˌiː m
caacenene|k ˈɑː s ə n ˌiː n
caade|k ˈɑː d
caala|k ˈɑː l ə
caalaacawe|k ˈɑː l ɑː k ˌɔː
caalaate|k ˈɑː l ɑː t
caalace|k ˈɑː l ɪ s
caalahu|k ɑː l ˈɑː h uː
caalawe|k ˈɑː l ɔː
caale|k ˈɑː l
caaleku|k ˈɑː l ɪ k ˌuː
caalekute|k ˈɑː l ɪ k j ˌuː t
caalu|k ˈɑː l uː
caamepiyanese|k ˌɑː m ɪ p ˌɪ j ə n ˈiː z
caaretane|k ˈɑːɹ ɹ ɪ t ˌeɪ n
caate|k ˈɑː t
caawe|k ˈɑː w
caayenaa|k ˈɑː j ə n ˌɑː
cab|k ˈæ b
cabalistic|k ˌæ b ə l ˈɪ s t ɪ k
cabaret's|k ˈæ b ɚ ɹ ˌeɪ s
cabaretier|k ˈæ b ɐ ɹ ɪ ɾ i  ɚ
cabbage|k ˈæ b ɪ dʒ
cabin|k ˈæ b ɪ n
cabin's|k ˈæ b ɪ n z
cabinet|k ˈæ b ᵻ n ə t
cabinets|k ˈæ b ᵻ n ə t s
cabins|k ˈæ b ɪ n z
cable|k ˈeɪ b əl
cabman|k ˈæ b m ə n
cabman's|k ˈæ b m ə n z
cabmen|k ˈæ b m ɛ n
cabouche|k ˈæ b aʊ tʃ
cackleby|k ˈæ k l ɛ b i
cackled|k ˈæ k əl d
cackles|k ˈæ k əl z
cactuses|k ˈæ k t ə s ᵻ z
cadaverine's|k ɐ d ˈæ v ɚ ɹ ˌiː n z
cadaverous|k ɐ d ˈæ v ɚ ɹ ə s
cade's|k ˈeɪ d z
cadenza|k ˈæ d ɛ n z ə
cadigan|k ˈæ d ɪ ɡ ə n
caducibranch|k ˈæ dʒ uː s ˌɪ b ɹ æ n tʃ
caducibranchs|k ˈæ dʒ uː s ˌɪ b ɹ æ n tʃ z
caelia|k ˈeɪ l i  ə
caenlorn|k ˈiː n l ɔːɹ n
caerellius|k ɛ ɹ ˈɛ l ɪ  ə s
caesar|s ˈiː z ɚ
caesle|s ˈiː s əl
cagare|k ˈæ ɡ ɛɹ
cage|k ˈeɪ dʒ
caged|k ˈeɪ dʒ d
cagerawe|k ˈæ dʒ ɚ ɹ ˌɔː
cagliostro|k ˌæ ɡ l ɪ  ˈɑː s t ɹ oʊ
cagliostros|k ˌæ ɡ l ɪ  ˈɑː s t ɹ oʊ z
cahir|k ˈæ h ɪɹ
cahusac|k ˈæ h j uː s ˌæ k
cair|k ˈɛɹ
cairine|k ˈɛ ɹ iː n
cait|k ˈeɪ t
caitiff|k ˈeɪ ɾ ɪ f
caius|k ˈeɪ ə s
cajolery|k ˈæ dʒ oʊ l ɚ ɹ i
cake|k ˈeɪ k
caked|k ˈeɪ k t
cakes|k ˈeɪ k s
cakewalk|k ˈeɪ k w ɔː k
cakwaaye|k ˈæ k w ɑː ˌaɪ
calais|k ˈæ l eɪ
calamities|k ɐ l ˈæ m ᵻ ɾ i z
calanthe|k ˈæ l æ n ð
calash|k ˈæ l æ ʃ
calavera|k ˈæ l ɐ v ɚ ɹ ə
calca|k ˈæ l k ə
calcareous|k ˈæ l k ɛ ɹ ə s
calcelmo|k æ l s ˈɛ l m oʊ
calcelmo's|k æ l s ˈɛ l m oʊ z
calcraft|k ˈæ l k ɹ æ f t
calcraft's|k ˈæ l k ɹ æ f t s
calculable|k ˈæ l k j uː l ə b əl
calculation|k ˌæ l k j ʊ l ˈeɪ ʃ ə n
calculations|k ˌæ l k j ʊ l ˈeɪ ʃ ə n z
caldana|k ɔ l d ˈɑː n ə
caldarium|k ɔ l d ˈɛ ɹ iə m
caldrons|k ˈɔ l d ɹ ə n z
caletaa|k ˈæ l ɪ t ˌɑː
calf|k ˈæ f
calfskin|k ˈæ f s k ɪ n
caliban|k ˈæ l ɪ b ə n
caliber|k ˈæ l ɪ b ɚ
calibrating|k ˈæ l ɪ b ɹ ˌeɪ ɾ ɪ ŋ
calibration's|k ˌæ l ɪ b ɹ ˈeɪ ʃ ə n z
calibre|k ˈæ l ɪ b ɚ
calicoes|k ˈæ l ɪ k ˌoʊ z
calidia|k æ l ˈɪ d iə
calidius|k æ l ˈɪ d ɪ  ə s
calidus|k ˈæ l ɪ d ə s
caliente|k ˈeɪ l iə n t
calindil|k ˈeɪ l ɪ n d ˌɪ l
caliph's|k ˈeɪ l ɪ f z
caliphate|k ˈæ l ɪ f ˌeɪ t
calixto|k æ l ˈɪ k s t oʊ
calixto's|k æ l ˈɪ k s t oʊ z
calka|k ˈæ l k ə
call|k ˈɔː l
called|k ˈɔː l d
callest|k ˈɔː l ɪ s t
calleth|k ˈɔː l ə θ
callia|k ˈæ l i  ə
callin|k ˈɔː l ᵻ n
callin'|k ˈɔː l ᵻ n
calling|k ˈɔː l ɪ ŋ
calling's|k ˈɔː l ɪ ŋ z
callings|k ˈɔː l ɪ ŋ z
callonetta|k ˌæ l oʊ n ˈɛ ɾ ə
calls|k ˈɔː l z
calluses|k ˈæ l ə s ᵻ z
calm|k ˈɑː m
calmly|k ˈɑː m l i
calumniated|k æ l ˈʌ m n ɪ  ˌeɪ ɾ ᵻ d
calumniating|k æ l ˈʌ m n ɪ  ˌeɪ ɾ ɪ ŋ
calumniators|k ˈæ l ə m n ˌɪ  eɪ ɾ ɚ z
calumnies|k ˈæ l ʌ m n i z
calus|k ˈæ l ə s
calverly|k ˈæ l v ɚ l i
calves|k ˈæ v z
calvinism|k ˈæ l v ɪ n ˌɪ z ə m
calzone|k æ l z ˈoʊ n i
cam'll|k ˈæ m əl
camberwell|k ˈæ m b ɚ w ˌɛ l
cambray|k ˈæ m b ɹ eɪ
cambric|k ˈæ m b ɹ ɪ k
cambridge|k ˈeɪ m b ɹ ɪ dʒ
camdens|k ˈæ m d ə n z
came|k ˈeɪ m
camel|k ˈæ m əl
cameron|k ˈæ m ɚ ɹ ə n
cameron'll|k ˈæ m ɚ ɹ ə n əl
camest|k ˈeɪ m ɪ s t
camilla's|k æ m ˈɪ l ə z
camlet|k ˈæ m l ɪ t
camoran's|k ˈæ m oː ɹ ə n z
camp|k ˈæ m p
camp's|k ˈæ m p s
campaign|k æ m p ˈeɪ n
campaigner's|k æ m p ˈeɪ n ɚ z
campaigners|k æ m p ˈeɪ n ɚ z
camphor|k ˈæ m f ɚ
camping|k ˈæ m p ɪ ŋ
campsite's|k ˈæ m p s aɪ t z
campstool|k ˈæ m p s t uː l
campstools|k ˈæ m p s t uː l z
can|k ˈæ n
can't|k ˈæ n t
can't…|k ˈæ n t
canaan|k ˈæ n ɑː n
canada|k ˈæ n ə d ə
canal|k ə n ˈæ l
canary|k ə n ˈɛ ɹ i
cancer|k ˈæ n s ɚ
cancers|k ˈæ n s ɚ z
candidly|k ˈæ n d ɪ d l i
candle|k ˈæ n d əl
candlehearth|k ˈæ n d əl h ˌɑːɹ θ
candlelit|k ˈæ n d əl l ˌɪ t
candles|k ˈæ n d əl z
candour|k ˈæ n d ɚ
cane|k ˈeɪ n
canis|k ˈæ n i z
cankered|k ˈæ ŋ k ɚ d
canna|k ˈæ n ə
canne|k ˈæ n
canned|k ˈæ n d
cannibalistic|k ˌæ n ɪ b ə l ˈɪ s t ɪ k
canning's|k ˈæ n ɪ ŋ z
cannnot|k ˈæ n ɑː t
cannon|k ˈæ n ə n
cannonade|k ˈæ n ə n ˌeɪ d
cannonading|k ˈæ n ə n ˌeɪ d ɪ ŋ
cannoneer|k ˌæ n ə n ˈɪɹ
cannons|k ˈæ n ə n z
cannot|k æ n ˈɑː t
canoe|k ə n ˈuː
canoness|k ˈæ n ə n ˌɛ s
canonicals|k ɐ n ˈɑː n ɪ k əl z
canst|k ˈæ n s t
cantarella|k ˌæ n t ɚ ɹ ˈɛ l ə
cantered|k ˈæ n t ɚ d
cantering|k ˈæ n t ɚ ɹ ɪ ŋ
canticle|k ˈæ n t ɪ k əl
cantonment|k ˈæ n t ɑː n m ə n t
cantos|k ˈæ n t oʊ z
canvas|k ˈæ n v ə s
cap|k ˈæ p
capable|k ˈeɪ p ə b əl
capably|k ˈeɪ p ə b l i
capaciously|k ə p ˈeɪ ʃ ə s l i
capacitate|k ə p ˈæ s ᵻ t ˌeɪ t
capacities|k ə p ˈæ s ᵻ ɾ i z
capacitor's|k ə p ˈæ s ɪ ɾ ɚ z
caparison|k ˈæ p ɐ ɹ ˌɪ s ə n
