aa|ˈa a
concordetbus|k ɔ ŋ k ɔ r d ˈɛ t b ʊ s 
concos|k ˈɔ ŋ k ɔ s
conculcantem|k ɔ ŋ k ʊ l k ˈa n t ɛ m
concupisinsias|k ɔ ŋ k ʊ p ɪ s ˈɪ n s ɪ  a s
concursus|k ɔ ŋ k ˈʊ r s ʊ s
concusionemeius|k ɔ ŋ k ʊ s ɪ  ɔ n ɛ m ˈɛ j j ʊ s
condae|k ˈɔ n d aɪ
condcionensebitutis|k ɔ n d k ɪ  ɔ n ɛ n s ɛ b ˈɪ t ʊ t ɪ s
conestometutie|k ɔ n ɛ s t ɔ m ɛ t ˈʊ t ɪ  ɛ
confectu|k ɔ n f ˈɛ k t ʊ
cong|k ˈɔ ŋ ɡ
congressimarnopirineloius|k ɔ ŋ ɡ  r ɛ s s ɪ m a r n ɔ p ɪ r ɪ n ɛ l ˈɔ j j ʊ s
coniatis|k ɔ n ˈɪ  a t ɪ s 
coniitor|k ɔ n ˈɪ ʔ ɪ t ɔ r
conioses|k ɔ n ˈɪ  ɔ s ɛ s
conitormebenifisiormtuoru|k ɔ n ɪ t ɔ r m ɛ b ɛ n ɪ f ɪ s ɪ  ɔ r m t ˈʊ ɔ r ʊ
connode|k ˈɔ n n ɔ d ɛ
cono|k ˈɔ n ɔ 
conorb|k ˈɔ n ɔ r b
conoregibeatu|k ɔ n ɔ r ɛ ɡ ɪ b ˈɛ a t ʊ
conorm|k ˈɔ n ɔ r m
conormet|k ɔ n ˈɔ r m ɛ t
conormeus|k ɔ n ˈɔ r m ɛʊ s
conortums|k ɔ n ˈɔ r t ʊ m s
conorup|k ˈɔ n ɔ r ʊ p 
conosetendimnium|k ɔ n ɔ s ɛ t ɛ n d ˈɪ m n ɪ  ʊ m
conosit|k ˈɔ n ɔ s ɪ t
conouit|k ɔ n ˈɔ w ɪ t
conqueir|k ˈɔ ŋ k w ɛ ɪ r
consdaturetamenpostabatemstare|k ɔ n s d a t ʊ r ɛ t a m ɛ n p ɔ s t a b a t ˈɛ m s t a r ɛ
consedise|k ɔ n s ˈɛ d ɪ s ɛ
consensia|k ɔ n s ˈɛ n s ɪ  a
consequti|k ɔ n s ˈɛ k w t ɪ
consfsaectmulne|k ɔ n s f s aɪ k t m ˈʊ l n ɛ
considatcortuub|k ɔ n s ɪ d a t k ˈɔ r t ʊ ʊ b
considereqorms|k ˈeː  ˈoː  ˈɛ n  ˈɛ s  ˈiː  d ˈeː  ɛ  ˈɛ ɹ  ɛ  k w ˈuː  ˈoː  ˈɛ ɹ  ˈɛ m  ˈɛ s
considiuss|k ɔ n s ˈɪ d ɪ  ʊ s s
consiensifelixquiabisere|k ɔ n s ɪ  ɛ n s ɪ f ɛ l ɪ k s k w ɪ  a b ˈɪ s ɛ r ɛ
consientiam|k ɔ n s ɪ  ˈɛ n t ɪ  a m
consiiisspopid|k ɔ n s ɪ ʔ j j ˈɪ s s p ɔ p ɪ d
consitrnt|k ˈɔ n s ɪ t  r n t
conssiiaineumt|k ɔ n s s ɪ ʔ j j ˈa ɪ n ɛʊ m t
conssiliumcaprin|k ɔ n s s ɪ l ɪ  ˈʊ m k a p  r ɪ n
conssisteri|k ɔ n s s ˈɪ s t ɛ r ɪ
conssitutum|k ɔ n s s ˈɪ t ʊ t ʊ m
constit|k ˈɔ n s t ɪ t
contedant|k ˈɔ n t ɛ d a n t
contedi|k ˈɔ n t ɛ d ɪ
contedre|k ˈɔ n t ɛ d  r ɛ
contelda|k ɔ n t ˈɛ l d a
contemtus|k ɔ n t ˈɛ m t ʊ s
contenitt|k ˈɔ n t ɛ n ɪ tː
contennandus|k ɔ n t ɛ n n ˈa n d ʊ s
contentum|k ɔ n t ˈɛ n t ʊ m
contentus|k ɔ n t ˈɛ n t ʊ s
continsentbus|k ɔ n t ɪ n s ˈɛ n t b ʊ s
continuandaerit|k ɔ n t ɪ n ʊ a n d ˈaɪ r ɪ t
contistet|k ɔ n t ˈɪ s t ɛ t
contratelocumonor|k ɔ n t  r a t ɛ l ɔ k ˈʊ m ɔ n ɔ r
contreea|k ɔ n t  r ˈɛ ɛ a
conuenirant|k ɔ n ʊ ˈɛ n ɪ r a n t
conupais|k ɔ n ˈʊ p a ɪ s
conurem|k ˈɔ n ʊ r ɛ m
conurificum|k ɔ n ʊ r ˈɪ f ɪ k ʊ m 
conurise|k ɔ n ˈʊ r ɪ s ɛ
conurteporalisomnis|k ɔ n ʊ r t ɛ p ɔ r a l ɪ s ˈɔ m n ɪ s 
conus|k ˈɔ n ʊ s
copararpotest|k ɔ p a r ˈa r p ɔ t ɛ s t
coparata|k ɔ p ˈa r a t a
coparataport|k ɔ p a r ˈa t a p ɔ r t
coparatu|k ɔ p ˈa r a t ʊ
copatturuplus|k ɔ p a tː ˈʊ r ʊ p l ʊ s
cope|k ˈɔ p ɛ
copeditisot|k ɔ p ɛ d ˈɪ t ɪ s ɔ t
copensabtur|k ɔ p ɛ n s ˈa b t ʊ r
copetetibus|k ɔ p ɛ t ˈɛ t ɪ b ʊ s
copetetmus|k ɔ p ɛ t ˈɛ t m ʊ s
copetintia|k ɔ p ɛ t ˈɪ n t ɪ  a
copette|k ɔ p ˈɛ tː ɛ
copi|k ˈɔ p ɪ
copiisquas|k ɔ p ɪ ʔ ˈɪ s k w a s
copiissesecastristenib|k ɔ p ɪ ʔ ɪ s s ɛ s ɛ k a s t  r ˈɪ s t ɛ n ɪ b
copiosa|k ɔ p ˈɪ  ɔ s a
copiose|k ɔ p ˈɪ  ɔ s ɛ
copiosius|k ɔ p ɪ  ˈɔ s ɪ  ʊ s
copioss|k ˈɔ p ɪ  ɔ s s
copiosuminim|k ɔ p ɪ  ɔ s ˈʊ m ɪ n ɪ m 
copiosuspersipitur|k ɔ p ɪ  ɔ s ʊ s p ɛ r s ˈɪ p ɪ t ʊ r
copis|k ˈɔ p ɪ s
coplasittibidomneuteruasme|k ɔ p l a s ɪ tː ɪ b ɪ d ɔ m n ɛʊ t ɛ r ʊ ˈa s m ɛ
copleantur|k ɔ p l ɛ ˈa n t ʊ r
coplere|k ˈɔ p l ɛ r ɛ
copletoriiquetempor|k ɔ p l ɛ t ɔ r ɪ ʔ ɪ k w ɛ t ˈɛ m p ɔ r 
copletoriu|k ɔ p l ɛ t ˈɔ r ɪ  ʊ
copletormoa|k ɔ p l ɛ t ˈɔ r m ɔ a
copletumes|k ɔ p l ˈɛ t ʊ m ɛ s 
coplur|k ˈɔ p l ʊ r
copon|k ˈɔ p ɔ n 
coportariiussise|k ɔ p ɔ r t a r ɪ ʔ j j ˈʊ s s ɪ s ɛ
coprectar|k ɔ p  r ˈɛ k t a r
copreere|k ɔ p  r ˈɛ ɛ r ɛ
coprendedumselestinisis|k ɔ p  r ɛ n d ɛ d ʊ m s ɛ l ɛ s t ˈɪ n ɪ s ɪ s 
coprubatus|k ɔ p  r ˈʊ b a t ʊ s
copulus|k ˈɔ p ʊ l ʊ s
copumsfion|k ɔ p ˈʊ m s f ɪ  ɔ n
copurtanis|k ɔ p ˈʊ r t a n ɪ s
copus|k ˈɔ p ʊ s
copusiomuta|k ɔ p ʊ s ɪ  ˈɔ m ʊ t a
coputatcobersionis|k ɔ p ʊ t a t k ɔ b ɛ r s ˈɪ  ɔ n ɪ s
copux|k ˈɔ p ʊ k s
coqu|k ˈɔ k w
coque|k ˈɔ k w ɛ
coquea|k ˈɔ k w ɛ a
coquina|k ˈɔ k w ɪ n a 
coquinea|k ɔ k w ˈɪ n ɛ a
coqupisensi|k ɔ k w p ɪ s ˈɛ n s ɪ
cor|k ˈɔ r
cora|k ˈɔ r a
coraa|k ˈɔ r a a
coraaspisiat|k ɔ r a a s p ˈɪ s ɪ  a t
coraberea|k ɔ r a b ˈɛ r ɛ a
coradeonumsiar|k ɔ r a d ɛ ɔ n ˈʊ m s ɪ  a r 
coradomincadise|k ɔ r a d ɔ m ɪ ŋ k ˈa d ɪ s ɛ
corammeambula|k ɔ r a m m ɛ ˈa m b ʊ l a
coramtea|k ɔ r ˈa m t ɛ a
corantecufuit|k ɔ r a n t ɛ k ˈʊ f ʊ ɪ t
corbisre|k ɔ r b ˈɪ s  r ɛ
corc|k ˈɔ r k
corcordtritumet|k ɔ r k ɔ r d t  r ˈɪ t ʊ m ɛ t
cord|k ˈɔ r d
corda|k ˈɔ r d a
cordabestra|k ɔ r d a b ˈɛ s t  r a
cordaborampius|k ɔ r d a b ɔ r ˈa m p ɪ  ʊ s 
cordaet|k ˈɔ r d aɪ t
cordaetrenes|k ɔ r d ˈaɪ t  r ɛ n ɛ s
cordantibus|k ɔ r d ˈa n t ɪ b ʊ s
cordaridinientur|k ɔ r d a r ɪ d ɪ n ɪ  ˈɛ n t ʊ r
cordasiu|k ɔ r d ˈa s ɪ  ʊ
cordbsnoftrishcomnmsuspit|k ɔ r d b s n ɔ f t  r ɪ s h k ɔ m n m s ˈʊ s p ɪ t
corde|k ˈɔ r d ɛ
cordecet|k ˈɔ r d ɛ k ɛ t
cordeesse|k ɔ r d ɛ ˈɛ s s ɛ
corderedis|k ɔ r d ˈɛ r ɛ d ɪ s
corderestandaet|k ɔ r d ɛ r ɛ s t ˈa n d aɪ t
cordessimumur|k ɔ r d ɛ s s ˈɪ m ʊ m ʊ r
cordi|k ˈɔ r d ɪ
cordialtersetit|k ɔ r d ɪ  a l t ˈɛ r s ɛ t ɪ t
cordiersis|k ɔ r d ɪ  ˈɛ r s ɪ s
cordies|k ˈɔ r d ɪ  ɛ s 
cordimeo|k ɔ r d ˈɪ m ɛ ɔ
cordis|k ˈɔ r d ɪ s
cordisat|k ˈɔ r d ɪ s a t 
cordisbelesustinere|k ɔ r d ɪ s b ɛ l ɛ s ʊ s t ˈɪ n ɛ r ɛ
cordiscusto|k ɔ r d ɪ s k ˈʊ s t ɔ
cordisdeoccinearaer|k ɔ r d ɪ s d ɛ ɔ kː ɪ n ˈɛ a r aɪ r
cordisegaminandasutet|k ɔ r d ɪ s ɛ ɡ a m ɪ n a n d ˈa s ʊ t ɛ t 
cordiseius|k ɔ r d ɪ s ˈɛ j j ʊ s
cordiset|k ˈɔ r d ɪ s ɛ t 
cordisetes|k ɔ r d ˈɪ s ɛ t ɛ s
cordisetsupisire|k ɔ r d ɪ s ɛ t s ʊ p ˈɪ s ɪ r ɛ
cordisicina|k ɔ r d ɪ s ˈɪ k ɪ n a
cordisliberar|k ɔ r d ɪ s l ˈɪ b ɛ r a r
cordisnoque|k ɔ r d ˈɪ s n ɔ k w ɛ
cordisquarre|k ɔ r d ɪ s k w ˈa r ɾ ɛ
cordistraquilitatem|k ɔ r d ɪ s t  r a k w ɪ l ˈɪ t a t ɛ m
cordistui|k ɔ r d ˈɪ s t ʊ ɪ
cordisuman|k ɔ r d ˈɪ s ʊ m a n
cordisumaniquadssolum|k ɔ r d ɪ s ʊ m a n ɪ k w ˈa d s s ɔ l ʊ m
cordisumilitate|k ɔ r d ɪ s ʊ m ɪ l ˈɪ t a t ɛ
cordmus|k ˈɔ r d m ʊ s
cords|k ˈɔ r d s
cordsatorqueour|k ɔ r d s a t ɔ r k w ˈɛ ɔ ʊ r
cordtera|k ˈɔ r d t ɛ r a
coredis|k ˈɔ r ɛ d ɪ s
corepot|k ˈɔ r ɛ p ɔ t
coresa|k ˈɔ r ɛ s a 
coretarub|k ɔ r ˈɛ t a r ʊ b 
corexionire|k ɔ r ɛ k s ɪ  ˈɔ n ɪ r ɛ 
corexionisubiasea|k ɔ r ɛ k s ɪ  ɔ n ɪ s ʊ b ɪ  ˈa s ɛ a
corgant|k ˈɔ r ɡ a n t
corgatons|k ˈɔ r ɡ a t ɔ n s 
coriberitatesubiectumestdeu|k ɔ r ɪ b ɛ r ɪ t a t ɛ s ʊ b ɪ  ɛ k t ʊ m ˈɛ s t d ɛʊ
coripi|k ˈɔ r ɪ p ɪ
coripiatad|k ɔ r ɪ p ˈɪ  a t a d
coris|k ˈɔ r ɪ s
corisenduma|k ɔ r ɪ s ˈɛ n d ʊ m a
corisfidestatersiasextaet|k ɔ r ɪ s f ɪ d ɛ s t a t ɛ r s ɪ  a s ˈɛ k s t aɪ t
corlibrum|k ˈɔ r l ɪ b  r ʊ m 
corm|k ˈɔ r m
cormaproe|k ˈɔ r m a p  r ɔɪ
cormdeode|k ɔ r m d ˈɛ ɔ d ɛ
cormem|k ˈɔ r m ɛ m
cormemocobertaturetquiescatt|k ɔ r m ɛ m ɔ k ɔ b ɛ r t a t ʊ r ɛ t k w ɪ  ˈɛ s k a tː
cormeu|k ˈɔ r m ɛʊ
cormeuh|k ˈɔ r m ɛʊ h
cormeuha|k ɔ r m ˈɛʊ h a
cormeum|k ˈɔ r m ɛʊ m
cormeuma|k ɔ r m ˈɛʊ m a
cormeumh|k ˈɔ r m ɛʊ m h
cormeumhitepasfcare|k ɔ r m ɛʊ m h ɪ t ɛ p ˈa s f k a r ɛ
cormeumiten|k ɔ r m ˈɛʊ m ɪ t ɛ n 
cormfinestansirenten|k ɔ r m f ɪ n ɛ s t a n s ɪ r ˈɛ n t ɛ n
cormma|k ˈɔ r m m a
cormme|k ˈɔ r m m ɛ
cormte|k ˈɔ r m t ɛ
cormunatseddu|k ɔ r m ʊ n a t s ˈɛ dː ʊ
corn|k ˈɔ r n 
cornabiturpatiesia|k ɔ r n a b ɪ t ʊ r p a t ɪ  ˈɛ s ɪ  a
cornar|k ˈɔ r n a r
cornatus|k ˈɔ r n a t ʊ s
coromnis|k ɔ r ˈɔ m n ɪ s
coronacaptis|k ɔ r ɔ n a k ˈa p t ɪ s
coronsassuuas|k ɔ r ɔ n s a s s ˈʊ w a s
corordifiputatisseulaborsertamns|k ɔ r ɔ r d ɪ f ɪ p ʊ t a t ɪ s s ɛʊ l a b ɔ r s ˈɛ r t a m n s
cororm|k ˈɔ r ɔ r m
corp|k ˈɔ r p
corpis|k ˈɔ r p ɪ s 
corpolistuipersepsionm|k ɔ r p ɔ l ɪ s t ʊ ɪ p ɛ r s ˈɛ p s ɪ  ɔ n m
corpor|k ˈɔ r p ɔ r
corporaebus|k ɔ r p ɔ r ˈaɪ b ʊ s
corporiquoddolorexposci|k ɔ r p ɔ r ɪ k w ɔ dː ɔ l ɔ r ɛ k s p ˈɔ s k ɪ
corporis|k ˈɔ r p ɔ r ɪ s
corporiscistinmissa|k ɔ r p ɔ r ɪ s k ɪ s t ɪ n m ˈɪ s s a
corporiserbireeta|k ɔ r p ɔ r ɪ s ɛ r b ɪ r ˈɛ ɛ t a
corpralsre|k ɔ r p  r ˈa l s  r ɛ 
corpre|k ˈɔ r p  r ɛ
corpris|k ˈɔ r p  r ɪ s
corpristuicostmommiu|k ɔ r p  r ɪ s t ʊ ɪ k ɔ s t m ˈɔ m m ɪ  ʊ
corprumsibe|k ɔ r p  r ˈʊ m s ɪ b ɛ
corpumileseperqque|k ˈeː  ˈoː  ˈɛ r  p ˈeː  ˈuː  ˈɛ m  ˈiː  ˈɛ l  ɛ  ˈɛ s  ɛ  p ˈeː  ɛ  ˈɛ r  k w ˈuː  k w ˈuː  ˈuː  ɛ
corpurisnebluptate|k ɔ r p ʊ r ɪ s n ɛ b l ˈʊ p t a t ɛ
corpurs|k ˈɔ r p ʊ r s
corpus|k ˈɔ r p ʊ s
corpushima|k ɔ r p ˈʊ s h ɪ m a
corpusscastgareeetessebitutisubiserconoresfuiercotmela|k ɔ r p ʊ s s k a s t ɡ a r ɛ ɛ ɛ t ɛ s s ɛ b ɪ t ʊ t ɪ s ʊ b ɪ s ɛ r k ɔ n ɔ r ɛ s f ʊ j j ɛ r k ˈɔ t m ɛ l a 
corpussuiredemtoriscuma|k ɔ r p ʊ s s ʊ ɪ r ɛ d ɛ m t ɔ r ˈɪ s k ʊ m a 
corpustum|k ɔ r p ˈʊ s t ʊ m
corpustumcom|k ɔ r p ʊ s t ˈʊ m k ɔ m 
cors|k ˈɔ r s 
corsbideamuss|k ɔ r s b ɪ d ˈɛ a m ʊ s s
corsdicatur|k ɔ r s d ˈɪ k a t ʊ r
cortaussuos|k ɔ r t ˈaʊ s s ʊ ɔ s
corto|k ˈɔ r t ɔ
cortpust|k ˈɔ r t p ʊ s t
cortrquinum|k ˈɔ r t  r k w ɪ n ʊ m
cortum|k ˈɔ r t ʊ m
cortuma|k ˈɔ r t ʊ m a
cortumuopreparaeis|k ɔ r t ʊ m ʊ ɔ p  r ɛ p a r ˈaɪ ɪ s
cortus|k ˈɔ r t ʊ s
cortuum|k ˈɔ r t ʊ ʊ m
coruass|k ˈɔ r ʊ a s s
corubt|k ˈɔ r ʊ b t
corubtiblis|k ɔ r ˈʊ b t ɪ b l ɪ s
corumaigintitrium|k ɔ r ʊ m a ɪ ɡ ɪ n t ˈɪ t  r ɪ  ʊ m
corunm|k ˈɔ r ʊ n m
coruptelm|k ɔ r ˈʊ p t ɛ l m
coruptiblisbit|k ɔ r ʊ p t ɪ b l ˈɪ s b ɪ t
coruscttionmde|k ɔ r ʊ s k tː ɪ  ˈɔ n m d ɛ
corutis|k ˈɔ r ʊ t ɪ s
cos|k ˈɔ s
cosede|k ˈɔ s ɛ d ɛ
cosedepauperimindicotu|k ɔ s ɛ d ɛ p aʊ p ɛ r ɪ m ɪ n d ˈɪ k ɔ t ʊ
cosederemecumireiopatis|k ɔ s ɛ d ɛ r ɛ m ɛ k ʊ m ɪ r ɛ j j ˈɔ p a t ɪ s
cosedmici|k ɔ s ˈɛ d m ɪ k ɪ
cosent|k ˈɔ s ɛ n t
cosequantor|k ɔ s ɛ k w ˈa n t ɔ r
cosera|k ˈɔ s ɛ r a
coserbaanma|k ɔ s ɛ r b a ˈa n m a
coserbentut|k ɔ s ɛ r b ˈɛ n t ʊ t 
coserbesinean|k ɔ s ɛ r b ɛ s ˈɪ n ɛ a n
coshexpectariequitesaqueeius|k ɔ s h ɛ k s p ɛ k t a r ɪ  ɛ k w ɪ t ɛ s a k w ɛ ˈɛ j j ʊ s
cosider|k ˈɔ s ɪ d ɛ r
cosiderethi|k ɔ s ɪ d ˈɛ r ɛ tʰ ɪ
cosidrat|k ˈɔ s ɪ d  r a t
cosidratsionpersar|k ɔ s ɪ d  r a t s ɪ  ɔ n p ˈɛ r s a r
cosiensia|k ɔ s ɪ  ˈɛ n s ɪ  a
cosiensiosob|k ɔ s ɪ  ɛ n s ˈɪ  ɔ s ɔ b
cosietam|k ɔ s ˈɪ  ɛ t a m
cosiium|k ɔ s ˈɪ ʔ j j ʊ m
cosiiuseqa|k ˈeː  ˈoː  ˈɛ s  ˈiː  ˈiː  ˈuː  ˈɛ s  ɛ  k w ˈuː  a
cosiliub|k ɔ s ˈɪ l ɪ  ʊ b
cosilumtuumqumistudistituisti|k ɔ s ɪ l ʊ m t ʊ ʊ m k w m ɪ s t ʊ d ɪ s t ɪ t ʊ ˈɪ s t ɪ
cosilumufratrum|k ɔ s ɪ l ʊ m ˈʊ f  r a t  r ʊ m
cosilut|k ˈɔ s ɪ l ʊ t 
cosladsionem|k ɔ s l a d s ˈɪ  ɔ n ɛ m
cosladsionesnos|k ɔ s l a d s ɪ  ɔ n ˈɛ s n ɔ s
cosladsionma|k ɔ s l a d s ɪ  ˈɔ n m a
coslaionbus|k ɔ s l a j j ˈɔ n b ʊ s
coslasi|k ˈɔ s l a s ɪ
coslasione|k ɔ s l a s ˈɪ  ɔ n ɛ
coslasiubal|k ɔ s l a s ˈɪ  ʊ b a l
coslatsionebe|k ɔ s l a t s ɪ  ˈɔ n ɛ b ɛ
coslatsionsspiitualess|k ɔ s l a t s ɪ  ɔ n s s p ɪ ʔ ɪ t ˈʊ a l ɛ s s
coslattionistemtasopresedeshessesinium|k ɔ s l a tː ɪ  ɔ n ɪ s t ɛ m t a s ɔ p  r ɛ s ɛ d ɛ s h ɛ s s ɛ s ˈɪ n ɪ  ʊ m
coslatus|k ˈɔ s l a t ʊ s 
cosola|k ˈɔ s ɔ l a 
cosoladsinm|k ɔ s ɔ l ˈa d s ɪ n m
cosolareedsiliumeub|k ɔ s ɔ l a r ɛ ɛ d s ɪ l ˈɪ  ʊ m ɛʊ b 
cosolari|k ɔ s ˈɔ l a r ɪ
cosolasio|k ɔ s ɔ l ˈa s ɪ  ɔ
cosolasionedibinearetisi|k ɔ s ɔ l a s ɪ  ɔ n ɛ d ɪ b ɪ n ɛ a r ˈɛ t ɪ s ɪ
cosolasitibi|k ɔ s ɔ l a s ˈɪ t ɪ b ɪ
cosolat|k ˈɔ s ɔ l a t
cosolattonsibenis|k ɔ s ɔ l a tː ɔ n s ˈɪ b ɛ n ɪ s
cosolatur|k ɔ s ˈɔ l a t ʊ r
cosolatus|k ɔ s ˈɔ l a t ʊ s
cosolentureumnea|k ɔ s ɔ l ɛ n t ʊ r ˈɛʊ m n ɛ a
cosoletu|k ɔ s ˈɔ l ɛ t ʊ
cosors|k ˈɔ s ɔ r s
cosotionm|k ɔ s ˈɔ t ɪ  ɔ n m
cospes|k ˈɔ s p ɛ s
cospitem|k ˈɔ s p ɪ t ɛ m
cospiten|k ˈɔ s p ɪ t ɛ n
cospites|k ˈɔ s p ɪ t ɛ s
cospitpus|k ɔ s p ˈɪ t p ʊ s
cospitumpersessit|k ɔ s p ɪ t ʊ m p ɛ r s ˈɛ s s ɪ t
cospteboluerit|k ɔ s p t ɛ b ɔ l ˈʊ ɛ r ɪ t
cosqms|k ˈeː  ˈoː  ˈɛ s  k w ˈuː  ˈɛ m  ˈɛ s
cosslariserbumtuub|k ɔ s s l a r ɪ s ɛ r b ˈʊ m t ʊ ʊ b
cosssupadixtims|k ɔ s s s ʊ p a d ˈɪ k s t ɪ m s
costansia|k ɔ s t ˈa n s ɪ  a
costaquia|k ɔ s t ˈa k w ɪ  a
costatacseitit|k ɔ s t a t a k s ˈɛ ɪ t ɪ t
costbsheffismur|k ɔ s t b s h ɛ f f ˈɪ s m ʊ r
costbus|k ˈɔ s t b ʊ s
costesexonibuspartbuss|k ɔ s t ɛ s ɛ k s ɔ n ɪ b ʊ s p ˈa r t b ʊ s s
costessut|k ɔ s t ˈɛ s s ʊ t
costeusqueadecapudquadasesmeommibus|k ɔ s t ɛʊ s k w ɛ a d ɛ k a p ʊ d k w a d a s ɛ s m ɛ ˈɔ m m ɪ b ʊ s
costili|k ˈɔ s t ɪ l ɪ
costis|k ˈɔ s t ɪ s
costisomlibus|k ɔ s t ɪ s ˈɔ m l ɪ b ʊ s
costit|k ˈɔ s t ɪ t
costitu|k ˈɔ s t ɪ t ʊ
costituanturbe|k ɔ s t ɪ t ʊ a n t ˈʊ r b ɛ 
costituit|k ɔ s t ˈɪ t ʊ ɪ t
costituta|k ɔ s t ˈɪ t ʊ t a 
cosue|k ˈɔ s ʊ ɛ
cosuetudine|k ɔ s ʊ ɛ t ˈʊ d ɪ n ɛ
cosuetuducos|k ɔ s ʊ ɛ t ˈʊ d ʊ k ɔ s
cosula|k ˈɔ s ʊ l a
cosuladsionn|k ɔ s ʊ l ˈa d s ɪ  ɔ n n
cosummatuderbum|k ɔ s ʊ m m a t ʊ d ˈɛ r b ʊ m 
cot|k ˈɔ t
cota|k ˈɔ t a
cotadix|k ˈɔ t a d ɪ k s
cotaque|k ˈɔ t a k w ɛ 
cotari|k ˈɔ t a r ɪ
cotariatorsupen|k ɔ t a r ɪ  a t ˈɔ r s ʊ p ɛ n
cotelassionidesinetrgiinearere|k ɔ t ɛ l a s s ɪ  ɔ n ɪ d ɛ s ɪ n ɛ t  r ɡ ɪ ʔ ɪ n ɛ ˈa r ɛ r ɛ
cotemner|k ɔ t ˈɛ m n ɛ r 
cotemserit|k ɔ t ˈɛ m s ɛ r ɪ t
cotensionm|k ɔ t ˈɛ n s ɪ  ɔ n m
cotensonsinutilesnutriomt|k ɔ t ɛ n s ɔ n s ɪ n ʊ t ɪ l ɛ s n ˈʊ t  r ɪ  ɔ m t
cotentar|k ɔ t ˈɛ n t a r
cotentaturpaus|k ɔ t ɛ n t a t ˈʊ r p aʊ s
coteplareibaleamus|k ɔ t ɛ p l a r ɛ ɪ b a l ˈɛ a m ʊ s 
coteplaripossis|k ɔ t ɛ p l a r ɪ p ˈɔ s s ɪ s
coteraturet|k ɔ t ɛ r ˈa t ʊ r ɛ t
cotesiosis|k ɔ t ɛ s ˈɪ  ɔ s ɪ s
coti|k ˈɔ t ɪ
cotidi|k ˈɔ t ɪ d ɪ
cotidianisasepebincumtur|k ɔ t ɪ d ɪ  a n ɪ s a s ɛ p ɛ b ɪ ŋ k ˈʊ m t ʊ r
cotidianoscum|k ɔ t ɪ d ɪ  a n ˈɔ s k ʊ m
cotidie|k ɔ t ˈɪ d ɪ  ɛ
cotidien|k ɔ t ˈɪ d ɪ  ɛ n 
cotidit|k ˈɔ t ɪ d ɪ t
cotigut|k ˈɔ t ɪ ɡ ʊ t
cotin|k ˈɔ t ɪ n
cotinoqueius|k ɔ t ɪ n ɔ k w ˈɛ j j ʊ s
cotinuata|k ɔ t ɪ n ˈʊ a t a
cotisioneetcumilicupessionet|k ɔ t ɪ s ɪ  ɔ n ɛ ɛ t k ʊ m ɪ l ɪ k ʊ p ɛ s s ˈɪ  ɔ n ɛ t
cotistatur|k ɔ t ˈɪ s t a t ʊ r
cotistet|k ɔ t ˈɪ s t ɛ t
cotisteturindomode|k ɔ t ɪ s t ɛ t ʊ r ɪ n d ˈɔ m ɔ d ɛ
cotitsone|k ɔ t ˈɪ t s ɔ n ɛ
cotos|k ˈɔ t ɔ s
cotra|k ˈɔ t  r a
cotraabats|k ɔ t  r ˈa a b a t s
cotrae|k ˈɔ t  r aɪ 
cotraliguashobtrectatorum|k ɔ t  r a l ɪ ɡ w a s h ɔ b t  r ɛ k t ˈa t ɔ r ʊ m 
cotraregema|k ɔ t  r a r ˈɛ ɡ ɛ m a
cotrargia|k ɔ t  r ˈa r ɡ ɪ  a
cotrari|k ˈɔ t  r a r ɪ 
cotraria|k ɔ t  r ˈa r ɪ  a 
cotrariaadinsaa|k ɔ t  r a r ɪ  a a d ˈɪ n s a a 
cotrariantbus|k ɔ t  r a r ɪ  ˈa n t b ʊ s
cotraris|k ˈɔ t  r a r ɪ s
cotratediserenturqu|k ɔ t  r a t ɛ d ɪ s ɛ r ˈɛ n t ʊ r k w 
cotrista|k ɔ t  r ˈɪ s t a
cotristar|k ɔ t  r ˈɪ s t a r
cotristare|k ɔ t  r ˈɪ s t a r ɛ
cotristat|k ɔ t  r ˈɪ s t a t 
cotritsondiscursuss|k ɔ t  r ɪ t s ɔ n d ɪ s k ˈʊ r s ʊ s s
cotrt|k ˈɔ t  r t
cotumasir|k ɔ t ˈʊ m a s ɪ r
cotumeudia|k ɔ t ʊ m ˈɛʊ d ɪ  a
coturba|k ɔ t ˈʊ r b a
coturbatur|k ɔ t ˈʊ r b a t ʊ r
coubersari|k ɔ ʊ b ˈɛ r s a r ɪ
coubersatin|k ɔ ʊ b ˈɛ r s a t ɪ n 
coubete|k ɔ ˈʊ b ɛ t ɛ
coubibr|k ˈɔ ʊ b ɪ b  r
coucidensiabb|k ɔ ʊ k ɪ d ˈɛ n s ɪ  a bː 
coucilumdimitittescmretnett|k ɔ ʊ k ɪ l ʊ m d ɪ m ɪ t ɪ tː ɛ s k m  r ˈɛ t n ɛ tː
coucupisesiaeus|k ɔ ʊ k ʊ p ɪ s ɛ s ɪ  ˈaɪ ʊ s
couersa|k ɔ w ˈɛ r s a
coufesiones|k ɔ ʊ f ɛ s ˈɪ  ɔ n ɛ s
coufidatqu|k ɔ ʊ f ˈɪ d a t k w
coufitebor|k ɔ ʊ f ˈɪ t ɛ b ɔ r
coufiteri|k ɔ ʊ f ˈɪ t ɛ r ɪ
coufomitatis|k ɔ ʊ f ɔ m ˈɪ t a t ɪ s
