$|d ˈo l a
ataongeza|ˌa t a o ŋ ɡ ˈe z a
atapanda|ˌa t a p ˈa n d a
atapata|ˌa t a p ˈa t a
atapavunja|ˌa t a p a v ˈu ɲ ɟ a
atapeleka|ˌa t a p e l ˈe k a
atapenda|ˌa t a p ˈe n d a
atapewa|ˌa t a p ˈe w a
atapiga|ˌa t a p ˈi ɡ a
atapigana|ˌa t a p i ɡ ˈa n a
atapigwa|ˌa t a p ˈi ɡ w a
atapita|ˌa t a p ˈi t a
atapokea|ˌa t a p o k ˈe a
ataponya|ˌa t a p ˈo ɲ a
ataponywa|ˌa t a p ˈo ɲ u a
atapotea|ˌa t a p o t ˈe a
ataridhika|ˌa t a r i ð ˈi k a
atarudi|ˌa t a r ˈu d i
atarudishiwa|ˌa t a r ˌu d i ʃ ˈi w a
ataruka|ˌa t a r ˈu k a
atasamehewa|ˌa t a s ˌa m e h ˈe w a
atasema|ˌa t a s ˈe m a
atashangilia|ˌa t a ʃ ˌa ŋ ɡ i l ˈi a
atashiba|ˌa t a ʃ ˈi b a
atashikamana|ˌa t a ʃ ˌi k a m ˈa n a
atashikwa|ˌa t a ʃ ˈi k w a
atashinda|ˌa t a ʃ ˈi n d a
atashuka|ˌa t a ʃ ˈu k a
atashusha|ˌa t a ʃ ˈu ʃ a
atasifiwa|ˌa t a s i f ˈi w a
atasikia|ˌa t a s i k ˈi a
atasimamishwa|ˌa t a s ˌi m a m ˈi ʃ w a
atasitawi|ˌa t a s i t ˈa w i
atasononeka|ˌa t a s ˌo n o n ˈe k a
atastaafu|ˌa t a s t a ˈa f u
atasubiri|ˌa t a s u b ˈi r i
atatafutwa|ˌa t a t a f ˈu t w a
atatahiriwa|ˌa t a t ˌa h i r ˈi w a
atataka|ˌa t a t ˈa k a
atatamauka|ˌa t a t ˌa m a ˈu k a
atatambua|ˌa t a t a m b ˈu a
atatambulishwa|ˌa t a t ˌa m b u l ˈi ʃ w a
atatangaza|ˌa t a t a ŋ ɡ ˈa z a
atatangulia|ˌa t a t ˌa ŋ ɡ u l ˈi a
atatawala|ˌa t a t a w ˈa l a
atatenda|ˌa t a t ˈe n d a
atatendwa|ˌa t a t ˈe n d w a
atatengeneza|ˌa t a t ˌe ŋ ɡ e n ˈe z a
atatengwa|ˌa t a t ˈe ŋ ɡ w a
atateswa|ˌa t a t ˈe s w a
atateta|ˌa t a t ˈe t a
atatia|ˌa t a t ˈi a
atatikisa|ˌa t a t i k ˈi s a
atatimiza|ˌa t a t i m ˈi z a
atatisaidia|ˌa t a t ˌi s a i d ˈi a
atatiwa|ˌa t a t ˈi w a
atatoka|ˌa t a t ˈo k a
atatokea|ˌa t a t o k ˈe a
atatokeza|ˌa t a t o k ˈe z a
atatufundisha|ˌa t a t ˌu f u n d ˈi ʃ a
atatujalia|ˌa t a t ˌu ɟ a l ˈi a
atatukuzwa|ˌa t a t u k ˈu z w a
atatulia|ˌa t a t u l ˈi a
atatumbukia|ˌa t a t ˌu m b u k ˈi a
atatumbuliwa|ˌa t a t ˌu m b u l ˈi w a
atatumia|ˌa t a t u m ˈi a
atatumwa|ˌa t a t ˈu m w a
atatuokoa|ˌa t a t ˌu o k ˈo a
atatuokoaje|ˌa t a t ˌu o k o ˈa ɟ e
atatupa|ˌa t a t ˈu p a
atatusaidia|ˌa t a t ˌu s a i d ˈi a
atatutawala|ˌa t a t ˌu t a w ˈa l a
atatutendea|ˌa t a t ˌu t e n d ˈe a
atatwaa|ˌa t a t w ˈa a
atatwaliwa|ˌa t a t w a l ˈi w a
atauangamiza|ˌa t a ˌu a ŋ ɡ a m ˈi z a
atauharibu|ˌa t a ˌu h a r ˈi b u
ataujenga|ˌa t a u ɟ ˈe ŋ ɡ a
ataukimbia|ˌa t a ˌu k i m b ˈi a
ataulinda|ˌa t a u l ˈi n d a
ataumba|ˌa t a ˈu m b a
ataumia|ˌa t a u m ˈi a
ataumiauovu|ˌa t a ˌu m i ˌa u ˈo v u
ataumizwa|ˌa t a u m ˈi z w a
ataunena|ˌa t a u n ˈe n a
ataupiga|ˌa t a u p ˈi ɡ a
ataupita|ˌa t a u p ˈi t a
ataupunguza|ˌa t a ˌu p u ŋ ɡ ˈu z a
ataurithi|ˌa t a u r ˈi θ i
atausafisha|ˌa t a ˌu s a f ˈi ʃ a
atauteketeza|ˌa t a ˌu t e k e t ˈe z a
atauthibitisha|ˌa t a ˌu θ i b i t ˈi ʃ a
atautia|ˌa t a u t ˈi a
atavaa|ˌa t a v ˈa a
atavikata|ˌa t a v i k ˈa t a
atavirudishia|ˌa t a v ˌi r u d i ʃ ˈi a
atavuna|ˌa t a v ˈu n a
atavunjika|ˌa t a v u ɲ ɟ ˈi k a
atawaacha|ˌa t a w a ˈa tʃ a
atawaamuru|ˌa t a w ˌa a m ˈu r u
atawabatiza|ˌa t a w ˌa b a t ˈi z a
atawachochea|ˌa t a w ˌa tʃ o tʃ ˈe a
atawachukua|ˌa t a w ˌa tʃ u k ˈu a
atawafanya|ˌa t a w a f ˈa ɲ a
atawafanyia|ˌa t a w ˌa f a ɲ ˈi a
atawafuata|ˌa t a w ˌa f u ˈa t a
atawafundisha|ˌa t a w ˌa f u n d ˈi ʃ a
atawahesabia|ˌa t a w ˌa h e s a b ˈi a
atawahubiri|ˌa t a w ˌa h u b ˈi r i
atawahurumia|ˌa t a w ˌa h u r u m ˈi a
atawainua|ˌa t a w ˌa i n ˈu a
atawaita|ˌa t a w a ˈi t a
atawaitaje|ˌa t a w ˌa i t ˈa ɟ e
atawajilia|ˌa t a w ˌa ɟ i l ˈi a
atawajulisha|ˌa t a w ˌa ɟ u l ˈi ʃ a
atawakemea|ˌa t a w ˌa k e m ˈe a
atawakusanya|ˌa t a w ˌa k u s ˈa ɲ a
atawakuta|ˌa t a w a k ˈu t a
atawakutanisha|ˌa t a w ˌa k u t a n ˈi ʃ a
atawala|ˌa t a w ˈa l a
atawalapo|ˌa t a w a l ˈa p o
atawalaye|ˌa t a w a l ˈa j e
atawale|ˌa t a w ˈa l e
atawalipa|ˌa t a w a l ˈi p a
atawandishwa|ˌa t a w a n d ˈi ʃ w a
atawanyaye|ˌa t a w a ɲ ˈa j e
atawaogopa|ˌa t a w ˌa o ɡ ˈo p a
atawaokoa|ˌa t a w ˌa o k ˈo a
atawaokoana|ˌa t a w ˌa o k o ˈa n a
atawaondolea|ˌa t a w ˌa o n d o l ˈe a
atawaonea|ˌa t a w ˌa o n ˈe a
atawaongoza|ˌa t a w ˌa o ŋ ɡ ˈo z a
atawaongozang'ombe|ˌa t a w ˌa o ŋ ɡ ˌo z a ŋ ˈo m b e
atawaonya|ˌa t a w a ˈo ɲ a
atawaonyesha|ˌa t a w ˌa o ɲ ˈe ʃ a
atawapa|ˌa t a w ˈa p a
atawapatia|ˌa t a w ˌa p a t ˈi a
atawapelekea|ˌa t a w ˌa p e l e k ˈe a
atawapeni|ˌa t a w a p ˈe n i
atawapiga|ˌa t a w a p ˈi ɡ a
atawapigia|ˌa t a w ˌa p i ɡ ˈi a
atawarejeza|ˌa t a w ˌa r e ɟ ˈe z a
atawasikizisha|ˌa t a w ˌa s i k i z ˈi ʃ a
atawasili|ˌa t a w a s ˈi l i
atawatangulia|ˌa t a w ˌa t a ŋ ɡ u l ˈi a
atawatawala|ˌa t a w ˌa t a w ˈa l a
atawateka|ˌa t a w a t ˈe k a
atawatenda|ˌa t a w a t ˈe n d a
atawatendeje|ˌa t a w ˌa t e n d ˈe ɟ e
atawatetea|ˌa t a w ˌa t e t ˈe a
atawatia|ˌa t a w a t ˈi a
atawatolea|ˌa t a w ˌa t o l ˈe a
atawatoza|ˌa t a w a t ˈo z a
atawatwaa|ˌa t a w a t w ˈa a
atawatwekea|ˌa t a w ˌa t w e k ˈe a
atawaua|ˌa t a w a ˈu a
atawaweka|ˌa t a w a w ˈe k a
atawezaje|ˌa t a w e z ˈa ɟ e
atayachukua|ˌa t a j ˌa tʃ u k ˈu a
atayakata|ˌa t a j a k ˈa t a
atayakemea|ˌa t a j ˌa k e m ˈe a
atayanyosha|ˌa t a j a ɲ ˈo ʃ a
atayapiga|ˌa t a j a p ˈi ɡ a
atayasikia|ˌa t a j ˌa s i k ˈi a
atayataka|ˌa t a j a t ˈa k a
atayateka|ˌa t a j a t ˈe k a
atayateketeza|ˌa t a j ˌa t e k e t ˈe z a
atayatenda|ˌa t a j a t ˈe n d a
atayatimiza|ˌa t a j ˌa t i m ˈi z a
atazaa|ˌa t a z ˈa a
atazaliwa|ˌa t a z a l ˈi w a
atazidi|ˌa t a z ˈi d i
atazidishiwa|ˌa t a z ˌi d i ʃ ˈi w a
atazidishiwakilichotarajiwa|ˌa t a z ˌi d i ʃ ˌi w a k ˌi l i tʃ ˌo t a r a ɟ ˈi w a
atazitupilia|ˌa t a z ˌi t u p i l ˈi a
ateist|a t ˈe i s t
atekaye|ˌa t e k ˈa j e
ateke|a t ˈe k e
atekwa|a t ˈe k w a
atenda|a t ˈe n d a
atendaye|ˌa t e n d ˈa j e
atende|a t ˈe n d e
ateswaye|ˌa t e s w ˈa j e
atetaye|ˌa t e t ˈa j e
atete|a t ˈe t e
atetemekaye|ˌa t e t ˌe m e k ˈa j e
ateuliwe|ˌa t e u l ˈi w e
athaki|a θ ˈa k i
athari|a θ ˈa r i
athi|ˈa θ i
athibitike|ˌa θ i b i t ˈi k e
athira|a θ ˈi r a
athletico|ˌa θ l e t ˈi k o
ati|ˈa t i
atiaye|ˌa t i ˈa j e
atiyevitiisha|ˌa t i j ˌe v i t i ˈi ʃ a
atlantic|a t l ˈa n t i k
atlantikini|ˌa t l a n t i k ˈi n i
atlas|ˈa t l a s
atletisk|a t l ˈe t i s k
atm|ˈa t m
atmosfär|a t  m ˈo s f a r
atmosfären|ˌa t  m o s f ˈa r e n
atoa|a t ˈo a
atoaye|ˌa t o ˈa j e
atoe|a t ˈo e
atoka|a t ˈo k a
atokaye|ˌa t o k ˈa j e
atoke|a t ˈo k e
atomerna|ˌa t o m ˈe r n a
atomi|a t ˈo m i
atomia|ˌa t o m ˈi a
atomu|a t ˈo m u
atozaye|ˌa t o z ˈa j e
atp|ˈa t p
att|ˈa t t
attack|ˈa t t a k k
attacken|a t t ˈa k k e n
attackerade|ˌa t t a k  k e r ˈa d e
attan|ˈa t t a n
attentatet|ˌa t t e n t ˈa t e t
attityden|a t t ˈi t j d e n
attractions|ˌa t t  r a k t ˈi o n s
attribut|a t t  r ˈi b u t
atuachie|ˌa t u a tʃ ˈi e
atuambie|ˌa t u a m b ˈi e
atuamue|ˌa t u a m ˈu e
atuamuru|ˌa t u a m ˈu r u
atubuye|ˌa t u b ˈu j e
atuingilie|ˌa t u ˌi ŋ ɡ i l ˈi e
atujaalie|ˌa t u ɟ ˌa a l ˈi e
atujuaye|ˌa t u ɟ u ˈa j e
atukuzwe|ˌa t u k ˈu z w e
atumikaye|ˌa t u m i k ˈa j e
atunze|a t ˈu n z e
atuonaye|ˌa t u o n ˈa j e
atupaye|ˌa t u p ˈa j e
atupwapo|ˌa t u p w ˈa p o
atusaidie|ˌa t u s ˌa i d ˈi e
atutawale|ˌa t u t a w ˈa l e
atutolee|ˌa t u t o l ˈe e
atutumikie|ˌa t u t ˌu m i k ˈi e
atwaaye|ˌa t w a ˈa j e
au|ˈa u
auachaye|ˌa u a tʃ ˈa j e
auambiaye|ˌa u ˌa m b i ˈa j e
auberginen|ˌa u b e r ɡ ˈi n e n
auburudishe|ˌa u b ˌu r u d ˈi ʃ e
auchukue|ˌa u tʃ u k ˈu e
audhihirishe|ˌa u ð ˌi h i r ˈi ʃ e
audiovisuell|ˌa u d ˌi o v i s ˈu e l l
audition|ˌa u d i t ˈi o n
auer|a ˈu e r
aufinyangaye|ˌa u f ˌi ɲ a ŋ ɡ ˈa j e
aufurahiaye|ˌa u f ˌu r a h i ˈa j e
augsburgskas|ˌa u ɡ s b ˈu r ɡ s k a s
augue|ˌa u ɡ ˈu e
august|a ˈu ɡ u s t
august_malmsgatan|a ˈu ɡ u s t  m a l  m s ɡ ˈa t a n
augusti|ˌa u ɡ ˈu s t i
augustidagarna|ˌa u ɡ ˌu s t i d a ɡ ˈa r n a
augustino|ˌa u ɡ u s t ˈi n o
augusto|ˌa u ɡ ˈu s t o
augustson|ˌa u ɡ ˈu s t s o n
auinuaye|ˌa u ˌi n u ˈa j e
aujua|ˌa u ɟ ˈu a
aujuae|ˌa u ɟ u ˈa e
aujuaye|ˌa u ɟ u ˈa j e
auktionen|ˌa u k t i ˈo n e n
auktorisation|ˌa u k t ˌo r i s a t ˈi o n
auktoritet|ˌa u k t o r ˈi t e t
auktoritärt|ˌa u k t o r ˈi t a r t
auktorskapets|ˌa u k t o r s  k ˈa p e t s
auleta|ˌa u l ˈe t a
auli|a ˈu l i
aumbike|ˌa u m b ˈi k e
aune|a ˈu n e
aunenavyo|ˌa u n e n ˈa v j o
aunoavyo|ˌa u n o ˈa v j o
auokoe|ˌa u o k ˈo e
auone|ˌa u ˈo n e
aupendao|ˌa u p e n d ˈa o
aupendezaye|ˌa u p ˌe n d e z ˈa j e
aura|a ˈu r a
aushusha|ˌa u ʃ ˈu ʃ a
austin|a ˈu s t i n
austiralia|ˌa u s t ˌi r a l ˈi a
australia|ˌa u s t  r a l ˈi a
australiensisk|ˌa u s t  r ˌa l i ˈe n s i s k
australiensiska|ˌa u s t  r ˌa l i e n s ˈi s k a
austria|ˌa u s t  r ˈi a
austrian|ˌa u s t  r ˈi a n
autangazaye|ˌa u t ˌa ŋ ɡ a z ˈa j e
autenticitet|ˌa u t ˌe n t i k ˈi t e t
autikisao|ˌa u t ˌi k i s ˈa o
auto|a ˈu t o
autogirering|ˌa u t ˌo ɡ i r ˈe r i ŋ ɡ
autografer|ˌa u t o ɡ  r ˈa f e r
automat|ˌa u t ˈo m a t
automater|ˌa u t o m ˈa t e r
automaterna|ˌa u t ˌo m a t ˈe r n a
automatic|ˌa u t o m ˈa t i k
automatiska|ˌa u t ˌo m a t ˈi s k a
automatiskt|ˌa u t o m ˈa t i s k t
autonomare|ˌa u t ˌo n o m ˈa r e
autumie|ˌa u t u m ˈi e
autunzaye|ˌa u t u n z ˈa j e
auvutaye|ˌa u v u t ˈa j e
auzaye|ˌa u z ˈa j e
auze|a ˈu z e
auzuiaye|ˌa u z ˌu i ˈa j e
av|ˈa v
avancerade|ˌa v a n k e r ˈa d e
avbruten|a v b  r ˈu t e n
avbryt|ˈa v b r j t
avbryta|ˈa v b r j t a
avbrytas|ˈa v b r j t a s
avbryter|ˈa v b r j t e r
avbryts|ˈa v b r j t s
avbytare|a v b j t ˈa r e
avböjt|ˈa v b o ɟ t
avdelningen|ˌa v d e l n ˈi ŋ ɡ e n
avdo|ˈa v d o
avdragsrätten|ˌa v d  r a ɡ s  r ˈa t t e n
aveni|a v ˈe n i
avfallet|a v f ˈa l l e t
avfallshanteringen|ˌa v f a l l ʃ ˌa n t e r ˈi ŋ ɡ e n
avfirningen|ˌa v f i r n ˈi ŋ ɡ e n
avfolkningen|ˌa v f o l  k n ˈi ŋ ɡ e n
avfolkningsbygder|ˌa v f o l  k n ˈi ŋ ɡ s b j ɡ d e r
avfärdande|ˌa v f a r d ˈa n d e
avgaser|a v ɡ ˈa s e r
avgasröret|ˌa v ɡ a s  r ˈo r e t
avges|ˈa v ɡ e s
avgick|ˈa v ɡ i k k
avgifter|a v ɡ ˈi f t e r
avgjorde|a v ɡ ɟ ˈo r d e
avgrund|ˈa v ɡ  r u n d
avgränsning|a v ɡ  r ˈa n s n i ŋ ɡ
avgudar|a v ɡ ˈu d a r
avgå|ˈa v ɡ a
avgående|ˌa v ɡ a ˈe n d e
avgångsvederlag|ˌa v ɡ a ŋ ɡ s v e d ˈe r l a ɡ
avgöra|a v ɡ ˈo r a
avgörande|ˌa v ɡ o r ˈa n d e
avgöras|a v ɡ ˈo r a s
avgörs|ˈa v ɡ o r s
avhandlas|a v h ˈa n d l a s
avhåller|a v h ˈa l l e r
aviavgift|ˌa v i ˈa v ɡ i f t
aviitaye|ˌa v i i t ˈa j e
avikusanyavyo|ˌa v i k ˌu s a ɲ ˈa v j o
avirgan|a v ˈi r ɡ a n
avknips|ˈa v k n i p s
avkriminaliserats|ˌa v  k  r i m ˌi n a l i s ˈe r a t s
avlastar|a v l ˈa s t a r
avleverera|ˌa v l e v e r ˈe r a
avloppsanläggningar|ˌa v l o p p s ˌa n l a ɡ ɡ n ˈi ŋ ɡ a r
avloppsvattnet|ˌa v l o p p s v ˈa t t n e t
avlägga|a v l ˈa ɡ ɡ a
avlägsna|a v l ˈa ɡ s n a
avlöser|a v l ˈo s e r
avsaknad|a v s ˈa k n a d
avsaknaden|ˌa v s a k n ˈa d e n
avsatt|ˈa v s a t t
avsattes|a v s ˈa t t e s
avseenden|ˌa v s e ˈe n d e n
avser|ˈa v s e r
avses|ˈa v s e s
avsett|ˈa v s e t t
avsevärt|a v s ˈe v a r t
avsikten|a v s ˈi k t e n
avsiktligt|a v s ˈi k t l i ɡ t
avskaffas|a v s  k ˈa f f a s
avskedad|a v s  k ˈe d a d
avskedats|a v s  k ˈe d a t s
avskedsmottagning|ˌa v s  k e d s  m o t t ˈa ɡ n i ŋ ɡ
avskedsparty|a v s  k ˈe d s p a r t j
avskurna|a v s  k ˈu r n a
avsky|ˈa v s k j
avskydde|ˈa v s  k j d d e
avskyr|ˈa v s k j r
avslappningen|ˌa v s l a p p n ˈi ŋ ɡ e n
avsluta|a v s l ˈu t a
avslutande|ˌa v s l u t ˈa n d e
avslutas|a v s l ˈu t a s
avslutat|a v s l ˈu t a t
avslå|ˈa v s l a
avslöja|a v s l ˈo ɟ a
avslöjas|a v s l ˈo ɟ a s
avspeglar|a v s p ˈe ɡ l a r
avspeglat|a v s p ˈe ɡ l a t
avspärrad|a v s p ˈa r r a d
avstämning|a v s t ˈa m n i ŋ ɡ
avstå|ˈa v s t a
avstånd|ˈa v s t a n d
avståndet|a v s t ˈa n d e t
avståndstagande|ˌa v s t a n d s t a ɡ ˈa n d e
avsändarkontot|ˌa v s a n d a r  k ˈo n t o t
avtal|ˈa v t a l
avtalade|ˌa v t a l ˈa d e
avtalet|a v t ˈa l e t
avtalets|a v t ˈa l e t s
avtalsenlig|ˌa v t a l s ˈe n l i ɡ
avtjänat|a v t ɟ ˈa n a t
avuaye|ˌa v u ˈa j e
avukie|ˌa v u k ˈi e
avukutaye|ˌa v u k u t ˈa j e
avumilie|ˌa v u m i l ˈi e
avunaye|ˌa v u n ˈa j e
avundsjuk|a v ˈu n d s ɟ u k
avunjaye|ˌa v u ɲ ɟ ˈa j e
avvakta|a v v ˈa k t a
avveckla|a v v ˈe k k l a
avverka|a v v ˈe r k a
avverkat|a v v ˈe r k a t
avvisas|a v v ˈi s a s
avvittringen|ˌa v v i t t  r ˈi ŋ ɡ e n
awaajiriye|ˌa w a ˌa ɟ i r ˈi j e
awaambia|ˌa w a a m b ˈi a
awaambie|ˌa w a a m b ˈi e
awaamuru|ˌa w a a m ˈu r u
awabatize|ˌa w a b a t ˈi z e
awachaguaye|ˌa w a tʃ ˌa ɡ u ˈa j e
awadh|ˈa w a ð
awafadhili|ˌa w a f a ð ˈi l i
awafanyie|ˌa w a f a ɲ ˈi e
awafichaye|ˌa w a f i tʃ ˈa j e
awafuatia|ˌa w a f ˌu a t ˈi a
awaguse|ˌa w a ɡ ˈu s e
awahukumu|ˌa w a h u k ˈu m u
awahukumuye|ˌa w a h ˌu k u m ˈu j e
awahurumiaye|ˌa w a h ˌu r u m i ˈa j e
awajalie|ˌa w a ɟ a l ˈi e
awajaribu|ˌa w a ɟ a r ˈi b u
awajaze|ˌa w a ɟ ˈa z e
awajua|ˌa w a ɟ ˈu a
awakai|ˌa w a k ˈa i
awakataaye|ˌa w a k ˌa t a ˈa j e
awaketishe|ˌa w a k e t ˈi ʃ e
awakomboe|ˌa w a k o m b ˈo e
awakusita|ˌa w a k u s ˈi t a
awali|a w ˈa l i
awalinde|ˌa w a l ˈi n d e
awalipaye|ˌa w a l i p ˈa j e
awalishe|ˌa w a l ˈi ʃ e
awamiliki|ˌa w a m i l ˈi k i
awamu|a w ˈa m u
awanyimaye|ˌa w a ɲ i m ˈa j e
awaokoaye|ˌa w a ˌo k o ˈa j e
awaondolea|ˌa w a ˌo n d o l ˈe a
awaoneaye|ˌa w a ˌo n e ˈa j e
awaonee|ˌa w a o n ˈe e
awape|a w ˈa p e
awapo|a w ˈa p o
awaponyaye|ˌa w a p o ɲ ˈa j e
awapotezaye|ˌa w a p ˌo t e z ˈa j e
awapuzia|ˌa w a p u z ˈi a
awards|ˈa w a r d s
awarehemu|ˌa w a r e h ˈe m u
awarejeshe|ˌa w a r e ɟ ˈe ʃ e
awasalimu|ˌa w a s a l ˈi m u
awasambaratishe|ˌa w a s ˌa m b a r a t ˈi ʃ e
awashaye|ˌa w a ʃ ˈa j e
awashuhudie|ˌa w a ʃ ˌu h u d ˈi e
awasikilizaye|ˌa w a s ˌi k i l i z ˈa j e
awasili|ˌa w a s ˈi l i
awasimulie|ˌa w a s ˌi m u l ˈi e
awasindikize|ˌa w a s ˌi n d i k ˈi z e
awatanguaye|ˌa w a t ˌa ŋ ɡ u ˈa j e
awatawalaye|ˌa w a t ˌa w a l ˈa j e
awatawale|ˌa w a t a w ˈa l e
awateteaye|ˌa w a t ˌe t e ˈa j e
awatoa|ˌa w a t ˈo a
awatukane|ˌa w a t u k ˈa n e
awavushe|ˌa w a v ˈu ʃ e
awaye|a w ˈa j e
awe|ˈa w e
aweka|a w ˈe k a
awepo|a w ˈe p o
aweza|a w ˈe z a
awezaje|ˌa w e z ˈa ɟ e
awezalo|ˌa w e z ˈa l o
awezaye|ˌa w e z ˈa j e
awezayo|ˌa w e z ˈa j o
aweze|a w ˈe z e
awilo|a w ˈi l o
awindavyo|ˌa w i n d ˈa v j o
awindwe|a w ˈi n d w e
awmu|ˈa w m u
aww|ˈa w w
axel|ˈa k s e l
axeln|ˈa k s e l n
axelväskan|ˌa k s e l v ˈa s k a n
axlar|ˈa k s l a r
axlarna|a k s l ˈa r n a
axmarby|ˈa k s  m a r b j
ayafanye|ˌa j a f ˈa ɲ e
ayafikie|ˌa j a f i k ˈi e
ayajue|ˌa j a ɟ ˈu e
ayajuewatu|ˌa j a ɟ ˌu e w ˈa t u
ayala|a j ˈa l a
ayaloni|ˌa j a l ˈo n i
ayanuki|ˌa j a n ˈu k i
ayaonayo|ˌa j a o n ˈa j o
ayaone|ˌa j a ˈo n e
ayashikaye|ˌa j a ʃ i k ˈa j e
ayasikiayo|ˌa j a s ˌi k i ˈa j o
ayatajaye|ˌa j a t a ɟ ˈa j e
ayatangaze|ˌa j a t a ŋ ɡ ˈa z e
ayatangazenaye|ˌa j a t ˌa ŋ ɡ a z e n ˈa j e
ayatazamaye|ˌa j a t ˌa z a m ˈa j e
ayatendaye|ˌa j a t e n d ˈa j e
ayathi|a j ˈa θ i
ayatolla|ˌa j a t ˈo l l a
ayer|ˈa j e r
ayew|ˈa j e w
ayman|ˈa j m a n
azaaye|ˌa z a ˈa j e
azaliwapo|ˌa z a l i w ˈa p o
azam|ˈa z a m
azama|a z ˈa m a
azamana|ˌa z a m ˈa n a
azame|a z ˈa m e
azameni|ˌa z a m ˈe n i
azeka|a z ˈe k a
azerbaijan|ˌa z e r b a ˈi ɟ a n
azibaye|ˌa z i b ˈa j e
azidi|a z ˈi d i
azidishaye|ˌa z i d i ʃ ˈa j e
aziita|ˌa z i ˈi t a
azikiwe|ˌa z i k ˈi w e
azikumbuke|ˌa z i k u m b ˈu k e
azikwe|a z ˈi k w e
azimo|a z ˈi m o
azini|a z ˈi n i
aziniye|ˌa z i n ˈi j e
azishikaye|ˌa z i ʃ i k ˈa j e
azishike|ˌa z i ʃ ˈi k e
azitandazaye|ˌa z i t ˌa n d a z ˈa j e
azitegemeaye|ˌa z i t ˌe ɡ e m e ˈa j e
azithibitishe|ˌa z i θ ˌi b i t ˈi ʃ e
aziungamaye|ˌa z i ˌu ŋ ɡ a m ˈa j e
azma|ˈa z m a
aznavour|ˌa z n a v ˈo u r
azteca|a z t ˈe k a
azuiaye|ˌa z u i ˈa j e
azungumze|ˌa z u ŋ ɡ ˈu m z e
azzam|ˈa z z a m
b|b ˈi
baa|b ˈa a
baada|b a ˈa d a
baadae|b ˌa a d ˈa e
baadala|b ˌa a d ˈa l a
baadaye|b ˌa a d ˈa j e
baadhi|b a ˈa ð i
baba|b ˈa b a
babake|b a b ˈa k e
babangu|b a b ˈa ŋ ɡ u
babati|b a b ˈa t i
babaye|b a b ˈa j e
babayeyeye|b ˌa b a j e j ˈe j e
babblar|b ˈa b b l a r
babeli|b a b ˈe l i
babewatoto|b ˌa b e w a t ˈo t o
babu|b ˈa b u
baby|b ˈa b j
babylon|b ˈa b j l o n
babyn|b ˈa b j n
bacillus|b a k ˈi l l u s
backa|b ˈa k k a
backa_undan|b ˈa k k a  ˈu n d a n
backar|b ˈa k k a r
backarna|b a k  k ˈa r n a
backen|b ˈa k k e n
backspegeln|b a k  k s p ˈe ɡ e l n
baconskivor|b ˌa k o n s  k ˈi v o r
bad|b ˈa d
bada|b ˈa d a
badaa|b a d ˈa a
badae|b a d ˈa e
badahi|b a d ˈa h i
badala|b a d ˈa l a
badat|b ˈa d a t
badhi|b ˈa ð i
badiliko|b ˌa d i l ˈi k o
badilisha|b ˌa d i l ˈi ʃ a
bado|b ˈa d o
badrummet|b a d  r ˈu m m e t
baech|b ˈa e tʃ
bafta|b ˈa f t a
baftana|b a f t ˈa n a
bafu|b ˈa f u
bafuni|b a f ˈu n i
bagagehantering|b ˌa ɡ a ɡ ˌe h a n t ˈe r i ŋ ɡ
bagageluckan|b ˌa ɡ a ɡ e l ˈu k k a n
bagaget|b a ɡ ˈa ɡ e t
bagamoyo|b ˌa ɡ a m ˈo j o
baganda|b a ɡ ˈa n d a
bagare|b a ɡ ˈa r e
bageriet|b ˌa ɡ e r ˈi e t
bageriidkarnas|b ˌa ɡ e r ˌi i d  k ˈa r n a s
bagi|b ˈa ɡ i
bagirmi|b a ɡ ˈi r m i
bah|b ˈa h
bahari|b a h ˈa r i
baharinaye|b ˌa h a r i n ˈa j e
baharini|b ˌa h a r ˈi n i
baharinibasi|b ˌa h a r ˌi n i b ˈa s i
baharis|b a h ˈa r i s
baharitoka|b ˌa h a r i t ˈo k a
bahasha|b a h ˈa ʃ a
bahati|b a h ˈa t i
bahi|b ˈa h i
bahima|b a h ˈi m a
baiana|b ˌa i ˈa n a
baikoma|b ˌa i k ˈo m a
baina|b a ˈi n a
bairu|b a ˈi r u
baisikeli|b ˌa i s i k ˈe l i
baiskeli|b ˌa i s  k ˈe l i
bajeti|b a ɟ ˈe t i
bak|b ˈa k
bakari|b a k ˈa r i
baker|b ˈa k e r
bakgrund|b ˈa k ɡ  r u n d
bakgrunden|b a k ɡ  r ˈu n d e n
bakgrundsfärgen|b ˌa k ɡ  r u n d s f ˈa r ɡ e n
bakgården|b a k ɡ ˈa r d e n
bakhresa|b a x  r ˈe s a
bakia|b a k ˈi a
baklucka|b a k l ˈu k k a
bakluckan|b a k l ˈu k k a n
bakom|b ˈa k o m
bakomliggande|b ˌa k o m l i ɡ ɡ ˈa n d e
bakora|b a k ˈo r a
bakplåt|b ˈa k p l a t
bakpulver|b a k p ˈu l v e r
bakpå|b ˈa k p a
bakrutan|b a k  r ˈu t a n
bakteria|b ˌa k t e r ˈi a
bakteriekulturer|b ˌa k t e r ˌi e k u l t ˈu r e r
bakuba|b a k ˈu b a
bakugnen|b a k ˈu ɡ n e n
bakuli|b a k ˈu l i
bakverket|b a k v ˈe r k e t
bakåt|b ˈa k a t
bakåtsluttande|b ˌa k a t s l u t t ˈa n d e
