aachen|AA K EH0 N
gryta|G RRR Y UW1 T AE
gräddbulle|G RRR EH D B UH L EH
gräddfil|G RRR EH D F IY L
gräsand|G R EH S AE N D AE N D
grät|G RRR EH T
gråben|G RRR OW0 B EH0 N
grågam|G RRR OW0 G AA M
grågås|G R OW0 G OW0 S
gråhakedopping|G R OW0 HH AA K EH D AO P IH NG
gråhäger|G RRR OW0 HH EH G EH RRR
gråspett|G RRR OW0 S P EH T
gråsäl|G RRR OW0 S EH L
gråt|G RRR OW0 T
gråtrut|G RRR OW0 T RRR UW T
grön|G RRR OE N
grönbena|G RRR OE N B EH0 N AE
grönkål|G RRR OE N K OW0 L
grönsångare|G RRR OE N S AO NG AE RRR EH
gröt|G RRR OE T
gubbe|G UH B EH
gud|G UW D
guding|G UW D IH NG
guds|G UH T S
gul|G UW L
gula|G UW L AE
guld|G UH L D
gullgosse|G UH L G AO S EH
gullviva|G UH L V IY V AE
gump|G UH M P
gungfly|G UH NG F L Y UW1
gurra|G UH RRR AE
guru|G UW RRR UH
guss|G UH Z
gym|Y M
gymma|Y M AE
gymnasium|Y M N AA S IH UH M
gyros|G Y UW1 RRR UH S
gäl|G EH L
gäri|G EH RRR IH
gärna|Y EH RRR N AE
gäst|Y EH S T
gästfri|Y EH S T F RRR IY
gästfrihet|Y EH S T F RRR IY HH EH0 T
gästgiveri|Y AE IH V EH RRR IY
gävle|Y EH V L EH
gå|G OW0
gång|G AO NG
gången|G AO NG EH0 N
gångjärn|G AO NG Y EH RRR N
gård|G OW0 RRR D
gås|G OW0 S
gåskarl|G OW0 S K AA RRR
gåstol|G OW0 S T UW L
gått|G AO T
gök|Y OE K
göktyta|Y OE K T Y UW1 T AE
göl|Y OE L
göra|G ER RRR AE
göran|Y OE RRR AE N
gördel|Y ER RRR D EH L
göt|G OE T
göteborg|Y ER T EH B AO RRR Y
göteborgska|Y ER T EH0 B AO RRR Y S K AE
gött|G ER T
ha|HH AA V AE
hade|HH AE D EH
haft|HH AE F T
hage|HH AA G EH
hagtorn|HH AA G T UW RRR N
haj|HH AE Y
hall|HH AE L
hallon|HH AE L AO N
hallå|HH AE L OW0
halmbock|HH AE L M B AO K
halmstad|HH L M S T AE D
halv|HH AE L V
halvlek|HH AE L V L EH0 K
hambo|HH AE M B UH
han|HH AE N
hand|HH AE N D
handikapp|HH AE N D IY K AE P
handskrift|HH AE N D S K RRR IH F T
handtryck|HH AE N D T RRR K
hans|HH AA N S
hantverk|HH AE N T V EH RRR K
har|HH AA RRR
hara|HH AA RRR AE
hat|HH AA T
hata|HH AA T AE
hatt|HH AE T
hav|HH AA V
havre|HH AA V RRR EH
havssula|HH AE V S UW L AE
havstrut|HH AE V S T RRR UW T
havsörn|HH AE V S OE RRR N
heat|HH IY T
hej|HH EH Y
hekto|HH EH K T UH
hel|HH EH0 L
helg|HH EH L Y
helga|HH EH L G AE
helig|HH EH0 L IH G
helium|HH EH0 L IH UH M
helsingborg|HH EH L S IH NG B AO RRR Y
helsingfors|HH EH L S IH NG F AO RRR S
helsingör|HH EH L S IH NG OE RRR
helvete|HH EH L V EH T EH
hem|HH EH M
hembränd|HH EH M B RRR EH N D
hembränt|HH EH M B RRR EH N T
hemester|HH EH M EH S T EH RRR
hemläxa|HH EH M L EH K S AE
hemmaplan|HH EH M AE P L AA N
hemul|HH EH0 M UW L
hen|HH EH N
henne|HH EH N EH
henom|HH EH N AO M
hens|HH EH N S
herbert|HH AE RRR B AE T
herdestund|HH EH0 RRR D EH S T UH N D
herr|HH EH RRR
herre|HH EH RRR EH
hertz|HH AE RRR T S
het|HH EH0 T
heta|HH EH0 T AE
hetvägg|HH EH0 T V EH G
hia|HH IY AE
hialös|HH IY AE L OE S
himalaya|HH IH M AA L AE Y AE
himalayagyllenmes|HH IY M AA L IH Y AE Y L EH N M EH0 S
hinsidan|HH IH N S IY D AE N
hispa|HH IH S P AE
hispig|HH IH S P IH G
hitta|HH IH T AE
hjord|Y UW D
hjort|Y UH RRR T
hjorta|Y UH RRR T AE
hjortron|Y UH T RRR AO N
hjul|Y UW L
hjälm|Y EH L M
hjälp|Y EH L P
hjälpa|Y EH L P AE
hjälte|Y EH L T EH
hjärna|Y EH N AE
hjärta|Y EH RRR T AE
hjärtinfarkt|Y EH RRR T IH N F AE RRR K T
hjärtlig|Y AE T L IH G
hockeyfrilla|HH AO K F RRR IH L AE
holm|HH AO L M EH
homofili|HH UW M UW F IY L IY
homosex|HH UW M UH S EH0 K S
hon|HH UH N
honom|HH AO N AO M
honung|HH OW0 N UH NG
hoppa|HH AO P AE
hoppeligen|HH AO P EH L IY G EH N
hor|HH UW RRR
hornuggla|HH UH RRR N UH G L AE
horoskop|HH UH RRR UH S K OW0 P
hos|HH UH S
hot|HH UW T
hotell|HH UH T EH L
hov|HH UW V
hud|HH UW D
hudsonspov|HH AA D S AO N S P UW V
huggmejsel|HH UH G M EH Y S EH L
humle|HH UH M L EH
hund|HH UH N D
hundra|HH UH N D RRR AE
hungrig|HH UH NG RRR IH G
hur|HH UW RRR
hurring|HH UH RRR IH NG
hus|HH UW S
husdjur|HH UW S Y UW RRR
husmanskost|HH UW S M AE N S K AO S T
hussvala|HH UW S S V AA L AE
hustru|HH UH S T RRR UW
huv|HH UW V
huvud|HH UW EH
huvudspråk|HH UW V UH D S P RRR OW0 K
hyf|HH Y UW1 F
hygglig|HH G L IH G
hylla|HH L AE
hyperdrift|HH Y UW1 P EH RRR D RRR IH F T
hyrkanmes|HH R K AE N M EH0 S
häftig|HH EH F T IH G
hägna|HH EH NG N AE
häl|HH EH L
häll|HH EH L
hällregn|HH EH L RRR EH NG N
här|HH AE RRR
häradshövding|HH AE RRR AE D S HH ER V D IH NG
häradsrätt|HH AE RRR AE D S RRR EH T
härför|HH AE RRR F OE RRR
härk|HH EH RRR K
härlig|HH EH RRR L IH G
härmsångare|HH EH RRR M S AO NG AE RRR EH
härold|HH EH RRR AO L D
håg|HH OW0 G
håla|HH OW0 L AE
håna|HH OW0 N AE
hår|HH OW0 RRR
hårdrockare|HH OW0 RRR D RRR OW0 K AE RRR EH
hårt|HH OW0 T
håv|HH OW0 V
hö|HH OE
höbal|HH OE B AA L
hög|HH OE G
höga|HH OE G AE
högkvarter|HH OE G K V AE RRR T EH0 RRR
högljudd|HH OE G Y UH D
högljutt|HH OE G Y UH T
högsvenska|HH OE G S V EH N S K AE
högtid|HH ER K T IY D
hök|HH OE K
hölja|HH ER L Y AE
höna|HH OE N AE
höra|HH OE RRR AE
höst|HH ER S T
höstas|HH ER S T AE S
höstdagjämning|HH ER S T D AA G Y EH M N IH NG
i|IH
idissla|IY D IH S L AE
idrott|IY D RRR AO T
igelkott|IY G EH L K AO T
igenom|IH Y EH0 N AO M
ignorera|IH NG N UH RRR EH0 RRR AE
ihjäl|IH Y EH L
ihop|IH HH UW P
ikea|IH K AE
illamående|IH L AE M OW0 EH N D EH
illusion|IH L UH UW N
imperfekt|IH M P EH RRR F EH K T
in|IH N
inandning|IH N AE N D N IH NG
inbjudan|IH N B Y UW D AE N
indian|IH N D IH AA N
infinitiv|IH N F IH N IH T IY V
inga|IH NG AE
ingendera|IH NG EH N D EH0 RRR AE
ingenjör|IH N EH N Y OE RRR
ingenting|IH NG EH N T IH NG
inger|IH N Y EH0 RRR
inkapabel|IH N K AE P AA B EH L
inn|IH N
innan|IH N AE N
innanför|IH N AE N F OE RRR
insexnyckel|IH N S EH K S N K EH L
insjukna|IH N UW K N AE
inspektion|IH N S P EH K UW N
instruktion|IH N S T RRR UH K UW N
inte|IH N T EH
integral|IH N T EH G RRR AE L
internationell|IH N T EH RRR N AE T UH N EH L
internet|IH N T EH RRR N EH T
intervju|IH N T EH RRR V Y UW
intryck|IH N T RRR K
intyg|IH N T Y UW1 G
invändig|IH N V EH N D IH G
iriomotemes|IH R IH Y AO M AO T EH M EH0 S
irland|IH RRR L AE N D
irra|IH RRR AE
is|IY S
isabella|IH S AE B EH L AE
isabellatörnskata|IH S AE B EH L AE T OE RRR N S K AA T AE
ismås|IY S M OW0 S
israel|IH S RRR AE EH0 L
italien|IH T AO L IH AH0 N
ivar|IY V AE RRR
j|
ja|Y AA
jacka|Y AE K AE
jacke|Y AE K EH
jag|Y AA G
jaga|Y AA G AE
jak|Y AA K
jaktfalk|Y AE K T F AE L K
jalla|Y AE L L AE
jalusi|AE L UH S IY
jam|Y AA M
januari|Y AE N UH AA RRR IH
japan|Y AA P AE N
japanare|Y AE P AA N AE RRR EH
japansk|Y AE P AA N S K
japanska|Y AE P AA N S K AE
jargong|AE RRR G AO NG
jasmine|AE S M IY N
jason|Y AA S AO N
jennie|Y EH N IH
jenny|Y EH N
jerusalem|Y EH RRR UW S AE L EH M
jesuit|Y EH S UW IY T
jesus|Y EH0 S UH S
jiddra|Y IH D RRR AE
jo|Y UW
jocke|Y UH K EH
jod|Y AO D
johan|Y UH AE N
johanna|Y UH HH AE N AE
joint|Y AO IH N T
jojk|Y AO Y K
jojka|Y AO Y K AE
jojo|Y UH Y UH
jokk|Y AO K
jolle|Y AO L EH
jonas|Y UW N AE S
jonsson|Y UH N S AO N
jonte|Y AO N T EH
joppe|Y AO P EH0
jord|Y UW RRR D
jordafärd|Y UW RRR D AE F EH RRR D
jorden|Y UW RRR D EH N
jordgubbe|Y UW D G UH B EH
jorduggla|Y UH RRR D UH G L AE
jordvarg|Y UW D V AE RRR Y
jota|Y UW T AE
journal|UH N AA L
journalist|UH RRR N AE L IH S T
jox|Y UH K S
ju|Y UW
judetyska|Y UW D EH T S K AE
juice|Y UW S
jul|Y UW L
julas|Y UW L AE S
julgranskula|Y UW L G RRR AA N S K UW L AE
juli|Y UW L IH
julmust|Y UW L M UH S T
jungfrukälla|Y UW NG F RRR UW SH EH L AE
jungfrutrana|Y UH NG F R UH T R AA N AE
juni|Y UW N IH
jupiter|Y UW P IH T EH RRR
jury|Y UH RRR
juver|Y UW V EH RRR
jägmästare|Y EH G M EH S T AE RRR EH
jämte|Y EH M T EH
järn|Y EH RRR N
järnvägsstation|Y AE N V EH G S S T AE UW N
järpe|Y EH R P EH
järv|Y AE RRR V
jäst|Y EH S T
jävel|Y EH V EH L
jävig|Y EH V IH G
jönköping|Y UH1 N T SH UH1 P IH NG
k|SH
kackig|K AE K IH G
kadmium|K AE D M IH UH M
kaffe|K AE F EH
kaffegök|K AE F EH0 Y OE K
kaffepumla|K AE F EH P UH M L AE
kafé|K AE F EH0
kajak|K AE Y AA K
kaka|K AA K AE
kakao|K AA K AE UH
kal|K AA L
kalabalik|K AE L AE B AE L IY K
kalcium|K AE L S IH UH M
kalifornien|K AE L IH F UW RRR N IH EH N
kalium|K AA L IH UH M
kalk|K AE L K
kalkon|K AE L K UW N
kall|K AE L
kalla|K AE L AE
kalle|K AE L EH
kallprat|K AE L P RRR AA T
kalmarit|K AE L M AE RRR IY T
kam|K AE M
kamera|K AA M EH RRR AE
kan|K AE N
kanadagås|K AE N AE D AE G OW0 S
kanadames|K AE N AE D AE M EH0 S
kanadensisk|K AE N AE D EH N S IH S K
kanelbulle|K AE N EH0 L B UH L EH
kanelsnäcka|K AE N EH0 L S N EH K AE
kanot|K AE N UW T
kanske|K AE N EH
kaos|K AA UH S
kapmes|K AA P M EH0 S
kappa|K AE P AE
kar|K AA RRR
karbin|K AE RRR B IY N
kardinal|K AE D IH N AO L
karina|K AE RRR IY N AE
karl|K AA RRR L
karolina|K AE RRR UH L IY N AE
karolinasumphöna|K AE R UH L IY N AE S UH M P HH OE N AE
karolinatita|K AE R UH L IY N AE T IY T AE
karta|K AA RRR T AE
kasse|K AE S EH
kasus|K AA S UH S
katarina|K AE T AE RRR IY N AE
katod|K AE T UW D
katrina|K AE T RRR IY N AE
katt|K AE T
kedja|SH EH D Y AE
keff|K EH F
kejsarörn|SH EH Y S AE RRR OE RRR N
kemi|SH EH M IY
keramik|SH EH RRR AE M IY K
kerstin|SH AE SH T IH N
ketchup|K EH T SH UH P
kex|SH EH K S
kidnappa|K IY D N AE P AE
kika|SH IY K AE
kil|SH IY L
kille|SH IH L EH
kilo|SH IY L UH
kilometer|SH IH L UH M EH0 T EH RRR
kina|SH IY N AE
kind|SH IH N D
kinders|SH IH N D EH RRR S
kines|SH IH N EH0 S
kinesa|SH IH N EH0 S AE
kinesisk|SH IH N EH0 S IH S K
kinesiska|SH IH N EH0 S IH S K AE
kiosk|SH AO S K
kioskmongo|SH AO S K M AO NG G UH
kioskvältare|SH OW0 S K V EH L T AE RRR EH
kirra|K IH RRR AE
kirurg|SH IH RRR UH RRR G
kis|HH IY S
kisel|SH IY S EH L
kiss|K IH S
kissa|K IH S AE
kista|SH IH S T AE
kitsch|K IH T
kitschig|K IH T IH G
kittel|SH IH T EH L
kjell|SH EH L
kjellberg|SH EH L B AE RRR Y
kjol|SH UW L
kladdkaka|K L AE D K AA K AE
klandra|K L AE N D RRR AE
klar|K L AA RRR
klarhet|K L AA RRR HH EH0 T
klinga|K L IH NG AE
klingonska|K L IH NG AO N S K AE
klintbergare|K L IY N T B EH RRR Y AE RRR EH0
klippduva|K L IH P D UW V AE
klippkaja|K L IH P K AE Y AE
klippsvala|K L IH P S V AA L AE
klittra|K L IH T RRR AE
klocka|K L AO K AE
klon|K L UW N
klonken|K L AO NG K EH N
klor|K L UW RRR
kläde|K L EH D EH
kläder|K L EH D EH RRR
klädhängare|K L EH D HH EH NG AE RRR EH
klå|K L OW0
klår|K L OW0 RRR
klökas|K L OE K AE S
klösa|K L OE S AE
klövdjur|K L OE V Y UW RRR
knaffel|K N AE F EH L
knapp|K N AE P
knappologi|K N AE P UH L UH G IY
knark|K N AE RRR K
knarka|K N AE RRR K AE
kned|K N EH0 D
kniv|K N IY V
knoparmoj|K N UW P AE RRR M AO Y
knubbsäl|K N UH B S EH L
knulla|K N UH L AE
knut|K N UW T
knuten|K N UW T EH N
knä|K N EH
knåda|K N OW0 D AE
knô|K N ER
knö|K N ER
knöl|K N OE L
knölsvan|K N OE L S V AA N
knölsvärta|K N OE L S V EH T AE
ko|K UW
kobolt|K UW B AO L T
koboltmes|K UW B AO L T M EH0 S
kod|K UW D
kofta|K AO F T AE
kol|K OW0 L
kolla|K AO L AE
kolymasnäppa|K AO L Y UW1 M AE S N EH P AE
kom|K AO M
komma|K AO M AE
kommer|K AO M EH RRR
kompis|K AO M P IH S
komplett|K AO M P L EH T
kon|K UW N
kondition|K AO N D IH UW N
konflikt|K AO N F L IH K T
konspiration|K AO N S P IH RRR AE UW N
konspirationsteoretiker|K AO N S P IH RRR AE UW N S T EH UH RRR EH0 T IH K EH RRR
konspirationsteori|K AO N S P IH RRR AE UW N S T EH UH RRR IY
konst|K AO N S T
konstbefrukta|K AO N S T B EH F RRR UH K T AE
konstbevattna|K AO N S T B EH V AE T N AE
konstbevattning|K AO N S T B EH V AE T N IH NG
konstfiber|K AO N S T F IY B EH RRR
konstgjord|K AO N S T Y UH RRR D
konstläder|K AO N S T L EH D EH RRR
konstruktion|K AO N S T RRR UH K UW N
konsumtion|K AO N S UH M UW N
kontra|K AO N T RRR AE
kontrast|K UH N T RRR AE S T
konung|K OW0 N UH NG
konungarike|K OW0 N UH NG AE RRR IY K EH
kopia|K UH P IY AE
kopp|K AO P
koppar|K AO P AE RRR
kopparand|K AO P AE R AE N D
koppling|K AO P L IH NG
kopplingskåpa|K AO P L IH NG S K OW0 P AE
kor|K UW RRR
korea|K UH RRR EH0 AE
korean|K UH RRR EH0 AE N
korg|K AO RRR Y
kornknarr|K UW N K N AE R
korp|K AO RRR P
korshänvisning|K AO RRR S HH EH N V IY S N IH NG
kort|K UH RRR T
korttålärka|K AO RRR T OW0 L EH RRR K AE
kost|K AO S T
kostpris|K AO S T P RRR IY S
koxik|K UH K S IH K
koyot|K UH Y OW0 T
krabba|K RRR AE B AE
krabbis|K RRR AA B IY S
kraftfull|K RRR AE F T F UH L
kragtrapp|K R AA G T R AE P
kran|K RRR AA N
krans|K RRR AA N S
krav|K R AA V
kretensisk|K RRR EH T EH N S IH S K
kretsschema|K RRR EH T S EH0 M AE
krig|K RRR IY G
kristianstad|K RRR IH AE N S T AE
kristina|K RRR IH S T IY N AE
krita|K RRR IY T AE
krog|K RRR UW G
krokan|K RRR UH K AA N
krokben|K RRR UW K B EH0 N
krom|K RRR OW0 M
krona|K RRR UW N AE
kronor|K RRR UW N UH RRR
kropp|K RRR AO P
kruka|K RRR UW K AE
krusbär|K RRR UW S B EH RRR
krut|K RRR UW T
kräftskiva|K RRR EH F T IY V AE
kröka|K RRR OE K AE
kuba|K UW B AE
kudde|K UH D D EH
kuf|K UW F
kuk|K UW K
kuksugare|K UW K S UW G AE RRR EH
kul|K UW L
kuling|K UW L IH NG
kull|K UH L
kulör|K UH L OE RRR
kunde|K UH N D AH0
kung|K UH NG
kungsfiskare|K UH NG S F IH S K AE RRR EH
kungsfågel|K UH NG S F OW0 G EH L
kungsfågelsångare|K UH NG S F OW0 G EH L S AO NG AE RRR EH
kunna|K UH N AE
kur|K UW RRR
kurr|K UH RRR
kurs|K UW RRR S
kuse|K UW S EH
kusin|K UH S IY N
kustlabb|K UH S T L AE B
kustpipare|K UH S T P IY P AE R EH
kustsnäppa|K UH S T S N EH P AE
kut|K UW T
kuta|K UW T AE
kuttrasju|K UH T RRR AE UW
kuvert|K UH V EH RRR
kvalitet|K V AE L IH T EH0
kvar|K V AA RRR
kvarg|K V AE RRR Y
kvart|K V AA RRR T
kvarter|K V AE RRR T EH0 RRR
kvasar|K V AE S AA RRR
kvicksilver|K V IH K S IH L V EH RRR
kvinna|K V IH N AE
kvinnan|K V IH N AE N
kvinnor|K V IH N UH RRR
kvist|K V IH S T
kvitta|K V IH T AE
kvälja|K V EH L Y AE
kväll|K V EH L
kvänska|K V EH N S K AE
kväve|K V EH V EH
kyckling|SH K L IH NG
kyrka|SH RRR K AE
kysk|SH S K
kyskhet|SH S K HH EH0 T
kyss|SH S
kyssa|SH S AE
käck|SH EH K
käftis|SH EH F T IH S
käk|SH EH K
käka|SH EH K AE
käke|SH EH K EH
källa|SH EH L AE
källare|SH EH L AE RRR EH
källing|SH EH L IH NG
känd|SH EH N D
känga|SH EH NG AE
känguru|SH EH NG G UH RRR UH
känna|SH EH N N AE
kännspak|SH EH N S P AA K
känsla|SH EH N S L AE
känt|SH EH N T
käpp|SH EH P
kär|SH EH RRR
kära|SH EH RRR AE
kärl|SH EH RRR L
kärlek|SH EH RRR L EH0 K
kärrhök|SH EH RRR HH OE K
kärrsnäppa|SH EH RRR S N EH P AE
kärrsångare|SH EH RRR S AO NG AE RRR EH
kärrtärna|SH EH RRR T UH1 RRR N AE
kå|K OW0
kåda|K OW0 D AE
kåk|K OW0 K
kål|K OW0 L
kålrabbi|K OW0 L RRR AE B IH
kår|K OW0 RRR
kåt|K OW0 T
kåta|K OW0 T AE
kö|K OE
köa|K OE AE
kök|SH OE K
kökkenmödding|K ER K EH N M ER D IH NG
köl|SH OE L
kölna|SH OE L N AE
kön|SH OE N
köp|SH OE P
köpa|SH OE P AE
köpenhamn|SH OE P EH N HH AE M N
köpstad|SH OE P S T AA D
kör|SH ER RRR
köra|SH ER RRR AE
körandas|K OE RRR AE N D AE S
körandning|K OE RRR AE N D N IH NG
kött|SH ER T
köttbullar|SH ER T B UH L AE RRR
köttbulle|SH ER T B UH L EH
köttig|SH ER T IH G
köttslig|SH ER T S L IH G
la|L AA
laboratorium|L AE B UH RRR AE T UW RRR IH UH M
lade|L AA D EH
ladugård|L AA D UH G OW0 RRR D
lag|L AA G
lager|L AA G EH RRR
lagom|L AA G AO M
lagt|L AE K T
lagts|L AE K T S
lagård|L AA G AO D
laja|L AE Y AE
lajbans|L AE Y B AE N S
lakan|AA K AE N
lakrits|L AA K RRR IH S
lamm|L AE M
lammgam|L AE M G AA M
lammkött|L AE M SH ER T
land|L AE N D
landkrabba|L AE N D K RRR AE B AE
landskapsdjur|L AE N D S K AA P S Y UW RRR
landskronit|L AE N D S K RRR UH N IY T
lantbrevbärare|L AE N T B RRR EH0 V B EH RRR AE RRR EH
lanterna|L AE N T AE N AE
lappmes|L AE P M EH0 S
lappuggla|L AE P UH G L AE
larv|L AE RRR V
lasagne|L AE S AE N Y
lastförskjutningsnät|L AE S T F OE RRR UW T N IH NG S N EH T
lattja|L AE T SH AE
lattjo|L AE T SH UH
lavoar|L AE V W AE RH
lavskrika|L AA V S K RRR IY K AE
lax|L AE K S
layout|L EH Y AE UH T
le|L EH0
lealös|L EH0 AE L OE S
leddjur|L EH0 D Y UW RRR
ledig|L EH0 D IH G
ledsen|L EH S AH0 N
ledsna|L EH S N AE
leende|L EH0 EH N D EH
legend|L EH0 G EH0 N D
legitim|L EH G IH T IY M
lego|L EH0 G UW
leidenflaska|L EH Y D EH N F L AE S K AE
leif|L EH Y F
lemur|L EH M UW RRR
lesbisk|L EH S B IH S K
less|L EH S
lettiska|L EH T IH S K AE
lev|L EH0 V
leva|L EH0 V AE
leverpastej|L EH0 V EH RRR P AE S T EH Y
lian|L IY AE N
lie|L IY EH
lik|L IY K
liksom|L IH K S AO M
lillejulafton|L IH L EH Y UW L AE F T AO N
lima|L IY M AE
lin|L IY N
lina|L IY N AE
lindgren|L IH NG G RRR EH0 N
lingon|L IH NG AO N
lingonsylt|L IH NG AO N S L T
linnea|L IH N EH0 AE
linnéa|L IH N EH0 AE
lisa|L IY S AE
lisas|L IY S AE S
lita|L IY T AE
litauiska|L IH T AE UH IH S K AE
liten|L IY T EH N
litium|L IY T S IH UH M
liv|L IY V
livsfientlig|L IY V S F IH EH N T L IH G
livskvalitet|L IY V S K V AE L IY T EH0 T
ljud|Y UW D
ljuga|Y UW G AE
ljungby|Y UH NG B
ljungpipare|Y UH NG P IY P AE R EH
ljus|Y UW S
ljushyllt|Y UW S HH L T
lo|L UW
lob|L AO B
lodjur|L UW Y UW RRR
loge|L UW G EH
lom|L UH M
london|L AO N D AO N
lopp|L AO P
lounge|L AE UH N D SH
lounges|L UW UH NG EH S
lov|L UW V
lucia|L UH S IY AE
luden|L UW D EH N
lugn|L UH NG N
lunch|L UH N
lunchdisco|L UH D IH S K UH
lunchrast|L UH N RRR AE S T
lund|L UH N D
lundensisk|L UH N D EH N S IH S K
lundgren|L UH N D G RRR EH0 N
lundsångare|L UH N D S AO NG AE RRR EH
lungödem|L UH NG OE D EH0 M
lussekatt|L UH S EH K AE T
lycka|L K AE
lycklig|L K L IH G
lyckt|L K T
lyckta|L K T AE
lydnad|L Y UW1 D N AE D
lykta|L K T AE
lymfocyt|L M F UH S Y UW1 T
lyssna|L S N AE
lyxhotell|L K S HH UH T EH L
läcka|L EH K AE
läder|L EH D EH RRR
läger|L EH G EH RRR
lägga|L EH G AE
län|L EH N
länge|L EH NG EH
längs|L EH NG S
lär|L EH RRR
lära|L AE RRR AE
läs|L EH S
läsa|L EH S AE
läser|L EH S EH RRR
läsesal|L EH S EH S AA L
läsk|L EH S K
läska|L EH S K AE
läsuttal|L EH S UW T T AA L
lätt|L EH T
lätting|L EH T IH NG
låg|L OW0 G
långsam|L AO NG S AE M
långt|L AO NG T
långtåsnäppa|L AO NG T OW0 S N EH P AE
långvarig|L AO NG V AA RRR IH G
låt|L OW0 T
låta|L OW0 T AE
lögn|L ER NG N
lök|L OE K
lön|L OE N
löneslav|L OE N EH S L AA V
lönndom|L ER N D UH M
löpa|L OE P AE
lördag|L OE RRR D AA G
lös|L OE S
lösa|L OE S AE
lösen|L OE S EH N
lövverk|L OE V V EH RRR K
mack|M AE K
macka|M AE K AE
mage|M AA G EH
magnesium|M AE NG N EH0 S IH UH M
magnoliaskogssångare|M AE G N UW L IH Y AE S G UH G S AO NG AE R EH
magnus|M AE NG N UH S
maj|M AE Y
majoritet|M AE Y OW0 RRR IH T EH0 T
maka|M AA K AE
make|M AA K EH
mal|M AA L
malaria|M AE L AA RRR IH AE
malin|M AE L IH N
mall|M AE L
mallis|M AE L IH S
malmö|M AE L M OE
malmöit|M AE L M OE IY T
malte|M AE L T EH
malört|M AA L ER RRR T
mambo|M AE M B UW
mamsell|M AE M Z EH L
man|M AA N
mandrom|M AE N D RRR AO M
manen|M AA N AH0 N
manet|M AE N EH0 T
manga|M AE NG G AE
mangan|M AE NG G AA N
mango|M AE NG G UH
manick|M AE N IH K
mannen|M AE N EH N
manöver|M AE N OE V EH RRR
margareta|M AE RRR G AE RRR EH0 T AE
margarin|M AE RRR G AE RRR IY N
maria|M AE RRR IY AE
marika|M AE RRR IY K AE
mark|M AE RRR K EH RRR
marknaden|M AE RRR K N AE N
mars|M AE SH
marsch|M AE RRR SH
masa|M AA S AE
maskin|M AE IY N
maskros|M AE S K RRR UW S
masktörnskata|M AE S K T OE RRR N S K AA T AE
massa|M AE S AE
massage|M AE S AA
mat|M AA T
matcha|M AE T SH AE
matchfixning|M AE T F IH K S N IH NG
matematik|M AE T EH M AE T IY K
matsäck|M AA T S EH K
matt|M AE T
mattant|M AA T T AE N T
mattias|M AE T IY AE S
meckig|M EH0 K IH G
med|M EH D
medarbetare|M EH0 D AE RRR B EH0 T AE RRR EH
meddela|M EH0 D D EH0 L AE
meddelande|M EH0 D D EH0 L AE N D EH
medelhavstrut|M EH0 D EH L HH AE V S T RRR UW T
medhjälpare|M EH0 D Y EH L P AE RRR EH0
medicin|M EH D IH S IY N
megafon|M EH G AE F OW0 N
mejsel|M EH Y S EH L
mem|M EH0 M
men|M EH N
meningslös|M EH0 N IH NG S L OE S
meningslösa|M EH0 N IH NG S L OE S AE
mens|M EH N S
mentalesiska|M EH N T AE L EH0 S IH S K AE
meny|M EH N Y UW1
mer|M EH0 RRR
merkurius|M EH RRR K UW RRR IH UH S
mes|M EH0 S
messmör|M EH S S M OE RRR
metan|M EH T AA N
meter|M EH0 T EH RRR
metonym|M EH T UH N Y UW1 M
meänkieli|M EH0 EH N K IH EH L IH
middag|M IH D AA G
midsommar|M IH S AO M AE RRR
mig|M EH Y
mikael|M IY K AE EH0 L
miklagård|M IY K L AE G OW0 RRR D
mil|M IY L
mildra|M IH L D RRR AE
miljard|M IH L Y AA D
miljon|M IH L Y UW N
miljö|M IH L Y OE
millimeter|M IH L IH M EH0 T EH RRR
min|M IY N
mina|M IY N AE
mineral|M IY N EH RRR AE L
minikjol|M IY N IH SH UW L
ministerstyre|M IH N IH S T EH RRR S T Y UW1 RRR EH
minnesgod|M IH N EH S G UW D
miombomes|M IH Y AO M B AO M EH0 S
missbrukare|M IH S B RRR UW K AE RRR EH
mission|M IH UW N
mitt|M IH T
mittemot|M IH T EH0 M UW T
mjöd|M Y OE D
mjölk|M Y ER L K
mod|M UW D
mode|M UW D EH
modevisning|M UW D EH V IY S N IH NG
mojäng|M UH Y EH NG
moll|M AO L
moln|M AO L N
molybden|M AO L B D EH0 N
monaco|M AO N AE K UH
mongo|M AO NG G UH
mongolpipare|M AO NG G UH L P IY P AE R EH
monoteist|M AO N UH T EH IH S T
monument|M OW0 N UH M EH N T
mor|M UW RRR
morbror|M UH RRR B RRR UH RRR
mord|M UW D
morgnar|M OW0 RRR N AE RRR
morgnarna|M OW0 N AE N AE
morgon|M AO RRR G AO N
morkulla|M UW RRR K UH L AE
mors|M AO RRR S
morsa|M UH SH AE
morse|M AO RRR S EH0
morsning|M AO RRR S N IH NG
mos|M UW S
moscha|M AO SH AE
moskva|M UH S K V AA
mosnäppa|M UW S N EH P AE
moster|M UH S T EH RRR
mot|M UW T
motgift|M UW T Y IY F T
motion|M UH T UW N
motorcykelhjälm|M UW T AO RRR S K EH L Y EH L M
motsade|M UW T S AA D EH
muck|M UH K
mujka|M UW Y K AA
mula|M UW L AE
mull|M UH L
mumie|M UW M IH EH
mumrik|M UH M RRR IH K
mun|M UH N
mundiarré|M UH N D IH AE RRR EH0
mur|M UW RRR
