afia|AE F IY0 AE
ifu|IY0 F UW0
ifuatwe|IY0 F UW0 AE T W EH0
ifunuliwe|IY0 F UW0 N UW0 L IY0 W EH0
ifurahi|IY0 F UW0 R AE HH IY0
ifya|IY0 F Y AE
ihramu|IY0 HH R AE M UW0
ihsani|IY0 HH S AE N IY0
ihtilafu|IY0 HH T IY0 L AE F UW0
ihusishwe|IY0 HH UW0 S IY0 SH W EH0
iinyweshayo|IY0 IY0 N IY0 W EH0 SH AE Y OW0
iitwayo|IY0 IY0 T W AE Y OW0
ika|IY0 K AE
ikaachana|IY0 K AE AE T SH AE N AE
ikaamuliwa|IY0 K AE AE M UW0 L IY0 W AE
ikachafuliw|IY0 K AE T SH AE F UW0 L IY0 W
ikachukuliwa|IY0 K AE T SH UW0 K UW0 L IY0 W AE
ikae|IY0 K AE EH0
ikaenea|IY0 K AE EH0 N EH0 AE
ikafanywa|IY0 K AE F AE N IY0 W AE
ikafifia|IY0 K AE F IY0 F IY0 AE
ikafika|IY0 K AE F IY0 K AE
ikafurika|IY0 K AE F UW0 R IY0 K AE
ikakauka|IY0 K AE K AE UW0 K AE
ikakosa|IY0 K AE K OW0 S AE
ikakosekana|IY0 K AE K OW0 S EH0 K AE N AE
ikakua|IY0 K AE K UW0 AE
ikakwama|IY0 K AE K W AE M AE
ikalala|IY0 K AE L AE L AE
ikalemewa|IY0 K AE L EH0 M EH0 W AE
ikaleta|IY0 K AE L EH0 T AE
ikaliwe|IY0 K AE L IY0 W EH0
ikama|IY0 K AE M AE
ikamchemka|IY0 K AE M T SH EH0 M K AE
ikamfanya|IY0 K AE M F AE N IY0 AE
ikamilike|IY0 K AE M IY0 L IY0 K EH0
ikamilishen|IY0 K AE M IY0 L IY0 SH EH0 N
ikamiminika|IY0 K AE M IY0 M IY0 N IY0 K AE
ikamlazimu|IY0 K AE M L AE Z IY0 M UW0
ikammeza|IY0 K AE M M EH0 Z AE
ikampata|IY0 K AE M P AE T AE
ikamtoka|IY0 K AE M T OW0 K AE
ikamulikwa|IY0 K AE M UW0 L IY0 K W AE
ikamwacha|IY0 K AE M W AE T SH AE
ikamweka|IY0 K AE M W EH0 K AE
ikamzika|IY0 K AE M Z IY0 K AE
ikanicheza|IY0 K AE N IY0 T SH EH0 Z AE
ikanyesha|IY0 K AE N IY0 EH0 SH AE
ikaonekana|IY0 K AE OW0 N EH0 K AE N AE
ikaota|IY0 K AE OW0 T AE
ikapasuka|IY0 K AE P AE S UW0 K AE
ikapata|IY0 K AE P AE T AE
ikapatikana|IY0 K AE P AE T IY0 K AE N AE
ikapewa|IY0 K AE P EH0 W AE
ikarusha|IY0 K AE R UW0 SH AE
ikasema|IY0 K AE S EH0 M AE
ikasikika|IY0 K AE S IY0 K IY0 K AE
ikatapika|IY0 K AE T AE P IY0 K AE
ikateketea|IY0 K AE T EH0 K EH0 T EH0 AE
ikatema|IY0 K AE T EH0 M AE
ikatetemeka|IY0 K AE T EH0 T EH0 M EH0 K AE
ikatikisika|IY0 K AE T IY0 K IY0 S IY0 K AE
ikatoa|IY0 K AE T OW0 AE
ikatoka|IY0 K AE T OW0 K AE
ikatokea|IY0 K AE T OW0 K EH0 AE
ikatosha|IY0 K AE T OW0 SH AE
ikatutusika|IY0 K AE T UW0 T UW0 S IY0 K AE
ikavuma|IY0 K AE V UW0 M AE
ikawa|IY0 K AE W AE
ikawachukua|IY0 K AE W AE T SH UW0 K UW0 AE
ikawanyeshe|IY0 K AE W AE N IY0 EH0 SH EH0
ikawanyweza|IY0 K AE W AE N IY0 W EH0 Z AE
ikawasili|IY0 K AE W AE S IY0 L IY0
ikawatoa|IY0 K AE W AE T OW0 AE
ikawavamia|IY0 K AE W AE V AE M IY0 AE
ikawawakia|IY0 K AE W AE W AE K IY0 AE
ikawawia|IY0 K AE W AE W IY0 AE
ikaweza|IY0 K AE W EH0 Z AE
ikazane|IY0 K AE Z AE N EH0
ikazikwa|IY0 K AE Z IY0 K W AE
ikhlasi|IY0 K L AE S IY0
iki|IY0 K IY0
ikichafuka|IY0 K IY0 T SH AE F UW0 K AE
ikichezacheza|IY0 K IY0 T SH EH0 Z AE T SH EH0 Z AE
ikichukuliw|IY0 K IY0 T SH UW0 K UW0 L IY0 W
ikifanya|IY0 K IY0 F AE N IY0 AE
ikificha|IY0 K IY0 F IY0 T SH AE
ikifika|IY0 K IY0 F IY0 K AE
ikiipalilia|IY0 K IY0 IY0 P AE L IY0 L IY0 AE
ikiiva|IY0 K IY0 IY0 V AE
ikikeketwa|IY0 K IY0 K EH0 K EH0 T W AE
ikikomaa|IY0 K IY0 K OW0 M AE AE
ikimchururi|IY0 K IY0 M T SH UW0 R UW0 R IY0
ikimeta|IY0 K IY0 M EH0 T AE
ikimtia|IY0 K IY0 M T IY0 AE
ikimwasha|IY0 K IY0 M W AE SH AE
ikinawisha|IY0 K IY0 N AE W IY0 SH AE
ikinilazimu|IY0 K IY0 N IY0 L AE Z IY0 M UW0
ikinyesha|IY0 K IY0 N IY0 EH0 SH AE
ikiota|IY0 K IY0 OW0 T AE
ikioza|IY0 K IY0 OW0 Z AE
ikipata|IY0 K IY0 P AE T AE
ikipoteza|IY0 K IY0 P OW0 T EH0 Z AE
ikipuliziwa|IY0 K IY0 P UW0 L IY0 Z IY0 W AE
ikipulizwa|IY0 K IY0 P UW0 L IY0 Z W AE
ikira|IY0 K IY0 R AE
ikirahi|IY0 K IY0 R AE HH IY0
ikirari|IY0 K IY0 R AE R IY0
ikisema|IY0 K IY0 S EH0 M AE
ikisemwa|IY0 K IY0 S EH0 M W AE
ikisha|IY0 K IY0 SH AE
ikishafuliw|IY0 K IY0 SH AE F UW0 L IY0 W
ikisokota|IY0 K IY0 S OW0 K OW0 T AE
ikisomwa|IY0 K IY0 S OW0 M W AE
ikitafuta|IY0 K IY0 T AE F UW0 T AE
ikitetemeka|IY0 K IY0 T EH0 T EH0 M EH0 K AE
ikitumiwa|IY0 K IY0 T UW0 M IY0 W AE
ikivuma|IY0 K IY0 V UW0 M AE
ikiwa|IY0 K IY0 W AE
ikiwaka|IY0 K IY0 W AE K AE
ikiwamo|IY0 K IY0 W AE M OW0
ikiwashtaki|IY0 K IY0 W AE SH T AE K IY0
ikiwezekana|IY0 K IY0 W EH0 Z EH0 K AE N AE
ikiyafanya|IY0 K IY0 Y AE F AE N IY0 AE
ikiyafichua|IY0 K IY0 Y AE F IY0 T SH UW0 AE
ikiyoyoma|IY0 K IY0 Y OW0 Y OW0 M AE
ikiza|IY0 K IY0 Z AE
iko|IY0 K OW0
ikokotwe|IY0 K OW0 K OW0 T W EH0
ikomeshwe|IY0 K OW0 M EH0 SH W EH0
ikrahi|IY0 K R AE HH IY0
ikrari|IY0 K R AE R IY0
ikuchome|IY0 K UW0 T SH OW0 M EH0
ikufikie|IY0 K UW0 F IY0 K IY0 EH0
ikulazimu|IY0 K UW0 L AE Z IY0 M UW0
ikulu|IY0 K UW0 L UW0
ikusanyeni|IY0 K UW0 S AE N IY0 EH0 N IY0
ikuwa|IY0 K UW0 W AE
ikuwezeshe|IY0 K UW0 W EH0 Z EH0 SH EH0
ikweta|IY0 K W EH0 T AE
ila|IY0 L AE
ilani|IY0 L AE N IY0
ilato|IY0 L AE T OW0
ilaya|IY0 L AE Y AE
ile|IY0 L EH0
ileile|IY0 L EH0 IY0 L EH0
iletayo|IY0 L EH0 T AE Y OW0
iletwayo|IY0 L EH0 T W AE Y OW0
ilhali|IY0 L HH AE L IY0
ili|IY0 L IY0
iliacha|IY0 L IY0 AE T SH AE
iliaminika|IY0 L IY0 AE M IY0 N IY0 K AE
iliashiria|IY0 L IY0 AE SH IY0 R IY0 AE
ilichukua|IY0 L IY0 T SH UW0 K UW0 AE
ilie|IY0 L IY0 EH0
ilielezwa|IY0 L IY0 EH0 L EH0 Z W AE
ilienea|IY0 L IY0 EH0 N EH0 AE
iliezekwa|IY0 L IY0 EH0 Z EH0 K W AE
ilifahamu|IY0 L IY0 F AE HH AE M UW0
ilifanya|IY0 L IY0 F AE N IY0 AE
ilifanyika|IY0 L IY0 F AE N IY0 IY0 K AE
ilififia|IY0 L IY0 F IY0 F IY0 AE
ilifika|IY0 L IY0 F IY0 K AE
ilifufuka|IY0 L IY0 F UW0 F UW0 K AE
ilifutwa|IY0 L IY0 F UW0 T W AE
ilihali|IY0 L IY0 HH AE L IY0
iliipanua|IY0 L IY0 IY0 P AE N UW0 AE
iliitwa|IY0 L IY0 IY0 T W AE
ilikamilish|IY0 L IY0 K AE M IY0 L IY0 SH
ilikataa|IY0 L IY0 K AE T AE AE
iliki|IY0 L IY0 K IY0
iliko|IY0 L IY0 K OW0
ilikomaa|IY0 L IY0 K OW0 M AE AE
ilikosa|IY0 L IY0 K OW0 S AE
ilikotoka|IY0 L IY0 K OW0 T OW0 K AE
ilikulazimu|IY0 L IY0 K UW0 L AE Z IY0 M UW0
ilikuwa|IY0 L IY0 K UW0 W AE
ilikuwako|IY0 L IY0 K UW0 W AE K OW0
ilikwaruza|IY0 L IY0 K W AE R UW0 Z AE
ilikwisha|IY0 L IY0 K W IY0 SH AE
ilikwishafany|IY0 L IY0 K W IY0 SH AE F AE N IY0
ililetwa|IY0 L IY0 L EH0 T W AE
ililia|IY0 L IY0 L IY0 AE
ililoshonwa|IY0 L IY0 L OW0 SH OW0 N W AE
ilimchania|IY0 L IY0 M T SH AE N IY0 AE
ilimlazimu|IY0 L IY0 M L AE Z IY0 M UW0
ilimpa|IY0 L IY0 M P AE
ilimpasa|IY0 L IY0 M P AE S AE
ilimpata|IY0 L IY0 M P AE T AE
ilimpatia|IY0 L IY0 M P AE T IY0 AE
ilimruka|IY0 L IY0 M R UW0 K AE
ilimsimama|IY0 L IY0 M S IY0 M AE M AE
ilimtawala|IY0 L IY0 M T AE W AE L AE
ilimu|IY0 L IY0 M UW0
ilimwacha|IY0 L IY0 M W AE T SH AE
ilimwathiri|IY0 L IY0 M W AE TH IY0 R IY0
ilimwokoa|IY0 L IY0 M W OW0 K OW0 AE
ilimwonyesha|IY0 L IY0 M W OW0 N IY0 EH0 SH AE
iling|aa IY0 L IY0 NG AE AE
iliniua|IY0 L IY0 N IY0 UW0 AE
ilinyesha|IY0 L IY0 N IY0 EH0 SH AE
iliona|IY0 L IY0 OW0 N AE
ilioyopita|IY0 L IY0 OW0 Y OW0 P IY0 T AE
ilipata|IY0 L IY0 P AE T AE
ilipita|IY0 L IY0 P IY0 T AE
ilipo|IY0 L IY0 P OW0
ilipofika|IY0 L IY0 P OW0 F IY0 K AE
ilipofikia|IY0 L IY0 P OW0 F IY0 K IY0 AE
ilipokuwa|IY0 L IY0 P OW0 K UW0 W AE
ilipokwisha|IY0 L IY0 P OW0 K W IY0 SH AE
ilipoota|IY0 L IY0 P OW0 OW0 T AE
ilipotimia|IY0 L IY0 P OW0 T IY0 M IY0 AE
ilipotimu|IY0 L IY0 P OW0 T IY0 M UW0
ilipotokea|IY0 L IY0 P OW0 T OW0 K EH0 AE
ilipowafiki|IY0 L IY0 P OW0 W AE F IY0 K IY0
ilipowatokea|IY0 L IY0 P OW0 W AE T OW0 K EH0 AE
ilirukaruka|IY0 L IY0 R UW0 K AE R UW0 K AE
ilisema|IY0 L IY0 S EH0 M AE
ilisemwa|IY0 L IY0 S EH0 M W AE
ilitakiwa|IY0 L IY0 T AE K IY0 W AE
ilitekelezw|IY0 L IY0 T EH0 K EH0 L EH0 Z W
ilitetemeka|IY0 L IY0 T EH0 T EH0 M EH0 K AE
ilitetemesh|IY0 L IY0 T EH0 T EH0 M EH0 SH
ilitikisika|IY0 L IY0 T IY0 K IY0 S IY0 K AE
ilitiwa|IY0 L IY0 T IY0 W AE
ilitoa|IY0 L IY0 T OW0 AE
ilitoka|IY0 L IY0 T OW0 K AE
ilitokea|IY0 L IY0 T OW0 K EH0 AE
ilitufanya|IY0 L IY0 T UW0 F AE N IY0 AE
ilitumiwa|IY0 L IY0 T UW0 M IY0 W AE
ilitupasa|IY0 L IY0 T UW0 P AE S AE
iliufanya|IY0 L IY0 UW0 F AE N IY0 AE
ilivopasuka|IY0 L IY0 V OW0 P AE S UW0 K AE
ilivyo|IY0 L IY0 V Y OW0
ilivyoamriwa|IY0 L IY0 V Y OW0 AE M R IY0 W AE
ilivyoathir|IY0 L IY0 V Y OW0 AE TH IY0 R
ilivyoelezwa|IY0 L IY0 V Y OW0 EH0 L EH0 Z W AE
ilivyofanya|IY0 L IY0 V Y OW0 F AE N IY0 AE
ilivyofichwa|IY0 L IY0 V Y OW0 F IY0 T SH W AE
ilivyofinya|IY0 L IY0 V Y OW0 F IY0 N IY0 AE
ilivyoka|IY0 L IY0 V Y OW0 K AE
ilivyokacha|IY0 L IY0 V Y OW0 K AE T SH AE
ilivyokuwa|IY0 L IY0 V Y OW0 K UW0 W AE
ilivyomchacha|IY0 L IY0 V Y OW0 M T SH AE T SH AE
ilivyoripotiwa|IY0 L IY0 V Y OW0 R IY0 P OW0 T IY0 W AE
ilivyotakika|IY0 L IY0 V Y OW0 T AE K IY0 K AE
ilivyotakiwa|IY0 L IY0 V Y OW0 T AE K IY0 W AE
ilivyotokea|IY0 L IY0 V Y OW0 T OW0 K EH0 AE
ilivyotukia|IY0 L IY0 V Y OW0 T UW0 K IY0 AE
ilivyotumiw|IY0 L IY0 V Y OW0 T UW0 M IY0 W
ilivyotumiwa|IY0 L IY0 V Y OW0 T UW0 M IY0 W AE
iliwafanya|IY0 L IY0 W AE F AE N IY0 AE
iliwafunika|IY0 L IY0 W AE F UW0 N IY0 K AE
iliwaka|IY0 L IY0 W AE K AE
iliwapasa|IY0 L IY0 W AE P AE S AE
iliwapoteza|IY0 L IY0 W AE P OW0 T EH0 Z AE
iliwashika|IY0 L IY0 W AE SH IY0 K AE
iliwatia|IY0 L IY0 W AE T IY0 AE
iliwekwa|IY0 L IY0 W EH0 K W AE
iliyo|IY0 L IY0 Y OW0
iliyoachwa|IY0 L IY0 Y OW0 AE T SH W AE
iliyoamriwa|IY0 L IY0 Y OW0 AE M R IY0 W AE
iliyochakaa|IY0 L IY0 Y OW0 T SH AE K AE AE
iliyochanika|IY0 L IY0 Y OW0 T SH AE N IY0 K AE
iliyochanikach|IY0 L IY0 Y OW0 T SH AE N IY0 K AE T SH
iliyochomwa|IY0 L IY0 Y OW0 T SH OW0 M W AE
iliyochorwa|IY0 L IY0 Y OW0 T SH OW0 R W AE
iliyoelekez|IY0 L IY0 Y OW0 EH0 L EH0 K EH0 Z
iliyofanana|IY0 L IY0 Y OW0 F AE N AE N AE
iliyofanyika|IY0 L IY0 Y OW0 F AE N IY0 IY0 K AE
iliyofanywa|IY0 L IY0 Y OW0 F AE N IY0 W AE
iliyofichika|IY0 L IY0 Y OW0 F IY0 T SH IY0 K AE
iliyofifia|IY0 L IY0 Y OW0 F IY0 F IY0 AE
iliyofikia|IY0 L IY0 Y OW0 F IY0 K IY0 AE
iliyofikiwa|IY0 L IY0 Y OW0 F IY0 K IY0 W AE
iliyofuata|IY0 L IY0 Y OW0 F UW0 AE T AE
iliyofufuma|IY0 L IY0 Y OW0 F UW0 F UW0 M AE
iliyofumwa|IY0 L IY0 Y OW0 F UW0 M W AE
iliyofunikwa|IY0 L IY0 Y OW0 F UW0 N IY0 K W AE
iliyofunuli|IY0 L IY0 Y OW0 F UW0 N UW0 L IY0
iliyohusika|IY0 L IY0 Y OW0 HH UW0 S IY0 K AE
iliyoipata|IY0 L IY0 Y OW0 IY0 P AE T AE
iliyoishi|IY0 L IY0 Y OW0 IY0 SH IY0
iliyoitwa|IY0 L IY0 Y OW0 IY0 T W AE
iliyoiva|IY0 L IY0 Y OW0 IY0 V AE
iliyokamili|IY0 L IY0 Y OW0 K AE M IY0 L IY0
iliyokamuli|IY0 L IY0 Y OW0 K AE M UW0 L IY0
iliyokataa|IY0 L IY0 Y OW0 K AE T AE AE
iliyokatika|IY0 L IY0 Y OW0 K AE T IY0 K AE
iliyokatwa|IY0 L IY0 Y OW0 K AE T W AE
iliyokauka|IY0 L IY0 Y OW0 K AE UW0 K AE
iliyokaushwa|IY0 L IY0 Y OW0 K AE UW0 SH W AE
iliyoko|IY0 L IY0 Y OW0 K OW0
iliyokuchuka|IY0 L IY0 Y OW0 K UW0 T SH UW0 K AE
iliyokunwa|IY0 L IY0 Y OW0 K UW0 N W AE
iliyokuwa|IY0 L IY0 Y OW0 K UW0 W AE
iliyokuwako|IY0 L IY0 Y OW0 K UW0 W AE K OW0
iliyokuwapo|IY0 L IY0 Y OW0 K UW0 W AE P OW0
iliyokwisha|IY0 L IY0 Y OW0 K W IY0 SH AE
iliyokwishapit|IY0 L IY0 Y OW0 K W IY0 SH AE P IY0 T
iliyolazwa|IY0 L IY0 Y OW0 L AE Z W AE
iliyoleta|IY0 L IY0 Y OW0 L EH0 T AE
iliyoletwa|IY0 L IY0 Y OW0 L EH0 T W AE
iliyolimwa|IY0 L IY0 Y OW0 L IY0 M W AE
iliyomalizi|IY0 L IY0 Y OW0 M AE L IY0 Z IY0
iliyomfika|IY0 L IY0 Y OW0 M F IY0 K AE
iliyomo|IY0 L IY0 Y OW0 M OW0
iliyomponya|IY0 L IY0 Y OW0 M P OW0 N IY0 AE
iliyomtakas|IY0 L IY0 Y OW0 M T AE K AE S
iliyomuka|IY0 L IY0 Y OW0 M UW0 K AE
iliyonaswa|IY0 L IY0 Y OW0 N AE S W AE
iliyong|ole IY0 L IY0 Y OW0 NG OW0 L EH0
iliyoning|iniz IY0 L IY0 Y OW0 N IY0 NG IY0 N IY0 Z
iliyonona|IY0 L IY0 Y OW0 N OW0 N AE
iliyonuiwa|IY0 L IY0 Y OW0 N UW0 IY0 W AE
iliyonyanyuka|IY0 L IY0 Y OW0 N IY0 AE N IY0 UW0 K AE
iliyonyauka|IY0 L IY0 Y OW0 N IY0 AE UW0 K AE
iliyonyesha|IY0 L IY0 Y OW0 N IY0 EH0 SH AE
iliyonyoka|IY0 L IY0 Y OW0 N IY0 OW0 K AE
iliyooza|IY0 L IY0 Y OW0 OW0 Z AE
iliyopasua|IY0 L IY0 Y OW0 P AE S UW0 AE
iliyopasuliwa|IY0 L IY0 Y OW0 P AE S UW0 L IY0 W AE
iliyopatikan|IY0 L IY0 Y OW0 P AE T IY0 K AE N
iliyopatikana|IY0 L IY0 Y OW0 P AE T IY0 K AE N AE
iliyopatiwa|IY0 L IY0 Y OW0 P AE T IY0 W AE
iliyopauka|IY0 L IY0 Y OW0 P AE UW0 K AE
iliyopeteka|IY0 L IY0 Y OW0 P EH0 T EH0 K AE
iliyopikwa|IY0 L IY0 Y OW0 P IY0 K W AE
iliyopimwa|IY0 L IY0 Y OW0 P IY0 M W AE
iliyopita|IY0 L IY0 Y OW0 P IY0 T AE
iliyopitisha|IY0 L IY0 Y OW0 P IY0 T IY0 SH AE
iliyopo|IY0 L IY0 Y OW0 P OW0
iliyopooza|IY0 L IY0 Y OW0 P OW0 OW0 Z AE
iliyopotea|IY0 L IY0 Y OW0 P OW0 T EH0 AE
iliyopulizwa|IY0 L IY0 Y OW0 P UW0 L IY0 Z W AE
iliyosafish|IY0 L IY0 Y OW0 S AE F IY0 SH
iliyoshikan|IY0 L IY0 Y OW0 SH IY0 K AE N
iliyoshonwa|IY0 L IY0 Y OW0 SH OW0 N W AE
iliyosimama|IY0 L IY0 Y OW0 S IY0 M AE M AE
iliyosimuliwa|IY0 L IY0 Y OW0 S IY0 M UW0 L IY0 W AE
iliyosokotwa|IY0 L IY0 Y OW0 S OW0 K OW0 T W AE
iliyotakasw|IY0 L IY0 Y OW0 T AE K AE S W
iliyotakata|IY0 L IY0 Y OW0 T AE K AE T AE
iliyotanuka|IY0 L IY0 Y OW0 T AE N UW0 K AE
iliyotawala|IY0 L IY0 Y OW0 T AE W AE L AE
iliyotia|IY0 L IY0 Y OW0 T IY0 AE
iliyotimia|IY0 L IY0 Y OW0 T IY0 M IY0 AE
iliyotiwa|IY0 L IY0 Y OW0 T IY0 W AE
iliyotoka|IY0 L IY0 Y OW0 T OW0 K AE
iliyotokana|IY0 L IY0 Y OW0 T OW0 K AE N AE
iliyotokeza|IY0 L IY0 Y OW0 T OW0 K EH0 Z AE
iliyotokwa|IY0 L IY0 Y OW0 T OW0 K W AE
iliyotolewa|IY0 L IY0 Y OW0 T OW0 L EH0 W AE
iliyotota|IY0 L IY0 Y OW0 T OW0 T AE
iliyotumika|IY0 L IY0 Y OW0 T UW0 M IY0 K AE
iliyotumiwa|IY0 L IY0 Y OW0 T UW0 M IY0 W AE
iliyovaliwa|IY0 L IY0 Y OW0 V AE L IY0 W AE
iliyovia|IY0 L IY0 Y OW0 V IY0 AE
iliyowaka|IY0 L IY0 Y OW0 W AE K AE
iliyowaletea|IY0 L IY0 Y OW0 W AE L EH0 T EH0 AE
iliyowashwa|IY0 L IY0 Y OW0 W AE SH W AE
iliyowekwa|IY0 L IY0 Y OW0 W EH0 K W AE
iliyoyeyuka|IY0 L IY0 Y OW0 Y EH0 Y UW0 K AE
iliyozuka|IY0 L IY0 Y OW0 Z UW0 K AE
iliza|IY0 L IY0 Z AE
iloyopauka|IY0 L OW0 Y OW0 P AE UW0 K AE
ima|IY0 M AE
imamisha|IY0 M AE M IY0 SH AE
imani|IY0 M AE N IY0
imara|IY0 M AE R AE
imarika|IY0 M AE R IY0 K AE
imarisha|IY0 M AE R IY0 SH AE
imarisheni|IY0 M AE R IY0 SH EH0 N IY0
imathaya|IY0 M AE TH AE Y AE
imayo|IY0 M AE Y OW0
imchayo|IY0 M T SH AE Y OW0
imche|IY0 M T SH EH0
imechafuka|IY0 M EH0 T SH AE F UW0 K AE
imechakaa|IY0 M EH0 T SH AE K AE AE
imechanua|IY0 M EH0 T SH AE N UW0 AE
imechukua|IY0 M EH0 T SH UW0 K UW0 AE
imeenea|IY0 M EH0 EH0 N EH0 AE
imefanyika|IY0 M EH0 F AE N IY0 IY0 K AE
imefichika|IY0 M EH0 F IY0 T SH IY0 K AE
imefika|IY0 M EH0 F IY0 K AE
imefikia|IY0 M EH0 F IY0 K IY0 AE
imefuliwa|IY0 M EH0 F UW0 L IY0 W AE
imefumwa|IY0 M EH0 F UW0 M W AE
imefunika|IY0 M EH0 F UW0 N IY0 K AE
imefunuliwa|IY0 M EH0 F UW0 N UW0 L IY0 W AE
imekaa|IY0 M EH0 K AE AE
imekamatana|IY0 M EH0 K AE M AE T AE N AE
imekamilish|IY0 M EH0 K AE M IY0 L IY0 SH
imekatazwa|IY0 M EH0 K AE T AE Z W AE
imekatika|IY0 M EH0 K AE T IY0 K AE
imekitumia|IY0 M EH0 K IY0 T UW0 M IY0 AE
imekosa|IY0 M EH0 K OW0 S AE
imekufa|IY0 M EH0 K UW0 F AE
imekuokoa|IY0 M EH0 K UW0 OW0 K OW0 AE
imekupata|IY0 M EH0 K UW0 P AE T AE
imekuponya|IY0 M EH0 K UW0 P OW0 N IY0 AE
imekusanya|IY0 M EH0 K UW0 S AE N IY0 AE
imekusanywa|IY0 M EH0 K UW0 S AE N IY0 W AE
imekuwa|IY0 M EH0 K UW0 W AE
imekuzwa|IY0 M EH0 K UW0 Z W AE
imekwisha|IY0 M EH0 K W IY0 SH AE
imekwishahu|IY0 M EH0 K W IY0 SH AE HH UW0
imeleta|IY0 M EH0 L EH0 T AE
imeliwa|IY0 M EH0 L IY0 W AE
imelowana|IY0 M EH0 L OW0 W AE N AE
imemalizika|IY0 M EH0 M AE L IY0 Z IY0 K AE
imemfikia|IY0 M EH0 M F IY0 K IY0 AE
imemiminwa|IY0 M EH0 M IY0 M IY0 N W AE
imemnyea|IY0 M EH0 M N IY0 EH0 AE
imemteua|IY0 M EH0 M T EH0 UW0 AE
imemtoka|IY0 M EH0 M T OW0 K AE
imeniatua|IY0 M EH0 N IY0 AE T UW0 AE
imenichoma|IY0 M EH0 N IY0 T SH OW0 M AE
imenifanya|IY0 M EH0 N IY0 F AE N IY0 AE
imenilemea|IY0 M EH0 N IY0 L EH0 M EH0 AE
imenipa|IY0 M EH0 N IY0 P AE
imenitoka|IY0 M EH0 N IY0 T OW0 K AE
imeniwakia|IY0 M EH0 N IY0 W AE K IY0 AE
imeonekana|IY0 M EH0 OW0 N EH0 K AE N AE
imepasuka|IY0 M EH0 P AE S UW0 K AE
imepewa|IY0 M EH0 P EH0 W AE
imepita|IY0 M EH0 P IY0 T AE
imepooza|IY0 M EH0 P OW0 OW0 Z AE
imepotea|IY0 M EH0 P OW0 T EH0 AE
imesema|IY0 M EH0 S EH0 M AE
imeshakuwa|IY0 M EH0 SH AE K UW0 W AE
imeshanitoka|IY0 M EH0 SH AE N IY0 T OW0 K AE
imeshikwa|IY0 M EH0 SH IY0 K W AE
imeshirikia|IY0 M EH0 SH IY0 R IY0 K IY0 AE
imeshupaa|IY0 M EH0 SH UW0 P AE AE
imesikika|IY0 M EH0 S IY0 K IY0 K AE
imesikilizwa|IY0 M EH0 S IY0 K IY0 L IY0 Z W AE
imesikiwa|IY0 M EH0 S IY0 K IY0 W AE
imesimama|IY0 M EH0 S IY0 M AE M AE
imetawanywa|IY0 M EH0 T AE W AE N IY0 W AE
imetimia|IY0 M EH0 T IY0 M IY0 AE
imetoa|IY0 M EH0 T OW0 AE
imetoka|IY0 M EH0 T OW0 K AE
imetokeza|IY0 M EH0 T OW0 K EH0 Z AE
imetosha|IY0 M EH0 T OW0 SH AE
imetoweka|IY0 M EH0 T OW0 W EH0 K AE
imewafanya|IY0 M EH0 W AE F AE N IY0 AE
imewanyang|anya IY0 M EH0 W AE N IY0 AE NG AE N IY0 AE
imewekwa|IY0 M EH0 W EH0 K W AE
imeyachukua|IY0 M EH0 Y AE T SH UW0 K UW0 AE
imezama|IY0 M EH0 Z AE M AE
imezeeka|IY0 M EH0 Z EH0 EH0 K AE
imezoea|IY0 M EH0 Z OW0 EH0 AE
imezuiliwa|IY0 M EH0 Z UW0 IY0 L IY0 W AE
imi|IY0 M IY0
imla|IY0 M L AE
impate|IY0 M P AE T EH0
imsifu|IY0 M S IY0 F UW0
imtokayo|IY0 M T OW0 K AE Y OW0
imu|IY0 M UW0
imwelee|IY0 M W EH0 L EH0 EH0
ina|IY0 N AE
inaaminika|IY0 N AE AE M IY0 N IY0 K AE
inachukua|IY0 N AE T SH UW0 K UW0 AE
inaeleka|IY0 N AE EH0 L EH0 K AE
inaelekea|IY0 N AE EH0 L EH0 K EH0 AE
inaeleza|IY0 N AE EH0 L EH0 Z AE
inaelezeka|IY0 N AE EH0 L EH0 Z EH0 K AE
inafaa|IY0 N AE F AE AE
inafahamika|IY0 N AE F AE HH AE M IY0 K AE
inafanana|IY0 N AE F AE N AE N AE
inafanyika|IY0 N AE F AE N IY0 IY0 K AE
inafurahi|IY0 N AE F UW0 R AE HH IY0
inaharamisha|IY0 N AE HH AE R AE M IY0 SH AE
inahusikana|IY0 N AE HH UW0 S IY0 K AE N AE
inaitwa|IY0 N AE IY0 T W AE
inakosekana|IY0 N AE K OW0 S EH0 K AE N AE
inakutamani|IY0 N AE K UW0 T AE M AE N IY0
inakuwa|IY0 N AE K UW0 W AE
inalomstahil|IY0 N AE L OW0 M S T AE HH IY0 L
inalotumiwa|IY0 N AE L OW0 T UW0 M IY0 W AE
inama|IY0 N AE M AE
inamaanisha|IY0 N AE M AE AE N IY0 SH AE
inamfanya|IY0 N AE M F AE N IY0 AE
inamhusu|IY0 N AE M HH UW0 S UW0
inamia|IY0 N AE M IY0 AE
inamisha|IY0 N AE M IY0 SH AE
inamponyoka|IY0 N AE M P OW0 N IY0 OW0 K AE
inamruhusu|IY0 N AE M R UW0 HH UW0 S UW0
inamtosha|IY0 N AE M T OW0 SH AE
inamwisha|IY0 N AE M W IY0 SH AE
inang|aa IY0 N AE NG AE AE
