a|AE
crīsō|K RRR IY S OW0
crōbylos|K RRR OW0 B Y UW1 L OW0 S
crōcītus|K RRR OW0 K IY T UW S
crōmna|K RRR OW0 M N AE
crōmī|K RRR OW0 M IY
crūda|K RRR UW D AE
crūde|K RRR UW D EH0
crūditās|K RRR UW D IY T AE S
crūditātiō|K RRR UW D IY T AE T IY OW0
crūdus|K RRR UW D UW S
crūdās|K RRR UW D AE S
crūdēle|K RRR UW D EH0 L EH0
crūdēlis|K RRR UW D EH0 L IY S
crūdēliter|K RRR UW D EH0 L IY T EH0 RRR
crūdēlitās|K RRR UW D EH0 L IY T AE S
crūdēlē|K RRR UW D EH0 L EH0
crūdēscō|K RRR UW D EH0 S K OW0
crūdī|K RRR UW D IY
crūrālis|K RRR UW RRR AE L IY S
crūs|K RRR UW S
crūsculum|K RRR UW S K UW L UW M
crūsma|K RRR UW S M AE
ctimenē|K T IY M EH0 N EH0
ctēsiās|K T EH0 S IY AE S
cuarius|K UW AE RRR IY UW S
cuba|K UW B AE
cubiculum|K UW B IY K UW L UW M
cubiculāris|K UW B IY K UW L AE RRR IY S
cubiculārius|K UW B IY K UW L AE RRR IY UW S
cubiculātus|K UW B IY K UW L AE T UW S
cubicus|K UW B IY K UW S
cubital|K UW B IY T AE L
cubitālis|K UW B IY T AE L IY S
cubus|K UW B UW S
cubāns|K UW B AE N S
cubēnsis|K UW B EH0 N S IY S
cubīle|K UW B IY L EH0
cuciō|K UW K IY OW0
cucuma|K UW K UW M AE
cucumerifōrme|K UW K UW M EH0 RRR IY F OW0 RRR M EH0
cucumerifōrmis|K UW K UW M EH0 RRR IY F OW0 RRR M IY S
cucumerifōrmēs|K UW K UW M EH0 RRR IY F OW0 RRR M EH0 S
cucumerāceus|K UW K UW M EH0 RRR AE K EH0 UW S
cucumerīnus|K UW K UW M EH0 RRR IY N UW S
cucumifōrme|K UW K UW M IY F OW0 RRR M EH0
cucumifōrmis|K UW K UW M IY F OW0 RRR M IY S
cucumifōrmēs|K UW K UW M IY F OW0 RRR M EH0 S
cucumis|K UW K UW M IY S
cucumīs|K UW K UW M IY S
cucurbita|K UW K UW RRR B IY T AE
cucurrit|K UW K UW RRR RRR IY T
cucūlla|K UW K UW L L AE
cucūllus|K UW K UW L L UW S
cucūllātus|K UW K UW L L AE T UW S
cucūlus|K UW K UW L UW S
cuferion|K UW F EH0 RRR IY OW0 N
cuidam|K UW IY D AE M
culcitra|K UW L K IY T RRR AE
culex|K UW L EH0 K S
culillus|K UW L IY L L UW S
culleō|K UW L L EH0 OW0
culmen|K UW L M EH0 N
culmus|K UW L M UW S
culpa|K UW L P AE
culpābilis|K UW L P AE B IY L IY S
culpātiō|K UW L P AE T IY OW0
culpō|K UW L P OW0
cultiō|K UW L T IY OW0
cultor|K UW L T OW0 RRR
cultrārius|K UW L T RRR AE RRR IY UW S
cultrīx|K UW L T RRR IY K S
cultūra|K UW L T UW RRR AE
culullus|K UW L UW L L UW S
culīna|K UW L IY N AE
culīnāria|K UW L IY N AE RRR IY AE
culīnārie|K UW L IY N AE RRR IY EH0
culīnāris|K UW L IY N AE RRR IY S
culīnārius|K UW L IY N AE RRR IY UW S
culīnāriās|K UW L IY N AE RRR IY AE S
culīnāriō|K UW L IY N AE RRR IY OW0
culīnāriōs|K UW L IY N AE RRR IY OW0 S
culīnārī|K UW L IY N AE RRR IY
cumba|K UW M B AE
cumera|K UW M EH0 RRR AE
cummi|K UW M M IY
cummis|K UW M M IY S
cumque|K UW N K EH0
cumulus|K UW M UW L UW S
cumulō|K UW M UW L OW0
cumānia|K UW M AE N IY AE
cumīnum|K UW M IY N UW M
cuneifōrmis|K UW N EH0 IY F OW0 RRR M IY S
cuneifōrmēs|K UW N EH0 IY F OW0 RRR M EH0 S
cuneolus|K UW N EH0 OW0 L UW S
cuneus|K UW N EH0 UW S
cuneātim|K UW N EH0 AE T IY M
cuneō|K UW N EH0 OW0
cunimundus|K UW N IY M UW N D UW S
cuningeria|K UW N IY N G EH0 RRR IY AE
cuniō|K UW N IY OW0
cunnilingus|K UW N N IY L IY N G UW S
cunīclus|K UW N IY K L UW S
cunīculāriae|K UW N IY K UW L AE RRR IY AE EH0
cunīculōsus|K UW N IY K UW L OW0 S UW S
cupiam|K UW P IY AE M
cupiditās|K UW P IY D IY T AE S
cupidus|K UW P IY D UW S
cupidō|K UW P IY D OW0
cupiennius|K UW P IY EH0 N N IY UW S
cupiō|K UW P IY OW0
cuppa|K UW P P AE
cuppae|K UW P P AE EH0
cuppēdia|K UW P P EH0 D IY AE
cuppēdinārius|K UW P P EH0 D IY N AE RRR IY UW S
cuppēdō|K UW P P EH0 D OW0
cuppēs|K UW P P EH0 S
cupra|K UW P RRR AE
cupresseus|K UW P RRR EH0 S S EH0 UW S
cupressifer|K UW P RRR EH0 S S IY F EH0 RRR
cupressinus|K UW P RRR EH0 S S IY N UW S
cupressus|K UW P RRR EH0 S S UW S
cupressētum|K UW P RRR EH0 S S EH0 T UW M
cuprum|K UW P RRR UW M
cupāvō|K UW P AE UW OW0
cupīdō|K UW P IY D OW0
curacaoēnsis|K UW RRR AE S AE UW EH0 N S IY S
curalium|K UW RRR AE L IY UW M
curcuba|K UW RRR K UW B AE
curculiō|K UW RRR K UW L IY OW0
curdicus|K UW RRR D IY K UW S
curiatius|K UW RRR IY AE T IY UW S
curicta|K UW RRR IY K T AE
curidius|K UW RRR IY D IY UW S
curiga|K UW RRR IY G AE
curium|K UW RRR IY UW M
curius|K UW RRR IY UW S
curmiliaca|K UW RRR M IY L IY AE K AE
curriculum|K UW RRR RRR IY K UW L UW M
currus|K UW RRR RRR UW S
currīlis|K UW RRR RRR IY L IY S
currō|K UW RRR RRR OW0
currūlis|K UW RRR RRR UW L IY S
cursitō|K UW RRR S IY T OW0
cursiō|K UW RRR S IY OW0
cursor|K UW RRR S OW0 RRR
cursuālis|K UW RRR S UW AE L IY S
cursārius|K UW RRR S AE RRR IY UW S
cursōrius|K UW RRR S OW0 RRR IY UW S
cursōrī|K UW RRR S OW0 RRR IY
curta|K UW RRR T AE
curtilius|K UW RRR T IY L IY UW S
curtius|K UW RRR T IY UW S
curtus|K UW RRR T UW S
curtō|K UW RRR T OW0
curunda|K UW RRR UW N D AE
curve|K UW RRR UW EH0
curvidēns|K UW RRR UW IY D EH0 N S
curvilīneus|K UW RRR UW IY L IY N EH0 UW S
curvipēs|K UW RRR UW IY P EH0 S
curvirōstris|K UW RRR UW IY RRR OW0 S T RRR IY S
curvus|K UW RRR UW UW S
curvāmen|K UW RRR UW AE M EH0 N
curvās|K UW RRR UW AE S
curvī|K UW RRR UW IY
curvōs|K UW RRR UW OW0 S
curūlis|K UW RRR UW L IY S
cuscolium|K UW S K OW0 L IY UW M
cuspidō|K UW S P IY D OW0
cuspius|K UW S P IY UW S
cusus|K UW S UW S
cutiliae|K UW T IY L IY AE EH0
cutis|K UW T IY S
cutucuēnsis|K UW T UW K UW EH0 N S IY S
cutīcula|K UW T IY K UW L AE
cuzcoēnsis|K UW Z K OW0 EH0 N S IY S
cyaneae|K Y UW1 AE N EH0 AE EH0
cyanellus|K Y UW1 AE N EH0 L L UW S
cyanopterus|K Y UW1 AE N OW0 P T EH0 RRR UW S
cyanē|K Y UW1 AE N EH0
cyathus|K Y UW1 AE T UW S
cyaxarēs|K Y UW1 AE K S AE RRR EH0 S
cybaeus|K Y UW1 B AE EH0 UW S
cybindis|K Y UW1 B IY N D IY S
cybistra|K Y UW1 B IY S T RRR AE
cyclamen|K Y UW1 K L AE M EH0 N
cyclamīnos|K Y UW1 K L AE M IY N OW0 S
cyclas|K Y UW1 K L AE S
cyclicus|K Y UW1 K L IY K UW S
cycloborus|K Y UW1 K L OW0 B OW0 RRR UW S
cyclus|K Y UW1 K L UW S
cyclōps|K Y UW1 K L OW0 P S
cydara|K Y UW1 D AE RRR AE
cydnus|K Y UW1 D N UW S
cygnus|K Y UW1 G N UW S
cyitis|K Y UW1 IY T IY S
cylindricollis|K Y UW1 L IY N D RRR IY K OW0 L L IY S
cylindricus|K Y UW1 L IY N D RRR IY K UW S
cylindrus|K Y UW1 L IY N D RRR UW S
cyllēnē|K Y UW1 L L EH0 N EH0
cymba|K Y UW1 M B AE
cymbium|K Y UW1 M B IY UW M
cymithārra|K Y UW1 M IY T AE RRR RRR AE
cymīnum|K Y UW1 M IY N UW M
cyna|K Y UW1 N AE
cynaetha|K Y UW1 N AE EH0 T AE
cynanchē|K Y UW1 N AE N K EH0
cynanchēs|K Y UW1 N AE N K EH0 S
cynanē|K Y UW1 N AE N EH0
cynapsēs|K Y UW1 N AE P S EH0 S
cynismus|K Y UW1 N IY S M UW S
cynocephalus|K Y UW1 N OW0 K EH0 P AE L UW S
cynomāzon|K Y UW1 N OW0 M AE Z Z OW0 N
cynthia|K Y UW1 N T IY AE
cynthius|K Y UW1 N T IY UW S
cynthus|K Y UW1 N T UW S
cynōps|K Y UW1 N OW0 P S
cynūria|K Y UW1 N UW RRR IY AE
cyparissia|K Y UW1 P AE RRR IY S S IY AE
cyparissus|K Y UW1 P AE RRR IY S S UW S
cypasis|K Y UW1 P AE S IY S
cyphanta|K Y UW1 P AE N T AE
cyprinum|K Y UW1 P RRR IY N UW M
cyprius|K Y UW1 P RRR IY UW S
cyprus|K Y UW1 P RRR UW S
cyprīnum|K Y UW1 P RRR IY N UW M
cypsela|K Y UW1 P S EH0 L AE
cypselus|K Y UW1 P S EH0 L UW S
cyretiae|K Y UW1 RRR EH0 T IY AE EH0
cyrrhus|K Y UW1 RRR RRR UW S
cytae|K Y UW1 T AE EH0
cythnos|K Y UW1 T N OW0 S
cythēra|K Y UW1 T EH0 RRR AE
cytinium|K Y UW1 T IY N IY UW M
cytinus|K Y UW1 T IY N UW S
cytisus|K Y UW1 T IY S UW S
cytōrus|K Y UW1 T OW0 RRR UW S
cyzicēnus|K Y UW1 Z Z IY K EH0 N UW S
cācabus|K AE K AE B UW S
cācabāceus|K AE K AE B AE K EH0 UW S
cācabātus|K AE K AE B AE T UW S
cācus|K AE K UW S
cādūceus|K AE D UW K EH0 UW S
cādūceātor|K AE D UW K EH0 AE T OW0 RRR
cādūcifer|K AE D UW K IY F EH0 RRR
cāia|G AE IY AE
cāius|G AE IY UW S
cāiātiō|K AE IY AE T IY OW0
cāla|K AE L AE
cālam|K AE L AE M
cālātia|K AE L AE T IY AE
cālātīnus|K AE L AE T IY N UW S
cālīginōsus|K AE L IY G IY N OW0 S UW S
cālīgāte|K AE L IY G AE T EH0
cālīgātis|K AE L IY G AE T IY S
cālīgātiō|K AE L IY G AE T IY OW0
cālīgātus|K AE L IY G AE T UW S
cālīgātīs|K AE L IY G AE T IY S
cālīgātō|K AE L IY G AE T OW0
cālīgō|K AE L IY G OW0
cālīgōsus|K AE L IY G OW0 S UW S
cālō|K AE L OW0
cānaster|K AE N AE S T EH0 RRR
cāneō|K AE N EH0 OW0
cāniceps|K AE N IY K EH0 P S
cānidius|K AE N IY D IY UW S
cānius|K AE N IY UW S
cānus|K AE N UW S
cānēre|K AE N EH0 RRR EH0
cānēscō|K AE N EH0 S K OW0
cānīs|K AE N IY S
cānō|K AE N OW0
cānōs|K AE N OW0 S
cānūtus|K AE N UW T UW S
cāpus|K AE P UW S
cārae|K AE RRR AE EH0
cārex|K AE RRR EH0 K S
cārica|K AE RRR IY K AE
cārinō|K AE RRR IY N OW0
cāris|K AE RRR IY S
cāritās|K AE RRR IY T AE S
cārus|K AE RRR UW S
cārīs|K AE RRR IY S
cāsa|K AE S AE
cāseus|K AE S EH0 UW S
cāseārius|K AE S EH0 AE RRR IY UW S
cāseī|K AE S EH0 IY
cāseīs|K AE S EH0 IY S
cāsibus|K AE S IY B UW S
cāsiārius|K AE S IY AE RRR IY UW S
cāsum|K AE S UW M
cāsuum|K AE S UW UW M
cāsuāle|K AE S UW AE L EH0
cāsuālis|K AE S UW AE L IY S
cāsuālēs|K AE S UW AE L EH0 S
cāsuī|K AE S UW IY
cāsābundus|K AE S AE B UW N D UW S
cāsū|K AE S UW
cāvannus|K AE UW AE N N UW S
cē|K EH0
cēa|K EH0 AE
cēbuānus|K EH0 B UW AE N UW S
cēdam|K EH0 D AE M
cēdar|K EH0 D AE RRR
cēde|K EH0 D EH0
cēdendō|K EH0 D EH0 N D OW0
cēderem|K EH0 D EH0 RRR EH0 M
cēderēs|K EH0 D EH0 RRR EH0 S
cēdis|K EH0 D IY S
cēdor|K EH0 D OW0 RRR
cēdās|K EH0 D AE S
cēdēs|K EH0 D EH0 S
cēdī|K EH0 D IY
cēlāre|K EH0 L AE RRR EH0
cēlātor|K EH0 L AE T OW0 RRR
cēlō|K EH0 L OW0
cēna|K EH0 N AE
cēnitō|K EH0 N IY T OW0
cēnsennia|K EH0 N S EH0 N N IY AE
cēnseō|K EH0 N S EH0 OW0
cēnsor|K EH0 N S OW0 RRR
cēnsus|K EH0 N S UW S
cēnsēre|K EH0 N S EH0 RRR EH0
cēnsītiō|K EH0 N S IY T IY OW0
cēnsōrius|K EH0 N S OW0 RRR IY UW S
cēnsōrēs|K EH0 N S OW0 RRR EH0 S
cēnsūra|K EH0 N S UW RRR AE
cēnsūram|K EH0 N S UW RRR AE M
cēnsūre|K EH0 N S UW RRR EH0
cēnsūrus|K EH0 N S UW RRR UW S
cēnsūrās|K EH0 N S UW RRR AE S
cēnsūrīs|K EH0 N S UW RRR IY S
cēnsūrō|K EH0 N S UW RRR OW0
cēnsūrōs|K EH0 N S UW RRR OW0 S
cēnula|K EH0 N UW L AE
cēnulentus|K EH0 N UW L EH0 N T UW S
cēnāculum|K EH0 N AE K UW L UW M
cēnāculārius|K EH0 N AE K UW L AE RRR IY UW S
cēnāculātus|K EH0 N AE K UW L AE T UW S
cēnāticus|K EH0 N AE T IY K UW S
cēnātiō|K EH0 N AE T IY OW0
cēnāturiō|K EH0 N AE T UW RRR IY OW0
cēnātōrius|K EH0 N AE T OW0 RRR IY UW S
cēnō|K EH0 N OW0
cēpa|K EH0 P AE
cēpam|K EH0 P AE M
cēpheus|K EH0 P EH0 UW S
cēphās|K EH0 P AE S
cēphēius|K EH0 P EH0 IY UW S
cēphēnes|K EH0 P EH0 N EH0 S
cēphēus|K EH0 P EH0 UW S
cēphīsus|K EH0 P IY S UW S
cēpācius|K EH0 P AE K IY UW S
cēpī|K EH0 P IY
cēpītis|K EH0 P IY T IY S
cēra|K EH0 RRR AE
cēreus|K EH0 RRR EH0 UW S
cērimōnia|K EH0 RRR IY M OW0 N IY AE
cērintha|K EH0 RRR IY N T AE
cērinthus|K EH0 RRR IY N T UW S
cērium|K EH0 RRR IY UW M
cērula|K EH0 RRR UW L AE
cērussa|K EH0 RRR UW S S AE
cērussātus|K EH0 RRR UW S S AE T UW S
cērā|K EH0 RRR AE
cērāta|K EH0 RRR AE T AE
cērāte|K EH0 RRR AE T EH0
cērātō|K EH0 RRR AE T OW0
cērītis|K EH0 RRR IY T IY S
cērō|K EH0 RRR OW0
cērōma|K EH0 RRR OW0 M AE
cērōmaticus|K EH0 RRR OW0 M AE T IY K UW S
cērōsus|K EH0 RRR OW0 S UW S
cēterus|K EH0 T EH0 RRR UW S
cētius|K EH0 T IY UW S
cētra|K EH0 T RRR AE
cētus|K EH0 T UW S
cētārius|K EH0 T AE RRR IY UW S
cētī|K EH0 T IY
cēveō|K EH0 UW EH0 OW0
cībalae|K IY B AE L AE EH0
cīccum|K IY K K UW M
cīdalārius|K IY D AE L AE RRR IY UW S
cīdelārius|K IY D EH0 L AE RRR IY UW S
cīdlārius|K IY D L AE RRR IY UW S
cīlō|K IY L OW0
cīmex|K IY M EH0 K S
cīmōn|K IY M OW0 N
cīncius|K IY N K IY UW S
cīnctōrium|K IY N K T OW0 RRR IY UW M
cīnyps|K IY N Y UW1 P S
cīpus|K IY P UW S
cītreus|K IY T RRR EH0 UW S
cītrātus|K IY T RRR AE T UW S
cītōte|K IY T OW0 T EH0
cīvicus|K IY UW IY K UW S
cīvis|K IY UW IY S
cīvitās|K IY UW IY T AE S
cīvitātula|K IY UW IY T AE T UW L AE
cīvīle|K IY UW IY L EH0
cīvīlis|K IY UW IY L IY S
cīvīlista|K IY UW IY L IY S T AE
cīvīliter|K IY UW IY L IY T EH0 RRR
cīvīlitās|K IY UW IY L IY T AE S
cīvīlēs|K IY UW IY L EH0 S
cīvīlī|K IY UW IY L IY
cōbaltīnus|K OW0 B AE L T IY N UW S
cōbion|K OW0 B IY OW0 N
cōciō|K OW0 K IY OW0
cōda|K OW0 D AE
cōdex|K OW0 D EH0 K S
cōdīa|K OW0 D IY AE
cōgitanda|K OW0 G IY T AE N D AE
cōgitandus|K OW0 G IY T AE N D UW S
cōgitābundus|K OW0 G IY T AE B UW N D UW S
cōgitāns|K OW0 G IY T AE N S
cōgitāta|K OW0 G IY T AE T AE
cōgitātis|K OW0 G IY T AE T IY S
cōgitātiō|K OW0 G IY T AE T IY OW0
cōgitātus|K OW0 G IY T AE T UW S
cōgitātīs|K OW0 G IY T AE T IY S
cōgitātūra|K OW0 G IY T AE T UW RRR AE
cōgitāverimus|K OW0 G IY T AE UW EH0 RRR IY M UW S
cōgitāveris|K OW0 G IY T AE UW EH0 RRR IY S
cōgitāveritis|K OW0 G IY T AE UW EH0 RRR IY T IY S
cōgitō|K OW0 G IY T OW0
cōgō|K OW0 G OW0
cōlentum|K OW0 L EH0 N T UW M
cōleus|K OW0 L EH0 UW S
cōleātus|K OW0 L EH0 AE T UW S
cōlobathra|K OW0 L OW0 B AE T RRR AE
cōlus|K OW0 L UW S
cōlātum|K OW0 L AE T UW M
cōlātūrus|K OW0 L AE T UW RRR UW S
cōlī|K OW0 L IY
cōlō|K OW0 L OW0
cōlȳphia|K OW0 L Y UW1 P IY AE
cōmacum|K OW0 M AE K UW M
cōme|K OW0 M EH0
cōmem|K OW0 M EH0 M
cōmendō|K OW0 M EH0 N D OW0
cōmerem|K OW0 M EH0 RRR EH0 M
cōmerēs|K OW0 M EH0 RRR EH0 S
cōmessābundus|K OW0 M EH0 S S AE B UW N D UW S
cōmia|K OW0 M IY AE
cōmica|K OW0 M IY K AE
cōmicus|K OW0 M IY K UW S
cōmicī|K OW0 M IY K IY
cōmicō|K OW0 M IY K OW0
cōmis|K OW0 M IY S
cōmissor|K OW0 M IY S S OW0 RRR
cōmissābundus|K OW0 M IY S S AE B UW N D UW S
cōmissātiō|K OW0 M IY S S AE T IY OW0
cōmitō|K OW0 M IY T OW0
cōmoedia|K OW0 M OW0 EH0 D IY AE
cōmoedus|K OW0 M OW0 EH0 D UW S
cōmptus|K OW0 M P T UW S
cōmum|K OW0 M UW M
cōmī|K OW0 M IY
cōmō|K OW0 M OW0
cōnectam|K OW0 N EH0 K T AE M
cōnectar|K OW0 N EH0 K T AE RRR
cōnecte|K OW0 N EH0 K T EH0
cōnectās|K OW0 N EH0 K T AE S
cōnectēs|K OW0 N EH0 K T EH0 S
cōnectō|K OW0 N EH0 K T OW0
cōner|K OW0 N EH0 RRR
cōnexa|K OW0 N EH0 K S AE
cōnexiō|K OW0 N EH0 K S IY OW0
cōnexum|K OW0 N EH0 K S UW M
cōnexī|K OW0 N EH0 K S IY
cōnexīs|K OW0 N EH0 K S IY S
cōnexō|K OW0 N EH0 K S OW0
cōnexōrum|K OW0 N EH0 K S OW0 RRR UW M
cōnfactum|K OW0 N F AE K T UW M
cōnfactus|K OW0 N F AE K T UW S
cōnfarreātiō|K OW0 N F AE RRR RRR EH0 AE T IY OW0
cōnfarreō|K OW0 N F AE RRR RRR EH0 OW0
cōnfectiō|K OW0 N F EH0 K T IY OW0
cōnfectiōnārius|K OW0 N F EH0 K T IY OW0 N AE RRR IY UW S
cōnfector|K OW0 N F EH0 K T OW0 RRR
cōnfectrīx|K OW0 N F EH0 K T RRR IY K S
cōnfectōrium|K OW0 N F EH0 K T OW0 RRR IY UW M
cōnfectōrārius|K OW0 N F EH0 K T OW0 RRR AE RRR IY UW S
cōnfectūra|K OW0 N F EH0 K T UW RRR AE
cōnfectūrārius|K OW0 N F EH0 K T UW RRR AE RRR IY UW S
cōnfederātiō|K OW0 N F EH0 D EH0 RRR AE T IY OW0
cōnfer|K OW0 N F EH0 RRR
cōnferciō|K OW0 N F EH0 RRR K IY OW0
cōnfersus|K OW0 N F EH0 RRR S UW S
cōnfertifolius|K OW0 N F EH0 RRR T IY F OW0 L IY UW S
cōnferva|K OW0 N F EH0 RRR UW AE
cōnfervae|K OW0 N F EH0 RRR UW AE EH0
cōnferveō|K OW0 N F EH0 RRR UW EH0 OW0
cōnfervās|K OW0 N F EH0 RRR UW AE S
cōnfervēscō|K OW0 N F EH0 RRR UW EH0 S K OW0
cōnferō|K OW0 N F EH0 RRR OW0
cōnfessiō|K OW0 N F EH0 S S IY OW0
cōnfessor|K OW0 N F EH0 S S OW0 RRR
cōnfestim|K OW0 N F EH0 S T IY M
cōnficiēns|K OW0 N F IY K IY EH0 N S
cōnficiō|K OW0 N F IY K IY OW0
cōnfigūrat|K OW0 N F IY G UW RRR AE T
cōnfigūrātiō|K OW0 N F IY G UW RRR AE T IY OW0
cōnfigūrō|K OW0 N F IY G UW RRR OW0
cōnfingō|K OW0 N F IY N G OW0
cōnfirmandō|K OW0 N F IY RRR M AE N D OW0
cōnfirmem|K OW0 N F IY RRR M EH0 M
cōnfirmer|K OW0 N F IY RRR M EH0 RRR
cōnfirmā|K OW0 N F IY RRR M AE
cōnfirmārem|K OW0 N F IY RRR M AE RRR EH0 M
cōnfirmārās|K OW0 N F IY RRR M AE RRR AE S
cōnfirmārēs|K OW0 N F IY RRR M AE RRR EH0 S
cōnfirmās|K OW0 N F IY RRR M AE S
cōnfirmāsse|K OW0 N F IY RRR M AE S S EH0
cōnfirmāssem|K OW0 N F IY RRR M AE S S EH0 M
cōnfirmāssēs|K OW0 N F IY RRR M AE S S EH0 S
cōnfirmātiō|K OW0 N F IY RRR M AE T IY OW0
cōnfirmēs|K OW0 N F IY RRR M EH0 S
cōnfirmō|K OW0 N F IY RRR M OW0
cōnfiscō|K OW0 N F IY S K OW0
cōnfiteor|K OW0 N F IY T EH0 OW0 RRR
cōnflagrant|K OW0 N F L AE G RRR AE N T
cōnflagrāns|K OW0 N F L AE G RRR AE N S
cōnflagrātiō|K OW0 N F L AE G RRR AE T IY OW0
cōnflagrō|K OW0 N F L AE G RRR OW0
cōnfluentia|K OW0 N F L UW EH0 N T IY AE
cōnfluēns|K OW0 N F L UW EH0 N S
cōnfluō|K OW0 N F L UW OW0
cōnflāgēs|K OW0 N F L AE G EH0 S
cōnflātilis|K OW0 N F L AE T IY L IY S
cōnflīctiō|K OW0 N F L IY K T IY OW0
cōnflīctātiō|K OW0 N F L IY K T AE T IY OW0
cōnflīctō|K OW0 N F L IY K T OW0
cōnflīgātus|K OW0 N F L IY G AE T UW S
cōnflīgō|K OW0 N F L IY G OW0
cōnflō|K OW0 N F L OW0
cōnfodiō|K OW0 N F OW0 D IY OW0
cōnfoederandum|K OW0 N F OW0 EH0 D EH0 RRR AE N D UW M
cōnfoederandus|K OW0 N F OW0 EH0 D EH0 RRR AE N D UW S
cōnfoederātiō|K OW0 N F OW0 EH0 D EH0 RRR AE T IY OW0
cōnfoederātus|K OW0 N F OW0 EH0 D EH0 RRR AE T UW S
cōnfoederō|K OW0 N F OW0 EH0 D EH0 RRR OW0
cōnfortārēs|K OW0 N F OW0 RRR T AE RRR EH0 S
cōnfortō|K OW0 N F OW0 RRR T OW0
cōnforāneus|K OW0 N F OW0 RRR AE N EH0 UW S
cōnfoveō|K OW0 N F OW0 UW EH0 OW0
cōnfragōsus|K OW0 N F RRR AE G OW0 S UW S
cōnfremō|K OW0 N F RRR EH0 M OW0
cōnfricō|K OW0 N F RRR IY K OW0
cōnfringō|K OW0 N F RRR IY N G OW0
cōnfrāctiō|K OW0 N F RRR AE K T IY OW0
cōnfugitum|K OW0 N F UW G IY T UW M
cōnfugiō|K OW0 N F UW G IY OW0
cōnfulgeō|K OW0 N F UW L G EH0 OW0
cōnfundēre|K OW0 N F UW N D EH0 RRR EH0
cōnfundō|K OW0 N F UW N D OW0
cōnfutuō|K OW0 N F UW T UW OW0
cōnfābulor|K OW0 N F AE B UW L OW0 RRR
cōnfātālis|K OW0 N F AE T AE L IY S
cōnfīdant|K OW0 N F IY D AE N T
cōnfīdentiloquus|K OW0 N F IY D EH0 N T IY L OW0 K UW S
cōnfīdō|K OW0 N F IY D OW0
cōnfīgō|K OW0 N F IY G OW0
cōnfīnis|K OW0 N F IY N IY S
cōnfīnius|K OW0 N F IY N IY UW S
cōnfīō|K OW0 N F IY OW0
cōnfōrmis|K OW0 N F OW0 RRR M IY S
cōnfōrmitās|K OW0 N F OW0 RRR M IY T AE S
cōnfōrmātiō|K OW0 N F OW0 RRR M AE T IY OW0
cōnfōrmō|K OW0 N F OW0 RRR M OW0
cōnfūcius|K OW0 N F UW K IY UW S
cōnfūsiō|K OW0 N F UW S IY OW0
cōnfūsus|K OW0 N F UW S UW S
cōnfūtātiō|K OW0 N F UW T AE T IY OW0
cōnfūtātor|K OW0 N F UW T AE T OW0 RRR
cōnfūtō|K OW0 N F UW T OW0
cōnicus|K OW0 N IY K UW S
cōnifer|K OW0 N IY F EH0 RRR
cōniger|K OW0 N IY G EH0 RRR
cōnor|K OW0 N OW0 RRR
cōnsabrum|K OW0 N S AE B RRR UW M
cōnsacrō|K OW0 N S AE K RRR OW0
cōnsaepiō|K OW0 N S AE EH0 P IY OW0
cōnsalūtātiō|K OW0 N S AE L UW T AE T IY OW0
cōnsalūtō|K OW0 N S AE L UW T OW0
cōnsanguineus|K OW0 N S AE N G IY N EH0 UW S
cōnsanguinius|K OW0 N S AE N G IY N IY UW S
cōnsarcinō|K OW0 N S AE RRR K IY N OW0
cōnsarriō|K OW0 N S AE RRR RRR IY OW0
cōnsauciō|K OW0 N S AE UW K IY OW0
cōnscelerō|K OW0 N S K EH0 L EH0 RRR OW0
cōnscendō|K OW0 N S K EH0 N D OW0
cōnscientia|K OW0 N S K IY EH0 N T IY AE
cōnscientēs|K OW0 N S K IY EH0 N T EH0 S
cōnscindō|K OW0 N S K IY N D OW0
cōnscissiō|K OW0 N S K IY S S IY OW0
cōnscius|K OW0 N S K IY UW S
cōnsciō|K OW0 N S K IY OW0
cōnscreor|K OW0 N S K RRR EH0 OW0 RRR
cōnscrībillō|K OW0 N S K RRR IY B IY L L OW0
cōnscrībō|K OW0 N S K RRR IY B OW0
cōnscrīptiō|K OW0 N S K RRR IY P T IY OW0
cōnscrīptor|K OW0 N S K RRR IY P T OW0 RRR
cōnscēnsiō|K OW0 N S K EH0 N S IY OW0
cōnscīscō|K OW0 N S K IY S K OW0
cōnsecrātiō|K OW0 N S EH0 K RRR AE T IY OW0
cōnsecrātor|K OW0 N S EH0 K RRR AE T OW0 RRR
cōnsecrātrīx|K OW0 N S EH0 K RRR AE T RRR IY K S
cōnsecrō|K OW0 N S EH0 K RRR OW0
cōnsector|K OW0 N S EH0 K T OW0 RRR
cōnsectāneus|K OW0 N S EH0 K T AE N EH0 UW S
cōnsectārius|K OW0 N S EH0 K T AE RRR IY UW S
cōnsectātor|K OW0 N S EH0 K T AE T OW0 RRR
cōnsecō|K OW0 N S EH0 K OW0
cōnsentia|K OW0 N S EH0 N T IY AE
cōnsentius|K OW0 N S EH0 N T IY UW S
cōnsentiēns|K OW0 N S EH0 N T IY EH0 N S
cōnsentiō|K OW0 N S EH0 N T IY OW0
cōnsentāneus|K OW0 N S EH0 N T AE N EH0 UW S
cōnsenēscō|K OW0 N S EH0 N EH0 S K OW0
cōnsepeliō|K OW0 N S EH0 P EH0 L IY OW0
cōnsequor|K OW0 N S EH0 K OW0 RRR
cōnsequus|K OW0 N S EH0 K UW S
