ء|Q
إيجاد|Q IY D AE D
إيجار|Q IY D AE RRR
إيدز|Q IY D Z
إيذان|Q IY DH AE N
إيران|Q IY RRR AE N
إيريناوس|Q IY RRR IY N AE W UW S
إيصاء|Q IY S AE Q
إيطاليا|Q IY T AE L IY Y AE
إيقاع|Q IY K AE RH
إيمان|Q IY M AE N
ئ|Q
ا|Q UW
ائتلاف|IY Q T IY L AE F
ائتلف|IY Q T AE L AE F AE
ائتلق|IY AE T AE L AE K AE
ائتمر|IY Q T AE M AE RRR AE
ائتنس|IY Q T AE N AE S AE
ابتداء|IY B T IY D AE Q
ابتذل|IY B T AE DH AE L AE
ابتسام|IY B T IY S AE M
ابتسامة|IY B T IY S AE M AE
ابتعد|IY B T AE RH AE D AE
ابتغى|IY B T AE HH AE
ابتل|IY B T AE L L AE
ابتلاش|IY B T IY L AE SH
ابتلال|IY B T IY L AE L
ابتلى|IY B T AE L AE
ابتناء|IY B T IY N AE Q
ابتنى|IY B T AE N AE
ابتهاج|IY B T IY HH AE D
ابتهال|IY B T IY HH AE L
ابتهج|IY B T AE HH AE D AE
ابرغش|IY B RRR AE HH AE SH SH AE
ابن|IY B N IY
ابنة|IY B N AE
ات|AE T
اتبع|IY T T AE B AE RH AE
اتجاه|IY T T IY D AE HH
اتجاهات|IY T T IY D AE HH AE T
اتجه|IY T T AE D AE HH AE
اتحاد|IY T T IY HH AE D
اتحادي|IY T T IY HH AE D IY Y Y
اتحد|IY T T AE HH AE D AE
اتسام|IY T T IY S AE M
اتسع|IY T T AE S AE RH AE
اتسم|IY T T AE S AE M AE
اتصاف|IY T T IY S AE F
اتصال|IY T T IY S AE L
اتصل|IY T T AE S AE L AE
اتضاع|IY T T IY D AE RH
اتضح|IY T T AE D AE HH AE
اتعاظ|IY T T IY RH AE DH
اتعد|IY T T AE RH AE D AE
اتفاق|IY T T IY F AE K
اتهام|IY T T IY HH AE M
اتهم|IY T T AE HH AE M AE
اثنان|IY TH N AE N
اجتاز|IY D T AE Z AE
اجتذب|IY D T AE DH AE B AE
اجتلى|IY D T AE L AE
اجتماع|IY D T IY M AE RH
اجتماعي|IY D T IY M AE RH IY Y Y
اجتنب|IY D T AE N AE B AE
اجتنى|IY D T AE N AE
احتاج|IY HH T AE D AE
احتاز|IY HH T AE Z AE
احتج|IY HH T AE D D AE
احتراق|IY HH T IY RRR AE K
احترف|IY HH T AE RRR AE F AE
احترق|IY HH T AE RRR AE K AE
احتسى|IY HH T AE S AE
احتضن|IY HH T AE D AE N AE
احتفال|IY HH T IY F AE L
احتفل|IY HH T AE F AE L AE
احتقر|IY HH T AE K AE RRR AE
احتكار|IY HH T IY K AE RRR
احتلال|IY HH T IY L AE L
اختار|IY HH T AE RRR AE
اختبأ|IY HH T AE B AE Q
اختبر|IY HH T AE B AE RRR AE
اختتم|IY HH T AE T AE M AE
اخترق|IY HH T AE RRR AE K AE
اختزل|IY HH T AE Z AE L AE
اختص|IY HH T AE S S AE
اختصر|IY HH T AE S AE RRR AE
اختط|IY HH T AE T T AE
اختطاف|IY HH T IY T AE F
اختطف|IY HH T AE T AE F AE
اختل|IY HH T AE L L AE
اختلاس|IY HH T IY L AE S
اختلال|IY HH T IY L AE L
اختلف|IY HH T AE L AE F AE
اختنق|IY HH T AE N AE K AE
ادعى|IY D D AE RH AE
اذلولى|IY DH L AE W L AE
ارتاح|IY RRR T AE HH AE
ارتاع|IY RRR T AE RH AE
ارتباط|IY RRR T IY B AE T
ارتباك|IY RRR T IY B AE K
ارتبط|IY RRR T AE B AE T AE
ارتبك|IY RRR T AE B AE K AE
ارتخى|IY RRR T AE HH AE
ارتدع|IY RRR T AE D AE RH AE
ارتزق|IY RRR T AE Z AE K AE
ارتعش|IY RRR T AE RH AE SH AE
ارتعى|IY RRR T AE RH AE
ارتفع|IY RRR T AE F AE RH AE
ارتقب|IY RRR T AE K AE B AE
ارتياد|IY RRR T IY Y AE D
ارتياع|IY RRR T IY Y AE RH
ازدان|IY Z D AE N AE
ازدحم|IY Z D AE HH AE M AE
ازدهر|IY Z D AE HH AE RRR AE
ازديان|IY Z D IY Y AE N
استأنف|IY S T AE Q N AE F AE
استأهل|IY S T AE Q HH AE L AE
استئمارة|IY S T IY Q M AE RRR AE
استبحر|IY S T AE B HH AE RRR AE
استبد|IY S T AE B AE D D AE
استثمار|IY S T IY TH M AE RRR
استثناء|IY S T IY TH N AE Q
استثنائي|IY S T IY TH N AE Q IY Y Y
استجاب|IY S T AE D AE B AE
استجار|IY S T AE D AE RRR AE
استجمام|IY S T IY D M AE M
استجهل|IY S T AE D HH AE L AE
استحال|IY S T AE HH AE L AE
استحصل|IY S T AE HH S AE L AE
استحضر|IY S T AE HH D AE RRR AE
استحم|IY S T AE HH AE M M AE
استحوذ|IY S T AE HH W AE DH AE
استحيا|IY S T AE HH Y AE
استخبار|IY S T IY HH B AE RRR
استخدم|IY S T AE HH D AE M AE
استخرج|IY S T AE HH RRR AE D AE
استدعاء|IY S T IY D RH AE Q
استدعى|IY S T AE D RH AE
استدل|IY S T AE D AE L L AE
استرجع|IY S T AE RRR D AE RH AE
استرخاء|IY S T IY RRR HH AE Q
استسلم|IY S T AE S L AE M AE
استشار|IY S T AE SH AE RRR AE
استشراق|IY S T IY SH RRR AE K
استشرق|IY S T AE SH RRR AE K AE
استصبر|IY S T AE S B AE RRR AE
استصح|IY S T AE S AE HH HH AE
استصرخ|IY S T AE S RRR AE HH AE
استضاف|IY S T AE D AE F AE
استطار|IY S T AE T AE RRR AE
استطرد|IY S T AE T RRR AE D AE
استعاذ|IY S T AE RH AE DH AE
استعارة|IY S T IY RH AE RRR AE
استعان|IY S T AE RH AE N AE
استعصم|IY S T AE RH S AE M AE
استعمار|IY S T IY RH M AE RRR
استعمر|IY S T AE RH M AE RRR AE
استعمل|IY S T AE RH M AE L AE
استغاث|IY S T AE HH AE TH AE
استغرق|IY S T AE HH RRR AE K AE
استغفر|IY S T AE HH F AE RRR AE
استغل|IY S T AE HH AE L L AE
استغنى|IY S T AE HH N AE
استفاق|IY S T AE F AE K AE
استفتاء|IY S T IY F T AE Q
استفتى|IY S T AE F T AE
استفراغ|IY S T IY F RRR AE HH
استفرغ|IY S T AE F RRR AE HH AE
استفز|IY S T AE F AE Z Z AE
استفزاز|IY S T IY F Z AE Z
استفسار|IY S T IY F S AE RRR
استفهام|IY S T IY F HH AE M
استفهامي|IY S T IY F HH AE M IY Y Y
استقبال|S T IY K B AE L
استقتل|IY S T AE K T AE L AE
استقدم|IY S T AE K D AE M AE
استقل|IY S T AE K AE L L AE
استقلال|IY S T IY K L AE L
استكرى|IY S T AE K RRR AE
استكشاف|IY S T IY K SH AE F
استل|IY S T AE L L AE
استلزم|IY S T AE L Z AE M AE
استمات|IY S T AE M AE T AE
استمارة|IY S T IY M AE RRR AE
استمتع|IY S T AE M T AE RH AE
استمد|IY S T AE M AE D D AE
استمر|IY S T AE M AE RRR RRR AE
استمرار|IY S T IY M RRR AE RRR
استمسك|IY S T AE M S AE K AE
استمنى|IY S T AE M N AE
استنتاج|IY S T IY N T AE D
استنشق|IY S T AE N SH AE K AE
استنفاد|IY S T IY N F AE D
استنفد|IY S T AE N F AE D AE
استنكر|IY S T AE N K AE RRR AE
استهجان|IY S T IY HH D AE N
استهجن|IY S T AE HH D AE N AE
استهلك|IY S T AE HH L AE K AE
استهوى|IY S T AE HH W AE
استودع|IY S T AE W D AE RH AE
استوضح|IY S T AE W D AE HH AE
استوطأ|IY S T AE W T AE Q AE
استوعب|IY S T AE W RH AE B AE
استوقف|IY S T AE W K AE F AE
استيعاب|IY S T IY RH AE B
استيقظ|IY S T AE Y K AE DH AE
اسكتلندي|IY S K UW T L AE N D IY Y Y
اسم|UW S M UW
اشتاق|IY SH T AE K AE
اشتباك|IY SH T IY B AE K
اشتباه|IY SH T IY B AE HH
اشتد|IY SH T AE D D AE
اشترط|IY SH T AE RRR AE T AE
اشترى|IY SH T AE RRR AE
اشتق|IY SH T AE K K AE
اشتهى|IY SH T AE HH AE
اشتياق|IY SH T IY Y AE K
اشهل|IY SH HH AE L L AE
اشهلال|IY SH HH IY L AE L
اصباح|IY S B AE HH HH AE
اصحام|IY S HH AE M M AE
اصطاد|IY S T AE D AE
اصطب|IY S T AE B B AE
اصطباغ|IY S T IY B AE HH
اصطبغ|IY S T AE B AE HH AE
اصطبن|IY S T AE B AE N AE
اصطخد|IY S T AE HH AE D AE
اصطخم|IY S T AE HH AE M AE
اصطدأ|IY S T AE D AE Q AE
اصطك|IY S T AE K K AE
اصطلاح|IY S T IY L AE HH
اصطلح|IY S T AE L AE HH AE
اصطناعي|IY S T IY N AE RH IY Y Y
اصهاب|IY S HH AE B B AE
اصهب|IY S HH AE B B AE
اضطر|IY D T AE RRR RRR AE
اضطراب|IY D T IY RRR AE B
اضطرب|IY D T AE RRR AE B AE
اضطهاد|IY D T IY HH AE D
اطرد|UW T RRR UW D
اطمأننا|Q IY T M AE Q N AE N N AE
اعتاد|IY RH T AE D AE
اعتاض|IY RH T AE D AE
اعتبر|IY RH T AE B AE RRR AE
اعتداء|IY RH T IY D AE Q
اعتدال|IY RH T IY D AE L
اعتدى|IY RH T AE D AE
اعتذر|Q AE RH T AE DH IY RRR
اعتزام|IY RH T IY Z AE M
اعتزل|IY RH T AE Z AE L AE
اعتصم|IY RH T AE S AE M AE
اعتقاد|IY RH T IY K AE D
اعتقادية|IY RH T IY K AE D IY Y Y AE
اعتقد|IY RH T AE K AE D AE
اعتقل|IY RH T AE K AE L AE
اعتل|IY RH T AE L L AE
اعتلى|IY RH T AE L AE
اعتمد|IY RH T AE M AE D AE
اعتنى|IY RH T AE N AE
اعوج|IY RH W AE D D AE
اغتاب|IY HH T AE B AE
اغتصب|IY HH T AE S AE B AE
اغتنم|IY HH T AE N AE M AE
اغرورق|IY HH RRR AE W RRR AE K AE
افتخر|IY F T AE HH AE RRR AE
افتراع|IY F T IY RRR AE RH
افترض|IY F T AE RRR AE D AE
افترق|IY F T AE RRR AE K AE
افترى|IY F T AE RRR AE
افتقد|IY F T AE K AE D AE
اقتاد|IY K T AE D AE
اقتحم|IY K T AE HH AE M AE
اقترب|IY K T AE RRR AE B AE
اقترح|IY K T AE RRR AE HH AE
اقتسم|IY K T AE S AE M AE
اقتصاد|IY K T IY S AE D
اقتصد|IY K T AE S AE D AE
اقتصر|IY K T AE S AE RRR AE
اقتضى|IY K T AE D AE
اقتطف|K AE T AE F AE
اقتعد|IY K T AE RH AE D AE
اقشعر|IY K SH AE RH AE RRR RRR AE
اكتئاب|IY K T IY Q AE B
اكتتاب|IY K T IY T AE B
اكتتب|IY K T AE T AE B AE
اكتحل|IY K T AE HH AE L AE
اكترى|IY K T AE RRR AE
اكتسب|IY K T AE S AE B AE
اكتسى|IY K T AE S AE
اكتظ|IY K T AE DH DH AE
اكتظاظ|IY K T IY DH AE DH
اكتفاء|IY K T IY F AE Q
اكتفى|IY K T AE F AE
اكتنف|IY K T AE N AE F AE
الآخرة|AE L Q AE HH IY RRR AE
الآن|AE L Q AE N AE
الأحد|AE L Q AE HH AE D
الأربعاء|AE L Q AE RRR B IY RH AE Q
الأرثوذكسية|AE L Q UW RRR TH UW DH UW K S IY Y Y AE
الأرجنتين|AE L Q AE RRR D AE N T IY N
الأردن|AE L Q UW RRR D UW N N
الأرض|AE L Q AE RRR D
الأشهل|AE L Q AE SH HH AE L
الألى|AE L Q UW L AE
الأندلس|AE L Q AE N D UW L UW S
الإسكندرية|AE L Q IY S K AE N D AE RRR IY Y Y AE
الإسلام|AE L Q IY S L AE M
الإمارات|AE L Q IY M AE RRR AE T
الإنجيل|AE L Q IY N D IY L
الاثنين|AE L IY TH N AE Y N
البحرين|AE L B AE HH RRR AE Y N
البرازيل|AE L B AE RRR AE Z IY L
البراق|AE L B UW RRR AE K
البرتغال|AE L B UW RRR T UW HH AE L
البرجيس|AE L B IY RRR D IY S
البندقية|AE L B UW N D UW K IY Y Y AE
البهاما|AE L B AE HH AE M AE
التباس|IY L T IY B AE S
التحق|IY L T AE HH AE K AE
التشيك|AE T T SH IY K
التصق|IY L T AE S AE K AE
التقط|IY L T AE K AE T AE
التهاب|IY L T IY HH AE B
التهب|IY L T AE HH AE B AE
التهم|IY L T AE HH AE M AE
الثلاثاء|AE TH TH UW L AE TH AE Q
الجديدة|AE L D AE D IY D AE
الجزائر|AE L D AE Z AE Q IY RRR
الجمعة|AE L D UW M RH AE
الحارث|AE L HH AE RRR IY TH
الحبش|AE L HH AE B AE SH
الحبشة|AE L HH AE B AE SH AE
الحسيمة|AE L HH UW S AE Y M AE
الخرطوم|AE L HH UW RRR T UW M
الخمس|AE L HH UW M S
الخميس|AE L HH AE M IY S
الخميسات|AE L HH UW M AE Y S AE T
الدانوب|AE D D AE N UW B
الدنمارك|AE D D AE N M AE RRR K
الدوحة|AE D D AE W HH AE
الذي|AE L L AE DH IY
الرباط|AE RRR RRR IY B AE T
الرياض|AE RRR RRR IY Y AE D
الزرقاء|AE Z Z AE RRR K AE Q
الزهرة|AE Z Z UW HH AE RRR AE
السبت|AE S S AE B T
السعودية|AE S S UW RH UW D IY Y Y AE
السفن|AE S S UW F UW N
السلفادور|AE S S AE L F AE D UW RRR
السنغال|AE S S IY N IY HH AE L
السودان|AE S S UW D AE N
السويد|AE S S UW W AE Y D
الصربية|AE S S IY RRR B IY Y Y AE
الصومال|AE S S UW M AE L
الصويرة|AE S S AE W IY RRR AE
الصين|AE S S IY N
العاصي|AE L RH AE S IY
العبرية|AE L RH IY B RRR IY Y Y AE
العرائش|AE L RH AE RRR AE Q IY SH
العراق|AE L RH IY RRR AE K
العزى|AE L RH UW Z Z AE
الغابون|AE L HH AE B UW N
الفاتيكان|AE L V AE T IY K AE N
الفاطر|AE L F AE T IY RRR
الفرات|AE L F UW RRR AE T
الفصحى|AE L F UW S HH AE
الفلبين|AE L F IY L IY B B IY N
القاهرة|AE L K AE HH IY RRR AE
القدس|AE L K UW D S
القرآن|AE L K UW RRR Q AE N
القسطنطينية|AE L K UW S T AE N T IY N IY Y Y AE
القطيف|IH L K AH0 T IY F
القنيطرة|AE L K UW N AE Y T IY RRR AE
الكاميرون|AE L K AE M IY RRR UW N
الكنية|AE L K UW N Y AE
الكويت|AE L K UW W AE Y T
اللات|AE L L AE T
الله|AE L L AE HH UW
اللهم|Q AE L L AE HH UW M M AE
المجر|AE L M AE D AE RRR
المحمدية|AE L M UW HH AE M M AE D IY Y Y AE
المرء|AE L M AE RRR Q
المريخ|AE L M IY RRR RRR IY HH
المسيح|AE L M AE S IY HH
المشتري|AE L M UW SH T AE RRR IY
المغرب|AE L M AE HH RRR IY B
المكسيك|AE L M AE K S IY K
المنامة|AE L M AE N AE M AE
الناظور|AE N N AE DH UW RRR
النرويج|AE N N UW RRR W IY D
النمسا|AE N N IY M S AE
النيجر|AE N N IY D AE RRR
الهند|AE L HH IY N D
الوداع|AE L W AE D AE RH
اليابان|AE L Y AE B AE N
اليرموك|AE L Y AE RRR M UW K
اليسع|AE L Y AE S AE RH
اليمن|AE L Y AE M AE N
اليوم|AE L Y AE W M AE
اليونان|AE L Y UW N AE N
امتحان|IY M T IY HH AE N
امتعاض|IY M T IY RH AE D
امتعض|IY M T AE RH AE D AE
امتن|IY M T AE N N AE
امتنع|IY M T AE N AE RH AE
امرأ|IY M RRR AE Q AE N
امرأة|IY M RRR AE Q AE
امرؤ|IY M RRR UW Q
امناء|Q IY M N AE Q
انبث|IY N B AE TH TH AE
انبثق|IY N B AE TH AE K AE
انبغى|IY N B AE HH AE
انتبه|IY N T AE B AE HH AE
انتحال|IY N T IY HH AE L
انتحب|IY N T AE HH AE B AE
انتخب|IY N T AE HH AE B AE
انتزع|IY N T AE Z AE RH AE
انتشار|IY N T IY SH AE RRR
انتشق|IY N T AE SH AE K AE
انتصار|IY N T IY S AE RRR
انتصب|IY N T AE S AE B AE
انتظام|IY N T IY DH AE M
انتظر|IY N T AE DH AE RRR AE
انتظم|IY N T AE DH AE M AE
انتفاضة|IY N T IY F AE D AE
انتفخ|IY N T AE F AE HH AE
انتقاض|IY N T IY K AE D
انتقال|IY N T IY K AE L
انتقام|IY N T IY K AE M
انتقد|IY N T AE K AE D AE
انتقض|IY N T AE K AE D AE
انتقل|IY N T AE K AE L AE
انتقم|IY N T AE K AE M AE
انتماء|IY N T IY M AE Q
انتمى|IY N T AE M AE
انتهاك|IY N T IY HH AE K
انتهك|IY N T AE HH AE K AE
انتهى|IY N T AE HH AE
انجذاب|IY N D IY DH AE B
انجراف|IY N D IY RRR AE F
انجرف|IY N D AE RRR AE F AE
انحاز|IY N HH AE Z AE
انخرط|IY N HH AE RRR AE T AE
انخفاض|IY N HH IY F AE D
انخفض|IY N HH AE F AE D AE
اندفاع|IY N D IY F AE RH
اندلع|IY N D AE L AE RH AE
اندمج|IY N D AE M AE D AE
اندمل|IY N D AE M AE L AE
انزعاج|IY N Z IY RH AE D
انسجام|IY N S IY D AE M
انسحب|IY N S AE HH AE B AE
انسحق|IY N S AE HH AE K AE
انسل|IY N S AE L L AE
انسلخ|IY N S AE L AE HH AE
انشق|IY N SH AE K K AE
انشقاق|IY N SH IY K AE K
انصبن|IY N S AE B AE N AE
انصرف|IY N S AE RRR AE F AE
انضم|IY N D AE M M AE
انطبق|IY N T AE B AE K AE
انطلق|IY N T AE L AE K AE
انعدى|IY N RH AE D AE
انعقاد|IY N RH IY K AE D
انفتح|IY N F AE T AE HH AE
انفرث|IY N F AE RRR AE TH AE
انفرط|IY N F AE RRR AE T AE
انقد|IY N K AE D D AE
انقراض|IY N K IY RRR AE D
انقرض|IY N K AE RRR AE D AE
انقشع|Q IY N K AE SH AE RH AE
انقضاض|IY N K IY D AE D
انقضى|IY N K AE D AE
انقطع|IY N K AE T AE RH AE
انقلاب|IY N K IY L AE B
انقلب|IY N K AE L AE B AE
انكتاب|IY N K IY T AE B
انكتب|IY N K AE T AE B AE
انكمش|IY N K AE M AE SH AE
انهار|IY N HH AE RRR AE
انهمر|IY N HH AE M AE RRR AE
انهمك|IY N HH AE M AE K AE
اهتدى|IY HH T AE D AE
اهتز|IY HH T AE Z Z AE
اهتم|IY HH T AE M M AE
اِ|Q IY
ب|B IY
بأس|B AE Q S
بؤر|B UW Q AE RRR
بؤرة|B UW Q RRR AE
بئر|B IY Q RRR
بئس|B AE Q IY S AE
بئسما|B IY Q S AE M AE
باء|B AE Q AE
بائس|B AE Q IY S
بائع|B AE Q IY RH
بائن|B AE Q IY N
باب|B AE B
بابا|B AE B AE
بابل|B AE B IY L
بابور|B AE B UW RRR
بابونج|B AE B UW N AE D
باح|B AE HH AE
باحث|B AE HH IY TH
باخوم|B AE HH UW M
باد|B AE D IY N
بادية|B AE D IY Y AE
باذنجان|B AE DH IY N D AE N
باراغواي|B AE RRR AE HH UW W AE Y
بارد|B AE RRR IY D
بارز|B AE RRR IY Z
بارزد|B AE RRR Z AE D
بارزذ|B AE RRR Z AE DH
بارك|B AE RRR AE K AE
باروق|B AE RRR UW K
باريس|B AE RRR IY S
باز|B AE Z
بازار|B AE Z AE RRR
بازنقر|B AE Z IY N G IY RRR
بازهر|B AE Z AE HH RRR
باستا|P AE S T AE
باسل|B AE S IY L
باسور|B AE S UW RRR
باص|B AE S
باصور|B AE S UW RRR
باضع|B AE D IY RH
باطس|B AE T UW S
باطني|B AE T IY N IY Y Y
باطية|B AE T IY Y AE
باع|B AE RH AE
باغت|B AE HH AE T AE
باقة|B AE K AE
باقلاء|B AE K IY L L AE Q
باقلى|B AE K IY L L AE
باكستان|B AE K IY S T AE N
باكستاني|B AE K IY S T AE N IY Y Y
باكو|B AE K UW
بال|B L
بالة|B AE L AE
بالتوفيق|B IY T T AE W F IY K IY
بالضبط|B IY D D AE B T IY
بالعكس|B IY L RH AE K S
بالفعل|B IY L F IY RH L IY
بالوعات|B AE L UW RH AE T
بالون|B AE L UW N
باليه|B AE L EH0 HH
بامية|B AE M IY Y AE
ببر|B AE B RRR
ببنودة|B AE B N UW D AE
بتاتا|B AE T AE T AE
بتة|B AE T T AE
بتع|B IY T RH
بتليس|B IY T L IY S
بتول|B AE T UW L
بتولية|B AE T UW L IY Y Y AE
بثرات|B AE TH AE RRR AE T
بثن|B AE TH AE N
بثور|B UW TH UW RRR
بجد|B IY D IY D D IY N
بجوار|B IY D IY W AE RRR
بح|B AE HH HH AE
بحاح|B UW HH AE HH
بحار|B AE HH HH AE RRR
بحث|B AE HH TH
بحر|B AE HH HH AE RRR AE
بحران|B UW HH RRR AE N
بحري|B AE HH RRR IY Y Y
بحريني|B AE HH RRR AE Y N IY Y Y
بحيرة|B UW HH AE Y RRR AE
بخت|B UW HH T
بخشيش|B AE HH SH IY SH
بخص|B AE HH AE S AE
بخير|B IY HH AE Y RRR
بدأ|B AE D AE Q AE
بدا|B AE D AE
بدر|B AE D RRR
بدلات|B AE D AE L AE T
بدلة|B AE D L AE
بدليس|B AE D L IY S
بدنة|B AE D AE N AE
بدني|B AE D AE N IY Y Y
بدهي|B AE D AE HH IY Y Y
بدوي|B AE D AE W IY Y Y
بديهي|B AE D IY HH IY Y Y
بذ|B AE DH DH AE
بذاءة|B AE DH AE Q AE
بذج|B UW DH AE D
بذرقطونا|B AE DH RRR AE K AE T UW N AE
بذلة|B IY DH L AE
برأ|B AE RRR AE Q AE
برئ|B AE RRR IY Q AE
براءة|B AE RRR AE Q AE
براشوت|B AE RRR AE SH UW T
براعة|B AE RRR AE RH AE
براغ|B RRR AE HH
براق|B AE RRR RRR AE K
براني|B AE RRR RRR AE N IY Y Y
براين|B RRR AE Y AE N
بربارة|B AE RRR B AE RRR AE
برباريس|B AE RRR B AE RRR IY S
بربخ|B AE RRR B AE HH
بربري|B AE RRR B AE RRR IY Y Y
بربرية|B AE RRR B AE RRR IY Y Y AE
بربير|B AE RRR B IY RRR
برتقال|B UH RRR T AH0 K AA L
برتقالي|B UW RRR T UW K AE L IY Y Y
برج|B UW RRR D
برجار|B IY RRR D AE RRR
برجل|B AE RRR D AE L
برح|B AE RRR RRR AE HH AE
بردعة|B AE RRR D AE RH AE
بردقوش|B AE RRR D AE K UW SH
بردي|B UW RRR D IY Y Y
برذعة|B AE RRR DH AE RH AE
برذون|B IY RRR DH AE W N
برر|B AE RRR RRR AE RRR AE
برز|B AE RRR AE Z AE
برسيم|B IY RRR S IY M
برشام|B UW RRR SH AE M
برشومي|B AE RRR SH UW M IY Y Y
برشيد|B AE RRR SH IY D
برعم|B UW RRR RH UW M
برغش|B AE RRR HH AE SH
برغوث|B UW RRR HH UW TH
برغي|B UW RRR HH IY Y Y
برق|B AE RRR K
برقوق|B UW RRR K UW K
برقية|B AE RRR K IY Y Y AE
بركار|B IY RRR K AE RRR
بركان|B UH RRR K AE N
بركة|B UW RRR K AE
بركري|B AE RRR K AE RRR IY Y Y
برلمان|B AE RRR L AE M AE N
برمائي|B AE RRR M AE Q IY Y Y
برمج|B AE RRR M AE D AE
برن|B UW RRR N AE
برنامج|B AE RRR N AE M AE D
برنية|B AE RRR N IY Y Y AE
برنيق|B IY RRR N IY K
برهة|B UW RRR HH AE
برواز|B AE RRR W AE Z
بروكسل|B RRR UW K S IY L
بروناي|B RRR UW N AE Y
بري|B AE RRR RRR IY
بريد|B AE RRR IY D
بريطاني|B IY RRR IY T AE N IY Y Y
بريمة|B AE RRR RRR IY M AE
بزاز|B AE Z Z AE Z
بزاق|B UW Z AE K
بزاقة|B AE Z Z AE K AE
بزرقطونا|B AE Z RRR AE K AE T UW N AE
بزق|B AE Z K
بزم|B AE Z AE M AE
بس|B AE S S AE
بساط|Q AE B S IY T AE
بساطة|B AE S AE T AE
بسالة|B AE S AE L AE
بسباس|B IY S B AE S
بسباسة|B IY S B AE S AE
بسبايج|B AE S B AE Y AE D
بسبب|B IY S AE B AE B IY
بستان|B UW S T AE N
بستو|P EH0 S T OW0
بستوقة|B UW S T UW K AE
بسفايج|B AE S F AE Y AE D
بسكرة|B IY S K AE RRR AE
بسمة|B AE S M AE
بسملة|B AE S M AE L AE
بشار|B IY SH AE RRR
بشرة|B AE SH AE RRR AE
بشري|B AE SH AE RRR IY Y Y
بشرية|B AE SH AE RRR IY Y Y AE
بشع|B AE SH IY RH
بشملة|B AE SH M AE L AE
بشندي|B AE SH AE N D IY
بشنونة|B AE SH N UW N AE
بشوش|B AE SH UW SH
بصق|B AE S K
بصل|B AE S AE L
بصير|B AE S IY RRR
بضاعة|B IY D AE RH AE
بضع|B IY D RH
بضعة|B IY D RH AE
بطء|B UW T Q
بطؤ|B AE T UW Q AE
بطاء|B IY T AE Q
بطارخ|B UW T AE RRR IY HH
بطارقة|B AE T AE RRR IY K AE
بطاريق|B AE T AE RRR IY K
بطاطا|B AE T AE T AE
بطاطس|B AE T AE T IY S
بطاقة|B IY T AE K AE
بطالة|B IY T AE L AE
بطانة|B IY T AE N AE
بطة|B AE T T AE
بطرخ|B AE T RRR AE HH
بطرس|B UW T RRR UW S
بطرك|B AE T RRR AE K
بطروخ|B AE T RRR UW HH
بطريركية|B AE T RRR IY Y AE RRR K IY Y Y AE
بطريك|B AE T RRR IY K
بطم|B UW T M
بطن|B AE T T AE N AE
بطولة|B UW T UW L AE
بطيء|B AE T IY Q
بظر|B AA DH RRR
بعث|B AE RH TH
بعثة|B AE RH TH AE
بعثران|B AE RH TH AE RRR AE N
بعثي|B AE RH TH IY Y Y
بعدما|B AE RH D AE M AE
بعر|B AE RH RRR
بعض|B AE RH D
بعل|B AE RH L
بعلبك|B RH AE L B AE K
بعلة|B AE RH L AE
بعوض|B AE RH UW D
بعيثران|B UW RH AE Y TH AE RRR AE N
بعيد|B AE RH IY D
بعير|B AE RH IY RRR
بغاء|B IY HH AE Q
بغتة|B AE HH T AE
بغداد|B AE HH D AE D
بغرير|B AE HH RRR IY RRR
بغل|B AE HH L
بغلة|B AE HH L AE
بغي|B AE HH IY Y Y
بغية|B UW HH Y AE
بغيض|B AE HH IY D
بقاع|B IY K AE RH
بقبق|B AE K B AE K AE
بقجة|B UW K D AE
بقدونس|B AE K D UW N IY S
بقر|B AE K AE RRR
بقرة|B AE K AE RRR AE
بقس|B UW K S
بقشة|B UW K SH AE
بقص|B UW K S
بقع|B UW K AE RH
بقعة|B UW K RH AE
بقل|B AE K L
بقي|B IY G IY
بقية|B AE K IY Y Y AE
بكارة|B AE K AE RRR AE
بكارج|B AE K AE RRR IY D
بكة|B AE K K AE
بكتيريا|B AE K T IY RRR IY Y AE
بكرج|B AE K RRR AE D
بكى|B UW K AE N
بكين|P IY K IY N
بلادونا|B IY L AE D UW N AE
بلاذر|B AE L AE DH UW RRR
بلاستيك|B L AE S T IY K
بلاستيكي|B L AE S T IY K IY Y Y
بلاعة|B AE L L AE RH AE
بلاغة|B AE L AE HH AE
بلان|B AE L L AE N
بلاهة|B AE L AE HH AE
بلجيكا|B IY L ZH IY K AE
بلجيكي|B IY L D IY K IY Y Y
بلس|B UW L UW S
بلشون|B AE L AE SH UW N
بلطة|B AE L T AE
بلطي|B UW L T IY Y Y
بلعوم|B UW L RH UW M
بلغاري|B UW L HH AE RRR IY Y Y
بلغاريا|B UW L HH AE RRR IY Y AE
بلغم|B AE L HH AE M
بلغمي|B AE L HH AE M IY Y Y
بلكفة|B AE L K AE F AE
بلل|B AE L L AE L AE
بلوة|B IY L W AE
بلوتو|B L UW T UW
بلور|B IY L L UW RRR
بلوط|B AE L L UW T
بليج|B IY L L IY D
بليحا|B AE L IY HH AE
بليحاء|B AE L IY HH AE Q
بليحة|B AE L IY HH AE
بليز|B AE L IY Z
بليلة|B AE L IY L AE
بليلج|B AE L IY L AE D
بن|IY B N
بنان|B AE N AE N
بناية|B IY N AE Y AE
بنت|B IY N T UW
