а|AA
вільнюс|V IY L N UH S
він|V IY N
вінниця|V IY N EH0 T AA
віно|V IY N AO
віра|V IY RRR AA
вірити|V IY RRR EH0 T EH0
вірменський|V IY RRR M EH N S K EH0 IY
вірменія|V IY RRR M EH N IY Y AA
вірний|V IY RRR N EH0 IY
віросповідання|V IY RRR AO S P AO V IY D AA N AA
віртуальна|V IY RRR T UH AA L N AA
віртуальний|V IY RRR T UH AA L N EH0 IY
віру|V IY RRR UH
вірувати|V IY RRR UH V AA T EH0
вірус|V IY RRR UH S
вірш|V IY RRR SH
вірьовка|V IY RRR AO UW K AA
віск|V IY S K
віскі|V IY S K IY
вісла|V IY S L AA
вість|V IY S T
вісь|V IY S
вісім|V IY S IY M
вісімдесят|V IY S IY M D EH0 S AA T
вісімдесятий|V IY S IY M D EH0 S AA T EH0 IY
вісімнадцятий|V IY S IY M N AA D T AA T EH0 IY
вісімнадцять|V IY S IY M N AA D T AA T
вісімсот|V IY S IY M S AO T
віталень|V IY T AA L EH0 N
вітальне|V IY T AA L N EH0
вітальнею|V IY T AA L N EH0 Y UH
вітальню|V IY T AA L N UH
вітальня|V IY T AA L N AA
вітальням|V IY T AA L N AA M
вітальнями|V IY T AA L N AA M EH0
вітальнях|V IY T AA L N AA HH
вітальні|V IY T AA L N IY
вітамін|V IY T AA M IY N
вітати|V IY T AA T EH0
вітебськ|V IY T EH0 B S K
вітер|V IY T EH0 RRR
вітка|V IY T K AA
вітрило|V IY T RRR IH L AO
вітрильний|V IY T RRR IH L N EH0 IY
вітряний|V IY T RRR AA N EH0 IY
вітчизна|V IY T IH Z N AA
вітчизняний|V IY T IH Z N AA N EH0 IY
вічко|V IY T K AO
вічний|V IY T N EH0 IY
вічність|V IY T N IY S T
вішати|V IY SH AA T EH0
вію|V IY Y UH
вія|V IY Y AA
віям|V IY Y AA M
віями|V IY Y AA M EH0
віяти|V IY Y AA T EH0
віях|V IY Y AA HH
віє|V IY Y EH0
вією|V IY Y EH0 Y UH
вії|V IY Y IY
г|
гавана|AA V AA N AA
гаванський|AA V AA N S K EH0 IY
гавань|AA V AA N
гавкати|AA UW K AA T EH0
гагауз|AA AA UW Z
гад|AA D
гадати|AA D AA T EH0
гаджет|AA D EH0 T
гаджуґа|AA D UW G AA
гадюка|AA D UW K AA
газ|AA Z
газета|AA Z EH T AA
газопровід|AA Z AO P RRR AO V IY D
газу|AA Z UH
гай|AA IY
гайстер|AA IY S T EH0 RRR
гал|AA L
галактика|AA L AA K T EH0 K AA
галактичний|AA L AA K T IH T N EH0 IY
галамагати|AA L AA M AA AA T EH0
галасливий|AA L AA S L IH V EH0 IY
галерея|AA L EH0 RRR EH Y AA
галина|AA L IH N AA
галиця|AA L EH0 T AA
галич|AA L EH0 T
галка|AA L K AA
галстук|AA L S T UH K
галузь|AA L UH Z
галун|AA L UW N
галушка|AA L UW SH K AA
гальмо|AA L M AO
галюцинація|AA L UH T EH0 N AA T IY Y AA
галюциногенний|AA L UH T EH0 N AO EH N EH0 IY
галявина|AA L AA V EH0 N AA
гаманець|AA M AA N EH T
гамбія|AA M B IY Y AA
гамуз|AA M UH Z
гамузом|AA M UH Z AO M
гана|AA N AA
ганебний|AA N EH B N EH0 IY
ганьба|AA N B AA
ганьбити|AA N B IH T EH0
ганяти|AA N AA T EH0
гарантувати|AA RRR AA N T UH V AA T EH0
гарантія|AA RRR AA N T IY Y AA
гарбуз|AA RRR B UW Z
гармата|AA RRR M AA T AA
гармонія|AA RRR M AO N IY Y AA
гарний|AA RRR N EH0 IY
гарнізон|AA RRR N IY Z AO N
гарячий|AA RRR AA T EH0 IY
гаучо|AA UH T AO
гачек|AA T EH0 K
гаяти|AA Y AA T EH0
гаятися|AA Y AA T EH0 S AA
гаїті|AA Y IY T IY
гвинт|V IH N T
гвинтівка|V EH0 N T IY UW K AA
гвінея|V IY N EH Y AA
гданськ|D AA N S K
гей|EH IY
геймплей|EH0 IY M P L EH IY
гель|EH L
гелій|EH L IY IY
геморой|EH0 M AO RRR AO IY
генасамблея|EH0 N AA S AA M B L EH Y AA
гендер|EH N D EH0 RRR
гендерний|EH N D EH0 RRR N EH0 IY
генеалогічний|EH0 N EH0 AA L OW0 IY T N EH0 IY
генеалогія|EH0 N EH0 AA L AO IY Y AA
генерація|EH0 N EH0 RRR AA T IY Y AA
генерувати|EH0 N EH0 RRR UH V AA T EH0
генетика|EH0 N EH T EH0 K AA
генетичний|EH0 N EH0 T IH T N EH0 IY
геном|EH N AO M
геноцид|EH0 N AO T IH D
геноциди|EH0 N AO T IH D EH0
геноцидів|EH0 N AO T IH D IY UW
географія|EH0 AO RRR AA F IY Y AA
геометрична|EH0 AO M EH0 T RRR IH T N AA
геометричний|EH0 AO M EH0 T RRR IH T N EH0 IY
геометрія|EH0 AO M EH T RRR IY Y AA
геоморфологічний|EH0 AO M AO RRR F AO L OW0 IY T N EH0 IY
геоморфологія|EH0 AO M AO RRR F AO L AO IY Y AA
геополітика|EH0 AO P OW0 L IY T EH0 K AA
геополітичний|EH0 AO P AO L IY T IH T N EH0 IY
георгій|EH0 AO RRR IY IY
геофізика|EH0 OW0 F IY Z EH0 K AA
геофізичний|EH0 AO F IY Z IH T N EH0 IY
геральдика|EH0 RRR AA L D EH0 K AA
гербата|EH0 RRR B AA T AA
гервасій|EH0 RRR V AA S IY IY
герой|EH0 RRR AO IY
героїчний|EH0 RRR AO Y IY T N EH0 IY
герцеговина|EH0 RRR T EH0 AO V IH N AA
герцог|EH RRR T AO
герцогиня|EH0 RRR T AO IH N AA
гетьман|EH T M AA N
гидкий|EH0 D K IH IY
гинути|IH N UH T EH0
глава|L AA V AA
глаголиця|L AA AO L EH0 T AA
гладилка|L AA D IH L K AA
гладкий|L AA D K EH0 IY
гладкість|L AA D K IY S T
гладіатор|L AA D IY AA T AO RRR
гладіаторський|L AA D IY AA T AO RRR S K EH0 IY
глек|L EH K
глибина|L EH0 B EH0 N AA
глибинний|L EH0 B IH N EH0 IY
глибокий|L EH0 B AO K EH0 IY
глина|L IH N AA
глиняний|L IH N AA N EH0 IY
глитати|L EH0 T AA T EH0
глобальний|L AO B AA L N EH0 IY
глобалізація|L AO B AA L IY Z AA T IY Y AA
глобус|L AO B UH S
глузд|L UW Z D
глупий|L UW P EH0 IY
глухий|L UH HH IH IY
глядач|L AA D AA T
глядачка|L AA D AA T K AA
глядіти|L AA D IY T EH0
глянути|L AA N UH T EH0
глід|L IY D
гнати|N AA T EH0
гнилий|N EH0 L IH IY
гнити|N IH T EH0
гнути|N UW T EH0
гнів|N IY UW
гніватися|N IY V AA T EH0 S AA
гнідий|N IY D IH IY
гніздо|N IY Z D AO
гній|N IY IY
говорити|AO W AO RRR IH T EH0
говіркий|AO V IY RRR K IH IY
гоголь|AO AO L
година|AO D IH N AA
годинник|AO D IH N EH0 K
годувати|AO D UH V AA T EH0
голий|AO L EH0 IY
голка|AO L K AA
голландець|AO L AA N D EH0 T
голландка|AO L AA N D K AA
голландський|AO L AA N D S K EH0 IY
голландія|AO L AA N D IY Y AA
голова|AO L AO V AA
головний|AO L AO UW N IH IY
головно|AO L AO UW N AO
голод|AO L AO D
голодний|AO L AO D N EH0 IY
голодомор|AO L AO D AO M AO RRR
голос|AO L AO S
голосний|AO L AO S N IH IY
голосування|AO L AO S UH V AA N AA
голосувати|AO L AO S UH V AA T EH0
голота|AO L AO T AA
голуб|AO L UH B
голубий|AO L UH B IH IY
гольф|AO L F
гомель|AO M EH0 L
гомосексуальний|AO M AO S EH0 K S UH AA L N EH0 IY
гомосексуальність|AO M AO S EH0 K S UH AA L N IY S T
гомосексуалізм|AO M AO S EH0 K S UH AA L IY Z M
гомосексуаліст|AO M AO S EH0 K S UH AA L IY S T
гони|AO N EH0
гонконг|AO N K AO N
гонор|AO N AO RRR
гончар|AO N T AA RRR
гора|AO RRR AA
горб|AO RRR B
гордий|AO RRR D EH0 IY
гординя|AO RRR D IH N AA
гордитися|AO RRR D IH T EH0 S AA
гордість|AO RRR D IY S T
горе|AO RRR EH0
горизонт|AO RRR EH0 Z AO N T
горизонтальний|AO RRR EH0 Z AO N T AA L N EH0 IY
горизонтам|AO RRR EH0 Z AO N T AA M
горизонтами|AO RRR EH0 Z AO N T AA M EH0
горизонтах|AO RRR EH0 Z AO N T AA HH
горизонти|AO RRR EH0 Z AO N T EH0
горизонтові|AO RRR EH0 Z AO N T AO V IY
горизонтом|AO RRR EH0 Z AO N T AO M
горизонту|AO RRR EH0 Z AO N T UH
горизонті|AO RRR EH0 Z AO N T IY
горизонтів|AO RRR EH0 Z AO N T IY UW
гористий|AO RRR IH S T EH0 IY
горище|AO RRR IH SH T EH0
горло|AO RRR L AO
гормон|AO RRR M AO N
гормональний|AO RRR M AO N AA L N EH0 IY
гормони|AO RRR M AO N EH0
гормонів|AO RRR M AO N IY UW
горн|AO RRR N
горностай|AO RRR N AO S T AA IY
горобець|AO RRR AO B EH T
город|AO RRR AO D
городище|AO RRR AO D IH SH T EH0
городня|AO RRR AO D N AA
городянин|AO RRR AO D AA N EH0 N
горох|AO RRR AO HH
горілка|OW0 RRR IY L K AA
горілки|AO RRR IY L K IH
горілок|AO RRR IY L AO K
горіти|OW0 RRR IY T EH0
горіх|OW0 RRR IY HH
господар|AO S P AO D AA RRR
господарство|AO S P AO D AA RRR S T W AO
господине|AO S P AO D IH N EH0
господинею|AO S P AO D IH N EH0 Y UH
господинь|AO S P AO D IH N
господиню|AO S P AO D IH N UH
господиня|AO S P AO D IH N AA
господиням|AO S P AO D IH N AA M
господинями|AO S P AO D IH N AA M EH0
господинях|AO S P AO D IH N AA HH
господині|AO S P AO D IH N IY
госпіталізація|AO S P IY T AA L IY Z AA T IY Y AA
госпіталізувати|AO S P IY T AA L IY Z UH V AA T EH0
гостиниця|AO S T IH N EH0 T AA
гостинний|AO S T IH N EH0 IY
гостинність|AO S T IH N IY S T
гоститися|AO S T IH T EH0 S AA
гострий|AO S T RRR EH0 IY
гострити|AO S T RRR IH T EH0
гостювати|AO S T UH V AA T EH0
гостя|AO S T AA
готель|AO T EH L
готовий|AO T AO V EH0 IY
готовність|AO T AO UW N IY S T
готувати|AO T UH V AA T EH0
готівка|OW0 T IY UW K AA
готівковий|AO T IY UW K AO V EH0 IY
гра|RRR AA
грабельки|RRR AA B EH0 L K IH
граблі|RRR AA B L IY
грабіж|RRR AA B IY ZH
гравець|RRR AA V EH T
гравітаційний|RRR AA V IY T AA T IY IY N EH0 IY
гравітація|RRR AA V IY T AA T IY Y AA
град|RRR AA D
градус|RRR AA D UH S
грам|RRR AA M
граматика|RRR AA M AA T EH0 K AA
граматичний|RRR AA M AA T IH T N EH0 IY
грамотний|RRR AA M AO T N EH0 IY
грамотність|RRR AA M AO T N IY S T
гранат|RRR AA N AA T
граната|RRR AA N AA T AA
гранатомет|RRR AA N AA T AO M EH T
границя|RRR AA N IH T AA
граніт|RRR AA N IY T
грати|RRR AA T EH0
гратися|RRR AA T EH0 S AA
графік|RRR AA F IY K
грач|RRR AA T
гребля|RRR EH B L AA
гребти|RRR EH0 B T IH
гребінь|RRR EH B IY N
грець|RRR EH T
грецький|RRR EH T K EH0 IY
греція|RRR EH T IY Y AA
гречка|RRR EH T K AA
гри|RRR IH
гриб|RRR IH B
грива|RRR IH V AA
гривень|RRR IH V EH0 N
гривне|RRR IH UW N EH0
гривнею|RRR IH UW N EH0 Y UH
гривню|RRR IH UW N UH
гривня|RRR IH UW N AA
гривням|RRR IH UW N AA M
гривнями|RRR IH UW N AA M EH0
гривнях|RRR IH UW N AA HH
гривні|RRR IH UW N IY
григоріанський|RRR EH0 AO RRR IY AA N S K EH0 IY
григоріанського|RRR EH0 AO RRR IY AA N S K AO AO
григорій|RRR EH0 AO RRR IY IY
гризти|RRR IH Z T EH0
гринда|RRR IH N D AA
гро|RRR AO
гродно|RRR AO D N AO
гроза|RRR AO Z AA
громада|RRR AO M AA D AA
громадський|RRR AO M AA D S K EH0 IY
громадянин|RRR AO M AA D AA N EH0 N
громадянка|RRR AO M AA D AA N K AA
громадянство|RRR AO M AA D AA N S T W AO
громадянська|RRR AO M AA D AA N S K AA
громадянський|RRR AO M AA D AA N S K EH0 IY
громадянських|RRR AO M AA D AA N S K EH0 HH
громико|RRR AO M IH K AO
громило|RRR AO M IH L AO
грошей|RRR AO SH EH0 IY
гроші|RRR AO SH IY
грою|RRR AO Y UH
гру|RRR UW
груба|RRR UW B AA
грубий|RRR UW B EH0 IY
грудень|RRR UW D EH0 N
груди|RRR UW D EH0
грудь|RRR UW D
грузинський|RRR UH Z IH N S K EH0 IY
грузія|RRR UW Z IY Y AA
група|RRR UW P AA
груповий|RRR UH P AO V IH IY
груша|RRR UW SH AA
грязь|RRR AA Z
грі|RRR IY
гріб|RRR IY B
грізний|RRR IY Z N EH0 IY
грім|RRR IY M
гріх|RRR IY HH
гріховний|RRR IY HH AO UW N EH0 IY
гріховність|RRR IY HH AO UW N IY S T
гріш|RRR IY SH
грішити|RRR IY SH IH T EH0
грішний|RRR IY SH N EH0 IY
губа|UH B AA
губернатор|UH B EH0 RRR N AA T AO RRR
гуляти|UH L AA T EH0
гуляш|UH L AA SH
гума|UW M AA
гуманізм|UH M AA N IY Z M
гуманіст|UH M AA N IY S T
гуманістичний|UH M AA N IY S T IH T N EH0 IY
гуманістка|UH M AA N IY S T K AA
гуманітарний|UH M AA N IY T AA RRR N EH0 IY
гумор|UW M AO RRR
гумору|UW M AO RRR UH
гуртожиток|UH RRR T AO ZH EH0 T AO K
гурченко|UW RRR T EH0 N K AO
гусак|UH S AA K
гусениця|UW S EH0 N EH0 T AA
гуси|UW S EH0
гуска|UW S K AA
гуслі|UW S L IY
густий|UH S T IH IY
густота|UH S T AO T AA
гуся|UH S AA
гусятко|UH S AA T K AO
гуцульщина|UH T UW L SH T EH0 N AA
гібридна|IY B RRR IH D N AA
гібридний|IY B RRR IH D N EH0 IY
гівно|IY UW N AO
гігантський|IY AA N S K EH0 IY
гігієна|IY IY Y EH N AA
гігієнічний|IY IY Y EH0 N IY T N EH0 IY
гід|IY D
гідний|IY D N EH0 IY
гідність|IY D N IY S T
гідравліка|IY D RRR AA UW L IY K AA
гідравлічний|IY D RRR AA UW L IY T N EH0 IY
гідроген|IY D RRR AO EH N
гідрологічний|IY D RRR AO L OW0 IY T N EH0 IY
гідрологія|IY D RRR AO L AO IY Y AA
гілка|IY L K AA
гілля|IY L AA
гімно|IY M N AO
гін|IY N
гінеколог|IY N EH0 K AO L AO
гінекологічний|IY N EH0 K AO L OW0 IY T N EH0 IY
гінекологія|IY N EH0 K AO L AO IY Y AA
гіперактивний|IY P EH0 RRR AA K T IH UW N EH0 IY
гіперактивність|IY P EH0 RRR AA K T IH UW N IY S T
гіперпосилання|IY P EH0 RRR P AO S EH0 L AA N AA
гіперінфляція|IY P EH0 RRR IY N F L AA T IY Y AA
гіпотеза|IY P AO T EH0 Z AA
гіркий|IY RRR K IH IY
гірський|IY RRR S K IH IY
гірший|IY RRR SH EH0 IY
гість|IY S T
гітара|IY T AA RRR AA
давай|D AA V AA IY
давальний|D AA V AA L N EH0 IY
давати|D AA V AA T EH0
давид|D AA V IH D
давильця|D AA V IH L T AA
давньогрецький|D AA UW N AO RRR EH T K EH0 IY
давньоримський|D AA UW N AO RRR IH M S K EH0 IY
давній|D AA UW N IY IY
далекий|D AA L EH K EH0 IY
далеко|D AA L EH K AO
дальше|D AA L SH EH0
далі|D AA L IY
дамба|D AA M B AA
данелаг|D AA N EH0 L AA
дані|D AA N IY
данія|D AA N IY Y AA
дарвінізм|D AA RRR V IY N IY Z M
даремний|D AA RRR EH M N EH0 IY
даремність|D AA RRR EH M N IY S T
дарина|D AA RRR IH N AA
дата|D AA T AA
дати|D AA T EH0
датський|D AA T K EH0 IY
датувати|D AA T UH V AA T EH0
дах|D AA HH
дбайливий|D B AA IY L IH V EH0 IY
дбати|D B AA T EH0
два|D V AA
двадцятий|D V AA D T AA T EH0 IY
двадцятиоднокутник|D V AA D T AA T EH0 AO D N OW0 K UW T N EH0 K
двадцять|D V AA D T AA T
дванадцятий|D V AA N AA D T AA T EH0 IY
дванадцять|D V AA N AA D T AA T
двері|D V EH RRR IY
двигати|D V IH AA T EH0
двигун|D V EH0 UW N
двозначний|D W AO Z N AA T N EH0 IY
двоколісний|D W AO K OW0 L IY S N EH0 IY
двомовний|D W AO M AO UW N EH0 IY
двомовність|D W AO M AO UW N IY S T
двоногий|D W AO N AO EH0 IY
двоповерховий|D W AO P AO V EH0 RRR HH AO V EH0 IY
двосторонній|D W AO S T AO RRR AO N IY IY
двохсот|D W AO HH S AO T
двохсотий|D W AO HH S AO T EH0 IY
двоє|D W AO Y EH0
двоїна|D W AO Y IY N AA
дві|D V IY
двір|D V IY RRR
двісті|D V IY S T IY
двічі|D V IY T IY
де|D EH
дебелий|D EH0 B EH L EH0 IY
дебют|D EH0 B UW T
дебютний|D EH0 B UW T N EH0 IY
дебютувати|D EH0 B UH T UH V AA T EH0
дебіл|D EH0 B IY L
дев'яностий|D EH0 V Y AA N AO S T EH0 IY
дев'яносто|D EH0 V Y AA N AO S T AO
дев'ясил|D EH0 V Y AA S IH L
дев'ятеро|D EH V Y AA T EH0 RRR AO
дев'яти|D EH0 V Y AA T IH
дев'ятий|D EH0 V Y AA T EH0 IY
дев'ятисот|D EH0 V Y AA T EH0 S AO T
дев'ятисотий|D EH0 V Y AA T EH0 S AO T EH0 IY
дев'ятитисячний|D EH0 V Y AA T EH0 T IH S AA T N EH0 IY
дев'ятнадцятий|D EH0 V Y AA T N AA D T AA T EH0 IY
дев'ятнадцять|D EH0 V Y AA T N AA D T AA T
дев'ять|D EH V Y AA T
девіантний|D EH0 V IY AA N T N EH0 IY
дейтон|D EH IY T AO N
декларативний|D EH0 K L AA RRR AA T IH UW N EH0 IY
декларацій|D EH0 K L AA RRR AA T IY IY
декларацію|D EH0 K L AA RRR AA T IY Y UH
декларація|D EH0 K L AA RRR AA T IY Y AA
деклараціям|D EH0 K L AA RRR AA T IY Y AA M
деклараціями|D EH0 K L AA RRR AA T IY Y AA M EH0
деклараціях|D EH0 K L AA RRR AA T IY Y AA HH
деклараціє|D EH0 K L AA RRR AA T IY Y EH0
декларацією|D EH0 K L AA RRR AA T IY Y EH0 Y UH
декларації|D EH0 K L AA RRR AA T IY Y IY
декларувати|D EH0 K L AA RRR UH V AA T EH0
декоративний|D EH0 K AO RRR AA T IH UW N EH0 IY
декорація|D EH0 K AO RRR AA T IY Y AA
декорум|D EH0 K AO RRR UH M
декриміналізація|D EH0 K RRR EH0 M IY N AA L IY Z AA T IY Y AA
декілька|D EH K IY L K AA
делегат|D EH0 L EH0 AA T
делегатка|D EH0 L EH0 AA T K AA
делегацій|D EH0 L EH0 AA T IY IY
делегацію|D EH0 L EH0 AA T IY Y UH
делегація|D EH0 L EH0 AA T IY Y AA
делегаціям|D EH0 L EH0 AA T IY Y AA M
делегаціями|D EH0 L EH0 AA T IY Y AA M EH0
делегаціях|D EH0 L EH0 AA T IY Y AA HH
делегацією|D EH0 L EH0 AA T IY Y EH0 Y UH
делегації|D EH0 L EH0 AA T IY Y IY
делегувати|D EH0 L EH0 UH V AA T EH0
дельфін|D EH0 L F IY N
делікатний|D EH0 L IY K AA T N EH0 IY
делікатність|D EH0 L IY K AA T N IY S T
делірій|D EH0 L IY RRR IY IY
демократ|D EH0 M AO K RRR AA T
демократизація|D EH0 M AO K RRR AA T EH0 Z AA T IY Y AA
демократизувати|D EH0 M AO K RRR AA T EH0 Z UH V AA T EH0
демократичний|D EH0 M AO K RRR AA T IH T N EH0 IY
демократично|D EH0 M AO K RRR AA T IH T N AO
демократка|D EH0 M AO K RRR AA T K AA
демократія|D EH0 M AO K RRR AA T IY Y AA
демонстрація|D EH0 M AO N S T RRR AA T IY Y AA
демонструвати|D EH0 M AO N S T RRR UH V AA T EH0
демілітаризація|D EH0 M IY L IY T AA RRR EH0 Z AA T IY Y AA
дендрохронологія|D EH0 N D RRR AO HH RRR AO N AO L AO IY Y AA
день|D EH N
депресивний|D EH0 P RRR EH0 S IH UW N EH0 IY
депресія|D EH0 P RRR EH S IY Y AA
депутат|D EH0 P UH T AA T
дерев'яний|D EH0 RRR EH0 V Y AA N EH0 IY
дерево|D EH RRR EH0 W AO
дерен|D EH RRR EH0 N
держав|D EH0 RRR ZH AA UW
держава|D EH0 RRR ZH AA V AA
державний|D EH0 RRR ZH AA UW N EH0 IY
держпозика|D EH0 RRR ZH P AO Z EH0 K AA
дерзкий|D EH0 RRR Z K IH IY
деркач|D EH0 RRR K AA T
десерт|D EH0 S EH RRR T
десертам|D EH0 S EH RRR T AA M
десертами|D EH0 S EH RRR T AA M EH0
десертах|D EH0 S EH RRR T AA HH
десерти|D EH0 S EH RRR T EH0
десертові|D EH0 S EH RRR T AO V IY
десертом|D EH0 S EH RRR T AO M
десерту|D EH0 S EH RRR T UH
десерті|D EH0 S EH RRR T IY
десертів|D EH0 S EH RRR T IY UW
десь|D EH S
десятеро|D EH S AA T EH0 RRR AO
десятий|D EH0 S AA T EH0 IY
десятиліття|D EH0 S AA T EH0 L IY T AA
десятиріччя|D EH0 S AA T EH0 RRR IY T AA
десять|D EH S AA T
деталь|D EH0 T AA L
детальний|D EH0 T AA L N EH0 IY
дефект|D EH0 F EH K T
дефініцій|D EH0 F IY N IY T IY IY
дефініцію|D EH0 F IY N IY T IY Y UH
дефініція|D EH0 F IY N IY T IY Y AA
дефініціям|D EH0 F IY N IY T IY Y AA M
дефініціями|D EH0 F IY N IY T IY Y AA M EH0
дефініціях|D EH0 F IY N IY T IY Y AA HH
дефініцією|D EH0 F IY N IY T IY Y EH0 Y UH
дефініції|D EH0 F IY N IY T IY Y IY
дефіс|D EH0 F IY S
дефіцит|D EH0 F IY T IH T
дехто|D EH HH T AO
дециметр|D EH0 T EH0 M EH T RRR
дешевий|D EH0 SH EH V EH0 IY
дешевший|D EH0 SH EH UW SH EH0 IY
деїзм|D EH0 Y IY Z M
джаз|D AA Z
джгут|D UW T
джгутик|D UW T EH0 K
джерело|D EH0 RRR EH0 L AO
джибуті|D EH0 B UW T IY
джинси|D IH N S EH0
джміль|D M IY L
джунглі|D UW N L IY
дзвоник|D W AO N EH0 K
дзвонити|D W AO N IH T EH0
дзвін|D V IY N
дзвіниця|D V IY N IH T AA
дзвінкий|D V IY N K IH IY
дзвінкість|D V IY N K IY S T
дзеркало|D EH RRR K AA L AO
дзиґа|D IH G AA
дзьоб|D AO B
дзюбенко|D UH B EH N K AO
дзюрчалка|D UH RRR T AA L K AA
дзядко|D AA D K AO
дивак|D EH0 V AA K
диван|D EH0 V AA N
диверсифікація|D EH0 V EH0 RRR S EH0 F IY K AA T IY Y AA
диверсифікувати|D EH0 V EH0 RRR S EH0 F IY K UH V AA T EH0
дивина|D EH0 V EH0 N AA
дивитися|D EH0 V IH T EH0 S AA
дивний|D IH UW N EH0 IY
диво|D IH W AO
дивувати|D EH0 W UH V AA T EH0
дивізій|D EH0 V IY Z IY IY
дивізію|D EH0 V IY Z IY Y UH
дивізія|D EH0 V IY Z IY Y AA
дивізіям|D EH0 V IY Z IY Y AA M
дивізіями|D EH0 V IY Z IY Y AA M EH0
дивізіях|D EH0 V IY Z IY Y AA HH
дивізіє|D EH0 V IY Z IY Y EH0
дивізією|D EH0 V IY Z IY Y EH0 Y UH
дивізії|D EH0 V IY Z IY Y IY
дизайн|D EH0 Z AA IY N
дизайнер|D EH0 Z AA IY N EH0 RRR
дизентерія|D EH0 Z EH0 N T EH0 RRR IY Y AA
диканя|D EH0 K AA N AA
дикий|D IH K EH0 IY
дикобраз|D EH0 K AO B RRR AA Z
диктант|D EH0 K T AA N T
диктатор|D EH0 K T AA T AO RRR
диктаторський|D EH0 K T AA T AO RRR S K EH0 IY
дикунський|D EH0 K UW N S K EH0 IY
дилема|D EH0 L EH M AA
дим|D IH M
динамізм|D EH0 N AA M IY Z M
динаміка|D EH0 N AA M IY K AA
динамічний|D EH0 N AA M IY T N EH0 IY
динамічно|D EH0 N AA M IY T N AO
диня|D IH N AA
диплом|D EH0 P L AO M
диплома|D EH0 P L AO M AA
дипломат|D EH0 P L AO M AA T
дипломатичний|D EH0 P L AO M AA T IH T N EH0 IY
дипломатія|D EH0 P L AO M AA T IY Y AA
дипломи|D EH0 P L AO M EH0
дипломів|D EH0 P L AO M IY UW
директор|D EH0 RRR EH K T AO RRR
дирижабль|D EH0 RRR EH0 ZH AA B L
дисбаланс|D EH0 Z B AA L AA N S
дисертацій|D EH0 S EH0 RRR T AA T IY IY
дисертацію|D EH0 S EH0 RRR T AA T IY Y UH
дисертація|D EH0 S EH0 RRR T AA T IY Y AA
дисертаціям|D EH0 S EH0 RRR T AA T IY Y AA M
дисертаціями|D EH0 S EH0 RRR T AA T IY Y AA M EH0
дисертаціях|D EH0 S EH0 RRR T AA T IY Y AA HH
дисертацією|D EH0 S EH0 RRR T AA T IY Y EH0 Y UH
дисертації|D EH0 S EH0 RRR T AA T IY Y IY
дисиміляція|D EH0 S EH0 M IY L AA T IY Y AA
диск|D IH S K
дискримінаційний|D EH0 S K RRR EH0 M IY N AA T IY IY N EH0 IY
дискримінація|D EH0 S K RRR EH0 M IY N AA T IY Y AA
дискримінувати|D EH0 S K RRR EH0 M IY N UH V AA T EH0
дискусійний|D EH0 S K UH S IY IY N EH0 IY
дискусія|D EH0 S K UW S IY Y AA
дискутант|D EH0 S K UH T AA N T
дискутувати|D EH0 S K UH T UH V AA T EH0
дислокація|D EH0 S L AO K AA T IY Y AA
диспетчер|D EH0 S P EH T EH0 RRR
дистанційне|D EH0 S T AA N T IY IY N EH0
дистанційний|D EH0 S T AA N T IY IY N EH0 IY
дисфункція|D EH0 S F UW N K T IY Y AA
дисципліна|D EH0 S T EH0 P L IY N AA
дисциплінувати|D EH0 S T EH0 P L IY N UH V AA T EH0
дитина|D EH0 T IH N AA
дитинство|D EH0 T IH N S T W AO
дитсадка|D EH0 T AA D K AA
дитсадки|D EH0 T AA D K IH
дитсадків|D EH0 T AA D K IY UW
дитсадок|D EH0 T AA D AO K
дитя|D EH0 T AA
дитята|D EH0 T AA T AA
дитячий|D EH0 T AA T EH0 IY
дихальний|D IH HH AA L N EH0 IY
дихання|D IH HH AA N AA
дихати|D IH HH AA T EH0
дихотомія|D EH0 HH AO T OW0 M IY Y AA
диявол|D EH0 Y AA W AO L
диявола|D EH0 Y AA W AO L AA
для|D L AA
днище|D N IH SH T EH0
дно|D N AO
дня|D N AA
днях|D N AA HH
дніпр|D N IY P RRR
дніпро|D N IY P RRR AO
дніпропетровськ|D N IY P RRR AO P EH0 T RRR AO UW S K
до|D AO
доба|D AO B AA
добраніч|D AO B RRR AA N IY T
добре|D AO B RRR EH0
добривечір|D AO B RRR EH0 V EH T IY RRR
добридень|D AO B RRR EH0 D EH N
добрий|D AO B RRR EH0 IY
добробут|D AO B RRR AO B UH T
доброволець|D AO B RRR AO W AO L EH0 T
доброзичливець|D AO B RRR AO Z IH T L EH0 V EH0 T
доброзичливий|D AO B RRR AO Z IH T L EH0 V EH0 IY
доброзичливиця|D AO B RRR AO Z IH T L EH0 V EH0 T AA
добросусідський|D AO B RRR AO S UH S IY D S K EH0 IY
доброта|D AO B RRR AO T AA
доброчесний|D AO B RRR AO T EH S N EH0 IY
доброчесність|D AO B RRR AO T EH S N IY S T
добувати|D AO B UH V AA T EH0
добути|D OW0 B UW T EH0
добуток|D AO B UH T AO K
довг|D AO UW
довгий|D AO UW EH0 IY
довго|D AO UW AO
довгоніг|D AO UW OW0 N IY
довгоніжка|D AO UW OW0 N IY ZH K AA
довгостроковий|D AO UW AO S T RRR AO K AO V EH0 IY
довгота|D AO UW AO T AA
