a|AE
dostroić|D AO S T RRR AO IY T
dostrojenie|D AO S T RRR AO Y EH N IY0 EH
dostrzec|D AO S T SH EH T
dostrzegając|D AO S T SH EH G AE Y AO N T
dostrzegające|D AO S T SH EH G AE Y AO N T EH
dostrzegający|D AO S T SH EH G AE Y AO N T IH0
dostrzegalny|D AO S T SH EH G AE L N IH0
dostrzeganie|D AO S T SH EH G AE N IY0 EH
dostrzegać|D AO S T SH EH G AE T
dostąp|D AO S T AO M P
dostąpić|D AO S T AO M P IY T
dostęp|D AO S T EH M P
dostępna|D AO S T EH M P N AE
dostępne|D AO S T EH M P N EH
dostępniejszy|D AO S T EH M P N IY0 EH Y SH IH0
dostępność|D AO S T EH M P N AO SH T
dostępny|D AO S T EH M P N IH0
dostępować|D AO S T EH M P AO V AE T
dostępu|D AO S T EH M P UW
dosuniecie|D AO S UW N IY0 EH T EH
dosunięcie|D AO S UW N IY0 EH N IY0 T EH
dosuwanie|D AO S UW V AE N IY0 EH
dosuń|D AO S UW N IY0
dosyp|D AO S IH0 P
dosypiać|D AO S IH0 P Y AE T
dosyć|D AO S IH0 T
doszczętnie|D AO SH T EH N T N IY0 EH
doszczętny|D AO SH T EH N T N IH0
doszedł|D AO SH EH D W
doszkalać|D AO SH K AE L AE T
doszkolić|D AO SH K AO L IY T
doszli|D AO SH L IY
doszlifować|D AO SH L IY F AO V AE T
doszukać|D AO SH UW K AE T
doszukiwać|D AO SH UW K IY V AE T
doszyty|D AO SH IH0 T IH0
doszywać|D AO SH IH0 V AE T
doszyć|D AO SH IH0 T
doszła|D AO SH W AE
doszło|D AO SH W AO
doszły|D AO SH W IH0
dosłownie|D AO S W AO V N IY0 EH
dosłowniej|D AO S W AO V N IY0 EH Y
dosłowny|D AO S W AO V N IH0
dosłuchać|D AO S W UW HH AE T
dosłuchiwać|D AO S W UW HH IY V AE T
dosłyszeć|D AO S W IH0 SH EH T
dotacja|D AO T AE T Y AE
dotaczać|D AO T AE T AE T
dotarcie|D AO T AE RRR T EH
dotarli|D AO T AE RRR L IY
dotarła|D AO T AE RRR W AE
dotkliwie|D AO T K L IY V Y EH
dotkliwy|D AO T K L IY V IH0
dotkniecie|D AO T K N IY0 EH T EH
dotknij|D AO T K N IY0 IY Y
dotknięci|D AO T K N IY0 EH N IY0 T IY
dotknięcie|D AO T K N IY0 EH N IY0 T EH
dotknięty|D AO T K N IY0 EH N T IH0
dotknąć|D AO T K N AO N IY0 T
dotnie|D AO T N IY0 EH
dotną|D AO T N AO W
dotnę|D AO T N EH
dotoczyć|D AO T AO T IH0 T
dotop|D AO T AO P
dotopienie|D AO T AO P Y EH N IY0 EH
dotować|D AO T AO V AE T
dotrwać|D AO T RRR F AE T
dotrze|D AO T SH EH
dotrzemy|D AO T SH EH M IH0
dotrzeć|D AO T SH EH T
dotrzyj|D AO T SH IH0 Y
dotrzymać|D AO T SH IH0 M AE T
dotrzymywać|D AO T SH IH0 M IH0 V AE T
dotychczas|D AO T IH0 HH T AE S
dotychczasowy|D AO T IH0 HH T AE S AO V IH0
dotyczy|D AO T IH0 T IH0
dotyczyć|D AO T IH0 T IH0 T
dotyk|D AO T IH0 K
dotyka|D AO T IH0 K AE
dotykając|D AO T IH0 K AE Y AO N T
dotykające|D AO T IH0 K AE Y AO N T EH
dotykający|D AO T IH0 K AE Y AO N T IH0
dotykanie|D AO T IH0 K AE N IY0 EH
dotykać|D AO T IH0 K AE T
dotykowy|D AO T IH0 K AO V IH0
dotąd|D AO T AO N T
dowal|D AO V AE L
dowartościować|D AO V AE RRR T AO SH T AO V AE T
dowartościowywać|D AO V AE RRR T AO SH T AO V IH0 V AE T
dowcip|D AO F T IY P
dowcipas|D AO F T IY P AE S
dowcipek|D AO F T IY P EH K
dowcipkować|D AO F T IY P K AO V AE T
dowcipnie|D AO F T IY P N IY0 EH
dowcipniej|D AO F T IY P N IY0 EH Y
dowcipniś|D AO F T IY P N IY0 IY SH
dowcipność|D AO F T IY P N AO SH T
dowcipny|D AO F T IY P N IH0
dowgiałło|D AO V G Y AE W W AO
dowgielewicz|D AO V G Y EH L EH V IY T
dowhan|D AO F HH AE N
dowhań|D AO F HH AE N IY0
dowiadywanie|D AO V Y AE D IH0 V AE N IY0 EH
dowiadywać|D AO V Y AE D IH0 V AE T
dowiat|D AO V Y AE T
dowie|D AO V Y EH
dowiedz|D AO V Y EH T
dowiedzenie|D AO V Y EH D EH N IY0 EH
dowiedział|D AO V Y EH D AE W
dowiedziałem|D AO V Y EH D AE W EH M
dowiedzie|D AO V Y EH D EH
dowiedziemy|D AO V Y EH D EH M IH0
dowiedzieć|D AO V Y EH D EH T
dowiedź|D AO V Y EH T
dowiem|D AO V Y EH M
dowiemy|D AO V Y EH M IH0
dowiercanie|D AO V Y EH RRR T AE N IY0 EH
dowiercenie|D AO V Y EH RRR T EH N IY0 EH
dowiesz|D AO V Y EH SH
dowiezienie|D AO V Y EH ZH EH N IY0 EH
dowieść|D AO V Y EH SH T
dowieźć|D AO V Y EH SH T
dowiodą|D AO V Y AO D AO W
dowiodę|D AO V Y AO D EH
dowodu|D AO V AO D UW
dowody|D AO V AO D IH0
dowodzenie|D AO V AO D EH N IY0 EH
dowodzi|D AO V AO D IY
dowodzik|D AO V AO D IY K
dowodzić|D AO V AO D IY T
dowodów|D AO V AO D UW F
dowolna|D AO V AO L N AE
dowolne|D AO V AO L N EH
dowolnego|D AO V AO L N EH G AO
dowolnej|D AO V AO L N EH Y
dowolnemu|D AO V AO L N EH M UW
dowolni|D AO V AO L N IY0 IY
dowolnie|D AO V AO L N IY0 EH
dowolność|D AO V AO L N AO SH T
dowolny|D AO V AO L N IH0
dowolnych|D AO V AO L N IH0 HH
dowolnym|D AO V AO L N IH0 M
dowolną|D AO V AO L N AO W
dowozić|D AO V AO ZH IY T
dowołanie|D AO V AO W AE N IY0 EH
dowożenie|D AO V AO EH N IY0 EH
dowód|D AO V UW T
dowódca|D AO V UW T T AE
dowóz|D AO V UW S
doza|D AO Z AE
dozgonny|D AO Z G AO N N IH0
doznanie|D AO Z N AE N IY0 EH
doznawać|D AO Z N AE V AE T
doznać|D AO Z N AE T
dozorca|D AO Z AO RRR T AE
dozorczyni|D AO Z AO RRR T IH0 N IY0 IY
dozorem|D AO Z AO RRR EH M
dozorować|D AO Z AO RRR AO V AE T
dozorowi|D AO Z AO RRR AO V IY
dozoru|D AO Z AO RRR UW
dozorze|D AO Z AO EH
dozować|D AO Z AO V AE T
dozownik|D AO Z AO V N IY0 IY K
dozwalać|D AO Z V AE L AE T
dozwolić|D AO Z V AO L IY T
dozór|D AO Z UW RRR
dołach|D AO W AE HH
doładować|D AO W AE D AO V AE T
doładowywać|D AO W AE D AO V IH0 V AE T
dołami|D AO W AE M IY
dołazić|D AO W AE ZH IY T
dołczan|D AO W T AE N
dołeczek|D AO W EH T EH K
dołek|D AO W EH K
dołem|D AO W EH M
dołgan|D AO W G AE N
dołgań|D AO W G AE N IY0
dołhan|D AO W HH AE N
dołhań|D AO W HH AE N IY0
dołom|D AO W AO M
dołomisiewicz|D AO W AO M IY SH EH V IY T
dołować|D AO W AO V AE T
dołowi|D AO W AO V IY
dołowicz|D AO W AO V IY T
dołowiec|D AO W AO V Y EH T
dołożenie|D AO W AO EH N IY0 EH
dołożyć|D AO W AO IH0 T
dołu|D AO W UW
doły|D AO W IH0
dołów|D AO W UW F
dołącz|D AO W AO N T
dołączać|D AO W AO N T AE T
dołączyć|D AO W AO N T IH0 T
dołęga|D AO W EH NG G AE
dołęgiewicz|D AO W EH NG G Y EH V IY T
doń|D AO N IY0
dościgać|D AO SH T IY G AE T
doścignąć|D AO SH T IY G N AO N IY0 T
dośpi|D AO SH P IY
dośpiał|D AO SH P Y AE W
doświadczalnie|D AO SH F Y AE T T AE L N IY0 EH
doświadczalny|D AO SH F Y AE T T AE L N IH0
doświadczać|D AO SH F Y AE T T AE T
doświadczenie|D AO SH F Y AE T T EH N IY0 EH
doświadczony|D AO SH F Y AE T T AO N IH0
doświadczyć|D AO SH F Y AE T T IH0 T
dość|D AO SH T
dożylnie|D AO IH0 L N IY0 EH
dożylny|D AO IH0 L N IH0
dożywać|D AO IH0 V AE T
dożywocie|D AO IH0 V AO T EH
dożywotni|D AO IH0 V AO T N IY0 IY
dożywotnia|D AO IH0 V AO T N IY0 AE
dożywotnich|D AO IH0 V AO T N IY0 IY HH
dożywotnie|D AO IH0 V AO T N IY0 EH
dożywotniego|D AO IH0 V AO T N IY0 EH G AO
dożywotniej|D AO IH0 V AO T N IY0 EH Y
dożywotniemu|D AO IH0 V AO T N IY0 EH M UW
dożywotnim|D AO IH0 V AO T N IY0 IY M
dożywotnimi|D AO IH0 V AO T N IY0 IY M IY
dożywotnio|D AO IH0 V AO T N IY0 AO
dożywotnią|D AO IH0 V AO T N IY0 AO W
dożyć|D AO IH0 T
dr|D AO K T AO RRR
drab|D RRR AE P
drabarz|D RRR AE B AE SH
drabek|D RRR AE B EH K
drabiec|D RRR AE B Y EH T
drabik|D RRR AE B IY K
drabina|D RRR AE B IY N AE
drabka|D RRR AE P K AE
drabot|D RRR AE B AO T
drabowicz|D RRR AE B AO V IY T
drace|D RRR AE T EH
draczny|D RRR AE T N IH0
drag|D RRR AE K
dragon|D RRR AE G AO N
dragun|D RRR AE G UW N
dragunowicz|D RRR AE G UW N AO V IY T
drak|D RRR AE K
draka|D RRR AE K AE
draki|D RRR AE K IY
drako|D RRR AE K AO
drakula|D RRR AE K UW L AE
draką|D RRR AE K AO W
drakę|D RRR AE K EH
dramat|D RRR AE M AE T
dramatycznie|D RRR AE M AE T IH0 T N IY0 EH
dramatyczny|D RRR AE M AE T IH0 T N IH0
dramatyzować|D RRR AE M AE T IH0 Z AO V AE T
drani|D RRR AE N IY0 IY
drania|D RRR AE N IY0 AE
dranie|D RRR AE N IY0 EH
draniu|D RRR AE N IY0 UW
drap|D RRR AE P
drapacz|D RRR AE P AE T
drapak|D RRR AE P AE K
drapanie|D RRR AE P AE N IY0 EH
drapać|D RRR AE P AE T
draperia|D RRR AE P EH RRR Y AE
drapichrust|D RRR AE P IY HH RRR UW S T
drapie|D RRR AE P Y EH
drapiewska|D RRR AE P Y EH F S K AE
drapiewski|D RRR AE P Y EH F S K IY
drapież|D RRR AE P Y EH SH
drapieżnica|D RRR AE P Y EH N IY0 IY T AE
drapieżniejszego|D RRR AE P Y EH N IY0 EH Y SH EH G AO
drapieżniejszy|D RRR AE P Y EH N IY0 EH Y SH IH0
drapieżnik|D RRR AE P Y EH N IY0 IY K
drapieżny|D RRR AE P Y EH N IH0
drapią|D RRR AE P Y AO W
drapię|D RRR AE P Y EH
drapiński|D RRR AE P IY N IY0 S K IY
drapować|D RRR AE P AO V AE T
drasną|D RRR AE S N AO W
drasnąć|D RRR AE S N AO N IY0 T
drasnę|D RRR AE S N EH
drastycznie|D RRR AE S T IH0 T N IY0 EH
drastyczny|D RRR AE S T IH0 T N IH0
draszczyk|D RRR AE SH T IH0 K
dratkiewicz|D RRR AE T K Y EH V IY T
dratwa|D RRR AE T F AE
drań|D RRR AE N IY0
draśnie|D RRR AE SH N IY0 EH
draśnięcie|D RRR AE SH N IY0 EH N IY0 T EH
draże|D RRR AE EH
drażliwość|D RRR AE L IY V AO SH T
drażliwy|D RRR AE L IY V IH0
drażniący|D RRR AE N IY0 AO N T IH0
drażnić|D RRR AE N IY0 IY T
drdzeń|D RRR D EH N IY0
dred|D RRR EH T
drednot|D RRR EH D N AO T
drelich|D RRR EH L IY HH
drelichowy|D RRR EH L IY HH AO V IH0
dren|D RRR EH N
drenaż|D RRR EH N AE SH
drenda|D RRR EH N D AE
drenować|D RRR EH N AO V AE T
drenthe|D RRR EH N T EH
dreptanina|D RRR EH P T AE N IY0 IY N AE
dreptać|D RRR EH P T AE T
dres|D RRR EH S
dresiarz|D RRR EH SH AE SH
dresiarze|D RRR EH SH AE EH
dressing|D RRR EH S IY NG K
dressler|D RRR EH S S L EH RRR
dreszcz|D RRR EH SH T
dreszczowiec|D RRR EH SH T AO V Y EH T
drew|D RRR EH F
drewicz|D RRR EH V IY T
drewien|D RRR EH V Y EH N
drewienko|D RRR EH V Y EH NG K AO
drewna|D RRR EH V N AE
drewnem|D RRR EH V N EH M
drewniak|D RRR EH V N IY0 AE K
drewniany|D RRR EH V N IY0 AE N IH0
drewnie|D RRR EH V N IY0 EH
drewno|D RRR EH V N AO
drewnojad|D RRR EH V N AO Y AE T
drewnu|D RRR EH V N UW
drewutnia|D RRR EH V UW T N IY0 AE
drezno|D RRR EH Z N AO
drezyna|D RRR EH Z IH0 N AE
drga|D RRR G AE
drgacie|D RRR G AE T EH
drgaj|D RRR G AE Y
drgajcie|D RRR G AE Y T EH
drgajmy|D RRR G AE Y M IH0
drgają|D RRR G AE Y AO W
drgając|D RRR G AE Y AO N T
drgająca|D RRR G AE Y AO N T AE
drgające|D RRR G AE Y AO N T EH
drgający|D RRR G AE Y AO N T IH0
drgali|D RRR G AE L IY
drgaliby|D RRR G AE L IY B IH0
drgalnica|D RRR G AE L N IY0 IY T AE
drgam|D RRR G AE M
drgamy|D RRR G AE M IH0
drganie|D RRR G AE N IY0 EH
drgano|D RRR G AE N AO
drgas|D RRR G AE S
drgasz|D RRR G AE SH
drgawka|D RRR G AE F K AE
drgawkowy|D RRR G AE F K AO V IH0
drgać|D RRR G AE T
drgał|D RRR G AE W
drgała|D RRR G AE W AE
drgałaby|D RRR G AE W AE B IH0
drgałam|D RRR G AE W AE M
drgałaś|D RRR G AE W AE SH
drgałby|D RRR G AE W B IH0
drgałem|D RRR G AE W EH M
drgałeś|D RRR G AE W EH SH
drgało|D RRR G AE W AO
drgały|D RRR G AE W IH0
drgałyby|D RRR G AE W IH0 B IH0
drgnąć|D RRR G N AO N IY0 T
driada|D RRR Y AE D AE
driakiew|D RRR Y AE K Y EH F
drina|D RRR IY N AE
drink|D RRR IY NG K
drjakiew|D RRR Y AE K Y EH F
drob|D RRR AO P
drobiarz|D RRR AO B Y AE SH
drobiazg|D RRR AO B Y AE S K
drobiazgowo|D RRR AO B Y AE Z G AO V AO
drobiazgowość|D RRR AO B Y AE Z G AO V AO SH T
drobiazgowy|D RRR AO B Y AE Z G AO V IH0
drobiec|D RRR AO B Y EH T
drobina|D RRR AO B IY N AE
drobiowi|D RRR AO B Y AO V IY
drobiowy|D RRR AO B Y AO V IH0
drobiu|D RRR AO B Y UW
drobić|D RRR AO B IY T
drobna|D RRR AO B N AE
drobne|D RRR AO B N EH
drobnego|D RRR AO B N EH G AO
drobnej|D RRR AO B N EH Y
drobni|D RRR AO B N IY0 IY
drobniaczek|D RRR AO B N IY0 AE T EH K
drobniak|D RRR AO B N IY0 AE K
drobniuchno|D RRR AO B N IY0 UW HH N AO
drobniuchny|D RRR AO B N IY0 UW HH N IH0
drobniusi|D RRR AO B N IY0 UW SH IY
drobniusieńki|D RRR AO B N IY0 UW SH EH N IY0 K IY
drobniusieńko|D RRR AO B N IY0 UW SH EH N IY0 K AO
drobniuteńki|D RRR AO B N IY0 UW T EH N IY0 K IY
drobniuteńko|D RRR AO B N IY0 UW T EH N IY0 K AO
drobniutki|D RRR AO B N IY0 UW T K IY
drobniutko|D RRR AO B N IY0 UW T K AO
drobniuśki|D RRR AO B N IY0 UW SH K IY
drobniuśko|D RRR AO B N IY0 UW SH K AO
drobnomieszczanin|D RRR AO B N AO M Y EH SH T AE N IY0 IY N
drobnomieszczanka|D RRR AO B N AO M Y EH SH T AE NG K AE
drobnomieszczaństwo|D RRR AO B N AO M Y EH SH T AE N IY0 S T F AO
drobnonóg|D RRR AO B N AO N UW K
drobnostka|D RRR AO B N AO S T K AE
drobnoustrojowy|D RRR AO B N AO UW S T RRR AO Y AO V IH0
drobnoustrój|D RRR AO B N AO UW S T RRR UW Y
drobny|D RRR AO B N IH0
drobnym|D RRR AO B N IH0 M
drobną|D RRR AO B N AO W
drobot|D RRR AO B AO T
droczyć|D RRR AO T IH0 T
drodze|D RRR AO D EH
drodzy|D RRR AO D IH0
droga|D RRR AO G AE
drogach|D RRR AO G AE HH
drogami|D RRR AO G AE M IY
drogeria|D RRR AO G EH RRR Y AE
drogi|D RRR AO G IY
drogich|D RRR AO G IY HH
drogie|D RRR AO G Y EH
drogiego|D RRR AO G Y EH G AO
drogiej|D RRR AO G Y EH Y
drogiemu|D RRR AO G Y EH M UW
drogim|D RRR AO G IY M
drogimi|D RRR AO G IY M IY
drogo|D RRR AO G AO
drogocenny|D RRR AO G AO T EH N N IH0
drogom|D RRR AO G AO M
drogomierz|D RRR AO G AO M Y EH SH
drogosiewicz|D RRR AO G AO SH EH V IY T
drogowiec|D RRR AO G AO V Y EH T
drogowskaz|D RRR AO G AO F S K AE S
drogowy|D RRR AO G AO V IH0
drogoń|D RRR AO G AO N IY0
drogówka|D RRR AO G UW F K AE
drogą|D RRR AO G AO W
drogę|D RRR AO G EH
dromader|D RRR AO M AE D EH RRR
dron|D RRR AO N
drong|D RRR AO NG K
drop|D RRR AO P
dropi|D RRR AO P IY
dropia|D RRR AO P Y AE
dropiach|D RRR AO P Y AE HH
dropiami|D RRR AO P Y AE M IY
dropie|D RRR AO P Y EH
dropiem|D RRR AO P Y EH M
dropik|D RRR AO P IY K
dropiom|D RRR AO P Y AO M
dropiowi|D RRR AO P Y AO V IY
dropiu|D RRR AO P Y UW
dropiów|D RRR AO P Y UW F
drops|D RRR AO P S
drost|D RRR AO S T
droszcz|D RRR AO SH T
droszczak|D RRR AO SH T AE K
drozd|D RRR AO S T
drozda|D RRR AO Z D AE
drozdach|D RRR AO Z D AE HH
drozdami|D RRR AO Z D AE M IY
drozdek|D RRR AO Z D EH K
drozdem|D RRR AO Z D EH M
drozdom|D RRR AO Z D AO M
drozdowi|D RRR AO Z D AO V IY
drozdowicz|D RRR AO Z D AO V IY T
drozdoń|D RRR AO Z D AO N IY0
drozdy|D RRR AO Z D IH0
drozdz|D RRR AO S T
drozdów|D RRR AO Z D UW F
droń|D RRR AO N IY0
droś|D RRR AO SH
droździ|D RRR AO ZH D IY
droździa|D RRR AO ZH D AE
droździe|D RRR AO ZH D EH
droździel|D RRR AO ZH D EH L
droździewicz|D RRR AO ZH D EH V IY T
droździk|D RRR AO ZH D IY K
droździok|D RRR AO ZH D AO K
droździoł|D RRR AO ZH D AO W
droźdź|D RRR AO SH T
drożdziewicz|D RRR AO D EH V IY T
drożdż|D RRR AO SH T
drożdżak|D RRR AO D AE K
drożdżal|D RRR AO D AE L
drożdże|D RRR AO D EH
drożdżewicz|D RRR AO D EH V IY T
drożdżowicz|D RRR AO D AO V IY T
drożdżowy|D RRR AO D AO V IH0
drożdżówka|D RRR AO D UW F K AE
drożej|D RRR AO EH Y
drożeć|D RRR AO EH T
drożność|D RRR AO N AO SH T
drożny|D RRR AO N IH0
drożsi|D RRR AO SH SH IY
droższego|D RRR AO SH SH EH G AO
droższy|D RRR AO SH SH IH0
drożyzna|D RRR AO IH0 Z N AE
druch|D RRR UW HH
druciarz|D RRR UW T AE SH
drucik|D RRR UW T IY K
drudzy|D RRR UW D IH0
druga|D RRR UW G AE
drugi|D RRR UW G IY
drugich|D RRR UW G IY HH
drugie|D RRR UW G Y EH
drugiego|D RRR UW G Y EH G AO
drugiej|D RRR UW G Y EH Y
drugiemu|D RRR UW G Y EH M UW
drugim|D RRR UW G IY M
drugimi|D RRR UW G IY M IY
drugoklasista|D RRR UW G AO K L AE SH IY S T AE
drugorzędny|D RRR UW G AO EH N D N IH0
drugą|D RRR UW G AO W
druh|D RRR UW HH
druha|D RRR UW HH AE
druhem|D RRR UW HH EH M
druhna|D RRR UW HH N AE
druhom|D RRR UW HH AO M
druhu|D RRR UW HH UW
druid|D RRR UW IY T
druidka|D RRR UW IY T K AE
druk|D RRR UW K
drukarka|D RRR UW K AE RRR K AE
drukarnia|D RRR UW K AE RRR N IY0 AE
drukarstwo|D RRR UW K AE RRR S T F AO
drukarz|D RRR UW K AE SH
drukowanie|D RRR UW K AO V AE N IY0 EH
drukowany|D RRR UW K AO V AE N IH0
drukować|D RRR UW K AO V AE T
drukując|D RRR UW K UW Y AO N T
drukujące|D RRR UW K UW Y AO N T EH
drukujący|D RRR UW K UW Y AO N T IH0
drumla|D RRR UW M L AE
druszcz|D RRR UW SH T
drut|D RRR UW T
druzd|D RRR UW S T
druzgocący|D RRR UW Z G AO T AO N T IH0
druzgotać|D RRR UW Z G AO T AE T
drużba|D RRR UW B AE
drużdż|D RRR UW SH T
drużka|D RRR UW SH K AE
drużyna|D RRR UW IH0 N AE
drużynie|D RRR UW IH0 N IY0 EH
drużynowo|D RRR UW IH0 N AO V AO
drużynowy|D RRR UW IH0 N AO V IH0
drużyny|D RRR UW IH0 N IH0
drwa|D RRR V AE
drwach|D RRR V AE HH
drwal|D RRR V AE L
drwalka|D RRR V AE L K AE
drwalnia|D RRR V AE L N IY0 AE
drwalnik|D RRR V AE L N IY0 IY K
drwami|D RRR V AE M IY
drwi|D RRR V IY
drwij|D RRR V IY Y
drwili|D RRR V IY L IY
drwina|D RRR V IY N AE
drwią|D RRR V Y AO W
drwiąco|D RRR V Y AO N T AO
drwiący|D RRR V Y AO N T IH0
drwić|D RRR V IY T
drwię|D RRR V Y EH
drwięga|D RRR V Y EH NG G AE
drwił|D RRR V IY W
drwiła|D RRR V IY W AE
drwom|D RRR V AO M
drwęcki|D RRR V EH N T K IY
dryblas|D RRR IH0 B L AE S
dryf|D RRR IH0 F
dryfować|D RRR IH0 F AO V AE T
dryg|D RRR IH0 K
drygas|D RRR IH0 G AE S
drygasiewicz|D RRR IH0 G AE SH EH V IY T
drygała|D RRR IH0 G AE W AE
drygaś|D RRR IH0 G AE SH
drygiel|D RRR IH0 G Y EH L
dryjakiew|D RRR IH0 Y AE K Y EH F
drylowanie|D RRR IH0 L AO V AE N IY0 EH
drylować|D RRR IH0 L AO V AE T
drylując|D RRR IH0 L UW Y AO N T
drylujące|D RRR IH0 L UW Y AO N T EH
drylujący|D RRR IH0 L UW Y AO N T IH0
drynda|D RRR IH0 N D AE
dryszel|D RRR IH0 SH EH L
drytkiewicz|D RRR IH0 T K Y EH V IY T
dryś|D RRR IH0 SH
drzazdze|D AE Z D EH
drzazga|D AE Z G AE
drzał|D AE W
drze|D EH
drzecie|D EH T EH
drzem|D EH M
drzemanie|D EH M AE N IY0 EH
drzemać|D EH M AE T
drzemiący|D EH M Y AO N T IH0
drzemka|D EH M K AE
drzemlik|D EH M L IY K
drzemy|D EH M IH0
drzesz|D EH SH
drzew|D EH F
drzewa|D EH V AE
drzewach|D EH V AE HH
drzewami|D EH V AE M IY
drzewce|D EH F T EH
drzewem|D EH V EH M
drzewiak|D EH V Y AE K
drzewiasty|D EH V Y AE S T IH0
drzewicki|D EH V IY T K IY
drzewicz|D EH V IY T
drzewie|D EH V Y EH
drzewiec|D EH V Y EH T
drzewiecki|D EH V Y EH T K IY
drzewiej|D EH V Y EH Y
drzewik|D EH V IY K
drzewko|D EH F K AO
drzewny|D EH V N IH0
drzewo|D EH V AO
drzewojad|D EH V AO Y AE T
drzewom|D EH V AO M
drzeworyt|D EH V AO RRR IH0 T
drzewostan|D EH V AO S T AE N
drzewu|D EH V UW
drzeć|D EH T
drzeżdżon|D EH D AO N
drzwi|D V IY
drzwiach|D V Y AE HH
drzwiami|D V Y AE M IY
drzwiczki|D V IY T K IY
drzwiom|D V Y AO M
drzwiowy|D V Y AO V IH0
drzyj|D IH0 Y
drzymała|D IH0 M AE W AE
drzystek|D IH0 S T EH K
drzyzga|D IH0 Z G AE
drząszcz|D AO W SH T
drób|D RRR UW P
dróg|D RRR UW K
dróźdź|D RRR UW SH T
dróżdż|D RRR UW SH T
dróżka|D RRR UW SH K AE
drą|D RRR AO W
drąc|D RRR AO N T
drąca|D RRR AO N T AE
drące|D RRR AO N T EH
drący|D RRR AO N T IH0
drąg|D RRR AO NG K
drąga|D RRR AO NG G AE
drągach|D RRR AO NG G AE HH
drągal|D RRR AO NG G AE L
drągami|D RRR AO NG G AE M IY
drągi|D RRR AO NG G IY
drągiem|D RRR AO NG G Y EH M
drągom|D RRR AO NG G AO M
drągowi|D RRR AO NG G AO V IY
drągowski|D RRR AO NG G AO F S K IY
drągu|D RRR AO NG G UW
drągów|D RRR AO NG G UW F
drąszcz|D RRR AO W SH T
drąż|D RRR AO W SH
drążczyk|D RRR AO W SH T IH0 K
drążek|D RRR AO W EH K
drążkiewicz|D RRR AO W SH K Y EH V IY T
drąży|D RRR AO W IH0
drążyk|D RRR AO W IH0 K
drążyć|D RRR AO W IH0 T
drążą|D RRR AO W AO W
drążę|D RRR AO W EH
drę|D RRR EH
dręcz|D RRR EH N T
dręczyciel|D RRR EH N T IH0 T EH L
dręczycielka|D RRR EH N T IH0 T EH L K AE
dręczyć|D RRR EH N T IH0 T
dręga|D RRR EH NG G AE
drętkiewicz|D RRR EH N T K Y EH V IY T
drętwa|D RRR EH N T F AE
drętwienie|D RRR EH N T F Y EH N IY0 EH
drętwieć|D RRR EH N T F Y EH T
drętwota|D RRR EH N T F AO T AE
drętwy|D RRR EH N T F IH0
drżał|D RRR AE W
drżenie|D RRR EH N IY0 EH
drżeć|D RRR EH T
drży|D RRR IH0
drżyj|D RRR IH0 Y
drżą|D RRR AO W
drżący|D RRR AO N T IH0
drżączka|D RRR AO N T K AE
drżę|D RRR EH
dualizm|D UW AE L IY Z M
dubaj|D UW B AE Y
dubaniewicz|D UW B AE N IY0 EH V IY T
dubanowicz|D UW B AE N AO V IY T
dubas|D UW B AE S
dubbing|D AE B IY NG K
dubbingach|D AE B IY NG G AE HH
dubbingami|D AE B IY NG G AE M IY
dubbingi|D AE B IY NG G IY
dubbingiem|D AE B IY NG G Y EH M
dubbingom|D AE B IY NG G AO M
dubbingowa|D AE B IY NG G AO V AE
dubbingowali|D AE B IY NG G AO V AE L IY
dubbingowaliby|D AE B IY NG G AO V AE L IY B IH0
dubbingowalibyście|D AE B IY NG G AO V AE L IY B IH0 SH T EH
dubbingowalibyśmy|D AE B IY NG G AO V AE L IY B IH0 SH M IH0
dubbingowaliście|D AE B IY NG G AO V AE L IY SH T EH
dubbingowaliśmy|D AE B IY NG G AO V AE L IY SH M IH0
dubbingowana|D AE B IY NG G AO V AE N AE
dubbingowane|D AE B IY NG G AO V AE N EH
dubbingowanego|D AE B IY NG G AO V AE N EH G AO
dubbingowanej|D AE B IY NG G AO V AE N EH Y
dubbingowanemu|D AE B IY NG G AO V AE N EH M UW
dubbingowani|D AE B IY NG G AO V AE N IY0 IY
dubbingowania|D AE B IY NG G AO V AE N IY0 AE
dubbingowanie|D AE B IY NG G AO V AE N IY0 EH
dubbingowaniem|D AE B IY NG G AO V AE N IY0 EH M
dubbingowaniu|D AE B IY NG G AO V AE N IY0 UW
dubbingowano|D AE B IY NG G AO V AE N AO
dubbingowany|D AE B IY NG G AO V AE N IH0
dubbingowanych|D AE B IY NG G AO V AE N IH0 HH
dubbingowanym|D AE B IY NG G AO V AE N IH0 M
dubbingowanymi|D AE B IY NG G AO V AE N IH0 M IY
dubbingowaną|D AE B IY NG G AO V AE N AO W
dubbingować|D AE B IY NG G AO V AE T
dubbingował|D AE B IY NG G AO V AE W
dubbingowała|D AE B IY NG G AO V AE W AE
dubbingowałaby|D AE B IY NG G AO V AE W AE B IH0
dubbingowałabym|D AE B IY NG G AO V AE W AE B IH0 M
dubbingowałabyś|D AE B IY NG G AO V AE W AE B IH0 SH
dubbingowałam|D AE B IY NG G AO V AE W AE M
dubbingowałaś|D AE B IY NG G AO V AE W AE SH
dubbingowałby|D AE B IY NG G AO V AE W B IH0
dubbingowałbym|D AE B IY NG G AO V AE W B IH0 M
dubbingowałbyś|D AE B IY NG G AO V AE W B IH0 SH
