'k|AH0 K
arrenslee|AA RRR AH0 N S L EH0
arreslee|AA RRR AH0 S L EH0
arrest|AA RRR EH S T
arrestant|AA RRR EH S T AA N T
arrestatie|AA RRR EH S T AE T S IY
arrestatiebevel|AA RRR EH S T AE T S IY B AH0 V EH L
arrestatiegolf|AA RRR EH S T AE T S IY HH AO L F
arresteren|AA RRR EH S T EH0 RRR AH0 N
arriveren|AA RRR IY V EH0 RRR AH0 N
arrogant|AA RRR OW0 HH AA N T
arrogantie|AA RRR OW0 HH AA N T S IY
arroseren|AA RRR OW0 Z EH0 RRR AH0 N
arrè|AA RRR EH
arseen|AA RRR S EH0 N
arsenaal|AA RRR S AH0 N AE L
arsenicum|AA RRR S EH0 N IY K M
artefact|AA RRR T AH0 F AA K T
arthur|AA RRR T Y UW1 RRR
arthurroman|AA RRR T Y UW1 RRR RRR OW0 M AA N
artiest|AA RRR T IY S T
artieste|AA RRR T IY S T AH0
artiestennaam|AA RRR T IY S T AH0 N AE M
artificieel|AA RRR T IY F IY SH EH0 L
artikel|AA RRR T IY K AH0 L
artikelsgewijs|AA RRR T IY K AH0 L S HH AH0 V EH IY S
artillerie|AA RRR T IH L AH0 RRR IY
artilleriebeschieting|AA RRR T IH L AH0 RRR IY B AH0 S HH IY T IH NG
artilleriesteun|AA RRR T IH L AH0 RRR IY S T OE N
artillerievuur|AA RRR T IH L AH0 RRR IY V Y UW1 RRR
artillerist|AA RRR T IH L AH0 RRR IH S T
artisjok|AA RRR T IY SH AO K
artistiek|AA RRR T IH S T IY K
artistiekeling|AA RRR T IH S T IY K AH0 L IH NG
arts|AA RRR T S
artse|AA RRR T S AH0
artsenij|AA RRR T S AH0 N EH IY
artsenijbereidkunde|AA RRR T S AH0 N EH IY B AH0 RRR EH IY T K N D AH0
artsenijdrank|AA RRR T S AH0 N EH IY D RRR AA NG K
artsenijkunde|AA RRR T S AH0 N EH IY K N D AH0
artsenijkundig|AA RRR T S AH0 N EH IY K N D AH0 HH
artsenijplant|AA RRR T S AH0 N EH IY P L AA N T
aruba|AE RRR Y UW1 B AE
arubaan|AE RRR UW B AE N
as|AA S
asbak|AA S B AA K
asbeer|AA S B EH0 RRR
asbelt|AA S B EH L T
asbest|AA S B EH S T
asbezem|AA S B EH0 Z AH0 M
asceet|AA S EH0 T
ascese|AA S EH0 Z AH0
ascetisch|AA S EH0 T IY S
ascetisme|AA S EH0 T IH S M AH0
aseksualiteit|AE S EH K S Y UW1 AE L IY T EH IY T
aseksueel|AE S EH K S Y UW1 EH0 L
asem|AE S AH0 M
asemen|AE S AH0 M AH0 N
asemhalen|AE D AH0 M AE L AH0 N
asen|AE S AH0 N
asfalt|AA S F AA L T
asfalteren|AA S F AA L T EH0 RRR AH0 N
asfaltweg|AA S F AA L T V EH HH
asferisch|AE S F EH0 RRR IY S
asgrauw|AA S HH RRR AA UW
asiel|AE Z IY L
asielzoeker|AE Z IY L Z UW K AH0 RRR
asielzoekerscentrum|AE Z IY L Z UW K AH0 RRR S EH N T RRR M
asigmatisch|AE S IH HH M AE T IY S
asjeblieft|AA SH AH0 B L IY F T
asjemenou|AA SH AH0 M AH0 N AA UW
asla|AA S L AE
asmogendheid|AA S M OW0 HH AH0 N T EH IY T
aso|AE S OW0
asociaal|AE S OW0 SH AE L
aspect|AA S P EH K T
asperge|AA S P EH RRR ZH AH0
aspirine|AA S P IY RRR IY N AH0
aspis|AA S P IH S
aspisadder|AA S P IH S AA D AH0 RRR
aspisslang|AA S P IH S L AA NG
asrest|AA S RRR EH S T
assam|AA S AA M
assamees|AA S AA M EH0 S
assamitisch|AA S AE M IY T IY S
assassijn|AA S AA S EH IY N
assegaai|AA S AH0 HH AE IY
assemblee|AA S EH M B L EH0
assen|AA S AH0 N
assepoester|AA S AH0 P UW S T AH0 RRR
assertief|AA S EH RRR T IY F
assimilatie|AA S IY M IY L AE T S IY
assisi|AA S IY S IY
assistent|AA S IY S T EH N T
assistente|AA S IY S T EH N T AH0
assisteren|AA S IY S T EH0 RRR AH0 N
associatie|AA S OW0 SH AE T S IY
associëren|AA S OW0 SH EH0 RRR AH0 N
assortiment|AA S AO RRR T IY M EH N T
assteun|AA S T OE N
assuradeur|AA S Y UW1 RRR AE D OE RRR
assurantie|AA S Y UW1 RRR AA N S IY
astaat|AA S T AE T
astatium|AA S T AE T S IY M
aster|AA S T AH0 RRR
asteroïde|AA S T AH0 RRR OW0 IY D AH0
astma|AA S T M AE
astrant|AA S T RRR AA N T
astrid|AA S T RRR IH T
astrofysica|AA S T RRR OW0 F IY Z IY K AE
astrofysicus|AA S T RRR OW0 F IY Z IY K S
astrologie|AA S T RRR OW0 L OW0 HH IY
astrologisch|AA S T RRR OW0 L OW0 HH IY S
astroloog|AA S T RRR OW0 L OW0 HH
astronaut|AA S T RRR OW0 N AA UW T
astronautiek|AA S T RRR OW0 N AA UW T IY K
astronomie|AA S T RRR OW0 N OW0 M IY
astronomisch|AA S T RRR OW0 N OW0 M IY S
astronoom|AA S T RRR OW0 N OW0 M
asvaalt|AA S F AE L T
asvarken|AA S F AA RRR K AH0 N
aswoensdag|AA S V UW N S D AA HH
asymmetrisch|AA S IH M EH0 T RRR IY S
asymptomatisch|AE S IH M P T OW0 M AE T IY S
asymptoot|AE S IH M P T OW0 T
asymptotisch|AE S IH M P T OW0 T IY S
at|AA T
atavistisch|AA T AE V IH S T IY S
ataxie|AE T AA K S IY
ate|AE T AH0
atelier|AE T AH0 L Y EH0
aten|AE T AH0 N
athabaskisch|AE T AE B AA S K IY S
atheens|AE T EH0 N S
athematisch|AE T EH0 M AE T IY S
athene|AE T EH0 N AH0
atheneum|AA T AH0 N EH0 M
atheïsme|AE T EH0 IH S M AH0
atheïst|AE T EH0 Y IH SH T
atheïstisch|AE T EH0 IH S T IY S
atje|AA T Y AH0
atjeh|AA T Y EH0
atlantisch|AA T L AA N T IY S
atlas|AA T L AA S
atleet|AA T L EH0 T
atlete|AA T L EH0 T AH0
atletiek|AA T L EH0 T IY K
atletiekbaan|AA T L EH0 T IY K B AE N
atmosfeer|AA T M AO S F EH0 RRR
atmosferisch|AA T M AO S F EH0 RRR IY S
atol|AE T AO L
atomair|AE T OW0 M EH RRR
atomisme|AE T OW0 M IH S M AH0
atomist|AE T OW0 M IH S T
atoom|AE T OW0 M
atoombom|AE T OW0 M B AO M
atoombunker|AE T OW0 M B NG K AH0 RRR
atoomdeeltje|AE T OW0 M D EH0 L T Y AH0
atoomgetal|AE T OW0 M HH AH0 T AA L
atoomkern|AE T OW0 M K EH RRR N
atoomklok|AE T OW0 M K L AO K
atoommassa|AA T OW0 M AA S AE
atoommodel|AE T OW0 M OW0 D EH L
atoomnummer|AA T OW0 M N M AH0 RRR
atoomoorlog|AE T OW0 M OW0 RRR L AO HH
atoomproef|AE T OW0 M P RRR UW F
atoomtheorie|AE T OW0 M T EH0 OW0 RRR IY
atoomtijdperk|AE T OW0 M T EH IY T P EH RRR K
atoomwapen|AE T OW0 M V AE P AH0 N
atrecht|AE T RRR EH HH T
atrofie|AA T RRR OW0 F IY
attachment|EH T EH T SH M AH0 N T
attaqueren|AA T AE K EH0 RRR AH0 N
atten|AA T AH0 N
attent|AA T EH N T
attentie|AA T EH N T S IY
attest|AA T EH S T
attestatie|AA T EH S T AE T S IY
attesteren|AA T EH S T EH0 RRR AH0 N
attestering|AA T EH S T EH0 RRR IH NG
attica|AA T IY K AE
atticisme|AA T IY S IH S M AH0
attisch|AA T IY S
attometer|AA T OW0 M EH0 T AH0 RRR
attoseconde|AA T OW0 S AH0 K AO N D AH0
attractie|AA T RRR AA K S IY
attractief|AA T RRR AA K T IY F
attractiepark|AA T RRR AA K S IY P AA RRR K
attributief|AA T RRR IH B Y UW1 T IY F
attribuut|AA T RRR IY B Y UW1 T
au|AA UW
aubade|OW0 B AE D AH0
aubergine|OW0 B EH RRR ZH IY N AH0
auctie|AA UW K S IY
audio|AA UW D IY OW0
audiocassette|AA UW D IY OW0 K AA S EH T AH0
auditeren|AA UW D IY T EH0 RRR AH0 N
auditie|AA UW D IY T S IY
auditief|AA UW D IY T IY F
auditorium|AA UW D IY T OW0 RRR IY M
audiëntie|AA UW D IY EH N T S IY
auerhaan|AA UW AH0 RRR AE N
auerhen|AA UW AH0 RRR EH N
auerhoen|AA UW AH0 RRR UW N
augment|AA UW HH M EH N T
augmenteren|AA UW HH M EH N T EH0 RRR AH0 N
augurk|AA UW HH RRR K
augustus|AA UW HH S T S
aula|AA UW L AE
aura|AA UW RRR AE
aureool|AA UW RRR EH0 OW0 L
auspiciën|AA UW S P IY S IY AH0 N
ausputzer|AA UW S P UW T S AH0 RRR
ausradieren|AA UW S RRR AE D IY RRR AH0 N
austerlitz|AA UW S T AH0 RRR L IY T S
australisch|AA UW S T RRR AE L IY S
australië|AA UW S T RRR AE L IY Y AH0
australiër|AA UW S T RRR AE L IY AH0 RRR
austrasië|AA UW S T RRR AE Z IY AH0
austroaziatisch|AA UW S T RRR OW0 AE Z IY AE T IY S
austronesisch|AA UW S T RRR OW0 N EH0 Z IY S
autaar|AA UW T AE RRR
auteur|AA UW T OE RRR
auteursrecht|AA UW T OE RRR S RRR EH HH T
authenticeren|AA UW T EH N T IY S EH0 RRR AH0 N
authenticiteit|AA UW T EH N T IY S IY T EH IY T
authentiek|AA UW T EH N T IY K
authentiseren|AA UW T EH N T IY Z EH0 RRR AH0 N
autisme|AA UW T IH S M AH0
autismespectrum|AA UW T IH S M AH0 S P EH K T RRR M
autismespectrumstoornis|AA UW T IH S M AH0 S P EH K T RRR M S T OW0 RRR N IH S
autist|AA UW T IH S T
autistisch|AA UW T IH S T IY S
auto|AA UW T OW0
autobaan|AA UW T OW0 B AE N
autoband|AA UW T OW0 B AA N T
autobiografie|AA UW T OW0 B IY OW0 HH RRR AE F IY
autobioscoop|AA UW T OW0 B IY AO S K OW0 P
autobom|AA UW T OW0 B AO M
autobus|AA UW T OW0 B S
autochtoon|AA UW T AO HH T OW0 N
autocoureur|AA UW T OW0 K UW RRR OE RRR
autocraat|AA UW T OW0 K RRR AE T
autocratie|AA UW T OW0 K RRR AE T S IY
autocue|AA UW T OW0 K Y UW
autodidact|AA UW T OW0 D IY D AA K T
autodidactisch|AA UW T OW0 D IY D AA K T IY S
autogas|AA UW T OW0 HH AA S
autogiro|AA UW T OW0 HH IY RRR OW0
autogordel|AA UW T OW0 HH AO RRR D AH0 L
autogyro|AA UW T OW0 HH IY RRR OW0
autohandelaar|AA UW T OW0 AA N D AH0 L AE RRR
autokerkhof|AA UW T OW0 K EH RRR K AO F
autolader|AA UW T OW0 L AE D AH0 RRR
autolamp|AA UW T OW0 L AA M P
autoloos|AA UW T OW0 L OW0 S
automaat|AA UW T OW0 M AE T
automatenhal|AA UW T OW0 M AE T AH0 N AA L
automatiek|AA UW T OW0 M AE T IY K
automatisch|AA UW T OW0 M AE T IY S
automatiseren|AA UW T OW0 M AE T IY Z EH0 RRR AH0 N
automatisering|AA UW T OW0 M AE T IY Z EH0 RRR IH NG
automedicatie|AA UW T OW0 M EH0 D IY K AE T S IY
automobiel|AA UW T OW0 M OW0 B IY L
automobilist|AA UW T OW0 M OW0 B IY L IH S T
automonteur|AA UW T OW0 M AO N T OE RRR
autonomie|AA UW T OW0 N OW0 M IY
autonoom|AA UW T OW0 N OW0 M
autopech|AA UW T OW0 P EH HH
autoped|AA UW T OW0 P EH T
autopsie|AA UW T AO P S IY
autoradio|AA UW T OW0 RRR AE D IY OW0
autorijschool|AA UW T OW0 RRR EH IY S HH OW0 L
autoritair|AA UW T OW0 RRR IY T EH RRR
autoritarisme|AA UW T OW0 RRR IY T AE RRR IH S M AH0
autoriteit|AA UW T OW0 RRR IY T EH IY T
autosegment|AA UW T OW0 S EH HH M EH N T
autosegmenteel|AA UW T OW0 S EH HH M EH N T EH0 L
autosnelweg|AA UW T OW0 S N EH L V EH HH
autospiegel|AA UW T OW0 S P IY HH AH0 L
autostoel|AA UW T OW0 S T UW L
autostrade|AA UW T OW0 T RRR AE D AH0
autostuur|AA UW T OW0 S T Y UW1 RRR
autoverkeer|AA UW T OW0 V EH RRR K EH0 RRR
autoverzekering|AA UW T OW0 V EH RRR Z EH0 K AH0 RRR IH NG
autowasstraat|AA UW T OW0 V AA S T RRR AE T
autoweg|AA UW T OW0 V EH HH
autrice|AA UW T RRR IY S AH0
autrices|AA UW T RRR IY S AH0 S
avance|AE V AA N S AH0
avanceren|AE V AA N S EH0 RRR AH0 N
avegaar|AE V AH0 HH AE RRR
averechts|AE V AH0 RRR EH HH T S
averink|AE V AH0 RRR IH NG K
aversie|AE V EH RRR Z IY
aversief|AE V EH RRR Z IY F
avestisch|AE V EH S T IY S
avg|AE V EH0 HH EH0
aviateur|AE V IY AE T OE RRR
avicultuur|AE V IY K L T Y UW1 RRR
avifauna|AE V IY F AA UW N AE
aviofobie|AE V IY OW0 F OW0 B IY
avitaminose|AE V IY T AE M IY N OW0 Z AH0
avocado|AE V OW0 K AE D OW0
avocadoboom|AE V OW0 K AE D OW0 B OW0 M
avond|AE V AO N T
avondbrood|AE V AO N T B RRR OW0 T
avonddronk|AE V AO N T D RRR AO NG K
avondeten|AE V AO N T EH0 T AH0 N
avondjurk|AE V AO N T Y RRR K
avondklok|AE V AO N T K L AO K
avondland|AE V AO N T L AA N T
avondlijk|AE V AO N T L AH0 K
avondmaal|AE V AO N T M AE L
avondmaalsleer|AE V AO N T M AE L S L EH0 RRR
avondmaalswijn|AE V AO N T M AE L S V EH IY N
avondmaaltijd|AE V AO N T M AE L T EH IY T
avondmens|AE V AO N T M EH N S
avondrood|AE V AO N T RRR OW0 T
avondschemer|AE V AO N T S HH EH0 M AH0 RRR
avondschemering|AE V AO N T S HH EH0 M AH0 RRR IH NG
avondschool|AE V AO N T S HH OW0 L
avondspits|AE V AO N T S P IH T S
avondspitsuur|AE V AO N T S P IH T S Y UW1 RRR
avondster|AE V AO N T S T EH RRR
avondstond|AE V AO N T S T AO N T
avonduur|AE V AO N T Y UW1 RRR
avondval|AE V AO N T F AA L
avonturier|AE V AO N T Y UW1 RRR IY RRR
avonturierster|AE V AO N T Y UW1 RRR IY RRR S T AH0 RRR
avontuur|AE V AO N T Y UW1 RRR
avontuurlijk|AE V AO N T Y UW1 RRR L AH0 K
axiaal|AA K S IY AE L
axiologie|AA K S IY OW0 L OW0 HH IY
axiologisch|AA K S IY OW0 L OW0 HH IY
axioma|AA K S IY OW0 M AE
axiomatisch|AA K S IY OW0 M AE T IY S
ayatollah|AE Y AE T AO L AE
azalea|AE Z AE L IY AE
azaravos|AE Z AE RRR AE V AO S
azc|AE Z EH T S EH0
azen|AE Z AH0 N
azerbeidzjan|AE Z EH RRR B EH IY D ZH AA N
aziaat|AE Z IY Y AE T
aziaatje|AE Z IY Y AE T Y AH0
aziaten|AE Z IY Y AE T AH0 N
aziatisch|AE Z IY Y AE T IY S
azijn|AE Z EH IY N
azijnaal|AE Z EH IY N AE L
azijnpisser|AE Z EH IY N P IH S AH0 RRR
azijnwater|AE Z EH IY N V AE T AH0 RRR
azijnzuur|AE Z EH IY N Z Y UW1 RRR
azimut|AE Z IY M T
azië|AE Z IY Y AH0
azn|AE Z EH T EH N
azteek|AA S T EH0 K
azteeks|AA S T EH0 K S
azuren|AE Z Y UW1 RRR AH0 N
azuur|AE Z Y UW1 RRR
azuurblauw|AE Z Y UW1 RRR B L AA UW
azuursteen|AE Z Y UW1 RRR S T EH0 N
aâm|AE M
aäron|AE AE RRR AO N
aïs|AE IY S
b|B EH0
baadje|B AE T Y AH0
baadster|B AE T S T AH0 RRR
baai|B AE IY
baaien|B AE IY AH0 N
baaierd|B AE IY AH0 RRR T
baal|B AE L
baaldag|B AE L D AA HH
baan|B AE N
baanatletiek|B AE N AA T L EH0 T IY K
baanboef|B AE N B UW F
baanbrekend|B AE N B RRR EH0 K AH0 N T
baanderheer|B AE N D AH0 RRR EH0 RRR
baanwielrennen|B AE N V IY L RRR EH N AH0 N
baanwielrenner|B AE N V IY L RRR EH N AH0 RRR
baanwielrenster|B AE N V IY L RRR EH N S T AH0 RRR
baar|B AE RRR
baarblijkelijk|B AE RRR B L EH IY K AH0 L AH0 K
baard|B AE RRR T
baardaap|B AE RRR T AE P
baardeloos|B AE RRR D AH0 L OW0 S
baarder|B AE RRR D AH0 RRR
baardgras|B AE RRR T HH RRR AA S
baardhaar|B AE RRR T AE RRR
baardig|B AE RRR D AH0 HH
baardigheid|B AE RRR D AH0 HH EH IY T
baardloos|B AE RRR T L OW0 S
baardman|B AE RRR T M AA N
baardmankruik|B AE RRR T M AA N K RRR ER Y UW1 K
baardmannetje|B AE RRR T M AA N AH0 T Y AH0
baardwalvis|B AE RRR T V AA L V IH S
baarkleed|B AE RRR K L EH0 T
baarkruk|B AE RRR K RRR K
baarlid|B AE RRR L IH T
baarlijk|B AE RRR L AH0 K
baarmoeder|B AE RRR M UW D AH0 RRR
baarmoederhals|B AE RRR M UW D AH0 RRR AA L S
baarmoederhalskanker|B AE RRR M UW D AH0 RRR AA L S K AA NG K AH0 RRR
baarmoederkanker|B AE RRR M UW D AH0 RRR K AA NG K AH0 RRR
baarn|B AE RRR AH0 N
baars|B AE RRR S
baas|B AE S
baasspeler|B AE S S P EH0 L AH0 RRR
baat|B AE T
baatte|B AE T AH0
baatten|B AE T AH0 N
baatzoeker|B AE T S UW K AH0 RRR
babbel|B AA B AH0 L
babbelen|B AA B AH0 L AH0 N
babbelkous|B AA B AH0 L K AA UW S
babbeltruc|B AA B AH0 L T RRR Y UW1 K
babel|B AE B AH0 L
babi|B AE B IY
babiroesa|B AE B IY RRR UW S AE
babisme|B AE B IH S M AH0
baboe|B AE B UW
baboes|B AE B UW S
baboetje|B AE B UW T Y AH0
baboetjes|B AE B UW T Y AH0 S
baby|B EH0 B IY
babyboom|B EH0 B IY B UW M
babyboomer|B EH0 B IY B UW M AH0 RRR
babyface|B EH0 B IY F EH0 S
babyfoon|B EH0 B IY F OW0 N
babylon|B AE B IY L AO N
babylonisch|B AE B IY L OW0 N IY S
babypoeder|B EH0 B IY P UW D AH0 RRR
babypop|B EH0 B IY P AO P
babyshampoo|B EH0 B IY SH AA M P OW0
baccalaureaat|B AA K AE L AA UW RRR EH0 AE T
bacil|B AE S IH L
backpacker|B EH K P EH K AH0 RRR
backslash|B EH K S L EH SH
bacove|B AE K OW0 V AH0
bacterie|B AA K T EH0 RRR IY
bacterieel|B AA K T EH0 RRR IY EH0 L
bacterievuur|B AA K T EH0 RRR IY V Y UW1 RRR
bacteriologie|B AA K T EH0 RRR IY OW0 L OW0 HH IY
bacterioloog|B AA K T EH0 RRR IY OW0 L OW0 HH
bacteriën|B AA K T EH0 RRR IY AH0 N
baculum|B AE K Y UW1 L M
bad|B AA T
badderen|B AA D AH0 RRR AH0 N
badeend|B AA T EH0 N T
baden|B AE D AH0 N
bader|B AE D AH0 RRR
baders|B AE D AH0 RRR S
badertje|B AE D AH0 RRR T Y AH0
badgeld|B AA T HH EH L T
badhuis|B AA T ER Y UW1 S
badjas|B AA T Y AA S
badjuf|B AA T Y F
badjuffrouw|B AA T Y F RRR AA UW
badkachel|B AA T K AA HH AH0 L
badkamer|B AA T K AE M AH0 RRR
badkuip|B AA T K ER Y UW1 P
badmat|B AA T M AA T
badmeester|B AA T M EH0 S T AH0 RRR
badminton|B EH T M IH N T AH0 N
badmintonnen|B EH T M IH N T AO N AH0 N
badmuts|B AA T M T S
badpak|B AA T P AA K
badplaats|B AA T P L AE T S
badspons|B AA T S P AO N S
badwater|B AA T V AE T AH0 RRR
badzeep|B AA T S EH0 P
baffen|B AA F AH0 N
bagage|B AE HH AE ZH AH0
bagagedrager|B AE HH AE ZH AH0 D RRR AE HH AH0 RRR
bagatel|B AE HH AE T EH L
bagatelliseren|B AE HH AE T EH L IY Z EH0 RRR AH0 N
bagdad|B AA HH D AA T
bagel|B EH0 G AH0 L
bagger|B AA HH AH0 RRR
baggeraar|B AA HH AH0 RRR AE RRR
baggeren|B AA HH AH0 RRR AH0 N
baggermachine|B AA HH AH0 RRR M AE SH IY N AH0
baggerschuit|B AA HH AH0 RRR S HH ER Y UW1 T
bah|B AA
bahama's|B AE AE M AE S
bahasa|B AE AE S AE
bahrein|B AA HH RRR EH IY N
bajes|B AE Y AH0 S
bajesklant|B AE Y AH0 S K L AA N T
bajonet|B AE Y OW0 N EH T
bak|B AA K
bakbaard|B AA K B AE RRR T
bakbanaan|B AA K B AE N AE N
bakbeest|B AA K B EH0 S T
bakboord|B AA K B OW0 RRR T
bakbrommer|B AA K B RRR AO M AH0 RRR
baken|B AE K AH0 N
bakenen|B AE K AH0 N AH0 N
baker|B AE K AH0 RRR
bakeren|B AE K AH0 RRR AH0 N
bakerhaai|B AE K AH0 RRR AE IY
bakermat|B AE K AH0 RRR M AA T
bakermoeder|B AE K AH0 RRR M UW D AH0 RRR
bakerpraat|B AE K AH0 RRR P RRR AE T
bakerpraatje|B AE K AH0 RRR P RRR AE T Y AH0
bakerstoel|B AE K AH0 RRR S T UW L
bakfiets|B AA K F IY T S
bakhuis|B AA K ER Y UW1 S
bakje|B AA K Y AH0
bakkebaard|B AA K AH0 B AE RRR T
bakkeleien|B AA K AH0 L EH IY AH0 N
bakkeljauw|B AA K AH0 L Y AA UW
bakken|B AA K AH0 N
bakkenist|B AA K AH0 N IH S T
bakker|B AA K AH0 RRR
bakkerij|B AA K AH0 RRR EH IY
bakkerin|B AA K AH0 RRR IH N
bakkes|B AA K AH0 S
bakkie|B AA K IY
baklap|B AA K L AA P
baklava|B AA K L AE V AE
bakmeel|B AA K M EH0 L
bakoe|B AE K UW
bakplaat|B AA K P L AE T
bakpoeder|B AA K P UW D AH0 RRR
baksel|B AA K S AH0 L
bakslede|B AA K S L EH0 D AH0
baksteen|B AA K S T EH0 N
baksteengotiek|B AA K S T EH0 N HH OW0 T IY K
bakstenen|B AA K S T EH0 N AH0 N
bakster|B AA K S T AH0 RRR
bakt|B AA K T
baktand|B AA K T AA N T
bakvis|B AA K F IH S
bakvorm|B AA K F AO RRR M
bal|B AA L
balanceren|B AE L AA N S EH0 RRR AH0 N
balans|B AE L AA N S
balansmaker|B AE L AA N S M AE K AH0 RRR
balbezit|B AA L B AH0 Z IH T
baldadig|B AA L D AE D AH0 HH
baldakijn|B AA L D AE K EH IY N
balein|B AE L EH IY N
baleinen|B AE L EH IY N AH0 N
baleinwalvis|B AE L EH IY N V AA L V IH S
balen|B AE L AH0 N
balg|B AA L HH
balgpijn|B AA L HH P EH IY N
balhoofd|B AA L OW0 F T
bali|B AE L IY
balie|B AE L IY
baliekluiver|B AE L IY K L ER Y UW1 V AH0 RRR
balinees|B AE L IY N EH0 S
baljuw|B AA L Y Y UW1 UW
baljuwschap|B AA L Y Y UW1 UW S HH AA P
balk|B AA L K
balken|B AA L K AH0 N
balkon|B AA L K AO N
balkondeur|B AA L K AO N D OE RRR
balkonspringen|B AA L K AO N S P RRR IH NG AH0 N
ballast|B AA L AA S T
ballasten|B AA L AA S T AH0 N
ballastscheeps|B AA L AA S T S HH EH0 P S
ballen|B AA L AH0 N
ballenjongen|B AA L AH0 N Y AO NG AH0 N
ballenknijper|B AA L AH0 N K N EH IY P AH0 RRR
ballenspel|B AA L AH0 N S P EH L
ballentent|B AA L AH0 N T EH N T
ballet|B AA L EH T
balling|B AA L IH NG
ballingschap|B AA L IH NG S HH AA P
ballon|B AA L AO N
ballonet|B AA L AO N EH T
balorig|B AE L OW0 RRR AH0 HH
balpen|B AA L P EH N
balsem|B AA L S AH0 M
balsemen|B AA L S AH0 M AH0 N
balspel|B AA L S P EH L
balsport|B AA L S P AO RRR T
balsturig|B AA L S T Y UW1 RRR AH0 HH
baltisch|B AA L T IY S
balts|B AA L T S
baltsen|B AA L T S AH0 N
baluster|B AE L Y UW1 S T EH RRR
balustrade|B AE L Y UW1 S T RRR AE D AH0
balverlies|B AA L V EH RRR L IY S
balzaal|B AA L Z AE L
balzak|B AA L Z AA K
bamboe|B AA M B UW
bamboeriet|B AA M B UW RRR IY T
bamboes|B AA M B UW S
bamboesriet|B AA M B UW S RRR IY T
bami|B AE M IY
bammetje|B AA M AH0 T Y AH0
ban|B EH N
banaal|B AE N AE L
banaan|B AE N AE N
bananenboot|B AE N AE N AH0 N B OW0 T
bananenbrood|B AE N AE N AH0 N B RRR OW0 T
bananenmonarchie|B AE N AE N AH0 N M OW0 N AA RRR HH IY
bananenrepubliek|B AE N AE N AH0 N RRR EH0 P Y UW1 B L IY K
bananenschil|B AE N AE N AH0 N S HH IH L
bancair|B AA NG K EH RRR
band|B EH N T
bandafnemer|B AA N T AA F N EH0 M AH0 RRR
bandage|B AA N D AE ZH AH0
bandagist|B AA N D AE ZH IH S T
bandbreedte|B AA N T B RRR EH0 T AH0
banddoorlaatfilter|B AA N T D OW0 RRR L AE T F IH L T AH0 RRR
bandeloos|B AA N D AH0 L OW0 S
bandeng|B AA N D EH NG
bandenlichter|B AA N D AH0 N L IH HH T AH0 RRR
bandenloos|B AA N D AH0 N L OW0 S
bandfabriek|B AA N T F AE B RRR IY K
bandhond|B AA N T AO N T
bandiet|B AA N D IY T
bandietennest|B AA N D IY T AH0 N EH S T
bandleider|B EH N T L EH IY D AH0 RRR
bandopnemer|B AA N T AO P N EH0 M AH0 RRR
bandrecorder|B AA N T RRR AH0 K AO RRR D AH0 RRR
bandrekel|B AA N T RRR EH0 K AH0 L
bandsperfilter|B AA N T S P EH RRR F IH L T AH0 RRR
bandwerker|B AA N T V EH RRR K AH0 RRR
banen|B AE N AH0 N
banenmarkt|B AE N AH0 N M AA RRR K T
banenpool|B AE N AH0 N P UW L
bang|B AA NG
banga|B AA NG G AE
bangalijst|B AA NG G AE L EH IY S T
bangelijk|B AA NG AH0 L AH0 K
bangerd|B AA NG AH0 RRR T
bangerik|B AA NG AH0 RRR IH K
bangheid|B AA NG EH IY T
bangkok|B AA NG K AO K
bangladesh|B AA NG G L AE D EH SH
banier|B AE N IY RRR
banja|B AA N Y AE
banjer|B AA N Y AH0 RRR
banjeren|B AA N Y AH0 RRR AH0 N
banjerheer|B AA N Y AH0 RRR EH0 RRR
banjo|B AA N Y OW0
bank|B AA NG K
bankafschrift|B AA NG K AA F S HH RRR IH F T
bankbediende|B AA NG K B AH0 D IY N D AH0
bankbiljet|B AA NG K B IH L Y EH T
bankbreker|B AA NG K B RRR EH0 K AH0 RRR
bankbreuk|B AA NG K B RRR OE K
bankbreukig|B AA NG K B RRR OE K AH0 HH
bankcheque|B AA NG K SH EH K
bankdirecteur|B AA NG K D IY RRR EH K T OE RRR
bankensector|B AA NG K AH0 N S EH K T AO RRR
banket|B AA NG K EH T
banketbakker|B AA NG K EH T B AA K AH0 RRR
banketbakkersspijs|B AA NG K EH T B AA K AH0 RRR S P EH IY S
banketletter|B AA NG K EH T L EH T AH0 RRR
banketspijs|B AA NG K EH T S P EH IY S
banketstaaf|B AA NG K EH T S T AE F
bankgeld|B AA NG K HH EH L T
bankie|B AA NG K IY
bankier|B AA NG K IY RRR
bankieren|B AA NG K IY RRR AH0 N
bankkaart|B AA NG K AE RRR T
bankmanager|B AA NG K M EH N AH0 D ZH AH0 RRR
banknoot|B AA NG K N OW0 T
bankoverval|B AA NG K OW0 V AH0 RRR V AA L
bankovervaller|B AA NG K OW0 V AH0 RRR V AA L AH0 RRR
bankrekening|B AA NG K RRR EH0 K AH0 N IH NG
bankroet|B AA NG K RRR UW T
bankroetier|B AA NG K RRR UW T IY RRR
bankroof|B AA NG K RRR OW0 F
banksaldo|B AA NG K S AA L D OW0
bankschroef|B AA NG K S HH RRR UW F
banksector|B AA NG K S EH K T AO RRR
bankstel|B AA NG K S T EH L
bankwezen|B AA NG K V EH0 Z AH0 N
