a|AO
arcát|AO RRR T AE T
arcátlan|AO RRR T AE T L AO N
arcátlanabb|AO RRR T AE T L AO N AO B
arcától|AO RRR T AE T OW0 L
arcául|AO RRR T AE UW L
arcával|AO RRR T AE V AO L
arcává|AO RRR T AE V AE
arcáért|AO RRR T AE Y EH0 RRR T
arcú|AO RRR T UW
arcüreg|AO RRR T Y UW1 RRR EH G
arcüregek|AO RRR T Y UW1 RRR EH G EH K
argentína|AO RRR G EH N T IY N AO
argon|AO RRR G OW0 N
argonja|AO RRR G OW0 N IY0 AO
argonjai|AO RRR G OW0 N IY0 AO Y IY
argonjaid|AO RRR G OW0 N IY0 AO Y IY D
argonjaik|AO RRR G OW0 N IY0 AO Y IY K
argonjaim|AO RRR G OW0 N IY0 AO Y IY M
argonjaink|AO RRR G OW0 N IY0 AO Y IY NG K
argonjaitok|AO RRR G OW0 N IY0 AO Y IY T OW0 K
argonjuk|AO RRR G OW0 N IY0 UW K
argonod|AO RRR G OW0 N OW0 D
argonok|AO RRR G OW0 N OW0 K
argonom|AO RRR G OW0 N OW0 M
argonon|AO RRR G OW0 N OW0 N
argonotok|AO RRR G OW0 N OW0 T OW0 K
argonunk|AO RRR G OW0 N UW NG K
argó|AO RRR G OW0
argók|AO RRR G OW0 K
argón|AO RRR G OW0 N
arhangelszk|AO RRR AO NG G EH L S K
ari|AO RRR IY
arisztokrata|AO RRR IY S T OW0 K RRR AO T AO
arisztokratikus|AO RRR IY S T OW0 K RRR AO T IY K UW SH
arisztokratikusabb|AO RRR IY S T OW0 K RRR AO T IY K UW SH AO B
arisztokratább|AO RRR IY S T OW0 K RRR AO T AE B
arisztokraták|AO RRR IY S T OW0 K RRR AO T AE K
arisztokrácia|AO RRR IY S T OW0 K RRR AE T IY Y AO
arisztokráciák|AO RRR IY S T OW0 K RRR AE T IY Y AE K
arisztotelianizmus|AO RRR IY S T OW0 T EH L IY Y AO N IY Z M UW SH
arisztotelianizmusok|AO RRR IY S T OW0 T EH L IY Y AO N IY Z M UW SH OW0 K
arisztotelész|AO RRR IY S T OW0 T EH L EH0 S
arisztotelészi|AO RRR IY S T OW0 T EH L EH0 S IY
arkangyal|AO RRR K AO N IY0 G AO L
arkangyalok|AO RRR K AO N IY0 G AO L OW0 K
arkhimédész|AO RRR K HH IY M EH0 D EH0 S
arkhimédészi|AO RRR K HH IY M EH0 D EH0 S IY
arktisz|AO RRR K T IY S
arnold|AO RRR N OW0 L D
aroma|AO RRR OW0 M AO
aromák|AO RRR OW0 M AE K
aromás|AO RRR OW0 M AE SH
aromásabb|AO RRR OW0 M AE SH AO B
arra|AO RRR AO
arrafelé|AO RRR AO F EH L EH0
arrogáns|AO RRR OW0 G AE N SH
arrogánsabb|AO RRR OW0 G AE N SH AO B
arrogánsabban|AO RRR OW0 G AE N SH AO B AO N
arrogánsak|AO RRR OW0 G AE N SH AO K
arrogánsakat|AO RRR OW0 G AE N SH AO K AO T
arrogánsan|AO RRR OW0 G AE N SH AO N
arrogánsat|AO RRR OW0 G AE N SH AO T
arrogánst|AO RRR OW0 G AE N SH T
arról|AO RRR OW0 L
arszlán|AO RRR S L AE N
arszlánok|AO RRR S L AE N OW0 K
arterioszklerózis|AO RRR T EH RRR IY Y OW0 S K L EH RRR OW0 Z IY SH
arterioszklerózisok|AO RRR T EH RRR IY Y OW0 S K L EH RRR OW0 Z IY SH OW0 K
articsóka|AO RRR T IY T OW0 K AO
articsókák|AO RRR T IY T OW0 K AE K
artikuláció|AO RRR T IY K UW L AE T IY Y OW0
artikulációk|AO RRR T IY K UW L AE T IY Y OW0 K
artikulált|AO RRR T IY K UW L AE L T
artikuláltabb|AO RRR T IY K UW L AE L T AO B
artista|AO RRR T IY SH T AO
artisták|AO RRR T IY SH T AE K
artéria|AO RRR T EH0 RRR IY Y AO
artériák|AO RRR T EH0 RRR IY Y AE K
artériás|AO RRR T EH0 RRR IY Y AE SH
artúr|AO RRR T UW RRR
arzén|AO RRR Z EH0 N
arzének|AO RRR Z EH0 N EH K
arábia|AO RRR AE B IY Y AO
arábiai|AO RRR AE B IY Y AO Y IY
arád|AO RRR AE D
arák|AO RRR AE K
arákat|AO RRR AE K AO T
arám|AO RRR AE M
arán|AO RRR AE N
arány|AO RRR AE N IY0
aránya|AO RRR AE N IY0 AO
aránylag|AO RRR AE N IY0 L AO G
arányok|AO RRR AE N IY0 OW0 K
arányos|AO RRR AE N IY0 OW0 SH
arányosabb|AO RRR AE N IY0 OW0 SH AO B
arányosan|AO RRR AE N IY0 OW0 SH AO N
aránytalan|AO RRR AE N IY0 T AO L AO N
aránytalanabb|AO RRR AE N IY0 T AO L AO N AO B
aránytalanság|AO RRR AE N IY0 T AO L AO N SH AE G
aránytalanságok|AO RRR AE N IY0 T AO L AO N SH AE G OW0 K
aránytalanul|AO RRR AE N IY0 T AO L AO N UW L
arányában|AO RRR AE N IY0 AE B AO N
arányát|AO RRR AE N IY0 AE T
arányú|AO RRR AE N IY0 UW
arát|AO RRR AE T
arátok|AO RRR AE T OW0 K
aréna|AO RRR EH0 N AO
arénák|AO RRR EH0 N AE K
aspektus|AO SH P EH K T UW SH
aspektusok|AO SH P EH K T UW SH OW0 K
assz|AO S
asszaszin|AO S AO S IY N
asszem|AO S EH M
asszisztens|AO S IY S T EH N SH
asszisztensek|AO S IY S T EH N SH EH K
asszisztál|AO S IY S T AE L
asszociativitás|AO S OW0 T IY Y AO T IY V IY T AE SH
asszociativitások|AO S OW0 T IY Y AO T IY V IY T AE SH OW0 K
asszociatív|AO S OW0 T IY Y AO T IY V
asszociáció|AO S OW0 T IY Y AE T IY Y OW0
asszociációk|AO S OW0 T IY Y AE T IY Y OW0 K
asszociációs|AO S OW0 T IY Y AE T IY Y OW0 SH
asszociál|AO S OW0 T IY Y AE L
asszony|AO S OW0 N IY0
asszonynép|AO S OW0 N IY0 N EH0 P
asszonynépek|AO S OW0 N IY0 N EH0 P EH K
asszonyok|AO S OW0 N IY0 OW0 K
asszonyom|AO S OW0 N IY0 OW0 M
asszonyos|AO S OW0 N IY0 OW0 SH
asszonyosabb|AO S OW0 N IY0 OW0 SH AO B
asszonyt|AO S OW0 N IY0 T
asszíria|AO S IY RRR IY Y AO
astanga|AO SH T AO NG G AO
asz|AO S
aszal|AO S AO L
aszalhat|AO S AO L AO T
aszalt|AO S AO L T
aszaltabb|AO S AO L T AO B
aszeptikus|AO S EH P T IY K UW SH
aszeptikusabb|AO S EH P T IY K UW SH AO B
aszerint|AO S EH RRR IY N T
aszexualitás|AO S EH K S UW AO L IY T AE SH
aszexuális|AO S EH K S UW AE L IY SH
aszik|AO S IY K
aszimmetrikus|AO S IY M EH T RRR IY K UW SH
aszimptota|AO S IY M P T OW0 T AO
aszittem|AO S IY T EH M
aszkorbinsav|AO S K OW0 RRR B IY N SH AO V
aszkéta|AO S K EH0 T AO
aszkéták|AO S K EH0 T AE K
aszkézis|AO S K EH0 Z IY SH
aszkézisek|AO S K EH0 Z IY SH EH K
aszmara|AO S M AO RRR AO
aszok|AO S OW0 K
aszondja|AO S OW0 N IY0 G AO
aszonta|AO S OW0 N T AO
aszpirin|AO S P IY RRR IY N
aszpirinek|AO S P IY RRR IY N EH K
aszta|AO S T AO
asztal|AO S T AO L
asztala|AO S T AO L AO
asztalba|AO S T AO L B AO
asztalhoz|AO S T AO L OW0 Z
asztali|AO S T AO L IY
asztalig|AO S T AO L IY G
asztalitenisz|AO S T AO L IY T EH N IY S
asztaliteniszezik|AO S T AO L IY T EH N IY S EH Z IY K
asztaliteniszező|AO S T AO L IY T EH N IY S EH Z OE
asztaliteniszezők|AO S T AO L IY T EH N IY S EH Z OE K
asztalkendő|AO S T AO L K EH N D OE
asztallal|AO S T AO L AO L
asztalnak|AO S T AO L N AO K
asztalnemű|AO S T AO L N EH M Y UW1
asztalneműk|AO S T AO L N EH M Y UW1 K
asztalnál|AO S T AO L N AE L
asztalok|AO S T AO L OW0 K
asztalokat|AO S T AO L OW0 K AO T
asztalokkal|AO S T AO L OW0 K AO L
asztaloknak|AO S T AO L OW0 K N AO K
asztaloknál|AO S T AO L OW0 K N AE L
asztalokon|AO S T AO L OW0 K OW0 N
asztalokra|AO S T AO L OW0 K RRR AO
asztalom|AO S T AO L OW0 M
asztalon|AO S T AO L OW0 N
asztalos|AO S T AO L OW0 SH
asztalosműhely|AO S T AO L OW0 SH M Y UW1 EH Y
asztalosműhelyek|AO S T AO L OW0 SH M Y UW1 EH Y EH K
asztalosok|AO S T AO L OW0 SH OW0 K
asztalra|AO S T AO RRR AO
asztalt|AO S T AO L T
asztalterítő|AO S T AO L T EH RRR IY T OE
asztalterítők|AO S T AO L T EH RRR IY T OE K
asztaluk|AO S T AO L UW K
asztalé|AO S T AO L EH0
asztana|AO S T AO N AO
aszteroida|AO S T EH RRR OW0 Y IY D AO
asztma|AO S M AO
asztrahán|AO S T RRR AO AE N
asztrakán|AO S T RRR AO K AE N
asztrofizika|AO S T RRR OW0 F IY Z IY K AO
asztrolábium|AO S T RRR OW0 L AE B IY Y UW M
asztrolábiumok|AO S T RRR OW0 L AE B IY Y UW M OW0 K
asztrológia|AO S T RRR OW0 L OW0 G IY Y AO
asztrológiai|AO S T RRR OW0 L OW0 G IY Y AO Y IY
asztrológus|AO S T RRR OW0 L OW0 G UW SH
asztrológusok|AO S T RRR OW0 L OW0 G UW SH OW0 K
asztronauta|AO S T RRR OW0 N AO UW T AO
asztronauták|AO S T RRR OW0 N AO UW T AE K
asztronómia|AO S T RRR OW0 N OW0 M IY Y AO
asztronómus|AO S T RRR OW0 N OW0 M UW SH
asztronómusok|AO S T RRR OW0 N OW0 M UW SH OW0 K
asztácium|AO S T AE T IY Y UW M
aszály|AO S AE Y
aszályok|AO S AE Y OW0 K
aszályos|AO S AE Y OW0 SH
aszályosabb|AO S AE Y OW0 SH AO B
aszálytűrő|AO S AE Y T Y UW1 RRR OE
aszálytűrőbb|AO S AE Y T Y UW1 RRR OE B
aszó|AO S OW0
aszú|AO S UW
aszúk|AO S UW K
atavizmus|AO T AO V IY Z M UW SH
ateizmus|AO T EH Y IY Z M UW SH
ateizmusok|AO T EH Y IY Z M UW SH OW0 K
athén|AO T EH0 N
athéné|AO T EH0 N EH0
atka|AO T K AO
atkák|AO T K AE K
atlantisz|AO T L AO N T IY S
atlasz|AO T L AO S
atlaszok|AO T L AO S OW0 K
atletikus|AO T L EH T IY K UW SH
atletikusabb|AO T L EH T IY K UW SH AO B
atletizál|AO T L EH T IY Z AE L
atletizálás|AO T L EH T IY Z AE L AE SH
atléta|AO T L EH0 T AO
atlétanő|AO T L EH0 T AO N OE
atlétika|AO T L EH0 T IY K AO
atlétikai|AO T L EH0 T IY K AO Y IY
atléták|AO T L EH0 T AE K
atmoszféra|AO T M OW0 S F EH0 RRR AO
atom|AO T OW0 M
atombomba|AO T OW0 M B OW0 M B AO
atombombák|AO T OW0 M B OW0 M B AE K
atomerőmű|AO T OW0 M EH RRR OE M Y UW1
atomfegyver|AO T OW0 F EH G V EH RRR
atomfizika|AO T OW0 F IY Z IY K AO
atomhatalom|AO T OW0 M AO T AO L OW0 M
atomi|AO T OW0 M IY
atommag|AO T OW0 M AO G
atommagok|AO T OW0 M AO G OW0 K
atommodell|AO T OW0 M OW0 D EH L
atomok|AO T OW0 M OW0 K
atomon|AO T OW0 M OW0 N
atomtömeg|AO T OW0 M T OE M EH G
atomóra|AO T OW0 M OW0 RRR AO
atomórák|AO T OW0 M OW0 RRR AE K
atrocitás|AO T RRR OW0 T IY T AE SH
atrocitások|AO T RRR OW0 T IY T AE SH OW0 K
attak|AO T AO K
atti|AO T IY
attila|AO T IY L AO
attrakció|AO T RRR AO K T IY Y OW0
attrakciók|AO T RRR AO K T IY Y OW0 K
attraktív|AO T RRR AO K T IY V
attraktívabb|AO T RRR AO K T IY V AO B
attribútum|AO T RRR IY B UW T UW M
attribútumok|AO T RRR IY B UW T UW M OW0 K
attól|AO T OW0 L
atya|AO K HH AO
atyai|AO K HH AO Y IY
atyaibb|AO K HH AO Y IY B
atyja|AO K HH AO
atyák|AO K HH AE K
atyám|AO K HH AE M
atyán|AO K HH AE N
audiencia|AO UW D IY Y EH N T IY Y AO
audienciák|AO UW D IY Y EH N T IY Y AE K
audiokommentár|AO UW D IY Y OW0 K OW0 M EH N T AE RRR
audiovizuális|AO UW D IY Y OW0 V IY Z UW AE L IY SH
audiovizuálisabb|AO UW D IY Y OW0 V IY Z UW AE L IY SH AO B
auditórium|AO UW D IY T OW0 RRR IY Y UW M
auditóriumok|AO UW D IY T OW0 RRR IY Y UW M OW0 K
augusztus|AO G UW S T UW SH
augusztusa|AO UW G UW S T UW SH AO
augusztusban|AO UW G UW S T UW ZH B AO N
augusztusi|AO UW G UW S T UW SH IY
augusztusig|AO UW G UW S T UW SH IY G
augusztusok|AO UW G UW S T UW SH OW0 K
augusztusában|AO UW G UW S T UW SH AE B AO N
aukció|AO UW K T IY Y OW0
aukciók|AO UW K T IY Y OW0 K
aura|AO UW RRR AO
aurélia|AO UW RRR EH0 L IY Y AO
ausztria|AO UW S T RRR IY Y AO
ausztriai|AO UW S T RRR IY Y AO Y IY
ausztriában|AO UW S T RRR IY Y AE B AO N
ausztrál|AO UW S T RRR AE L
ausztrália|AO UW S T RRR AE L IY Y AO
ausztráliában|AO UW S T RRR AE L IY Y AE B AO N
ausztrálok|AO UW S T RRR AE L OW0 K
autentikus|AO UW T EH N T IY K UW SH
autentikusabb|AO UW T EH N T IY K UW SH AO B
autista|AO UW T IY SH T AO
autistább|AO UW T IY SH T AE B
autisták|AO UW T IY SH T AE K
autizmus|AO UW T IY Z M UW SH
autizmusok|AO UW T IY Z M UW SH OW0 K
autodidakta|AO UW T OW0 D IY D AO K T AO
autofókusz|AO UW T OW0 F OW0 K UW S
automatikusabb|AO UW T OW0 M AO T IY K UW SH AO B
automatizál|AO UW T OW0 M AO T IY Z AE L
automatizálás|AO UW T OW0 M AO T IY Z AE L AE SH
autonóm|AO UW T OW0 N OW0 M
autonómia|AO UW T OW0 N OW0 M IY Y AO
autonómiák|AO UW T OW0 N OW0 M IY Y AE K
autóban|AO UW T OW0 B AO N
autóbuszok|AO UW T OW0 B UW S OW0 K
autód|AO UW T OW0 D
autógumik|AO UW T OW0 G UW M IY K
autója|AO UW T OW0 Y AO
autók|AO UW T OW0 K
autókat|AO UW T OW0 K AO T
autókkal|AO UW T OW0 K AO L
autóknál|AO UW T OW0 K N AE L
autókon|AO UW T OW0 K OW0 N
autóm|AO UW T OW0 M
autómentők|AO UW T OW0 M EH N T OE K
autón|AO UW T OW0 N
autónk|AO UW T OW0 NG K
autónál|AO UW T OW0 N AE L
autópályák|AO UW T OW0 P AE Y AE K
autópályán|AO UW T OW0 P AE Y AE N
autósok|AO UW T OW0 SH OW0 K
autószerelők|AO UW T OW0 S EH RRR EH L OE K
autót|AO UW T OW0 T
autóval|AO UW T OW0 V AO L
autóversenyző|AO UW T OW0 V EH RRR SH EH N IY0 Z OE
autózz|AO UW T OW0 Z
avagy|AO V AO G
avantgárd|AO V AO N D G AE RRR D
avanzsíroz|AO V AO N ZH IY RRR OW0 Z
avar|AO V AO RRR
avarja|AO V AO RRR Y AO
avarjai|AO V AO RRR Y AO Y IY
avarjaid|AO V AO RRR Y AO Y IY D
avarjaik|AO V AO RRR Y AO Y IY K
avarjaim|AO V AO RRR Y AO Y IY M
avarjaink|AO V AO RRR Y AO Y IY NG K
avarjaitok|AO V AO RRR Y AO Y IY T OW0 K
avarjuk|AO V AO RRR Y UW K
avarod|AO V AO RRR OW0 D
avarok|AO V AO RRR OW0 K
avarom|AO V AO RRR OW0 M
avaron|AO V AO RRR OW0 N
avarotok|AO V AO RRR OW0 T OW0 K
avarunk|AO V AO RRR UW NG K
avat|AO V AO T
avatsz|AO V AO T
avatára|AO V AO T AE RRR AO
avokádó|AO V OW0 K AE D OW0
avokádók|AO V OW0 K AE D OW0 K
avul|AO V UW L
avval|AO V AO L
axióma|AO K S IY Y OW0 M AO
axiómák|AO K S IY Y OW0 M AE K
axon|AO K S OW0 N
axonok|AO K S OW0 N OW0 K
az|AO Z
azalatt|AO Z AO L AO T
azaz|AO Z AO Z
azelőtt|AO Z EH L OE T
azelőtti|AO Z EH L OE T IY
azerbajdzsán|AO Z EH RRR B AO Y D AE N
azeri|AO Z EH RRR IY
azerik|AO Z EH RRR IY K
aznap|AO Z N AO P
azok|AO Z OW0 K
azokat|AO Z OW0 K AO T
azokba|AO Z OW0 G B AO
azokban|AO Z OW0 G B AO N
azokból|AO Z OW0 G B OW0 L
azokhoz|AO Z OW0 K HH OW0 Z
azokig|AO Z OW0 K IY G
azokkal|AO Z OW0 K AO L
azokká|AO Z OW0 K AE
azokként|AO Z OW0 K EH0 N T
azoknak|AO Z OW0 K N AO K
azoknál|AO Z OW0 K N AE L
azokon|AO Z OW0 K OW0 N
azokra|AO Z OW0 K RRR AO
azokról|AO Z OW0 K RRR OW0 L
azoktól|AO Z OW0 K T OW0 L
azokért|AO Z OW0 K EH0 RRR T
azon|AO Z OW0 N
azonban|AO Z OW0 M B AO N
azonkívül|AO Z OW0 NG K IY V Y UW1 L
azonnal|AO Z OW0 N AO L
azonnali|AO Z OW0 N AO L IY
azonos|AO Z OW0 N OW0 SH
azonosabb|AO Z OW0 N OW0 SH AO B
azonosak|AO Z OW0 N OW0 SH AO K
azonosul|AO Z OW0 N OW0 SH UW L
azonosít|AO Z OW0 N OW0 SH IY T
azonosítatlan|AO Z OW0 N OW0 SH IY T AO T L AO N
azonosíthatatlan|AO Z OW0 N OW0 SH IY T HH AO T AO T L AO N
azonosító|AO Z OW0 N OW0 SH IY T OW0
azonosítója|AO Z OW0 N OW0 SH IY T OW0 Y AO
azonosítók|AO Z OW0 N OW0 SH IY T OW0 K
azt|AO S T
azta|AO S T AO
aztán|AO S T AE N
azték|AO S T EH0 K
azután|AO Z UW T AE N
azzal|AO Z AO L
azzá|AO Z AE
azáltal|AO Z AE L T AO L
azé|AO Z EH0
azért|AO Z EH0 RRR T
azóta|AO Z OW0 T AO
b|B EH0
bab|B AO B
baba|B AO B AO
babacipő|B AO B AO T IY P OE
babacsörgő|B AO B AO T OE RRR G OE
babakocsi|B AO B AO K OW0 T IY
babapiskóta|B AO B AO P IY SH K OW0 T AO
babapiskóták|B AO B AO P IY SH K OW0 T AE K
babba|B AO B AO
babbal|B AO B AO L
babban|B AO B AO N
babilon|B AO B IY L OW0 N
babilónia|B AO B IY L OW0 N IY Y AO
babits|B AO B IY T
babok|B AO B OW0 K
babona|B AO B OW0 N AO
babonák|B AO B OW0 N AE K
babonás|B AO B OW0 N AE SH
babonásabb|B AO B OW0 N AE SH AO B
babonásan|B AO B OW0 N AE SH AO N
babos|B AO B OW0 SH
babzsák|B AO B ZH AE K
babád|B AO B AE D
babái|B AO B AE Y IY
babáid|B AO B AE Y IY D
babáik|B AO B AE Y IY K
babáim|B AO B AE Y IY M
babáink|B AO B AE Y IY NG K
babáitok|B AO B AE Y IY T OW0 K
babája|B AO B AE Y AO
babájuk|B AO B AE Y UW K
babák|B AO B AE K
babákon|B AO B AE K OW0 N
babákra|B AO B AE K RRR AO
babám|B AO B AE M
babán|B AO B AE N
babánk|B AO B AE NG K
babára|B AO B AE RRR AO
babát|B AO B AE T
babátok|B AO B AE T OW0 K
babér|B AO B EH0 RRR
babérja|B AO B EH0 RRR Y AO
babérjai|B AO B EH0 RRR Y AO Y IY
babérjain|B AO B EH0 RRR Y AO Y IY N
babérján|B AO B EH0 RRR Y AE N
babérkoszorú|B AO B EH0 RRR K OW0 S OW0 RRR UW
babérlevelek|B AO B EH0 RRR L EH V EH L EH K
babérlevél|B AO B EH0 RRR L EH V EH0 L
babérok|B AO B EH0 RRR OW0 K
babért|B AO B EH0 RRR T
bach|B AO HH
bachi|B AO HH IY
baci|B AO T IY
bacilus|B AO T IY L UW SH
bacilusok|B AO T IY L UW SH OW0 K
badar|B AO D AO RRR
badarabb|B AO D AO RRR AO B
badarság|B AO D AO RRR SH AE G
badarságok|B AO D AO RRR SH AE G OW0 K
bagatellizál|B AO G AO T EH L IY Z AE L
bagdad|B AO G D AO D
bagdadi|B AO G D AO D IY
bagdadon|B AO G D AO D OW0 N
baglya|B AO G Y AO
baglyok|B AO G Y OW0 K
bagoly|B AO G OW0 Y
bagolyfészek|B AO G OW0 Y F EH0 S EH K
bagolyfészkek|B AO G OW0 Y F EH0 S K EH K
bagolylepke|B AO G OW0 Y L EH P K EH
bagolylepkék|B AO G OW0 Y L EH P K EH0 K
bagolyodú|B AO G OW0 Y OW0 D UW
bagolyodúk|B AO G OW0 Y OW0 D UW K
bagolytanya|B AO G OW0 Y T AO N IY0 AO
bagolytanyák|B AO G OW0 Y T AO N IY0 AE K
bagolyvár|B AO G OW0 Y V AE RRR
bagolyvárak|B AO G OW0 Y V AE RRR AO K
bagázs|B AO G AE ZH
bagázsok|B AO G AE ZH OW0 K
bagó|B AO G OW0
bahrein|B AO HH RRR EH Y N
baj|B AO Y
baja|B AO Y AO
bajadér|B AO Y AO D EH0 RRR
bajadérok|B AO Y AO D EH0 RRR OW0 K
bajai|B AO Y AO Y IY
bajaid|B AO Y AO Y IY D
bajaik|B AO Y AO Y IY K
bajaim|B AO Y AO Y IY M
bajaink|B AO Y AO Y IY NG K
bajaitok|B AO Y AO Y IY T OW0 K
bajba|B AO Y B AO
bajban|B AO Y B AO N
bajból|B AO Y B OW0 L
bajhoz|B AO Y OW0 Z
bajig|B AO Y IY G
bajjal|B AO Y AO L
bajjá|B AO Y AE
bajként|B AO Y K EH0 N T
bajlódik|B AO Y L OW0 D IY K
bajnak|B AO Y N AO K
bajnok|B AO Y N OW0 K
bajnoki|B AO Y N OW0 K IY
bajnokok|B AO Y N OW0 K OW0 K
bajnokság|B AO Y N OW0 K SH AE G
bajnokságban|B AO Y N OW0 K SH AE G B AO N
bajnokságok|B AO Y N OW0 K SH AE G OW0 K
bajnál|B AO Y N AE L
bajod|B AO Y OW0 D
bajok|B AO Y OW0 K
bajokat|B AO Y OW0 K AO T
bajokon|B AO Y OW0 K OW0 N
bajokra|B AO Y OW0 K RRR AO
bajom|B AO Y OW0 M
bajon|B AO Y OW0 N
bajonett|B AO Y OW0 N EH T
bajonettek|B AO Y OW0 N EH T EH K
bajor|B AO Y OW0 RRR
bajorország|B AO Y OW0 RRR OW0 RRR S AE G
bajos|B AO Y OW0 SH
bajosabb|B AO Y OW0 SH AO B
bajosan|B AO Y OW0 SH AO N
bajotok|B AO Y OW0 T OW0 K
bajra|B AO Y RRR AO
bajrám|B AO Y RRR AE M
bajról|B AO Y RRR OW0 L
bajsza|B AO Y S AO
bajszú|B AO Y S UW
bajt|B AO Y T
bajtárs|B AO Y T AE RRR SH
bajtól|B AO Y T OW0 L
bajuk|B AO Y UW K
bajunk|B AO Y UW NG K
bajusz|B AO Y UW S
bajusza|B AO Y UW S AO
bajuszai|B AO Y UW S AO Y IY
bajuszaid|B AO Y UW S AO Y IY D
bajuszaik|B AO Y UW S AO Y IY K
bajuszaim|B AO Y UW S AO Y IY M
bajuszaink|B AO Y UW S AO Y IY NG K
bajuszaitok|B AO Y UW S AO Y IY T OW0 K
bajuszod|B AO Y UW S OW0 D
bajuszok|B AO Y UW S OW0 K
bajuszom|B AO Y UW S OW0 M
bajuszos|B AO Y UW S OW0 SH
bajuszosabb|B AO Y UW S OW0 SH AO B
bajuszotok|B AO Y UW S OW0 T OW0 K
bajuszuk|B AO Y UW S UW K
bajuszunk|B AO Y UW S UW NG K
bajuszú|B AO Y UW S UW
baján|B AO Y AE N
bajért|B AO Y EH0 RRR T
bak|B AO K
baka|B AO K AO
bakancs|B AO K AO N T
bakancsban|B AO K AO N D B AO N
bakancslista|B AO K AO N T L IY SH T AO
bakancsok|B AO K AO N T OW0 K
bakancsot|B AO K AO N T OW0 T
bakba|B AO G B AO
bakcsó|B AO K T OW0
bakfis|B AO K F IY SH
bakfisok|B AO K F IY SH OW0 K
baki|B AO K IY
bakid|B AO K IY D
bakik|B AO K IY K
bakin|B AO K IY N
bakit|B AO K IY T
baklövés|B AO K L OE V EH0 SH
baklövések|B AO K L OE V EH0 SH EH K
bakok|B AO K OW0 K
bakom|B AO K OW0 M
bakon|B AO K OW0 N
bakonyszücs|B AO K OW0 N IY0 S Y UW1 T
bakot|B AO K OW0 T
bakra|B AO K RRR AO
baksa|B AO K SH AO
baksis|B AO K SH IY SH
bakteriológia|B AO K T EH RRR IY Y OW0 L OW0 G IY Y AO
bakteriológiai|B AO K T EH RRR IY Y OW0 L OW0 G IY Y AO Y IY
bakteriológiailag|B AO K T EH RRR IY Y OW0 L OW0 G IY Y AO Y IY L AO G
bakteriológus|B AO K T EH RRR IY Y OW0 L OW0 G UW SH
bakteriológusok|B AO K T EH RRR IY Y OW0 L OW0 G UW SH OW0 K
baktérium|B AO K T EH0 RRR IY Y UW M
baktériumok|B AO K T EH0 RRR IY Y UW M OW0 K
baktériumölő|B AO K T EH0 RRR IY Y UW M OE L OE
baktérítő|B AO K T EH0 RRR IY T OE
bakák|B AO K AE K
bakó|B AO K OW0
bal|B AO L
balalajka|B AO L AO L AO Y K AO
balalajkák|B AO L AO L AO Y K AE K
balaton|B AO L AO T OW0 N
balatoni|B AO L AO T OW0 N IY
balatonnál|B AO L AO T OW0 N AE L
balcsi|B AO L T IY
balek|B AO L EH K
balekok|B AO L EH K OW0 K
balerinazokni|B AO L EH RRR IY N AO Z OW0 K N IY
baleset|B AO L EH SH EH T
balesetek|B AO L EH SH EH T EH K
balesetet|B AO L EH SH EH T EH T
baleseti|B AO L EH SH EH T IY
balesetveszély|B AO L EH SH EH T V EH S EH0 Y
balett|B AO L EH T
balettcipő|B AO L EH T IY P OE
balettcipők|B AO L EH T IY P OE K
balettek|B AO L EH T EH K
balfasz|B AO L F AO S
balhé|B AO L EH0
balhék|B AO L EH0 K
balhét|B AO L EH0 T
bali|B AO L IY
balin|B AO L IY N
balit|B AO L IY T
baljós|B AO L Y OW0 SH
balkezes|B AO L K EH Z EH SH
balkon|B AO L K OW0 N
balkonok|B AO L K OW0 N OW0 K
balkán|B AO L K AE N
ballada|B AO L AO D AO
balladák|B AO L AO D AE K
ballag|B AO L AO G
ballagás|B AO L AO G AE SH
ballisztika|B AO L IY S T IY K AO
ballonkabát|B AO L OW0 NG K AO B AE T
ballépés|B AO L EH0 P EH0 SH
balneoterápia|B AO L N EH OW0 T EH RRR AE P IY Y AO
balog|B AO L OW0 G
balogh|B AO L OW0 G
baloldal|B AO L OW0 L D AO L
baloldali|B AO L OW0 L D AO L IY
balra|B AO RRR AO
balról|B AO RRR OW0 L
balszerencse|B AO L S EH RRR EH N T EH
balszerencsék|B AO L S EH RRR EH N T EH0 K
balt|B AO L T
balta|B AO L T AO
baltazár|B AO L T AO Z AE RRR
balti|B AO L T IY
balták|B AO L T AE K
balzsam|B AO L ZH AO M
balzsamecet|B AO L ZH AO M EH T EH T
balzsamecetek|B AO L ZH AO M EH T EH T EH K
balzsamok|B AO L ZH AO M OW0 K
balzsamos|B AO L ZH AO M OW0 SH
balzsamosabb|B AO L ZH AO M OW0 SH AO B
balázs|B AO L AE ZH
balítélet|B AO L IY T EH0 L EH T
bambara|B AO M B AO RRR AO
bambul|B AO M B UW L
bambusz|B AO M B UW S
bambuszok|B AO M B UW S OW0 K
banda|B AO N D AO
bandaháború|B AO N D AO AE B OW0 RRR UW
bandaháborúk|B AO N D AO AE B OW0 RRR UW K
bandikut|B AO N D IY K UW T
bandita|B AO N D IY T AO
banditák|B AO N D IY T AE K
bandukol|B AO N D UW K OW0 L
bandzsa|B AO N D AO
bandzsít|B AO N D IY T
bandához|B AO N D AE OW0 Z
bandák|B AO N D AE K
