aa|AA
kokoaskel|K OW0 K OW0 AA S K EH0 L
kokoelma|K OW0 K OW0 EH0 L M AA
kokoelmaluettelo|K OW0 K OW0 EH0 L M AA L UW EH0 T T EH0 L OW0
kokoelmatunnus|K OW0 K OW0 EH0 L M AA T UW N UW S
kokoelmatyö|K OW0 K OW0 EH0 L M AA T Y UW1 OE
kokoero|K OW0 K OW0 EH0 RRR OW0
kokoerottelu|K OW0 K OW0 EH0 RRR OW0 T T EH0 L UW
kokoilla|K OW0 K OW0 IY L AA Q
kokoilta|K OW0 K OW0 IY L T AA
kokoinen|K OW0 K OW0 IY N EH0 N
kokojyväleipä|K OW0 K OW0 Y Y UW1 V AE L EH0 IY P AE
kokokuva|K OW0 K OW0 K UW V AA
kokolainausmerkki|K OW0 K OW0 L AA IY N AA UW S M EH0 RRR K IY
kokolattiamatto|K OW0 K OW0 L AA T IY AA M AA T OW0
kokoliha|K OW0 K OW0 L IY AA
kokolihapihvi|K OW0 K OW0 L IY AA P IY HH V IY
kokolihavalmiste|K OW0 K OW0 L IY AA V AA L M IY S T EH0 Q
kokoluokka|K OW0 K OW0 L UW OW0 K AA
kokomaito|K OW0 K OW0 M AA IY T OW0
kokomusta|K OW0 K OW0 M UW S T AA
kokonainen|K OW0 K OW0 N AA IY N EH0 N
kokonaisalue|K OW0 K OW0 N AA IY S AA L UW EH0 Q
kokonaisarvo|K OW0 K OW0 N AA IY S AA RRR V OW0
kokonaisbudjetti|K OW0 K OW0 N AA IY S B UW D Y EH0 T IY
kokonaisenergia|K OW0 K OW0 N AA IY S EH0 N EH0 RRR G IY AA
kokonaisennuste|K OW0 K OW0 N AA IY S EH0 N UW S T EH0 Q
kokonaisesitys|K OW0 K OW0 N AA IY S EH0 S IY T Y UW1 S
kokonaisesti|K OW0 K OW0 N AA IY S EH0 S T IY Q
kokonaisetu|K OW0 K OW0 N AA IY S EH0 T UW
kokonaisharkinta|K OW0 K OW0 N AA IY S HH AA RRR K IY N T AA
kokonaisheijastua|K OW0 K OW0 N AA IY S HH EH0 IY Y AA S T UW AA Q
kokonaisheijastuminen|K OW0 K OW0 N AA IY S HH EH0 IY Y AA S T UW M IY N EH0 N
kokonaisheijastus|K OW0 K OW0 N AA IY S HH EH0 IY Y AA S T UW S
kokonaishinta|K OW0 K OW0 N AA IY S HH IY N T AA
kokonaisilmaisu|K OW0 K OW0 N AA IY S IY L M AA IY S UW
kokonaiskapasiteetti|K OW0 K OW0 N AA IY S K AA P AA S IY T EH0 T IY
kokonaiskasvu|K OW0 K OW0 N AA IY S K AA S V UW
kokonaiskorkeus|K OW0 K OW0 N AA IY S K OW0 RRR K EH0 UW S
kokonaiskustannukset|K OW0 K OW0 N AA IY S K UW S T AA N N UW K S EH0 T
kokonaiskuva|K OW0 K OW0 N AA IY S K UW V AA
kokonaiskäsitys|K OW0 K OW0 N AA IY S K AE S IY T Y UW1 S
kokonaisleveys|K OW0 K OW0 N AA IY S L EH0 V EH0 Y UW1 S
kokonaismassa|K OW0 K OW0 N AA IY S M AA S AA
kokonaismenot|K OW0 K OW0 N AA IY S M EH0 N OW0 T
kokonaisnäkemys|K OW0 K OW0 N AA IY S N AE K EH0 M Y UW1 S
kokonaisopetus|K OW0 K OW0 N AA IY S OW0 P EH0 T UW S
kokonaisopiskelijamäärä|K OW0 K OW0 N AA IY S OW0 P IY S K EH0 L IY Y AA M AE RRR AE
kokonaispisteet|K OW0 K OW0 N AA IY S P IY S T EH0 T
kokonaispituus|K OW0 K OW0 N AA IY S P IY T UW S
kokonaisreaktio|K OW0 K OW0 N AA IY S RRR EH0 AA K T IY OW0
kokonaissubjekti|K OW0 K OW0 N AA IY S S UW B Y EH0 K T IY
kokonaissumma|K OW0 K OW0 N AA IY S S UW M AA
kokonaissuunnitelma|K OW0 K OW0 N AA IY S S UW N IY T EH0 L M AA
kokonaissuunnittelu|K OW0 K OW0 N AA IY S S UW N IY T T EH0 L UW
kokonaistappio|K OW0 K OW0 N AA IY S T AA P IY OW0
kokonaistarve|K OW0 K OW0 N AA IY S T AA RRR V EH0 Q
kokonaisteho|K OW0 K OW0 N AA IY S T EH0 OW0
kokonaistilavuus|K OW0 K OW0 N AA IY S T IY L AA V UW S
kokonaistulos|K OW0 K OW0 N AA IY S T UW L OW0 S
kokonaistuotto|K OW0 K OW0 N AA IY S T UW OW0 T OW0
kokonaisuus|K OW0 K OW0 N AA IY S UW S
kokonaisvaikutelma|K OW0 K OW0 N AA IY S V AA IY K UW T EH0 L M AA
kokonaisvaikutus|K OW0 K OW0 N AA IY S V AA IY K UW T UW S
kokonaisvaltainen|K OW0 K OW0 N AA IY S V AA L T AA IY N EH0 N
kokonaisvaltaisesti|K OW0 K OW0 N AA IY S V AA L T AA IY S EH0 S T IY Q
kokonaisvaltaisuus|K OW0 K OW0 N AA IY S V AA L T AA IY S UW S
kokonaisyksikkökustannukset|K OW0 K OW0 N AA IY S Y UW1 K S IY K OE K UW S T AA N N UW K S EH0 T
kokonelson|K OW0 K OW0 N EH0 L S OW0 N
kokongi|K OW0 K OW0 NG IY
kokonki|K OW0 K OW0 NG K IY
kokonumero|K OW0 K OW0 N UW M EH0 RRR OW0
kokonumerointi|K OW0 K OW0 N UW M EH0 RRR OW0 IY N T IY
kokoojakaivo|K OW0 K OW0 Y AA K AA IY V OW0
kokoojakatu|K OW0 K OW0 Y AA K AA T UW
kokoojatie|K OW0 K OW0 Y AA T IY EH0
kokoomateos|K OW0 K OW0 M AA T EH0 OW0 S
kokoomukselainen|K OW0 K OW0 M UW K S EH0 L AA IY N EH0 N
kokoomuslainen|K OW0 K OW0 M UW S L AA IY N EH0 N
kokoomuspuolue|K OW0 K OW0 M UW S P UW OW0 L UW EH0 Q
kokoonkutsuja|K OW0 K OW0 NG K UW T S UW Y AA
kokoonpainuva|K OW0 K OW0 M P AA IY N UW V AA
kokoonpanna|K OW0 K OW0 M P AA N AA Q
kokoonpano|K OW0 K OW0 M P AA N OW0
kokoonpanoaika|K OW0 K OW0 M P AA N OW0 AA IY K AA
kokoonpanotyö|K OW0 K OW0 M P AA N OW0 T Y UW1 OE
kokoonpantava|K OW0 K OW0 M P AA N T AA V AA
kokoonpantu|K OW0 K OW0 M P AA N T UW
kokoontaitettava|K OW0 K OW0 N T AA IY T EH0 T T AA V AA
kokoontuma|K OW0 K OW0 N T UW M AA
kokoontuminen|K OW0 K OW0 N T UW M IY N EH0 N
kokoontumisajo|K OW0 K OW0 N T UW M IY S AA Y OW0
kokoontumiskielto|K OW0 K OW0 N T UW M IY S K IY EH0 L T OW0
kokoontumislaki|K OW0 K OW0 N T UW M IY S L AA K IY
kokoontumispaikka|K OW0 K OW0 N T UW M IY S P AA IY K AA
kokoontumisvapaus|K OW0 K OW0 N T UW M IY S V AA P AA UW S
kokoparta|K OW0 K OW0 P AA RRR T AA
kokoperunat|K OW0 K OW0 P EH0 RRR UW N AA T
kokopitkä|K OW0 K OW0 P IY T K AE
kokopuku|K OW0 K OW0 P UW K UW
kokopullo|K OW0 K OW0 P UW L OW0
kokopuomi|K OW0 K OW0 P UW OW0 M IY
kokopäivähoito|K OW0 K OW0 P AE IY V AE HH OW0 IY T OW0
kokopäiväinen|K OW0 K OW0 P AE IY V AE IY N EH0 N
kokopäiväosasto|K OW0 K OW0 P AE IY V AE OW0 S AA S T OW0
kokopäivätoiminen|K OW0 K OW0 P AE IY V AE T OW0 IY M IY N EH0 N
kokopäivätyö|K OW0 K OW0 P AE IY V AE T Y UW1 OE
kokopäästösuodatin|K OW0 K OW0 P AE S T OE S UW OW0 D AA T IY N
kokoruututila|K OW0 K OW0 RRR UW T UW T IY L AA
kokosivu|K OW0 K OW0 S IY V UW
kokosummain|K OW0 K OW0 S UW M AA IY N
kokosävelaskel|K OW0 K OW0 S AE V EH0 L AA S K EH0 L
kokotalvinen|K OW0 K OW0 T AA L V IY N EH0 N
kokotauko|K OW0 K OW0 T AA UW K OW0
kokotekstitietokanta|K OW0 K OW0 T EH0 K S T IY T IY EH0 T OW0 K AA N T AA
kokotti|K OW0 K OW0 T IY
kokouma|K OW0 K OW0 UW M AA
kokous|K OW0 K OW0 UW S
kokoushuoneisto|K OW0 K OW0 UW S HH UW OW0 N EH0 IY S T OW0
kokousilmoitus|K OW0 K OW0 UW S IY L M OW0 IY T UW S
kokouskirja|K OW0 K OW0 UW S K IY RRR Y AA
kokouskutsu|K OW0 K OW0 UW S K UW T S UW
kokousmatkailu|K OW0 K OW0 UW S M AA T K AA IY L UW
kokouspalkkio|K OW0 K OW0 UW S P AA L K IY OW0
kokouspalvelu|K OW0 K OW0 UW S P AA L V EH0 L UW
kokoustekniikka|K OW0 K OW0 UW S T EH0 K N IY K AA
kokoustila|K OW0 K OW0 UW S T IY L AA
kokousväki|K OW0 K OW0 UW S V AE K IY
kokoutuma|K OW0 K OW0 UW T UW M AA
kokovaippaluoti|K OW0 K OW0 V AA IY P AA L UW OW0 T IY
kokovalkoinen|K OW0 K OW0 V AA L K OW0 IY N EH0 N
kokovartalokuva|K OW0 K OW0 V AA RRR T AA L OW0 K UW V AA
kokovartalopeili|K OW0 K OW0 V AA RRR T AA L OW0 P EH0 IY L IY
kokovartalopuudutus|K OW0 K OW0 V AA RRR T AA L OW0 P UW D UW T UW S
kokoveri|K OW0 K OW0 V EH0 RRR IY
kokovuotinen|K OW0 K OW0 V UW OW0 T IY N EH0 N
kokoöinen|K OW0 K OW0 OE IY N EH0 N
koksaamo|K OW0 K S AA M OW0
koksaus|K OW0 K S AA UW S
koksautua|K OW0 K S AA UW T UW AA Q
koksi|K OW0 K S IY
koksiintua|K OW0 K S IY N T UW AA Q
koksiitti|K OW0 K S IY T IY
koksittaa|K OW0 K S IY T AA Q
koksiuuni|K OW0 K S IY UW N IY
koktail|K OW0 K T AA IY L
koktaili|K OW0 K T AA IY L IY
kola|K OW0 L AA
kolahdella|K OW0 L AA HH D EH0 L AA Q
kolahdus|K OW0 L AA HH D UW S
kolahtaa|K OW0 L AA HH T AA Q
kolahtaminen|K OW0 L AA HH T AA M IY N EH0 N
kolajuoma|K OW0 L AA Y UW OW0 M AA
kolangiitti|K OW0 L AA NG NG IY T IY
kolapuu|K OW0 L AA P UW
kolari|K OW0 L AA RRR IY
kolariauto|K OW0 L AA RRR IY AA UW T OW0
kolarilainen|K OW0 L AA RRR IY L AA IY N EH0 N
kolarisuma|K OW0 L AA RRR IY S UW M AA
kolarivaurio|K OW0 L AA RRR IY V AA UW RRR IY OW0
kolaroida|K OW0 L AA RRR OW0 IY D AA Q
kolaroimaton|K OW0 L AA RRR OW0 IY M AA T OW0 N
kolata|K OW0 L AA T AA Q
kolautella|K OW0 L AA UW T EH0 L AA Q
kolea|K OW0 L EH0 AA
koleasti|K OW0 L EH0 AA S T IY Q
koleerikko|K OW0 L EH0 RRR IY K OW0
kolehtivarat|K OW0 L EH0 HH T IY V AA RRR AA T
kolekalsiferoli|K OW0 L EH0 K AA L S IY F EH0 RRR OW0 L IY
kolera|K OW0 L EH0 RRR AA
kolerabakteeri|K OW0 L EH0 RRR AA B AA K T EH0 RRR IY
kolesteroli|K OW0 L EH0 S T EH0 RRR OW0 L IY
kolesteroliarvo|K OW0 L EH0 S T EH0 RRR OW0 L IY AA RRR V OW0
kolesterolilääke|K OW0 L EH0 S T EH0 RRR OW0 L IY L AE K EH0 Q
kolesterolipitoisuus|K OW0 L EH0 S T EH0 RRR OW0 L IY P IY T OW0 IY S UW S
kolesteroliton|K OW0 L EH0 S T EH0 RRR OW0 L IY T OW0 N
kolhaisu|K OW0 L HH AA IY S UW
kolhiintuma|K OW0 L HH IY N T UW M AA
kolhiminen|K OW0 L HH IY M IY N EH0 N
kolhinta|K OW0 L HH IY N T AA
kolhiutua|K OW0 L HH IY UW T UW AA Q
kolhiutuma|K OW0 L HH IY UW T UW M AA
kolhoosijärjestelmä|K OW0 L HH OW0 S IY Y AE RRR Y EH0 S T EH0 L M AE
kolhoosilainen|K OW0 L HH OW0 S IY L AA IY N EH0 N
koli|K OW0 L IY
kolibri|K OW0 L IY B RRR IY
koliikki|K OW0 L IY K IY
koliini|K OW0 L IY N IY
kolikonheitto|K OW0 L IY K OW0 N HH EH0 IY T OW0
kolina|K OW0 L IY N AA
koliseminen|K OW0 L IY S EH0 M IY N EH0 N
kolista|K OW0 L IY S T AA Q
kolistaa|K OW0 L IY S T AA Q
kolisteleminen|K OW0 L IY S T EH0 L EH0 M IY N EH0 N
kolistella|K OW0 L IY S T EH0 L AA Q
kolja|K OW0 L Y AA
kolkata|K OW0 L K AA T AA Q
kolkka|K OW0 L K AA
kolkkaa|K OW0 L K AA Q
kolkkakalastus|K OW0 L K AA K AA L AA S T UW S
kolkko|K OW0 L K OW0
kolkkous|K OW0 L K OW0 UW S
kolkosti|K OW0 L K OW0 S T IY Q
kolkutin|K OW0 L K UW T IY N
kolkuttaa|K OW0 L K UW T AA Q
kolkuttaminen|K OW0 L K UW T T AA M IY N EH0 N
kolkutus|K OW0 L K UW T UW S
kollaatio|K OW0 L AA T IY OW0
kollaboraatio|K OW0 L AA B OW0 RRR AA T IY OW0
kollari|K OW0 L AA RRR IY
kollarit|K OW0 L AA RRR IY T
kollegiaalijärjestelmä|K OW0 L EH0 G IY AA L IY Y AE RRR Y EH0 S T EH0 L M AE
kollegiaalinen|K OW0 L EH0 G IY AA L IY N EH0 N
kolleginen|K OW0 L EH0 G IY N EH0 N
kollektiivisuus|K OW0 L EH0 K T IY V IY S UW S
kollektiivitalous|K OW0 L EH0 K T IY V IY T AA L OW0 UW S
kollektiivitila|K OW0 L EH0 K T IY V IY T IY L AA
kollektivismi|K OW0 L EH0 K T IY V IY S M IY
kollektivisti|K OW0 L EH0 K T IY V IY S T IY
kollektivistinen|K OW0 L EH0 K T IY V IY S T IY N EH0 N
kollektivointi|K OW0 L EH0 K T IY V OW0 IY N T IY
kolli|K OW0 L IY
kolligatiivinen|K OW0 L IY G AA T IY V IY N EH0 N
kollikissa|K OW0 L IY K IY S AA
kollineaarinen|K OW0 L IY N EH0 AA RRR IY N EH0 N
kollineaarisuus|K OW0 L IY N EH0 AA RRR IY S UW S
kolloidikemia|K OW0 L OW0 IY D IY K EH0 M IY AA
kolloidiliuos|K OW0 L OW0 IY D IY L IY UW OW0 S
kollotus|K OW0 L OW0 T UW S
kolmannes|K OW0 L M AA N EH0 S
kolmas|K OW0 L M AA S
kolme|K OW0 L M EH0 Q
kolmekulmainen|K OW0 L M EH0 K UW L M AA IY N EH0 N
kolmekuukautinen|K OW0 L M EH0 K UW K AA UW T IY N EH0 N
kolmekymmentä|K OW0 L M EH0 K Y UW1 M EH0 N T AE
kolmenarvoinen|K OW0 L M EH0 N AA RRR V OW0 IY N EH0 N
kolmenvälinen|K OW0 L M EH0 N V AE L IY N EH0 N
kolmepäiväinen|K OW0 L M EH0 P AE IY V AE IY N EH0 N
kolmesataa|K OW0 L M EH0 S AA T AA
kolmesti|K OW0 L M EH0 S T IY Q
kolmetoista|K OW0 L M EH0 T T OW0 IY S T AA
kolmeulotteinen|K OW0 L M EH0 UW L OW0 T T EH0 IY N EH0 N
kolmeviikkoinen|K OW0 L M EH0 V IY K OW0 IY N EH0 N
kolmevuotias|K OW0 L M EH0 V UW OW0 T IY AA S
kolmevuotinen|K OW0 L M EH0 V UW OW0 T IY N EH0 N
kolmia|K OW0 L M IY AA Q
kolmikaulakolvi|K OW0 L M IY K AA UW L AA K OW0 L V IY
kolmikko|K OW0 L M IY K OW0
kolmikulmio|K OW0 L M IY K UW L M IY OW0
kolmilehti|K OW0 L M IY L EH0 HH T IY
kolmiloikka|K OW0 L M IY L OW0 IY K AA
kolminkertaistaa|K OW0 L M IY NG K EH0 RRR T AA IY S T AA Q
kolminkertaistua|K OW0 L M IY NG K EH0 RRR T AA IY S T UW AA Q
kolmio|K OW0 L M IY OW0
kolmioiminen|K OW0 L M IY OW0 IY M IY N EH0 N
kolmiokytkentä|K OW0 L M IY OW0 K Y UW1 T K EH0 N T AE
kolmioleipä|K OW0 L M IY OW0 L EH0 IY P AE
kolmioluku|K OW0 L M IY OW0 L UW K UW
kolmioluu|K OW0 L M IY OW0 L UW
kolmiomatriisi|K OW0 L M IY OW0 M AA T RRR IY S IY
kolmioraide|K OW0 L M IY OW0 RRR AA IY D EH0 Q
kolmiottelija|K OW0 L M IY OW0 T EH0 L IY Y AA
kolmipyöräinen|K OW0 L M IY P Y UW1 OE RRR AE IY N EH0 N
kolmittain|K OW0 L M IY T AA IY N
kolmitulo|K OW0 L M IY T UW L OW0
kolmiulotteinen|K OW0 L M IY UW L OW0 T T EH0 IY N EH0 N
kolmivaihekilowattituntimittari|K OW0 L M IY V AA IY EH0 K K IY L OW0 W AA T IY T UW N T IY M IY T AA RRR IY
kolmivaihevirta|K OW0 L M IY V AA IY EH0 V V IY RRR T AA
kolmoissidos|K OW0 L M OW0 IY S S IY D OW0 S
kolmoistuotanto|K OW0 L M OW0 IY S T UW OW0 T AA N T OW0
kolmoistutkinto|K OW0 L M OW0 IY S T UW T K IY N T OW0
kolmonen|K OW0 L M OW0 N EH0 N
kolo|K OW0 L OW0 Q
koloa|K OW0 L OW0 AA Q
kolofoni|K OW0 L OW0 F OW0 N IY
kololintu|K OW0 L OW0 L IY N T UW
kolomarauta|K OW0 L OW0 M AA RRR AA UW T AA
kolonialismi|K OW0 L OW0 N IY AA L IY S M IY
kolonoskopia|K OW0 L OW0 N OW0 S K OW0 P IY AA
kolopuu|K OW0 L OW0 P UW
kolorado|K OW0 L OW0 RRR AA D OW0
koloradokuoriainen|K OW0 L OW0 RRR AA D OW0 K UW OW0 RRR IY AA IY N EH0 N
koloratuuriaaria|K OW0 L OW0 RRR AA T UW RRR IY AA RRR IY AA
koloratuurilaulaja|K OW0 L OW0 RRR AA T UW RRR IY L AA UW L AA Y AA
koloratuurilaulu|K OW0 L OW0 RRR AA T UW RRR IY L AA UW L UW
koloratuurisopraano|K OW0 L OW0 RRR AA T UW RRR IY S OW0 P RRR AA N OW0
kolorauta|K OW0 L OW0 RRR AA UW T AA
kolorimetri|K OW0 L OW0 RRR IY M EH0 T RRR IY
kolorimetria|K OW0 L OW0 RRR IY M EH0 T RRR IY AA
kolorismi|K OW0 L OW0 RRR IY S M IY
koloristi|K OW0 L OW0 RRR IY S T IY
koloristinen|K OW0 L OW0 RRR IY S T IY N EH0 N
kolottaminen|K OW0 L OW0 T T AA M IY N EH0 N
kolotus|K OW0 L OW0 T UW S
kolpakko|K OW0 L P AA K OW0
kolpakkostrategi|K OW0 L P AA K OW0 S T RRR AA T EH0 G IY
kolpakollinen|K OW0 L P AA K OW0 L IY N EH0 N
kolpakot|K OW0 L P AA K OW0 T
kolpitsa|K OW0 L P IY T S AA
koltaani|K OW0 L T AA N IY
koltiainen|K OW0 L T IY AA IY N EH0 N
kolttonen|K OW0 L T OW0 N EH0 N
kolu|K OW0 L UW
kolumbiitti|K OW0 L UW M B IY T IY
kolumni|K OW0 L UW M N IY
kolumnisti|K OW0 L UW M N IY S T IY
koluta|K OW0 L UW T AA Q
kolvata|K OW0 L V AA T AA Q
kolvi|K OW0 L V IY
komatiitti|K OW0 M AA T IY T IY
kombinaatio|K OW0 M B IY N AA T IY OW0
kombinatoriaalinen|K OW0 M B IY N AA T OW0 RRR IY AA L IY N EH0 N
kombinointi|K OW0 M B IY N OW0 IY N T IY
kombo|K OW0 M B OW0
komeahko|K OW0 M EH0 AA HH K OW0
komeakukkainen|K OW0 M EH0 AA K UW K AA IY N EH0 N
komeaääninen|K OW0 M EH0 AA AE N IY N EH0 N
komediahahmo|K OW0 M EH0 D IY AA HH AA HH M OW0
komediakirjallisuus|K OW0 M EH0 D IY AA K IY RRR Y AA L L IY S UW S
komeetta|K OW0 M EH0 T AA
komeilu|K OW0 M EH0 IY L UW
komeilunhalu|K OW0 M EH0 IY L UW N HH AA L UW
komeljanttari|K OW0 M EH0 L Y AA N T AA RRR IY
komennuskunta|K OW0 M EH0 N UW S K UW N T AA
komennusmies|K OW0 M EH0 N UW S M IY EH0 S
komennusraha|K OW0 M EH0 N UW S RRR AA AA
komennustodistus|K OW0 M EH0 N UW S T OW0 D IY S T UW S
komentaa|K OW0 M EH0 N T AA Q
komentajamerkki|K OW0 M EH0 N T AA Y AA M EH0 RRR K IY
komentaminen|K OW0 M EH0 N T AA M IY N EH0 N
komentelu|K OW0 M EH0 N T EH0 L UW
komento|K OW0 M EH0 N T OW0
komentoalus|K OW0 M EH0 N T OW0 AA L UW S
komentojono|K OW0 M EH0 N T OW0 Y OW0 N OW0
komentokehote|K OW0 M EH0 N T OW0 K EH0 OW0 T EH0 Q
komentopaikka|K OW0 M EH0 N T OW0 P AA IY K AA
komentopainike|K OW0 M EH0 N T OW0 P AA IY N IY K EH0 Q
komentoporras|K OW0 M EH0 N T OW0 P OW0 RRR AA S
komentosarja|K OW0 M EH0 N T OW0 S AA RRR Y AA
komentosuhde|K OW0 M EH0 N T OW0 S UW HH D EH0 Q
komentotalous|K OW0 M EH0 N T OW0 T AA L OW0 UW S
komentotie|K OW0 M EH0 N T OW0 T IY EH0
komentotiedosto|K OW0 M EH0 N T OW0 T IY EH0 D OW0 S T OW0
komentoääni|K OW0 M EH0 N T OW0 AE N IY
komero|K OW0 M EH0 RRR OW0 Q
kominkielinen|K OW0 M IY NG K IY EH0 L IY N EH0 N
komissariaatti|K OW0 M IY S AA RRR IY AA T IY
komissio|K OW0 M IY S S IY OW0
komissiokauppa|K OW0 M IY S IY OW0 K AA UW P AA
komissioni|K OW0 M IY S S IY OW0 N IY
komissionääri|K OW0 M IY S IY OW0 N AE RRR IY
komistaminen|K OW0 M IY S T AA M IY N EH0 N
komistus|K OW0 M IY S T UW S
komitatiivi|K OW0 M IY T AA T IY V IY
komitea|K OW0 M IY T EH0 AA
komiteanmietintö|K OW0 M IY T EH0 AA M M IY EH0 T IY N T OE
komitentti|K OW0 M IY T EH0 N T IY
komma|K OW0 M AA
kommandojoukot|K OW0 M AA N D OW0 Y OW0 UW K OW0 T
kommandoryhmä|K OW0 M AA N D OW0 RRR Y UW1 HH M AE
kommari|K OW0 M AA RRR IY
komme|K OW0 M EH0 Q
kommellus|K OW0 M EH0 L UW S
kommentaari|K OW0 M EH0 N T AA RRR IY
kommentaario|K OW0 M EH0 N T AA RRR IY OW0
kommentoida|K OW0 M EH0 N T OW0 IY D AA Q
kommentoija|K OW0 M EH0 N T OW0 IY Y AA
kommervenkki|K OW0 M EH0 RRR V EH0 NG K IY
kommitoida|K OW0 M IY T OW0 IY D AA Q
kommitti|K OW0 M IY T IY
kommunardi|K OW0 M UW N AA RRR D IY
kommunikaatiokanava|K OW0 M UW N IY K AA T IY OW0 K AA N AA V AA
kommunikaatioväline|K OW0 M UW N IY K AA T IY OW0 V AE L IY N EH0 Q
kommunikaattori|K OW0 M UW N IY K AA T OW0 RRR IY
kommunikatiivinen|K OW0 M UW N IY K AA T IY V IY N EH0 N
kommunikoida|K OW0 M UW N IY K OW0 IY D AA Q
kommunikoiminen|K OW0 M UW N IY K OW0 IY M IY N EH0 N
kommunikointikykyinen|K OW0 M UW N IY K OW0 IY N T IY K Y UW1 K Y UW1 IY N EH0 N
kommunikointimenetelmä|K OW0 M UW N IY K OW0 IY N T IY M EH0 N EH0 T EH0 L M AE
kommunismi|K OW0 M UW N IY S M IY
kommunisti|K OW0 M UW N IY S T IY
kommunistimaa|K OW0 M UW N IY S T IY M AA
kommunistinen|K OW0 M UW N IY S T IY N EH0 N
kommunistisuus|K OW0 M UW N IY S T IY S UW S
kommunitarismi|K OW0 M UW N IY T AA RRR IY S M IY
kommutaattori|K OW0 M UW T AA T OW0 RRR IY
kommutointi|K OW0 M UW T OW0 IY N T IY
kommuuniasuminen|K OW0 M UW N IY AA S UW M IY N EH0 N
kommuuti|K OW0 M UW T IY
komorbiditeetti|K OW0 M OW0 RRR B IY D IY T EH0 T IY
kompa|K OW0 M P AA
kompakti|K OW0 M P AA K T IY
komparaattori|K OW0 M P AA RRR AA T OW0 RRR IY
komparatiivi|K OW0 M P AA RRR AA T IY V IY
komparatiivinen|K OW0 M P AA RRR AA T IY V IY N EH0 N
komparuno|K OW0 M P AA RRR UW N OW0
kompassi|K OW0 M P AA S IY
kompassilukema|K OW0 M P AA S IY L UW K EH0 M AA
kompastella|K OW0 M P AA S T EH0 L AA Q
kompastelu|K OW0 M P AA S T EH0 L UW
kompastuminen|K OW0 M P AA S T UW M IY N EH0 N
kompastus|K OW0 M P AA S T UW S
kompensatorinen|K OW0 M P EH0 N S AA T OW0 RRR IY N EH0 N
kompensoiminen|K OW0 M P EH0 N S OW0 IY M IY N EH0 N
kompensointi|K OW0 M P EH0 N S OW0 IY N T IY
kompetenssi|K OW0 M P EH0 T EH0 N S IY
kompetentti|K OW0 M P EH0 T EH0 N T IY
kompiloida|K OW0 M P IY L OW0 IY D AA Q
kompleksiarvo|K OW0 M P L EH0 K S IY AA RRR V OW0
kompleksiarvoinen|K OW0 M P L EH0 K S IY AA RRR V OW0 IY N EH0 N
kompleksimonot|K OW0 M P L EH0 K S IY M OW0 N OW0 T
kompleksiyhdiste|K OW0 M P L EH0 K S IY Y UW1 HH D IY S T EH0 Q
komplementtiväri|K OW0 M P L EH0 M EH0 N T IY V AE RRR IY
kompo|K OW0 M P OW0
komponentti|K OW0 M P OW0 N EH0 N T IY
komponenttivideo|K OW0 M P OW0 N EH0 N T IY V IY D EH0 OW0
komposiittimateriaali|K OW0 M P OW0 S IY T IY M AA T EH0 RRR IY AA L IY
komposiittivideo|K OW0 M P OW0 S IY T IY V IY D EH0 OW0
kompositiivi|K OW0 M P OW0 S IY T IY V IY
komposti|K OW0 M P OW0 S T IY
kompostikäymälä|K OW0 M P OW0 S T IY K AE Y UW1 M AE L AE
kompostimulta|K OW0 M P OW0 S T IY M UW L T AA
kompostointi|K OW0 M P OW0 S T OW0 IY N T IY
kompostoitua|K OW0 M P OW0 S T OW0 IY T UW AA Q
komppanianpäällikkö|K OW0 M P AA N IY AA M P AE L IY K OE
komppeli|K OW0 M P EH0 L IY
komppi|K OW0 M P IY
kompressi|K OW0 M P RRR EH0 S IY
kompressio|K OW0 M P RRR EH0 S S IY OW0
kompressori|K OW0 M P RRR EH0 S S OW0 RRR IY
kompromissi|K OW0 M P RRR OW0 M IY S IY
kompromissiehdotus|K OW0 M P RRR OW0 M IY S IY EH0 HH D OW0 T UW S
kompura|K OW0 M P UW RRR AA
kompuroiminen|K OW0 M P UW RRR OW0 IY M IY N EH0 N
kompurointi|K OW0 M P UW RRR OW0 IY N T IY
kompus|K OW0 M P UW S
komsio|K OW0 M S IY OW0
komtuuri|K OW0 M T UW RRR IY
komuutti|K OW0 M UW T IY
kondensaatioreaktio|K OW0 N D EH0 N S AA T IY OW0 RRR EH0 AA K T IY OW0
kondensaattori|K OW0 N D EH0 N S AA T OW0 RRR IY
kondensointi|K OW0 N D EH0 N S OW0 IY N T IY
kondenssi|K OW0 N D EH0 N S IY
kondenssivesi|K OW0 N D EH0 N S IY V EH0 S IY
konditio|K OW0 N D IY T IY OW0
konditionaali|K OW0 N D IY T IY OW0 N AA L IY
konditionaalinen|K OW0 N D IY T IY OW0 N AA L IY N EH0 N
konditoria|K OW0 N D IY T OW0 RRR IY AA
konditoriatuote|K OW0 N D IY T OW0 RRR IY AA T UW OW0 T EH0 Q
kondomi|K OW0 N D OW0 M IY
kondori|K OW0 N D OW0 RRR IY
kondorikotka|K OW0 N D OW0 RRR IY K OW0 T K AA
konduktiivisuus|K OW0 N D UW K T IY V IY S UW S
kone|K OW0 N EH0 Q
koneala|K OW0 N EH0 Q AA L AA
konealus|K OW0 N EH0 Q AA L UW S
konealusta|K OW0 N EH0 Q AA L UW S T AA
