ᆜ|Y UW0
마녀|M AE N IY0 AH
마노|M AE N OW0
마누|M AE N UW
마누라|M AE N UW R AE
마늘|M AE N UW0 L
마니|M AE N IY
마니교|M AE N IY G Y OW0
마니토바|M AE N IY T OW0 B AE
마닐라|M AE N IY L L AE
마님|M AE N IY M
마다|M AE D AE
마다가스카르|M AE D AE G AE S UW0 K AE R UW0
마달|M AE D AE L
마당|M AE D AE NG
마당너구리|M AE D AE NG N AH G UW R IY
마더|M AE D AH
마두금|M AE D UW G UW0 M
마드라스|M AE D UW0 R AE S UW0
마드리드|M AE D UW0 R IY D UW0
마디|M AE D IY
마땅하다|M AE T AE NG AE D AE
마라톤|M AE R AE T OW0 N
마력|M AE R Y AH K
마련|M AE R Y AH N
마련되다|M AE R Y AH N D W EH0 D AE
마련하다|M AE R Y AH N AE D AE
마렵다|M AE R Y AH P T AE
마루|M AE R UW
마루타|M AE R UW T AE
마르다|M AE R UW0 D AE
마르멜로|M AE R UW0 M EH0 L L OW0
마르스|M AE R UW0 S UW0
마르코|M AE R UW0 K OW0
마르크스주의|M AE R UW0 K HH UW0 S UW0 D UW IY
마르티니크|M AE R UW0 T IY N IY K HH UW0
마른|M AE R UW0 N
마름|M AE R UW0 M
마름모|M AE R UW0 M M OW0
마리|M AE R IY
마리아주|M AE R IY AE D UW
마리화나|M AE R IY V W AE N AE
마리후아나|M AE R IY V UW AE N AE
마립간|M AE R IY P K AE N
마마|M AE M AE
마마보이|M AE M AE B OW0 IY
마멀레이드|M AE M AH L L EH0 IY D UW0
마멋|M AE M AH T
마무르다|M AE M UW R UW0 D AE
마무리|M AE M UW R IY
마무리하다|M AE M UW R IY AE D AE
마법|M AE B AH P
마법사|M AE B AH P S AE
마부|M AE B UW
마비|M AE B IY
마사지|M AE S AE D IY
마사지하다|M AE S AE D IY AE D AE
마선|M AE S AH N
마세루|M AE S EH0 R UW
마소|M AE S OW0
마술|M AE S UW L
마술사|M AE S UW L S AE
마스다|M AE S UW0 D AE
마스카라|M AE S UW0 K AE R AE
마스크|M AE S UW0 K HH UW0
마스터베이션|M AE S UW0 T AH B EH0 IY SH AH N
마시나|M AE SH IY N AE
마시다|M AE SH IY D AE
마실|M AE SH IY L
마약|M AE Y AE K
마요네즈|M AE Y OW0 N EH0 D UW0
마우스|M AE UW S UW0
마우자|M AE UW D AE
마유|M AE Y UW
마육|M AE Y UW K
마을|M AE UW0 L
마을버스|M AE UW0 L B AH S UW0
마음|M AE UW0 M
마음껏|M AE UW0 M K AH T
마음성|M AE UW0 M S AH NG
마음속|M AE UW0 M S OW0 K
마음쓰다|M AE UW0 M S UW0 D AE
마음씨|M AE UW0 M SH IY
마이너스|M AE IY N AH S UW0
마이웨이|M AE IY W EH0 IY
마이크|M AE IY K HH UW0
마이크로버스|M AE IY K HH UW0 R OW0 B AH S UW0
마이크로소프트|M AE IY K HH UW0 R OW0 S OW0 P UW0 T UW0
마이크로파|M AE IY K HH UW0 R OW0 P AE
마이크로폰|M AE IY K HH UW0 R OW0 P OW0 N
마이크로프로세서|M AE IY K HH UW0 R OW0 P UW0 R OW0 S EH0 S AH
마이트너륨|M AE IY T UW0 N AH R Y UW M
마인어|M AE IY N AH
마일|M AE IY L
마작|M AE D AE K
마장|M AE D AE NG
마쟈르|M AE D AE R UW0
마저|M AE D AH
마주|M AE D UW
마주치다|M AE D UW T IY D AE
마중|M AE D UW NG
마중하다|M AE D UW NG AE D AE
마지막|M AE D IY M AE K
마차|M AE T AE
마찬가지|M AE T AE N G AE D IY
마찰|M AE T AE L
마찰되다|M AE T AE L D W EH0 D AE
마찰하다|M AE T AE R AE D AE
마천루|M AE T AH L L UW
마취|M AE T IY
마취약|M AE T IY Y AE K
마취제|M AE T IY D EH0
마치|M AE T IY
마치다|M AE T IY D AE
마침|M AE T IY M
마침표|M AE T IY M P Y OW0
마카로니|M AE K AE R OW0 N IY
마카오|M AE K AE OW0
마케도니아|M AE K EH0 D OW0 N IY AE
마케도니아어|M AE K EH0 D OW0 N IY AE AH
마케팅|M AE K EH0 T IY NG
마켓|M AE K EH0 T
마크|M AE K HH UW0
마트|M AE T UW0
마트료시카|M AE T UW0 R Y OW0 SH IY K AE
마티아|M AE T IY AE
마파두부|M AE P AE D UW B UW
마파람|M AE P AE R AE M
마팔데|M AE P AE L D EH0
마팔디네|M AE P AE L D IY N EH0
마포|M AE P OW0
마푸토|M AE P UW T OW0
마피아|M AE P IY AE
마하|M AE AE
마한|M AE AE N
마흐디|M AE HH UW0 D IY
마흔|M AE HH UW0 N
막|M AE K
막걸리|M AE K K AH L IY L IY IY
막다|M AE K T AE
막다르다|M AE K T AE R UW0 D AE
막돌|M AE K T OW0 L
막바지|M AE K P AE D IY
막부|M AE K P UW
막상|M AE K S AE NG
막차|M AE K T AE
막창자|M AE K T AE NG D AE
만|M AE N
만국기|M AE N G UW K K IY
만나기|M AE N N AE G IY
만나다|M AE N N AE D AE
만날|M AE N N AE L
만남|M AE N N AE M
만년|M AE N N IY0 AH N
만년필|M AE N N IY0 AH N P IY L
만능|M AE N N UW0 NG
만두|M AE N D UW
만두국|M AE N D UW K UW K
만들다|M AE N D UW0 L D AE
만들어지다|M AE N D UW0 R AH D IY D AE
만루|M AE L L UW
만류|M AE L IY L IY UW
만리장성|M AE L IY L IY IY D AE NG S AH NG
만리화|M AE L IY L IY IY V W AE
만만세|M AE N M AE N S EH0
만만하다|M AE N M AE N AE D AE
만물|M AE N M UW L
만발|M AE N B AE L
만발하다|M AE N B AE R AE D AE
만병통치약|M AE N B Y AH NG T OW0 NG T IY Y AE K
만성|M AE N S AH NG
만성적|M AE N S AH NG T AH K
만세|M AE N S EH0
만수|M AE N S UW
만수르|M AE N S UW R UW0
만신|M AE N SH IY N
만신창이|M AE N SH IY N IY0 T AE NG IY
만약|M AE N IY0 AE K
만억|M AE N AH K
만연체|M AE N IY0 AH N IY0 T EH0
만연하다|M AE N IY0 AH N AE D AE
만엽집|M AE N IY0 AH P T IY P
만우절|M AE N UW D AH L
만유|M AE N IY0 UW
만유인력|M AE N IY0 UW IY L IY L IY AH K
만유하다|M AE N IY0 UW AE D AE
만이|M AE N IY
만일|M AE N IY L
만장일치|M AE N IY0 D AE NG IY L IY T IY
만족|M AE N IY0 D OW0 K
만족하다|M AE N IY0 D OW0 K AE D AE
만주|M AE N IY0 D UW
만주국|M AE N IY0 D UW G UW K
만주어|M AE N IY0 D UW AH
만지다|M AE N IY0 D IY D AE
만큼|M AE N K HH UW0 M
만포|M AE N P OW0
만포장이다|M AE N P OW0 D AE NG IY D AE
만하다|M AE N AE D AE
만화|M AE N V W AE
만화가|M AE N V W AE G AE
만화영화|M AE N V W AE Y AH NG V W AE
만회|M AE N V W EH0
만회되다|M AE N V W EH0 D W EH0 D AE
만회하다|M AE N V W EH0 AE D AE
많다|M AE N T AE
많아지다|M AE N AE D IY D AE
많은|M AE N UW0 N
많이|M AE N IY
맏아들|M AE D AE D UW0 L
맏이|M AE D IY
맏형|M AE T Y AH NG
말|M AE L
말갛다|M AE L G AE T AE
말거머리|M AE L G AH M AH R IY
말고기|M AE L G OW0 G IY
말기|M AE L G IY
말나식|M AE L L AE SH IY K
말다|M AE L D AE
말다툼|M AE L D AE T UW M
말똥가리|M AE L T OW0 NG G AE R IY
말똥구리|M AE L T OW0 NG G UW R IY
말뚝|M AE L T UW K
말뚝망둥어|M AE L T UW NG M AE NG D UW NG AH
말라보|M AE L L AE B OW0
말라빠지다|M AE L L AE P AE D IY D AE
말라위|M AE L L AE IY
말레|M AE L L EH0
말레이|M AE L L EH0 IY
말레이시아|M AE L L EH0 IY SH IY AE
말레이어|M AE L L EH0 IY AH
말리|M AE L IY L IY IY
말리다|M AE L IY L IY IY D AE
말미|M AE L M IY
말미암다|M AE L M IY AE M T AE
말벌|M AE L B AH L
말뿌리|M AE L P UW R IY
말살하다|M AE L S AE R AE D AE
말솜씨|M AE L S OW0 M SH IY
말썽꾸러기|M AE L S AH NG K UW R AH G IY
말씀|M AE L S UW0 M
말씀하다|M AE L S UW0 M AE D AE
말씨|M AE L SH IY
말없이|M AE R AH P SH IY
말차|M AE L IY T AE
말코손바닥사슴|M AE L K OW0 S OW0 N B AE D AE K S AE S UW0 M
말투|M AE L T UW
말하기|M AE R AE G IY
말하다|M AE R AE D AE
맑다|M AE K T AE
맑스주의|M AE K S UW0 D UW IY
맘|M AE M
맘마|M AE M M AE
맘마통|M AE M M AE T OW0 NG
맘속|M AE M S OW0 K
맘카페|M AE M K AE P EH0
맙소사|M AE P S OW0 S AE
맛|M AE T
맛보다|M AE T P OW0 D AE
맛없다|M AE D AH P T AE
맛있다|M AE SH IY T T AE
맛집|M AE T T IY P
망|M AE NG
망가니즈|M AE NG G AE N IY D UW0
망간|M AE NG G AE N
망고|M AE NG G OW0
망나니|M AE NG N AE N IY
망둑|M AE NG D UW K
망령|M AE NG N IY0 AH NG
망루|M AE NG N UW
망막|M AE NG M AE K
망명|M AE NG M Y AH NG
망상|M AE NG S AE NG
망설이다|M AE NG S AH R IY D AE
망시민|M AE NG SH IY M IY N
망신|M AE NG SH IY N
망아지|M AE NG AE D IY
망연|M AE NG Y AH N
망연하다|M AE NG Y AH N AE D AE
망울|M AE NG UW L
망원경|M AE NG W AH N G Y AH NG
망초|M AE NG T OW0
망치|M AE NG T IY
망치다|M AE NG T IY D AE
망토|M AE NG T OW0
망하다|M AE NG AE D AE
맞다|M AE T T AE
맞벌이|M AE T P AH R IY
맞부딪치다|M AE T P UW D IY T T IY D AE
맞은편|M AE D UW0 N P Y AH N
맞이|M AE D IY
맞이하다|M AE D IY AE D AE
맞추다|M AE T T UW D AE
맞춤|M AE T T UW M
맞춤법|M AE T T UW M P AH P
맞흥정|M AE T UW0 NG D AH NG
맡기다|M AE T K IY D AE
맡다|M AE T T AE
매|M EH
매국노|M EH G UW NG N OW0
매년|M EH N IY0 AH N
매다|M EH D AE
매달|M EH D AE L
매달다|M EH D AE L D AE
매달리다|M EH D AE L IY L IY IY D AE
매도|M EH D OW0
매도하다|M EH D OW0 AE D AE
매물|M EH M UW L
매미|M EH M IY
매번|M EH B AH N
매월|M EH W AH L
매음굴|M EH UW0 M G UW L
매이다|M EH IY D AE
매일|M EH IY L
매장|M EH D AE NG
매점|M EH D AH M
매주|M EH D UW
매춘부|M EH T UW N B UW
매출|M EH T UW L
매표구|M EH P Y OW0 G UW
맨|M EH N
맨날|M EH N N AE L
맴돌다|M EH M D OW0 L D AE
맹꽁이|M EH NG K OW0 NG IY
맹렬하다|M EH NG N IY0 AH R AE D AE
맹비난하다|M EH NG B IY N AE N AE D AE
맹세|M EH NG S EH0
맹세하다|M EH NG S EH0 AE D AE
맹인|M EH NG IY N
맹자|M EH NG D AE
먄|M Y AE N
먄마|M Y AE N M AE
머가리|M AH G AE R IY
머구|M AH G UW
머구리|M AH G UW R IY
머그잔|M AH G UW0 D AE N
머금다|M AH G UW0 M T AE
머루|M AH R UW
머리|M AH R IY
머리글|M AH R IY G UW0 L
머리끝|M AH R IY K UW0 T
머리띠|M AH R IY T IY
머리말|M AH R IY M AE L
머리맡|M AH R IY M AE T
머리물비누|M AH R IY M UW L B IY N UW
머리카락|M AH R IY K AE R AE K
머리칼|M AH R IY K AE L
머리털|M AH R IY T AH L
머리통|M AH R IY T OW0 NG
머리하다|M AH R IY AE D AE
머릿결|M AH R IY T K Y AH L
머무르다|M AH M UW R UW0 D AE
머물다|M AH M UW L D AE
머뭇거리다|M AH M UW T K AH R IY D AE
머슴|M AH S UW0 M
머시마|M AH SH IY M AE
머신|M AH SH IY N
머위|M AH IY
머저리|M AH D AH R IY
머전|M AH D AH N
머플러|M AH P UW0 L L AH
머피|M AH P IY
머핀|M AH P IY N
먹|M AH K
먹구름|M AH K K UW R UW0 M
먹기|M AH K K IY
먹다|M AH K T AE
먹물|M AH NG M UW L
먹방|M AH K P AE NG
먹사|M AH K S AE
먹이|M AH G IY
먹이그물|M AH G IY G UW0 M UW L
먹이다|M AH G IY D AE
먼데기|M AH N D EH0 G IY
먼저|M AH N IY0 D AH
먼점|M AH N IY0 D AH M
먼지|M AH N IY0 D IY
멀미|M AH L M IY
멀쩡|M AH L IY T AH NG
멀쩡하다|M AH L IY T AH NG AE D AE
멀찌감치|M AH L IY T IY G AE M T IY
멈추다|M AH M T UW D AE
멈춤|M AH M T UW M
멈칫|M AH M T IY T
멋|M AH T
멋없다|M AH D AH P T AE
멋있다|M AH SH IY T T AE
멋지다|M AH T T IY D AE
멍게|M AH NG G EH0
멍멍|M AH NG M AH NG
멍멍이|M AH NG M AH NG IY
멍에|M AH NG EH0
멍청이|M AH NG T AH NG IY
멍청하다|M AH NG T AH NG AE D AE
멍텅구리|M AH NG T AH NG G UW R IY
멎다|M AH T T AE
메|M EH0
메가나|M EH0 G AE N AE
메기|M EH0 G IY
메기다|M EH0 G IY D AE
메꽃|M EH0 K OW0 T
메노라|M EH0 N OW0 R AE
메뉴|M EH0 N IY0 UW
메다|M EH0 D AE
메달|M EH0 D AE L
메디케어|M EH0 D IY K EH0 AH
메뚜기|M EH0 T UW G IY
메르헨|M EH0 R UW0 EH0 N
메모|M EH0 M OW0
메모리|M EH0 M OW0 R IY
메밀|M EH0 M IY L
메서드|M EH0 S AH D UW0
메소드|M EH0 S OW0 D UW0
메시아|M EH0 SH IY AE
메시지|M EH0 SH IY D IY
메쏘드|M EH0 S OW0 D UW0
메아리|M EH0 AE R IY
메이|M EH0 IY
메이스|M EH0 IY S UW0
메이크업|M EH0 IY K HH UW0 AH P
메인|M EH0 IY N
메인트|M EH0 IY N T UW0
메일|M EH0 IY L
메주|M EH0 D UW
메추라기|M EH0 T UW R AE G IY
메카|M EH0 K AE
메탄|M EH0 T AE N
메탐페타민|M EH0 T AE M P EH0 T AE M IY N
메터|M EH0 T AH
메테인|M EH0 T EH0 IY N
메토끼|M EH0 T OW0 K IY
메히꼬|M EH0 IY IY K OW0
멕시코|M EH0 K SH IY K OW0
멕시코시티|M EH0 K SH IY K OW0 SH IY T IY
멕이다|M EH0 G IY D AE
멘델레븀|M EH0 N D EH0 L L EH0 B Y UW M
멘붕|M EH0 N B UW NG
멜라닌|M EH0 L L AE N IY N
멜로|M EH0 L L OW0
멜로드라마|M EH0 L L OW0 D UW0 R AE M AE
멜로디|M EH0 L L OW0 D IY
멜론|M EH0 L L OW0 N
멜버른|M EH0 L B AH R UW0 N
멜번|M EH0 L B AH N
멤버|M EH0 M B AH
멥쌀|M EH0 P S AE L
멧닭|M EH0 T T AE K
멧도요|M EH0 T T OW0 Y OW0
멧박쥐|M EH0 T P AE K T IY
멧밭쥐|M EH0 T P AE T T IY
멧비둘기|M EH0 T P IY D UW L G IY
멧토끼|M EH0 T T OW0 K IY
멩이|M EH0 NG IY
며느리|M Y AH N UW0 R IY
며칠|M Y AH T IY L
멱|M Y AH K
멱살|M Y AH K S AE L
멱자구|M Y AH K T AE G UW
면|M Y AH N
면들레|M Y AH N D UW0 L L EH0
면밀히|M Y AH N M IY R IY IY
면발|M Y AH N P AE L
면사|M Y AH N S AE
면실유|M Y AH N SH IY R Y UW
면양|M Y AH N IY0 AE NG
면전|M Y AH N IY0 D AH N
면포|M Y AH N P OW0
멸|M Y AH L
멸망|M Y AH L M AE NG
멸시|M Y AH L SH IY
멸종|M Y AH L IY T OW0 NG
멸치|M Y AH L IY T IY
명|M Y AH NG
명곡|M Y AH NG G OW0 K
명관|M Y AH NG G W AE N
명금|M Y AH NG G UW0 M
명단|M Y AH NG D AE N
명동|M Y AH NG D OW0 NG
명란|M Y AH NG N AE N
명료|M Y AH NG N IY0 OW0
명료하다|M Y AH NG N IY0 OW0 AE D AE
명말청초|M Y AH NG M AE L IY T AH NG T OW0
명민하다|M Y AH NG M IY N AE D AE
명부|M Y AH NG B UW
명분|M Y AH NG B UW N
명사|M Y AH NG S AE
명사화|M Y AH NG S AE V W AE
명성|M Y AH NG S AH NG
명소|M Y AH NG S OW0
명수|M Y AH NG S UW
명아주|M Y AH NG AE D UW
명예|M Y AH NG Y EH0
명왕성|M Y AH NG W AE NG S AH NG
명의|M Y AH NG IY
명인|M Y AH NG IY N
명일|M Y AH NG IY L
명자|M Y AH NG T AE
명자나무|M Y AH NG D AE N AE M UW
명절|M Y AH NG D AH L
명조|M Y AH NG D OW0
명조체|M Y AH NG D OW0 T EH0
명주|M Y AH NG D UW
명창|M Y AH NG T AE NG
명철|M Y AH NG T AH L
명철하다|M Y AH NG T AH R AE D AE
명칭|M Y AH NG T IY NG
명하다|M Y AH NG AE D AE
명함|M Y AH NG AE M
몇|M Y AH T
몇몇|M Y AH N M Y AH T
몌별|M Y EH0 B Y AH L
모|M OW0
모가디슈|M OW0 G AE D IY SH UW
모감주나무|M OW0 G AE M D UW N AE M UW
모과|M OW0 G W AE
모교|M OW0 G Y OW0
모국|M OW0 G UW K
모국어|M OW0 G UW G AH
모금|M OW0 G UW0 M
모기|M OW0 G IY
모나코|M OW0 N AE K OW0
모냥|M OW0 N IY0 AE NG
모녀|M OW0 N IY0 AH
모니터|M OW0 N IY T AH
모니터링|M OW0 N IY T AH R IY NG
모다|M OW0 D AE
모델|M OW0 D EH0 L
모뎀|M OW0 D EH0 M
모독|M OW0 D OW0 K
모두|M OW0 D UW
모둠|M OW0 D UW M
모듈|M OW0 D Y UW L
모드|M OW0 D UW0
모든|M OW0 D UW0 N
모듬|M OW0 D UW0 M
모란|M OW0 R AE N
모란봉|M OW0 R AE N B OW0 NG
모레|M OW0 R EH0
모로니|M OW0 R OW0 N IY
모로코|M OW0 R OW0 K OW0
모루|M OW0 R UW
모르다|M OW0 R UW0 D AE
모르폴린|M OW0 R UW0 P OW0 L IY L IY IY N
모르핀|M OW0 R UW0 P IY N
모리셔스|M OW0 R IY SH AH S UW0
모리타니|M OW0 R IY T AE N IY
모밀잣밤나무|M OW0 M IY L IY D AE T P AE M N AE M UW
모반|M OW0 B AE N
모방|M OW0 B AE NG
모방하다|M OW0 B AE NG AE D AE
모범|M OW0 B AH M
모사|M OW0 S AE
모살|M OW0 S AE L
모서리|M OW0 S AH R IY
모세|M OW0 S EH0
모세관|M OW0 S EH0 G W AE N
모세혈관|M OW0 S EH0 IY AH L G W AE N
모솔|M OW0 S OW0 L
모순|M OW0 S UW N
모스코븀|M OW0 S UW0 K OW0 B Y UW M
모스크|M OW0 S UW0 K HH UW0
모스크바|M OW0 S UW0 K HH UW0 B AE
모슬포|M OW0 S UW0 L P OW0
모습|M OW0 S UW0 P
모시|M OW0 SH IY
모시다|M OW0 SH IY D AE
모식|M OW0 SH IY K
모쏠|M OW0 S OW0 L
모양|M OW0 Y AE NG
모어|M OW0 AH
모에|M OW0 EH0
모오케|M OW0 OW0 K EH0
모욕|M OW0 Y OW0 K
모욕하다|M OW0 Y OW0 K AE D AE
모용|M OW0 Y OW0 NG
모으다|M OW0 UW0 D AE
모음|M OW0 UW0 M
모음조화|M OW0 UW0 M D OW0 V W AE
모이|M OW0 IY
모이다|M OW0 IY D AE
모임|M OW0 IY M
모자|M OW0 D AE
모자라다|M OW0 D AE R AE D AE
모자반|M OW0 D AE B AE N
모자이크|M OW0 D AE IY K HH UW0
모잠비크|M OW0 D AE M B IY K HH UW0
모전|M OW0 D AH N
모조리|M OW0 D OW0 R IY
모질다|M OW0 D IY L D AE
모처럼|M OW0 T AH R AH M
모충|M OW0 T UW NG
모치망둑|M OW0 T IY M AE NG D UW K
모친|M OW0 T IY N
모터|M OW0 T AH
모터보트|M OW0 T AH B OW0 T UW0
모텔|M OW0 T EH0 L
모토|M OW0 T OW0
모퉁이|M OW0 T UW NG IY
모페드|M OW0 P EH0 D UW0
모피|M OW0 P IY
모험|M OW0 AH M
모형|M OW0 IY AH NG
모호하다|M OW0 V OW0 AE D AE
목|M OW0 K
목격자|M OW0 K K Y AH K T AE
목격하다|M OW0 K K Y AH K AE D AE
목구멍|M OW0 K K UW M AH NG
목금|M OW0 K K UW0 M
목다리|M OW0 K T AE R IY
목도리|M OW0 K T OW0 R IY
목란|M OW0 NG N AE N
목련|M OW0 NG N IY0 AH N
목록|M OW0 NG N OW0 K
목마|M OW0 NG M AE
목마르다|M OW0 NG M AE R UW0 D AE
목마름|M OW0 NG M AE R UW0 M
목말|M OW0 NG M AE L
목면|M OW0 NG M Y AH N
목발|M OW0 K P AE L
목사|M OW0 K S AE
목사님|M OW0 K S AE N IY M
목석|M OW0 K S AH K
목성|M OW0 K S AH NG
목소리|M OW0 K S OW0 R IY
목수|M OW0 K S UW
목숨|M OW0 K S UW M
목슈권|M OW0 K SH UW G W AH N
목요일|M OW0 G Y OW0 IY L
목욕|M OW0 G Y OW0 K
목욕실|M OW0 G Y OW0 K SH IY L
목욕탕|M OW0 G Y OW0 K T AE NG
목욕하다|M OW0 G Y OW0 K AE D AE
목자|M OW0 K T AE
목장|M OW0 K T AE NG
목적|M OW0 K T AH K
목적론|M OW0 K T AH NG N OW0 N
목적어|M OW0 K T AH G AH
목적지|M OW0 K T AH K T IY
목전|M OW0 K T AH N
목젖|M OW0 K T AH T
목조|M OW0 K T OW0
목차|M OW0 K T AE
목청|M OW0 K T AH NG
목청껏|M OW0 K T AH NG K AH T
목축|M OW0 K T UW K
목침|M OW0 K T IY M
목탄|M OW0 K T AE N
목통|M OW0 K T OW0 NG
목포|M OW0 K P OW0
목표|M OW0 K P Y OW0
목피|M OW0 K P IY
목화|M OW0 K W AE
몫|M OW0 K
몫몫이|M OW0 NG M OW0 K SH IY
몬로비아|M OW0 L L OW0 B IY AE
몬순|M OW0 N S UW N
몬스터|M OW0 N S UW0 T AH
몬타나|M OW0 N T AE N AE
몬테네그로|M OW0 N T EH0 N EH0 G UW0 R OW0
몬테비데오|M OW0 N T EH0 B IY D EH0 OW0
몬트리올|M OW0 N T UW0 R IY OW0 L
몰|M OW0 L
몰골|M OW0 L G OW0 L
몰다|M OW0 L D AE
몰다비아|M OW0 L D AE B IY AE
몰도바|M OW0 L D OW0 B AE
몰디브|M OW0 L D IY B UW0
몰라|M OW0 L L AE
몰락|M OW0 L L AE K
몰르다|M OW0 L L UW0 D AE
몰리다|M OW0 L IY L IY IY D AE
몰리브데넘|M OW0 L IY L IY IY B UW0 D EH0 N AH M
몰상식|M OW0 L S AE NG SH IY K
몰약|M OW0 R Y AE K
몰염치하다|M OW0 R Y AH M T IY AE D AE
몰카|M OW0 L K AE
몰타|M OW0 L T AE
몰타어|M OW0 L T AE AH
몸|M OW0 M
몸가짐|M OW0 M G AE D IY M
몸무게|M OW0 M M UW G EH0
몸비누|M OW0 M B IY N UW
몸빛깔|M OW0 M P IY T K AE L
몸살|M OW0 M S AE L
몸소|M OW0 M S OW0
몸조리|M OW0 M D OW0 R IY
몸집|M OW0 M T IY P
몸짓|M OW0 M T IY T
몸통|M OW0 M T OW0 NG
몹시|M OW0 P SH IY
못|M OW0 T
못되다|M OW0 T T W EH0 D AE
못뽑이|M OW0 T P OW0 B IY
못지않다|M OW0 T T IY AE N T AE
못하다|M OW0 T AE D AE
몽|M OW0 NG
몽강|M OW0 NG G AE NG
몽고|M OW0 NG G OW0
몽고메리|M OW0 NG G OW0 M EH0 R IY
몽골|M OW0 NG G OW0 L
몽골반|M OW0 NG G OW0 L B AE N
몽골어|M OW0 NG G OW0 R AH
몽구스|M OW0 NG G UW S UW0
몽둥이|M OW0 NG D UW NG IY
몽따쥬|M OW0 NG T AE D UW
몽롱|M OW0 NG N OW0 NG
몽롱하다|M OW0 NG N OW0 NG AE D AE
몽시리|M OW0 NG SH IY R IY
몽어|M OW0 NG AH
몽정|M OW0 NG D AH NG
몽타주|M OW0 NG T AE D UW
뫼|M W EH0
뫼다|M W EH0 D AE
묏자리|M W EH0 T T AE R IY
묘|M Y OW0
묘미|M Y OW0 M IY
묘사|M Y OW0 S AE
묘사하다|M Y OW0 S AE AE D AE
묘약|M Y OW0 Y AE K
묘연|M Y OW0 Y AH N
묘연하다|M Y OW0 Y AH N AE D AE
묘원|M Y OW0 W AH N
묘지|M Y OW0 D IY
묘향산|M Y OW0 IY AE NG S AE N
묘호|M Y OW0 V OW0
묠니르|M Y OW0 L IY L IY IY R UW0
무|M UW
무겁다|M UW G AH P T AE
무게|M UW G EH0
무관심하다|M UW G W AE N SH IY M AE D AE
무교병|M UW G Y OW0 B Y AH NG
무국적|M UW G UW K T AH K
무궁화|M UW G UW NG V W AE
무기|M UW G IY
무기고|M UW G IY G OW0
무꾸|M UW K UW
무끼|M UW K IY
무너지다|M UW N AH D IY D AE
무녀|M UW N IY0 AH
무능|M UW N UW0 NG
무능력|M UW N UW0 NG N IY0 AH K
무능력자|M UW N UW0 NG N IY0 AH K T AE
무늬|M UW N IY
무늬망둑|M UW N IY M AE NG D UW K
무닥데기|M UW D AE K T EH0 G IY
무단|M UW D AE N
무당|M UW D AE NG
무당벌레|M UW D AE NG B AH L L EH0
무덤|M UW D AH M
무덥다|M UW D AH P T AE
무두붉나무|M UW D UW B UW NG N AE M UW
무디다|M UW D IY D AE
무뚝뚝하다|M UW T UW K T UW K AE D AE
무려|M UW R Y AH
무력|M UW R Y AH K
무력하다|M UW R Y AH K AE D AE
무렵|M UW R Y AH P
무례|M UW R Y EH0
무료|M UW R Y OW0
무르다|M UW R UW0 D AE
무릇|M UW R UW0 T
무릎|M UW R UW0 P
무릎께|M UW R UW0 P K EH0
무리|M UW R IY
무리하다|M UW R IY AE D AE
무마|M UW M AE
무명|M UW M Y AH NG
무모하다|M UW M OW0 AE D AE
무법|M UW B AH P
무분별하다|M UW B UW N B Y AH R AE D AE
무빙워크|M UW B IY NG W AH K HH UW0
무사|M UW S AE
무사도|M UW S AE D OW0
무사하다|M UW S AE AE D AE
무산쇠족제비|M UW S AE N S W EH0 D OW0 K T EH0 B IY
무서움|M UW S AH UW M
무서워하다|M UW S AH W AH AE D AE
무선|M UW S AH N
무선전화|M UW S AH N IY0 D AH N V W AE
무선호출기|M UW S AH N V OW0 T UW L G IY
무섭다|M UW S AH P T AE
무성하다|M UW S AH NG AE D AE
무속|M UW S OW0 K
무속인|M UW S OW0 G IY N
무쇠|M UW S W EH0
무수|M UW S UW
무수히|M UW S UW IY IY
무술|M UW S UW L
무스카트|M UW S UW0 K AE T UW0
무슨|M UW S UW0 N
무슬림|M UW S UW0 L IY L IY IY M
무승부|M UW S UW0 NG B UW
무시|M UW SH IY
무시하다|M UW SH IY AE D AE
무신|M UW SH IY N
무신론|M UW SH IY N N OW0 N
무신론자|M UW SH IY L L OW0 N IY0 D AE
무쌍하다|M UW S AE NG AE D AE
무아|M UW AE
무어|M UW AH
무언가|M UW AH N G AE
무언증|M UW AH N IY0 T UW0 NG
무얼|M UW AH L
무엇|M UW AH T
무엇이든|M UW AH SH IY D UW0 N
무엇하다|M UW AH T AE D AE
무역|M UW Y AH K
무예|M UW Y EH0
무용|M UW Y OW0 NG
무용하다|M UW Y OW0 NG AE D AE
무우|M UW UW
무유|M UW Y UW
무익하다|M UW IY K AE D AE
무인도|M UW IY N D OW0
무인점포|M UW IY N IY0 D AH M P OW0
무인항공기|M UW IY N AE NG G OW0 NG G IY
무작위|M UW D AE G IY
무장하다|M UW D AE NG AE D AE
무정부|M UW D AH NG B UW
무정부주의|M UW D AH NG B UW D UW IY
무제한|M UW D EH0 AE N
무조건|M UW D OW0 K AH N
무죄|M UW D W EH0
무중력|M UW D UW NG N IY0 AH K
무지하다|M UW D IY AE D AE
무진|M UW D IY N
무진장|M UW D IY N IY0 D AE NG
무찌르다|M UW T IY R UW0 D AE
무차별|M UW T AE B Y AH L
무척|M UW T AH K
무치다|M UW T IY D AE
무쿠리|M UW K UW R IY
무탈|M UW T AE L
무투|M UW T UW
무한|M UW AE N
무화과|M UW V W AE G W AE
