'bout|B AE UH T
cussed|K AH S IH D
cusses|K AH S IH Z
cussing|K AH S IH NG
cussings|K AH S IH NG Z
custard|K AH S T ER0 D
custardy|K AH S T ER0 D IY
custodian|K AH0 S T OW0 UH D IY AH0 N
custody|K AH S T AH0 D IY
custom|K AH S T AH0 M
customer|K AH S T AH0 M ER0
customers|K AH S T AH0 M ER0 Z
customize|K AH S T AH0 M AE IH Z
customs|K AH S T AH0 M Z
custrel|K AH S T R AH0 L
cut|K AH T
cutaneous|K Y UW T EH0 IH N IY AH0 S
cute|K Y UW T
cutesy|K Y UW T S IY
cuticle|K Y UW T IH K AH0 L
cutie|K Y UW T IY
cutify|K Y UW T IH F AE IH
cutis|K Y UW T IH S
cutlass|K AH T L AH0 S
cutler|K AH T L ER0
cutlery|K AH T L AH0 R IY
cutpurse|K AH T P ER S
cuts|K AH T S
cutter|K AH T ER0
cutthroat|K AH T TH R OW0 UH T
cutting|K AH T IH NG
cuttings|K AH T IH NG Z
cuttle|K AH T AH0 L
cuttlebone|K AH T AH0 L B AH0 UH N
cuttlefish|K AH T AH0 L F IH SH
cutty|K AH T IY
cuvette|K Y UW V EH T
cuvée|K UW V EH0 IH
cuz|K AH Z
cuzco|K UW S K OW0 UH
cwm|K UH M
cwms|K UW M Z
cy|S AE IH
cyan|S AE IH AH0 N
cyanic|S AE IH AE N IH K
cyanide|S AE IH AH0 N AE IH D
cyanidin|S AE IH AE N AH0 D IH N
cyanogen|S AE Y AE N AH0 D ZH IH N
cyanophyte|S AE IH AH0 N AH0 UH F AE IH T
cyanosis|S AE IH AH0 N OW0 UH S IH S
cyber|S AE IH B AH0 R
cybernat|S AE IH B ER0 N AE T
cybernetic|S AE IH B ER0 N EH T IH K
cyberspace|S AE IH B AH0 R S P EH0 IH S
cyc|S AE IH K
cyclades|S IH K L AH0 D IY Z
cycle|S AE IH K AH0 L
cycled|S AE IH K AH0 L D
cycles|S AE IH K AH0 L Z
cyclic|S IH K L IH K
cyclical|S IH K L IH K AH0 L
cyclicity|S IH K L IH S IH T IY
cycling|S AE IH K AH0 L IH NG
cyclist|S AE IH K L IH S T
cyclizine|S AE IH K L IH Z IY N
cyclocross|S AE IH K L AH0 UH K R AO S
cyclohexane|S AE IH K L OW0 UH HH EH K S EH0 IH N
cycloid|S AE IH K L AO IH D
cyclone|S AE IH K L OW0 UH N
cyclopentolate|S AE IH K L OW0 UH P EH N T AH0 L EH0 IH T
cyclophosphamide|S AE IH K L OW0 UH F AA S F AH0 M AE IH D
cyclops|S AE IH K L AA P S
cycloserine|S AE IH K L OW0 UH S IH R IY N
cyclostrophic|S AE IH K L AH0 S T R AH0 UH F IH K
cyclotron|S AE IH K L AH0 T R AO N
cygnet|S IH G N AH0 T
cylinder|S IH L AH0 N D ER0
cylindrical|S IH L IH N D R IH K AH0 L
cylix|S AE IH L IH K S
cymar|S AE IH M AA R
cymatic|S AE IH M AE T IH K
cymatics|S AE IH M AE T IH K S
cymbal|S IH M B AH0 L
cymbalist|S IH M B AH0 L IH S T
cymbals|S IH M B AH0 L Z
cymotrichous|S AE IH M AA T R IH K AH0 S
cymric|S IH M R IH K
cymrite|S IH M R AE IH T
cynegetic|S IH N IH D ZH EH T IH K
cynganeddion|K AH0 NG AH0 N EH DH Y AH0 N
cynghanedd|K AH0 NG HH AE N EH DH
cynic|S IH N IH K
cynical|S IH N IH K AH0 L
cyning|K IH N IH NG
cynophobia|S AE IH N AH0 F OW0 UH B IY AH0
cynosure|S AE IH N AH0 SH UH R
cynthia|S IH N TH IY AH0
cynthian|S IH N TH IY AH0 N
cypherpunk|S AH IH F AH0 P AH NG K
cypionate|S AE IH P IY AH0 N EH0 IH T
cypress|S AE IH P R AH0 S
cypriot|S IH P R IY AH0 T
cyproheptadine|S AE IH P RRR AH0 HH EH P T AH0 D IY N
cyproterone|S AE IH P R OW0 UH T AH0 R OW0 UH N
cyprus|S AE IH P R AH0 S
cyrenaica|S AE IH R AH0 N EH0 IH IH K AH0
cyrene|S AE IH R IY N IY
cyril|S IH R AH0 L
cyrillic|S IH R IH L IH K
cyrus|S AE IH R AH0 S
cyst|S IH S T
cystic|S IH S T IH K
cysticule|S IH S T IH K Y UW L
cysts|S IH S T S
cytarabine|S AE IH T AE R AH0 B IY N
cytherean|S IH DH AH0 R IY AH0 N
cytidine|S AE IH T IH D IH N
cytisine|S IH T AH0 S IY N
cytochrome|S AE IH T AH0 K R AH0 UH M
cytologist|S AE IH T AA L AH0 D ZH IH S T
cytology|S AE IH T AA L AH0 D IY
cytolytic|S AE IH T AH0 L IH T IH K
cytonuclear|S AE IH T OW0 N UW K L IY ER0
cytophosphane|S AE IH T AH0 UH F AO S F EH0 IH N
cytoplasm|S AE IH T OW0 UH P L AE Z AH0 M
cytosine|S AE IH T AH0 S IY N
cytosis|S AE IH T OW0 UH S IH S
cywydd|K AH W IH DH
cywyddau|K AH0 W AH DH AE IH
czar|Z AA R
czech|T SH EH K
czechia|T EH K IY AH0
czechoslovakia|T SH EH K AH0 S L AH0 V AA K IY AH0
czechoslovakian|T SH EH K AH0 S L OW0 UH V AA K IY AH0 N
czechs|T SH EH K S
czexit|T EH K S IH T
czochralski|T OW0 UH K R AA L S K IY
częstochowa|T SH EH N S T AH0 K AH0 UH V AH0
córdoba|K AO R D AH0 B AH0
d|D IY
d'aw|D AO
d'oh|D OW0 UH Q
d'or|D AO R
d'ya|D ZH Y AH0
da|D AH0
daalder|D AA L D AH0 R
dab|D AE B
dabbed|D AE B D
dabbing|D AE B IH NG
dabbings|D AE B IH NG Z
dabble|D AE B AH0 L
dabigatran|D AH0 B IH G AH0 T R AE N
dabrowski|D AH0 M B R AO F S K IY
dabrowskian|D AH0 M B R AO F S K IY AH0 N
dabs|D AE B Z
dace|D EH0 IH S
daces|D EH0 IH S IH Z
dacha|D AE T SH AH0
dachshund|D AA K S AH0 N D
dacia|D EH0 IH SH AH0
dacian|D EH0 IH SH AH0 N
dack|D AE K
dacoit|D AH0 K AO IH T
dacryocystorhinostomy|D AE K RRR IY OW0 UH S IH S T OW0 UH RRR AE IH N AA S T AH0 M IY
dactylic|D AE K T IH L IH K
dactylology|D AE K T AH0 L AA L AH0 D ZH IY
dad|D AE D
daddies|D AE D IY Z
daddy|D AE D IY
dade|D EH0 IH D
dadless|D AE D L AH0 S
dado|D EH0 IH D OW0 UH
dadra|D AA D R AA
dads|D AE D Z
dadvice|D AE D V AE IH S
daedal|D IY D AH0 L
daedalian|D IH D EH0 IH L IY AH0 N
daedalus|D EH D AH0 L AH0 S
daegu|D AE G UW
daemon|D IY M AH0 N
daenerys|D AH0 N EH R IH S
daesh|D AA EH SH
dafen|D AE V AH0 N
daffodil|D AE F AH0 D IH L
daft|D AE F T
daftness|D AE F T N AH0 S
dafuq|D AH0 F AH K
dag|D AE G
dagenham|D AE G AH0 N AH0 M
dagger|D AE G ER0
dagnabbit|D AE G N AE B IH T
dagon|D EH0 IH G AO N
daguerreotype|D AH0 G EH ER0 IY AH0 T AE IH P
dah|D AA
dahomey|D AH0 HH AH0 UH M IY
dai|D AE IH
daigou|D AE IH G OW0 UH
daikon|D AE IH K AO N
daily|D EH0 IH L IY
daimon|D AE IH M OW0 UH N
daimyo|D AE IH M Y OW0 UH
daines|D EH0 IH N Z
daintiness|D EH0 IH N T IH N AH0 S
dainty|D EH0 IH N T IY
dais|D EH0 IH IH S
daisies|D EH0 IH Z IY Z
daisy|D EH0 IH Z IY
dajjaal|D AH0 D AA L
dajjal|D AE D AA L
dakuten|D AA K UW T EH N
dalasi|D AH0 L AA S IY
dale|D EH0 IH L
daled|D AA L AH0 D
daleel|D AH0 L IY L
dalek|D AA L EH K
daleks|D AA L EH K S
dales|D EH0 IH L Z
dalet|D AA L IH DH
daley|D EH0 IH L IY
dalfopristin|D AE L F OW0 UH P R IH S T IH N
dalgona|D AE L G OW0 UH N AH0
dalhousie|D AE L HH AE UH Z IY
dali|D AA L IY
dalian|D AA L IY AH0 N
daliesque|D AA L IY EH S K
dalles|D AE L Z
dalliance|D AE L IY AH0 N S
dally|D AE L IY
dalmatia|D AE L M EH0 IH SH AH0
dalmatian|D AE L M EH0 IH SH AH0 N
dalry|D AE L R AE IH
dalrymple|D AE L R IH M P AH0 L
dalston|D AO L S T AH0 N
dalteparin|D AO L T EH P AH0 R IH N
dalziel|D IY EH L
dalí|D AA L IY
dam|D AE M
damage|D AE M IH D ZH
damaged|D AE M IH D ZH D
damages|D AE M IH D ZH IH Z
damaging|D AE M IH D ZH IH NG
daman|D AH0 M AA N
damascene|D AE M AH0 S IY N
damascus|D AH0 M AA S K AH0 S
damask|D AE M AH0 S K
damaskin|D AE M AH0 S K IH N
dame|D EH0 IH M
damehood|D EH0 IH M HH UH D
dames|D EH0 IH M Z
daming|D EH0 IH M IH NG
dammed|D AE M D
damming|D AE M IH NG
dammit|D AE M IH T
dammy|D AE M IY
damn|D AE M
damnable|D AE M N AH0 B L
damnably|D AE M N AH0 B L IY
damnation|D AE M N EH0 IH SH AH0 N
damned|D AE M D
damnify|D AE M N IH F AE IH
damning|D AE M IH NG
damnings|D AE M IH NG Z
damnit|D AE M IH T
damns|D AE M Z
damon|D EH0 IH M AH0 N
damp|D AE M P
dampen|D AE M P AH0 N
damper|D AE M P ER0
dampier|D AE M P IY AH0 R
damply|D AE M P L IY
dampy|D AE M P IY
dams|D AE M Z
damsel|D AE M Z AH0 L
damsels|D AE M Z AH0 L Z
dan|D AE N
dana|D AE N AH0
danaan|D AH0 N EH0 IH AH0 N
danae|D AE N EH0 IH IY
danaus|D AE N EH0 IH AH0 S
danazol|D AE N AH0 Z AO L
danbo|D AE N B AH0 UH
dance|D AA N S
dancecard|D AE N S K AA R D
danced|D AE N S T
dances|D AE N S IH Z
dancewear|D AA N S W EH AH0 R
dancing|D AA N S IH NG
dandelion|D AE N D IH L AE IH AH0 N
dandification|D AE N D IH F IH K EH0 IH SH AH0 N
dandle|D AE N D AH0 L
dandy|D AE N D IY
danelaw|D EH0 IH N L AO
danes|D EH0 IH N Z
dang|D AE NG
danger|D EH0 IH N D ZH ER0
dangerous|D EH0 IH N ZH R AH0 S
dangerouser|D EH0 IH N D AH0 R AH0 S AH0 R
dangers|D EH0 IH N D ZH ER0 Z
dangle|D AE NG G AH0 L
danicize|D EH0 IH N IH S AE IH Z
daniel|D AE N Y AH0 L
daniela|D AE N Y EH L AH0
daniels|D AE N Y AH0 L Z
danish|D EH0 IH N IH SH
dank|D AE NG K
dannebrog|D AE N AH0 B R AO G
dannie|D AE N IY
danny|D AE N IY
danso|D AA N S AH0 UH
danson|D AE N S AH0 N
dante|D AA N T EH0 IH
dantrolene|D AE N T R AH0 L IY N
danube|D AE N Y UW B
danwei|D AA N W EH0 IH
dap|D AE P
dapagliflozin|D AE P AH0 G L AH0 F L OW0 UH Z IH N
daphne|D AE F N IY
dapsone|D AE P S OW0 UH N
daptomycin|D AE P T AH0 M AE IH S IH N
daqing|D AA T SH IH NG
dard|D AA R D
dardic|D AA R D IH K
dare|D EH AH0 R
dared|D EH R D
dares|D EH R Z
daresay|D EH AH0 R S EH0 IH
dargah|D UH AH0 G AA
dari|D AA R IY
darifenacin|D AE R AH0 F EH N AH0 S IH N
daring|D EH R IH NG
darius|D AH0 R AE IH AH0 S
darjeeling|D AA R D IY L IH NG
dark|D AA R K
darken|D AA R K AH0 N
darkened|D AA R K AH0 N D
darker|D AA R K ER0
darkey|D AA R K IY
darkle|D AA R K AH0 L
darkling|D AA R K AH0 L IH NG
darkly|D AA R K L IY
darkness|D AA R K N IH S
darlin'|D AA R L IH N
darling|D AA R L IH NG
darmstadtium|D AA R M SH T AA T IY AH0 M
darn|D AA R N
darrein|D AH0 R EH0 IH N
dart|D AA R T
dartboard|D AA R T B AO R D
darted|D AA R T IH D
darth|D AA R TH
dartle|D AA R T AH0 L
dartos|D AA R T AH0 S
daruma|D AA R UH M AH0
darvel|D AA R V AH0 L
darwinian|D AA R W IH N IY AH0 N
das|D AE S
dasein|D AA Z AE IH N
dash|D AE SH
dashboard|D AE SH B AO R D
dashcam|D AE SH K AE M
dashed|D AE SH T
dasheen|D AE SH IY N
dashes|D AE SH IH Z
dashi|D AA SH IY
dass|D AE S
dassn't|D AE Z AH0 N T
dastard|D AE S T ER0 D
dastardly|D AE S T ER0 D L IY
dasyphyllous|D AE S IH F IH L AH0 S
dat|D AE T
dat's|D AE T S
data|D AE T AH0
database|D AE T AH0 B EH0 IH S
datafy|D AA T AH0 F AE IH
datary|D EH0 IH T AH0 R IY
date|D EH0 IH T
dated|D EH0 IH T IH D
dateless|D EH0 IH T L IH S
dater|D EH0 IH T AH0 R
dates|D EH0 IH T S
dating|D EH0 IH T IH NG
dative|D EH0 IH T IH V
datum|D AA T AH0 M
daub|D AO B
daubery|D AO B AH0 R IY
daughter|D AO T ER0
daughters|D AO T ER0 Z
daunomycin|D AO N AH0 M AE IH S EN
daunorubicin|D AO N AH0 R UW B IH S EN
daunt|D AO N T
daunting|D AO N T IH NG
dauntless|D AO N T L AH0 S
dauphin|D AO F IH N
dauria|D AA UH AH0 RRR IH AH0
davao|D AA V AE UH
dave|D EH0 IH V
davenport|D AE V IH N P AO R T
david|D EH0 IH V IH D
davis|D EH0 IH V IH S
davit|D AE V AH0 T
davos|D AA V OW0 UH S
davy|D EH0 IH V IY
daw|D AO
dawes|D AO Z
dawg|D AO G
dawing|D AO IH NG
dawk|D AO K
dawkes|D AO K S
dawkin|D AO K IH N
dawkins|D AO K IH N Z
dawley|D AO L IY
dawlish|D AO L IH SH
dawn|D AO N
dawning|D AO N IH NG
daws|D AO Z
dawson|D AO S AH0 N
day|D EH0 IH
daybeam|D EH0 IH B IY M
daybed|D EH0 IH B EH D
dayboard|D EH0 IH B AO D
dayboat|D EH0 IH B OW0 UH T
daybook|D EH0 IH B UH K
dayboy|D EH0 IH B AO IH
daydream|D EH0 IH D R IY M
daydreamer|D EH0 IH D R IY M ER0
dayed|D EH0 IH D
dayes|D EH0 IH Z
daying|D EH0 IH IH NG
daykin|D EH0 IH K IH N
daylight|D EH0 IH L AE IH T
daylights|D EH0 IH L AE IH T S
daymare|D EH0 IH M EH ER0
days|D EH0 IH Z
daysack|D EH0 IH S AE K
daysman|D EH0 IH Z M AH0 N
dayson|D EH0 IH S AH0 N
daystar|D EH0 IH S T AA R
daytime|D EH0 IH T AE IH M
dayton|D EH0 IH T AH0 N
daywork|D EH0 IH W ER K
daze|D EH0 IH Z
dazed|D EH0 IH Z D
dazedly|D EH0 IH Z AH0 D L IY
dazes|D EH0 IH Z IH Z
dazibao|D AA D Z AH0 B AE UH
dazing|D EH0 IH Z IH NG
dazy|D EH0 IH Z IY
dazzle|D AE Z AH0 L
dazzling|D AE Z EL IH NG
ddos|D IY D AO S
deacon|D IY K AH0 N
dead|D EH D
deaden|D EH D AH0 N
deadfall|D EH D F AA L
deadhead|D EH D HH EH D
deadline|D EH D L AE IH N
deadlock|D EH D L AA K
deadly|D EH D L IY
deadness|D EH D N AH0 S
deadpan|D EH D P AE N
deaf|D EH F
deafblindness|D EH F B L AE IH N D N IH S
deafen|D EH F AH0 N
deafly|D EH F L IY
deafs|D EH F S
deal|D IY L
dealate|D IY EH0 IH L EH0 IH T
dealated|D IY EH0 IH L EH0 IH T AH0 D
dealignment|D IY Y AH0 L AE IH N M AH0 N T
dealing|D IY L IH NG
deals|D IY L Z
dealt|D EH L T
dean|D IY N
deaned|D IY N D
deaning|D IY N IH NG
deans|D IY N Z
dear|D IH R
dearest|D IH R IH S T
dearheart|D IY R HH AA R T
dearly|D IH R L IY
dearness|D IH AH0 R N AH0 S
dearth|D ER TH
dearworth|D IH AH0 R W UH1 R TH
deasil|D EH S AH0 L
death|D EH TH
deathmatch|D EH TH M AE T SH
deaths|D EH TH S
deb|D EH B
debacchate|D IH B AE K EH0 IH T
debacle|D IH B AA K AH0 L
debark|D IY B AA R K
debasement|D IH B EH0 IH S M AH0 N T
debauch|D IH B AO T
debbie|D EH B IY
debel|D AH0 B EH L
debilitate|D AH0 B IH L AH0 T EH0 IH T
debit|D EH B IH T
debonair|D EH B AH0 N EH R
debouch|D IH B UW SH
debrief|D IY B R IY F
debriefing|D IY B R IY F IH NG
debris|D AH0 B R IY
debt|D EH T
debtee|D EH T IY
debtor|D EH T ER0
debts|D EH T S
debuccalization|D IY B AH K AH0 L AE IH Z EH0 IH SH AH0 N
debuccalize|D IY B AH K AH0 L AE IH Z
debug|D IY B AH G
debugging|D IY B AH G IH NG
debulked|D IY B AH L K T
debunk|D IH B AH NG K
debunks|D IH B AH NG K S
debut|D AH0 B Y UW
debuted|D EH0 IH B Y UW D
debuts|D EH0 IH B Y UW Z
debye|D AH0 B AE IH
decacumination|D IY K AH0 K Y UW M IH N EH0 IH SH AH0 N
decad|D EH K AE D
decade|D EH K AH0 D
decadent|D EH K AH0 D AH0 N T
decadently|D EH K AH0 D AH0 N T L IY
decadescent|D EH K AH0 D EH S AH0 N T
decaf|D IY K AE F
decagon|D EH K AH0 G AA N
decal|D IH K AE L
decals|D IH K AE L Z
decameron|D IH K AE M AH0 R AH0 N
decamethonium|D EH K AH0 M AH0 TH OW0 UH N IY AH0 M
decan|D EH K AH0 N
decanal|D EH K AH0 N AH0 L
decangle|D EH K AE NG G AH0 L
decani|D IH K EH0 IH N AE IH
decant|D AH0 K AE N T
decarcerate|D IY K AA R S AH0 R EH0 IH T
decarceration|D IY K AA R S AH0 R EH0 IH SH AH0 N
decasyllabic|D EH K AH0 S IH L AE B IH K
decay|D IY K EH0 IH
decays|D IH K EH0 IH Z
dece|D IY S
deceased|D IY S IY S T
decede|D IH S IY D
decedent|D IH S IY D AH0 N T
deceit|D IH S IY T
deceivable|D IH S IY V AH0 B L
deceivably|D IH S IY V AH0 B L IY
deceive|D IH S IY V
deceived|D IH S IY V D
deceiver|D IH S IY V ER0
deceives|D IH S IY V Z
deceivingly|D IH S IY V IH NG L IY
deceleration|D IH S EH L AH0 R EH0 IH SH AH0 N
december|D IH S EH M B AH0 R
decembers|D IH S EH M B ER0 Z
decemvir|D IH S EH M V AH0 R
deceptible|D IH S EH P T IH B L
deceptive|D IH S EH P T IH V
decern|D IH S ER N
decet|D EH S EH T
decibel|D EH S IH B EH L
decide|D IH S AE IH D
decided|D IH S AE IH D IH D
decidence|D EH S IH D AH0 N S
deciding|D IH S AE IH D IH NG
deciduous|D IH S IH D UW AH0 S
decile|D EH S AH0 L
decillion|D AH0 S IH L IY AH0 N
decim|D EH S IH M
decima|D EH S IH M AH0
decimal|D EH S IH M AH0 L
decimate|D EH S AH0 M EH0 IH T
decimation|D EH S IH M EH0 IH SH AH0 N
decime|D EH S IY M
decitabine|D IH S AE IH T AH0 B IY N
deck|D EH K
decked|D EH K T
decking|D EH K IH NG
deckle|D EH K AH0 L
decks|D EH K S
declan|D EH K L AH0 N
declaration|D EH K L AH0 R EH0 IH SH AH0 N
declare|D IH K L EH ER0
declared|D IH K L EH R D
declaring|D IH K L EH R IH NG
declension|D IH K L EH N SH AH0 N
decline|D IH K L AE IH N
declined|D IH K L AE IH N D
declining|D IH K L AE IH N IH NG
declivitous|D IH K L IH V IH T AH0 S
decock|D IY K AO K
decoct|D AH0 K AA K T
decoction|D IH K AO K SH AH0 N
decomino|D EH K AA M IH N OW0 UH
decompose|D IY K AH0 M P AH0 UH Z
decomposite|D IY K AO M P AH0 Z IH T
deconcatenate|D IY K AH0 N K AE T AH0 N EH0 IH T
deconvert|D IY K AH0 N V UH1 T
decor|D IH K AO R
decorate|D EH K AH0 R EH0 IH T
decorated|D EH K AH0 R EH0 IH T IH D
decoration|D EH K AH0 R EH0 IH SH AH0 N
decorations|D EH K AH0 R EH0 IH SH AH0 N Z
decorative|D AH0 K AO RRR AH0 T IH V
decorporation|D IY K AO R P AH0 R EH0 IH SH AH0 N
decrepit|D IH K R EH P IH T
decrepitate|D IH K R EH P IH T EH0 IH T
decrepitly|D IH K R EH P IH T L IY
decrepitness|D IH K R EH P IH T N AH0 S
decrescendo|D IY K R EH SH EH N D AH0 UH
decrescent|D IH K R EH S AH0 N T
decretory|D IH K R IY T AH0 R IY
decrial|D IH K R AE IH AH0 L
decrime|D IY K R AE IH M
decriminalization|D IY K R IH M IH N AH0 L AE IH Z EH0 IH SH AH0 N
decry|D IH K R AE IH
dectuple|D EH K T UH P L
decubation|D IY K Y UW B EH0 IH SH AH0 N
decubitus|D IH K Y UW B IH T AH0 S
decuman|D EH K Y UH M AH0 N
decumbiture|D IH K AH M B IH T SH ER0
decuple|D EH K Y UH P L
decussate|D IH K AH S EH0 IH T
decussation|D EH K AH S EH0 IH SH AH0 N
decussative|D IH K AH S AH0 T IH V
dedication|D EH D IH K EH0 IH SH AH0 N
dedicatory|D EH D AH0 K AH0 T AO R IY
dedolent|D EH D AH0 L AH0 N T
deduce|D IH D Y UW S
deduction|D IH D AH K SH AH0 N
dedupe|D IY D UW P
dee|D IY
deed|D IY D
deeds|D IY D Z
deedwork|D IY D W ER K
deem|D IY M
deemed|D IY M D
deeming|D IY M IH NG
deems|D IY M Z
deep|D IY P
deepen|D IY P AH0 N
deeper|D IY P ER0
deepest|D IY P IH S T
deeply|D IY P L IY
deer|D IH R
dees|D IY Z
deets|D IY T S
def|D EH F
deface|D IH F EH0 IH S
defacement|D IH F EH0 IH S M AH0 N T
defamate|D EH F AH0 M EH0 IH T
defamation|D EH F AH0 M EH0 IH SH AH0 N
defamatory|D IH F AE M AH0 T AO R IY
defcon|D EH F K AA N
defeat|D IH F IY T
defecate|D EH F IH K AH0 T
defectible|D IH F EH K T IH B AH0 L
defend|D EH F EH N D
defendant|D IH F EH N D AH0 N T
defended|D IH F EH N D IH D
defending|D AH0 F EH N D IH NG
defenestrate|D AH0 F EH N IH S T R EH0 IH T
defenestration|D IY F EH N AH0 S T R EH0 IH SH AH0 N
defense|D IH F EH N S
defensive|D IH F EH N S IH V
defensor|D IH F EH N S AH0 R
defer|D IH F ER
deference|D EH F R AH0 N S
deferral|D IH F ER AH0 L
deferred|D IH F ER D
defervesce|D IY F ER0 V EH S
defervescency|D IY F AH0 R V EH S AH0 N S IY
defi|D IY F AE IH
defiant|D IH F AE IH AH0 N T
defiatory|D AH0 F AE IH AH0 T AO R IY
deficit|D EH F AH0 S IH T
defile|D IH F AE IH L
define|D IH F AE IH N
defined|D IH F AE IH N D
definite|D EH F IH N IH T
definitely|D EH F IH N IH T L IY
definition|D EH F IH N IH SH AH0 N
definitions|D EH F IH N IH SH AH0 N Z
definitude|D IH F IH N IH T Y UW D
deflagration|D EH F L AH0 G R EH0 IH SH AH0 N
deflationary|D AH0 F L EH0 IH SH AH0 N AH0 R IY
deflea|D IY F L IY
deflection|D AH0 F L EH K SH AH0 N
deflocculate|D AH0 F L AA K Y UW L EH0 IH T
deflocculation|D AH0 F L AA K Y UW L EH0 IH SH AH0 N
deflow|D IH F L AH0 UH
defog|D IY F AA G
defragment|D IY F R AE G M EH N T
defragmentation|D IY F R AE G M AH0 N T EH0 IH SH AH0 N
defrock|D IY F R AA K
deft|D EH F T
deftly|D EH F T L IY
defunct|D IH F AH NG K T
defunction|D AH0 F AH NG K SH AH0 N
defunctioning|D IY F AH NG K SH AH0 N IH NG
defuse|D IH F Y UW Z
deg|D EH G
degarnish|D IH G AA R N IH SH
degen|D IY D EH N
deglaciation|D IY G L EH0 IH SH IY EH0 IH SH AH0 N
deglove|D IY G L AH V
degloving|D IY G L AH V IH NG
deglutition|D IY G L UW T IH SH AH0 N
degree|D IH G R IY
degrees|D IH G R IY Z
degression|D IH G R EH SH AH0 N
degringolade|D EH0 IH G R AE NG G OW0 UH L AA D
dehisce|D IH HH IH S
dehiscence|D IH HH IH S AH0 N S
dehort|D IH HH AO T
dehull|D IY HH AH L
dehulled|D IY HH AH L D
dehydrate|D IY HH AE IH D R EH0 IH T
dehydrated|D AH0 HH AE IH D R EH0 IH T AH0 D
dehydration|D IY HH AE IH D R EH0 IH SH AH0 N
dehydroemetine|D IH HH AE IH D R OW0 UH EH M AH0 T IY N
dehydroisoandrosterone|D IY HH AE IH D R AH0 UH AE IH S AH0 UH AE N D R AO S T AH0 R AH0 UH N
dehymenization|D IY HH AE IH M AH0 N AE IH Z EH0 IH SH AH0 N
deianira|D IY AH0 N AE IH R AH0
deice|D IY AE IH S
deicer|D IY AE IH S ER0
deicide|D IY AH0 S AE IH D
deictic|D EH0 IH K T IH K
deidamia|D EH0 IH D AH0 M AE IH AH0
deiform|D IY IH F AO R M
deify|D IY AH0 F AE IH
deign|D EH0 IH N
deimos|D AE IH M AH0 S
deirdre|D IH R D R AH0
deiseal|D ZH EH SH AH0 L
deism|D IY IH Z AH0 M
deistic|D EH0 IH IH S T IH K
deistical|D EH0 IH IH S T IH K AH0 L
deistically|D EH0 IH IH S T IH K L IY
deitate|D IY IH T AH0 T
deities|D IY IH T IY Z
deity|D IY AH0 T IY
deixis|D EH0 IH K S IH S
dejecta|D IH D ZH EH K T AH0
dejection|D AH0 D ZH EH K SH AH0 N
dejeration|D EH D ZH AH0 R EH0 IH SH AH0 N
deke|D IY K
dekko|D EH K AH0 UH
dekopon|D EH K AH0 UH P AO N
dekulakize|D IH K UW L AE K AE IH Z
del|D EH L
delam|D IY L AE M
delano|D EH L AH0 N AH0 UH
delate|D IH L EH0 IH T
delation|D IY L EH0 IH SH EN
delavirdine|D EH L AH0 V IH R D IY N
delaware|D EH L AH0 W EH R
delay|D AH0 L EH0 IH
delayed|D AH0 L EH0 IH D
delbrück|D EH L B R UH K
dele|D IY L IY
delead|D IY L EH D
delegate|D EH L IH G AH0 T
delegitimation|D IY L IH D ZH IH T IH M EH0 IH SH AH0 N
deleon|D AH0 L IY AA N
delete|D IH L IY T
deleterious|D EH L AH0 T IH R IY AH0 S
deletery|D AH0 L IY T AH0 R IY
deletion|D IH L IY SH AH0 N
deletory|D AH0 L IY T AH0 R IY
deleuzoguattarian|D AH0 L UW Z AH0 UH G W AH0 T AA R IY AH0 N
delft|D EH L F T
delhi|D EH L IY
deli|D EH L IY
deliberate|D IH L IH B AH0 R AH0 T
deliberately|D IH L IH B AH0 R AH0 T L IY
deliberation|D IH L IH B AH0 R EH0 IH SH AH0 N
delibrate|D EH L IH B R EH0 IH T
delicate|D EH L IH K AH0 T
delicately|D EH L IH K AH0 T L IY
delicatessen|D EH L IH K AH0 T EH S AH0 N
delicious|D AH0 L IH SH AH0 S
delict|D IH L IH K T
delictuous|D AH0 L IH K T SH UW AH0 S
delight|D IH L AE IH T
delights|D IH L AE IH T S
delightsome|D IH L AE IH T S AH0 M
delightsomely|D IH L AE IH T S AH0 M L IY
delightsomeness|D IH L AE IH T S AH0 M N AH0 S
delimit|D IH L IH M IH T
delineation|D IY L IH N IY EH0 IH SH AH0 N
deliquate|D EH L IH K W EH0 IH T
deliquesce|D EH L IH K W EH S
delirate|D EH L IH R EH0 IH T
delirium|D IH L IH R IY AH0 M
delitescence|D EH L IH T EH S AH0 N S
deliver|D IH L IH V ER0
delivered|D IH L IH V ER0 D
delivery|D IH L IH V AH0 R IY
dell|D EH L
dells|D EH L Z
delomorphic|D EH L AH0 M AO R F IH K
delt|D EH L T
delta|D EH L T AH0
delts|D EH L T S
delude|D IH L UW D
deluded|D IH L UW D IH D
deluge|D EH L Y UW D ZH
delusory|D IH L UW Z AH0 R IY
deluxe|D IH L AH K S
delve|D EH L V
delved|D EH L V D
delves|D EH L V Z
delving|D EH L V IH NG
delvings|D EH L V IH NG Z
dem|D EH M
demagogue|D EH M AH0 G AO G
demand|D IH M AE N D
demanded|D IH M AE N D IH D
demanding|D AH0 M AE N D IH NG
demands|D IH M AE N D Z
demark|D IY M AA R K
dematerialize|D IY M AH0 T IH R IY AH0 L AE IH Z
