'ayé|'ajé
dira|dira
dití|dití
diṣani|diʃani
diṣoni|diʃoni
dodafahu|dodafahu
doegi|doeɡi
dojú|dod͡ʒú
dojúbo|dod͡ʒúbo
dojúbolẹ̀|dod͡ʒúbolɛ̀
dojúkọ|dod͡ʒúkɔ
dolówó|dolówó
dolóògbé|dolóòɡ͡bé
dori|dori
dorí|dorí
doyin|dojĩ
dragoni|draɡoni
drusilla|drusilla
dun|dũ
dunjúdunjú|dũd͡ʒúdũd͡ʒú
dunnú|dũnú
dà|dà
dàbí|dàbí
dàda|dàda
dàdàkùádà|dàdàkùádà
dàgbà|dàɡ͡bà
dàgbàsókè|dàɡ͡bàsókè
dàmú|dàmú
dànù|dànù
dàpọ̀|dàk͡pɔ̀
dàrú|dàrú
dààmú|dààmú
dàànù|dàànù
dàánù|dàánù
dàásíkí|dàásíkí
dá|dá
dáa|dáa
dáadáa|dáadáa
dábàá|dábàá
dábùú|dábùú
dádé|dádé
dádúró|dádúró
dáfídì|dáfídì
dágbé|dáɡ͡bé
dágbére|dáɡ͡bére
dágunró|dáɡũró
dáhùn|dáhùn
dájú|dád͡ʒú
dájúdájú|dád͡ʒúdád͡ʒú
dájú’|dád͡ʒú’
dájọ́|dád͡ʒɔ́
dákú|dákú
dákẹ́|dákɛ́
dálé|dálé
dámilọ́lá|dámilɔ́lá
dámọ̀ràn|dámɔ̀ràn
dán|dán
dánilójú|dánilód͡ʒú
dánilẹ́kun|dánilɛ́kũ
dánwò|dánwò
dáná|dáná
dání|dání
dáníẹ̀lì|dáníɛ̀lì
dára|dára
dáradára|dáradára
dárayá|dárajá
dáre|dáre
dárí|dárí
dáríji|dáríd͡ʒi
dáríjì|dáríd͡ʒì
dárò|dárò
dárúkọ|dárúkɔ
dátọ́mì|dátɔ́mì
dáwó|dáwó
dáwọ́|dáwɔ́
dáwọ́jọ|dáwɔ́d͡ʒɔ
dáwọ́lé|dáwɔ́lé
dáyà|dájà
dáyé́|dájé́
dáàbò|dáàbò
dáṣà|dáʃà
dáṣẹ́|dáʃɛ́
dá’wọ́|dá’wɔ́
dè|dè
dèjì|dèd͡ʒì
dènà|dènà
dèé|dèé
dé|dé
débi|débi
dédé|dédé
dée|dée
délé|délé
délẹ̀|délɛ̀
démiládé|démiládé
démiláre|démiláre
dénà|dénà
dénú|dénú
désọ́lá|désɔ́lá
déédé|déédé
dé’|dé’
dé’lu|dé’lu
dé’lùú|dé’lùú
dé’lẹ̀|dé’lɛ̀
dì|dì
dìbò|dìbò
dìde|dìde
dìde’|dìde’
dìpọ̀|dìk͡pɔ̀
dìrọ̀|dìrɔ̀
dìtẹ̀|dìtɛ̀
dìwọ́n|dìwɔ́n
dìímú|dìímú
dí|dí
díbàjẹ́|díbàd͡ʒɛ́
dída|dída
dídi|dídi
dídàbolẹ̀|dídàbolɛ̀
dídá|dídá
dídán|dídán
dídápadà|dídák͡padà
dídára|dídára
dídè|dídè
dídé|dídé
dídì|dídì
dídí|dídí
dídùn|dídùn
dídùndídùn|dídùndídùn
dídúró|dídúró
dídẹ̀|dídɛ̀
dígí|díɡí
díje|díd͡ʒe
dín|dín
díndín|díndín
dínkù|dínkù
dínárì|dínárì
dípò|dík͡pò
díwọ̀|díwɔ̀
díwọ̀n|díwɔ̀n
díye|díje
díyàjẹ|díjàd͡ʒɛ
díákónì|díákónì
díẹ̀|díɛ̀
díẹ̀díẹ̀|díɛ̀díɛ̀
dò|dò
dòdò|dòdò
dògbó|dòɡ͡bó
dòjé|dòd͡ʒé
dòmìnira|dòmìnira
dòwe|dòwe
dòwò|dòwò
dó|dó
dógò|dóɡò
dójúti|dód͡ʒúti
dójútì|dód͡ʒútì
dóko|dóko
dókìtà|dókìtà
dókítà|dókítà
dópin|dók͡pĩ
dórí|dórí
dóró|dóró
dówe|dówe
dù|dù
dùbúlẹ̀|dùbúlɛ̀
dùn|dùn
dùn'yan|dùn'jan
dùrù|dùrù
dùyan|dùjan
dùùrù|dùùrù
dúdú|dúdú
dúkìá|dúkìá
dún|dún
dúndùn|dúndùn
dúpé|dúk͡pé
dúpẹ́|dúk͡pɛ́
dúró|dúró
dúrúu|dúrúu
dúńbú|dúńbú
dẹ|dɛ
dẹkùn|dɛkùn
dẹlila|dɛlila
dẹni|dɛ̃i
dẹnukọlẹ̀|dɛ̃ukɔlɛ̀
dẹrùn|dɛrùn
dẹtí|dɛtí
dẹ̀|dɛ̀
dẹ̀dẹ̀|dɛ̀dɛ̀
dẹ̀dẹ̀’|dɛ̀dɛ̀’
dẹ̀gbẹ́|dɛ̀ɡ͡bɛ́
dẹ́kun|dɛ́kũ
dẹ́kùn|dɛ́kùn
dẹ́kún|dɛ́kún
dẹ́nu|dɛ́nu
dẹ́rù|dɛ́rù
dẹ́rùbà|dɛ́rùbà
dẹ́sẹ̀|dɛ́sɛ̀
dẹ́ṣẹ̀|dɛ́ʃɛ̀
dẹẹ́|dɛɛ́
dọdẹ|dɔdɛ
dọkasi|dɔkasi
dọlọ́rọ̀|dɔlɔ́rɔ̀
dọ̀bálẹ̀|dɔ̀bálɛ̀
dọ̀kan|dɔ̀kan
dọ̀tí|dɔ̀tí
dọ́gba|dɔ́ɡ͡ba
dọ́kítà|dɔ́kítà
d’ahoro|d’ahoro
d’ilé|d’ilé
d’àgbà|d’àɡ͡bà
d’ádé|d’ádé
d’órí|d’órí
d’ẹ́se|d’ɛ́se
d’ẹ́sẹ̀|d’ɛ́sɛ̀
d’ọjà|d’ɔd͡ʒà
e|e
ebali|ebali
ebedi|ebedi
ebedimeleki|ebedimeleki
ebeneseri|ebeneseri
eberi|eberi
ebi|ebi
eboni|eboni
ebè|ebè
ebí|ebí
ebòlò|ebòlò
edeni|edeni
ederi|ederi
edomu|edomu
edrei|edrei
edé|edé
eegun|eeɡũ
eegún|eeɡún
efa|efa
efai|efai
efangelisti|efanɡelisti
efani|efani
efata|efata
eferi|eferi
efesu|efesu
efi|efi
efili|efili
efodu|efodu
efraimu|efraimu
efrata|efrata
efroni|efroni
egbére|eɡ͡bére
egbò|eɡ͡bò
egbòogi|eɡ͡bòoɡi
egla|eɡla
eglati|eɡlati
egloni|eɡloni
egúngún|eɡúnɡún
ehudu|ehudu
ejibiti|ed͡ʒibiti
ejibiti’|ed͡ʒibiti’
ejò|ed͡ʒò
ekbatana|ekbatana
ekedi|ekedi
ekroni|ekroni
eksodu|eksodu
eku|eku
ekuru|ekuru
el|el
ela|ela
elamu|elamu
elati|elati
eldadi|eldadi
eleale|eleale
eleasa|eleasa
eleasari|eleasari
elhanani|elhanani
eli|eli
eliabu|eliabu
eliakimu|eliakimu
eliamu|eliamu
eliasafu|eliasafu
eliaṣibu|eliaʃibu
elieli|elieli
elieseri|elieseri
elifasi|elifasi
elifeleti|elifeleti
elihu|elihu
elihudi|elihudi
elijah|elid͡ʒah
elika|elika
elimeleki|elimeleki
elimu|elimu
elisabeti|elisabeti
elisafani|elisafani
elisafati|elisafati
elisuri|elisuri
eliṣa|eliʃa
eliṣama|eliʃama
eliṣeba|eliʃeba
elkana|elkana
elmadamu|elmadamu
elnatani|elnatani
eloni|eloni
elsafani|elsafani
elteke|elteke
eltekoni|eltekoni
elédùmarè|elédùmarè
elégbè|eléɡ͡bè
elékòó|elékòó
elépo|elék͡po
elére|elére
elése|elése
eléso|eléso
elétè|elétè
elétí|elétí
elétò|elétò
eléwé|eléwé
eléwú|eléwú
eléyi|eléji
eléyìí|eléjìí
eléèérí|eléèérí
elódùmarè|elódùmarè
elújọbí|elúd͡ʒɔbí
emeki|emeki
emeradi|emeradi
emimu|emimu
emmanueli|emmanueli
emmausi|emmausi
en|en
enaimu|enaimu
enani|enani
enanu|enanu
eni|eni
enoku|enoku
enosi|enosi
enoṣi|enoʃi
enìkan|enìkan
enìkankan|enìkankan
ení|ení
enígbà|eníɡ͡bà
epafira|ek͡pafira
epafiroditu|ek͡pafiroditu
epenetu|ek͡penetu
epikure|ek͡pikure
erani|erani
erastu|erastu
eri|eri
erinmí|erĩmí
eruku|eruku
eré|eré
erékùṣù|erékùʃù
erékúṣù|erékúʃù
erín|erín
erùpẹ̀|erùk͡pɛ̀
esarhadoni|esarhadoni
esau|esau
esekiẹli|esekiɛli
eseri|eseri
esili|esili
esioni|esioni
esra|esra
esteri|esteri
etamu|etamu
etani|etani
eteri|eteri
eti|eti
etiopia|etiok͡pia
etu|etu
etí|etí
etígbọ̀ọ́|etíɡ͡bɔ̀ɔ́
etílé|etílé
eubulu|eubulu
eufurate|eufurate
euodia|euodia
eurakuilo|eurakuilo
eutiku|eutiku
ewé|ewé
ewébẹ̀|ewébɛ̀
ewédú|ewédú
ewéko|ewéko
ewì|ewì
ewúro|ewúro
ewúré|ewúré
ewúrẹ́|ewúrɛ́
external|external
eyín|ejín
eyín’|ejín’
eèrà|eèrà
eégún|eéɡún
eékún|eékún
eérú|eérú
eéwo|eéwo
eṣinṣín|eʃĩʃín
eṣitemoa|eʃitemoa
eṣkolu|eʃkolu
eṣtaoli|eʃtaoli
eṣú|eʃú
eẹ̀yan|eɛ̀jan
f'ólúwa|f'ólúwa
fa|fa
fadérẹra|fadérɛra
fajúro|fad͡ʒúro
fakọ́yọ|fakɔ́jɔ
falẹ̀|falɛ̀
falẹ̀’|falɛ̀’
fanimọ́ra|fanimɔ́ra
faniya|fanija
fara|fara
farabalẹ̀|farabalɛ̀
faradà|faradà
farahan|farahan
farahàn|farahàn
faransé|faransé
farao|farao
farisi|farisi
fayé|fajé
faṣti|faʃti
febe|febe
feliksi|feliksi
festu|festu
fetí|fetí
fetísí|fetísí
fetísílẹ̀|fetísílɛ̀
figbe|fiɡ͡be
fihan|fihan
fihàn|fihàn
fikoli|fikoli
filadelfia|filadelfia
filakteri|filakteri
filetu|filetu
filipi|filik͡pi
filistia|filistia
filistini|filistĩi
filologu|filoloɡu
finehasi|fĩehasi
firi|firi
fitafita|fitafita
fiwé|fiwé
fiyèsí|fijèsí
flegoni|fleɡoni
fo|fo
fohùn|fohùn
fojú|fod͡ʒú
fojúsọ́nà|fod͡ʒúsɔ́nà
folúkẹ́|folúkɛ́
fonike|fonike
fonisia|fonisia
fonọ́lọ́jì|fonɔ́lɔ́d͡ʒì
foroni|foroni
forí|forí
foríbalẹ̀|foríbalɛ̀
forítì|forítì
frigia|friɡia
fun|fũ
funfun|fũfũ
funra|fũra
fuń|fṹ
fà|fà
fàdákà|fàdákà
fàkẹrẹ|fàkɛrɛ
fàlí|fàlí
fàmọ́|fàmɔ́
fàro|fàro
fàsẹ́yìn|fàsɛ́jìn
fàtu|fàtu
fàya|fàja
fàyàrán|fàjàrán
fàyè|fàjè
fàyọ|fàjɔ
fàájì|fàád͡ʒì
fá|fá
fágúnwà|fáɡúnwà
fájídé|fád͡ʒídé
fákáyọ̀dé|fákájɔ̀dé
fálànà|fálànà
fálétí|fálétí
fárí|fárí
fásitì|fásitì
fásúre|fásúre
fátùrótì|fátùrótì
fátúrótì|fátúrótì
fáuśa|fáuśa
fáànù|fáànù
fáìlì|fáìlì
fáṣọpẹ́|fáʃɔk͡pɛ́
fèdèfọ̀|fèdèfɔ̀
fèrè|fèrè
fèrèsé|fèrèsé
fèsì|fèsì
fèyíkọ́gbọ́n|fèjíkɔ́ɡ͡bɔ́n
fé|fé
féfé|féfé
féraǹ|féraǹ
férémù|férémù
fì|fì
fìdí|fìdí
fìgbà|fìɡ͡bà
fìlà|fìlà
fìtílà|fìtílà
fìyà|fìjà
fífarahàn|fífarahàn
fífi|fífi
fífibú|fífibú
fífà|fífà
fífàya|fífàja
fífì|fífì
fífún|fífún
fífúnni|fífúnni
fífẹ̀|fífɛ̀
fífẹ́|fífɛ́
fífẹ́lẹ́|fífɛ́lɛ́
fífẹ́rẹ|fífɛ́rɛ
fífọ|fífɔ
fífọ́|fífɔ́
fín|fín
fínfín|fínfín
fínní|fínní
fínràn|fínràn
fíofío|fíofío
fò|fò
fònọ̀lọjí|fònɔ̀lɔd͡ʒí
fòyà|fòjà
fóòro|fóòro
fùfù|fùfù
fùú|fùú
fú|fú
fújì|fúd͡ʒì
fún|fún
fúnkẹ́|fúnkɛ́
fúnmi|fúnmi
fúnra|fúnra
fúnrúgbìn|fúnrúɡ͡bìn
fúyẹ́|fújɛ́
fẹlifẹli|fɛlifɛli
fẹlá|fɛlá
fẹnu|fɛ̃u
fẹnukò|fɛ̃ukò
fẹsẹ̀múlẹ̀|fɛsɛ̀múlɛ̀
fẹ̀|fɛ̀
fẹ̀fun|fɛ̀fũ
fẹ̀gbẹ́|fɛ̀ɡ͡bɛ́
fẹ̀sùn|fɛ̀sùn
fẹ́|fɛ́
fẹ́lẹ́fẹ́lẹ́|fɛ́lɛ́fɛ́lɛ́
fẹ́rakù|fɛ́rakù
fẹ́rakú|fɛ́rakú
fẹ́ran|fɛ́ran
fẹ́rà|fɛ́rà
fẹ́ràn|fɛ́ràn
fẹ́rànmi|fɛ́rànmi
fẹ́rànmí|fɛ́rànmí
fẹ́rẹ|fɛ́rɛ
fẹ́rẹ̀|fɛ́rɛ̀
fẹ́rẹ́sẹ́|fɛ́rɛ́sɛ́
fẹ́ẹ̀|fɛ́ɛ̀
fẹ́ẹ́rẹ́|fɛ́ɛ́rɛ́
fọhùn|fɔhùn
fọjú|fɔd͡ʒú
fọkàn|fɔkàn
fọlá|fɔlá
fọlákẹ́|fɔlákɛ́
fọlámí|fɔlámí
fọn|fɔ̃
fọnfọn|fɔ̃fɔ̃
fọnu|fɔ̃u
fọwọ́|fɔwɔ́
fọwọ́sí|fɔwɔ́sí
fọ̀|fɔ̀
fọ́|fɔ́
fọ́fọ́|fɔ́fɔ́
fọ́jú|fɔ́d͡ʒú
fọ́n|fɔ́n
fọ́nfọ́n|fɔ́nfɔ́n
fọ́nká|fɔ́nká
fọ́nká’|fɔ́nká’
fọ́nnu|fɔ́nnu
fọ́nu|fɔ́nu
fọṣọ|fɔʃɔ
fọ’bọ́|fɔ’bɔ́
fọ’nu|fɔ’nu
f’ara|f’ara
f’etí|f’etí
f’ilé|f’ilé
f’orí|f’orí
f’ìgbà|f’ìɡ͡bà
f’ònà|f’ònà
f’ẹ́ni|f’ɛ́ni
f’ọwọ́|f’ɔwɔ́
f’ọ́ba|f’ɔ́ba
f’ọ́jọ́|f’ɔ́d͡ʒɔ́
f’’ọ́ba|f’’ɔ́ba
ga|ɡa
gaan|ɡaan
gaaṣi|ɡaaʃi
gabata|ɡabata
gabrieli|ɡabrieli
gadara|ɡadara
gaderi|ɡaderi
gadi|ɡadi
gaiusi|ɡaiusi
galali|ɡalali
galatia|ɡalatia
galeedi|ɡaleedi
galili|ɡalili
galimu|ɡalimu
gallioni|ɡallioni
gamalieli|ɡamalieli
gan|ɡan
gangan’|ɡanɡan’
gannimu|ɡannimu
ganíyá|ɡaníjá
garimu|ɡarimu
gasa|ɡasa
gasesi|ɡasesi
gati|ɡati
gaàrí|ɡaàrí
gbafẹ́|ɡ͡bafɛ́
gbagada|ɡ͡baɡada
gbajúmọ̀|ɡ͡bad͡ʒúmɔ̀
gbangba|ɡ͡banɡ͡ba
gbani|ɡ͡bani
gbara|ɡ͡bara
gbayì|ɡ͡bajì
gbilẹ̀|ɡ͡bilɛ̀
gbin|ɡ͡bĩ
gbinlẹ̀|ɡ͡bĩlɛ̀
gbiná|ɡ͡bĩá
gbinájẹ|ɡ͡bĩád͡ʒɛ
gbiri|ɡ͡biri
gbodọ̀|ɡ͡bodɔ̀
gbogbo|ɡ͡boɡ͡bo
gbolẹ̀|ɡ͡bolɛ̀
gboyè|ɡ͡bojè
gbà|ɡ͡bà
gbàbé|ɡ͡bàbé
gbàdúrà|ɡ͡bàdúrà
gbàgbé|ɡ͡bàɡ͡bé
gbàgbó|ɡ͡bàɡ͡bó
gbàgbọ́|ɡ͡bàɡ͡bɔ́
gbàgbọ́bí|ɡ͡bàɡ͡bɔ́bí
gbàgbọ́’|ɡ͡bàɡ͡bɔ́’
gbàjarè|ɡ͡bàd͡ʒarè
gbàlà|ɡ͡bàlà
gbàlà’|ɡ͡bàlà’
gbàmí|ɡ͡bàmí
gbàngàn|ɡ͡bànɡàn
gbààwẹ̀|ɡ͡bààwɛ̀
gbàǹgbà|ɡ͡bàǹɡ͡bà
gbàǹja|ɡ͡bàǹd͡ʒa
gbàǹjà|ɡ͡bàǹd͡ʒà
gbà’|ɡ͡bà’
gbá|ɡ͡bá
gbáa|ɡ͡báa
gbádun|ɡ͡bádũ
gbádébọ|ɡ͡bádébɔ
gbádùn|ɡ͡bádùn
gbáko|ɡ͡báko
gbámú|ɡ͡bámú
gbámúṣé|ɡ͡bámúʃé
gbára|ɡ͡bára
gbárajọ|ɡ͡bárad͡ʒɔ
gbárayílẹ̀|ɡ͡bárajílɛ̀
gbáà|ɡ͡báà
gbè|ɡ͡bè
gbèdéke|ɡ͡bèdéke
gbèjà|ɡ͡bèd͡ʒà
gbèmí|ɡ͡bèmí
gbère|ɡ͡bère
gbèrò|ɡ͡bèrò
gbèrú|ɡ͡bèrú
gbèsè|ɡ͡bèsè
gbé|ɡ͡bé
gbée|ɡ͡bée
gbéga|ɡ͡béɡa
gbélẹ̀|ɡ͡bélɛ̀
gbénga|ɡ͡bénɡa
gbénró|ɡ͡bénró
gbéra|ɡ͡béra
gbéraga|ɡ͡béraɡa
gbére|ɡ͡bére
gbéró|ɡ͡béró
gbéyàwó|ɡ͡béjàwó
gbéṣẹ́|ɡ͡béʃɛ́
gbìmọ̀|ɡ͡bìmɔ̀
gbìmọ̀ràn|ɡ͡bìmɔ̀ràn
gbìn|ɡ͡bìn
gbìn’|ɡ͡bìn’
gbìyànjú|ɡ͡bìjànd͡ʒú
gbígba|ɡ͡bíɡ͡ba
gbígbà|ɡ͡bíɡ͡bà
gbígbàgbọ́|ɡ͡bíɡ͡bàɡ͡bɔ́
gbígbààwẹ̀|ɡ͡bíɡ͡bààwɛ̀
gbígbá|ɡ͡bíɡ͡bá
gbígbé|ɡ͡bíɡ͡bé
gbígbéga|ɡ͡bíɡ͡béɡa
gbígbékọ́|ɡ͡bíɡ͡békɔ́
gbígbéra|ɡ͡bíɡ͡béra
gbígbéró|ɡ͡bíɡ͡béró
gbígbìn|ɡ͡bíɡ͡bìn
gbígbòòrò|ɡ͡bíɡ͡bòòrò
gbígbóná|ɡ͡bíɡ͡bóná
gbígbẹ|ɡ͡bíɡ͡bɛ
gbígbẹ́|ɡ͡bíɡ͡bɛ́
gbígbọ́|ɡ͡bíɡ͡bɔ́
gbíngbin|ɡ͡bínɡ͡bĩ
gbíyànjù|ɡ͡bíjànd͡ʒù
gbòò|ɡ͡bòò
gbòòrò|ɡ͡bòòrò
gbòógì|ɡ͡bòóɡì
gbòǹgbò|ɡ͡bòǹɡ͡bò
gbó|ɡ͡bó
gbógun|ɡ͡bóɡũ
gbóguntì|ɡ͡bóɡũtì
gbóhùn|ɡ͡bóhùn
gbójú|ɡ͡bód͡ʒú
gbólóhùn|ɡ͡bólóhùn
gbólúwaga|ɡ͡bólúwaɡa
gbómi|ɡ͡bómi
gbóná|ɡ͡bóná
gbóògun|ɡ͡bóòɡũ
gbó’gun|ɡ͡bó’ɡũ
gbùngbùn|ɡ͡bùnɡ͡bùn
gbún|ɡ͡bún
gbúròó|ɡ͡búròó
gbẹ|ɡ͡bɛ
gbẹ̀du|ɡ͡bɛ̀du
gbẹ̀san|ɡ͡bɛ̀san
gbẹ̀yin|ɡ͡bɛ̀jĩ
gbẹ̀yìn|ɡ͡bɛ̀jìn
gbẹ̀yẹ|ɡ͡bɛ̀jɛ
gbẹ́|ɡ͡bɛ́
gbẹ́bẹ̀|ɡ͡bɛ́bɛ̀
gbẹ́gi|ɡ͡bɛ́ɡi
gbẹ́kẹ̀|ɡ͡bɛ́kɛ̀
gbẹ́kẹ̀lé|ɡ͡bɛ́kɛ̀lé
gbẹ́nu|ɡ͡bɛ́nu
gbẹ́nàgbẹ́nà|ɡ͡bɛ́nàɡ͡bɛ́nà
gbẹ́sẹ̀|ɡ͡bɛ́sɛ̀
gbọdọ̀|ɡ͡bɔdɔ̀
gbọgbẹ́|ɡ͡bɔɡ͡bɛ́
gbọingbọin|ɡ͡bɔĩɡ͡bɔĩ
gbọn|ɡ͡bɔ̃
gbọningbọnin|ɡ͡bɔ̃ĩɡ͡bɔ̃ĩ
gbọ̀gàn|ɡ͡bɔ̀ɡàn
gbọ̀gán|ɡ͡bɔ̀ɡán
gbọ̀n|ɡ͡bɔ̀n
gbọ̀ngàn|ɡ͡bɔ̀nɡàn
gbọ̀nọ́ngbọ̀nọ́n|ɡ͡bɔ̀nɔ́nɡ͡bɔ̀nɔ́n
gbọ́|ɡ͡bɔ́
gbọ́fá|ɡ͡bɔ́fá
gbọ́jà|ɡ͡bɔ́d͡ʒà
gbọ́kò|ɡ͡bɔ́kò
gbọ́n|ɡ͡bɔ́n
gbọ́ngungbọ̀ngun|ɡ͡bɔ́nɡũɡ͡bɔ̀nɡũ
gbọ́nmi|ɡ͡bɔ́nmi
gbọ́ní|ɡ͡bɔ́ní
gbọ́ran|ɡ͡bɔ́ran
gbọ́ràn|ɡ͡bɔ́ràn
gbọ́rọ̀|ɡ͡bɔ́rɔ̀
gbọ́wọ́|ɡ͡bɔ́wɔ́
gbọ́’|ɡ͡bɔ́’
gbọọrọ|ɡ͡bɔɔrɔ
gb’omi|ɡ͡b’omi
gb’owó|ɡ͡b’owó
gb’ẹ̀bẹ̀|ɡ͡b’ɛ̀bɛ̀
ge|ɡe
geba|ɡeba
gebali|ɡebali
geberi|ɡeberi
gedaliah|ɡedaliah
gedegbe|ɡedeɡ͡be
gederi|ɡederi
gederoti|ɡederoti
gedori|ɡedori
geere|ɡeere
geharaṣinu|ɡeharaʃĩu
gehasi|ɡehasi
geliloti|ɡeliloti
gemariah|ɡemariah
genesareti|ɡenesareti
gera|ɡera
gerari|ɡerari
geruti|ɡeruti
gerṣomu|ɡerʃomu
gerṣoni|ɡerʃoni
geseri|ɡeseri
getsemane|ɡetsemane
geṣuri|ɡeʃuri
gibeah|ɡibeah
gibeoni|ɡibeoni
gibetoni|ɡibetoni
gideoni|ɡideoni
gidi|ɡidi
gidigidi|ɡidiɡidi
gilalai|ɡilalai
gileadi|ɡileadi
gilgali|ɡilɡali
giloni|ɡiloni
gimiso|ɡimiso
girama|ɡirama
gireepu|ɡireek͡pu
girgaṣi|ɡirɡaʃi
giriki|ɡiriki
gisoni|ɡisoni
gitti|ɡitti
gittiti|ɡittiti
gogoro|ɡoɡoro
gogu|ɡoɡu
golani|ɡolani
goliati|ɡoliati
gomeri|ɡomeri
gomorra|ɡomorra
gooro|ɡooro
gorí|ɡorí
gosani|ɡosani
goṣeni|ɡoʃeni
go’owó|ɡo’owó
gun|ɡũ
guni|ɡũi
gur|ɡur
gàba|ɡàba
gàdàgbà|ɡàdàɡ͡bà
gàn|ɡàn
gàní|ɡàní
gàràgà|ɡàràɡà
gààrí|ɡààrí
gàárì|ɡàárì
gáfárà|ɡáfárà
gán|ɡán
gángan|ɡánɡan
gègé|ɡèɡé
gèlè|ɡèlè
gé|ɡé
gégùn|ɡéɡùn
géètì|ɡéètì
gìgísẹ̀|ɡìɡísɛ̀
gìrì|ɡìrì
gììrì|ɡììrì
gíga|ɡíɡa
gígàn|ɡíɡàn
gígé|ɡíɡé
gígùn|ɡíɡùn
gírí|ɡírí
gírígírí|ɡíríɡírí
gòkè|ɡòkè
gómìnà|ɡómìnà
góńgó|ɡóńɡó
gùn|ɡùn
gùnlé|ɡùnlé
gúgúrú|ɡúɡúrú
gún|ɡún
gúnlẹ̀|ɡúnlɛ̀
gúnugún|ɡúnuɡún
gúnwà|ɡúnwà
gúsù|ɡúsù
gúúsù|ɡúúsù
gẹdú|ɡɛdú
gẹ̀|ɡɛ̀
gẹ̀lẹ̀dẹ́|ɡɛ̀lɛ̀dɛ́
gẹ̀rẹ̀|ɡɛ̀rɛ̀
gẹ̀rẹ́gẹ̀rẹ́|ɡɛ̀rɛ́ɡɛ̀rɛ́
gẹ̀ẹ́si|ɡɛ̀ɛ́si
gẹ̀ẹ́sì|ɡɛ̀ɛ́sì
gẹ́|ɡɛ́
gẹ́gẹ́|ɡɛ́ɡɛ́
gẹ́lẹ́|ɡɛ́lɛ́
gẹ́rẹ́|ɡɛ́rɛ́
gẹ́ẹ́|ɡɛ́ɛ́
gẹṣin|ɡɛʃĩ
gẹ’run|ɡɛ’rũ
gọgọwú|ɡɔɡɔwú
gọlgọta|ɡɔlɡɔta
gọ̀|ɡɔ̀
gọ̀m̀bọ̀|ɡɔ̀m̀bɔ̀
gọ̀ǹgọ̀|ɡɔ̀ǹɡɔ̀
gọ́tà|ɡɔ́tà
ha|ha
haapu|haak͡pu
habasiniah|habasĩiah
habori|habori
hadadeseri|hadadeseri
hadadi|hadadi
hadassa|hadassa
hagai|haɡai
hagari|haɡari
haggi|haɡɡi
haggidgadi|haɡɡidɡadi
haggiti|haɡɡiti
hahirotu|hahirotu
hajj|had͡ʒd͡ʒ
hakosi|hakosi
hala|hala
halloheṣi|halloheʃi
halẹ̀|halɛ̀
hamani|hamani
hamati|hamati
hameleki|hameleki
hamid|hamid
hammedata|hammedata
hammoni|hammoni
hamoni|hamoni
hamori|hamori
hamu|hamu
hamulu|hamulu
han|han
hanameli|hanameli
hananeli|hananeli
hanani|hanani
hananiah|hananiah
hanoku|hanoku
hanuni|hanũi
harani|harani
harari|harari
harefu|harefu
hareseti|hareseti
harhasi|harhasi
harhiah|harhiah
harodi|harodi
haroditi|haroditi
haroe|haroe
harori|harori
harṣa|harʃa
hasaeli|hasaeli
hasari|hasari
hasieli|hasieli
hasori|hasori
hataki|hataki
hatifa|hatifa
hatikonu|hatikonu
haurani|haurani
haṣabiah|haʃabiah
haṣbneiah|haʃbneiah
haṣemu|haʃemu
haṣi|haʃi
haṣmona|haʃmona
haṣubu|haʃubu
heberi|heberi
heberu|heberu
hebroni|hebroni
heferi|heferi
hegai|heɡai
helami|helami
helba|helba
heledi|heledi
helefi|helefi
helesi|helesi
helleni|helleni
heloni|heloni
hemani|hemani
hena|hena
henadadi|henadadi
herbert|herbert
hereki|hereki
heresi|heresi
herma|herma
hermesi|hermesi
hermoni|hermoni
herodia|herodia
herodioni|herodioni
herodu|herodu
hesekiah|hesekiah
hesioni|hesioni
hesitation|hesitation
hesroni|hesroni
heṣboni|heʃboni
hifi|hifi
hileli|hileli
hilkiah|hilkiah
himeneu|himeneu
hinnomu|hĩnomu
hira|hira
hiramu|hiramu
hirapoli|hirak͡poli
hiti|hiti
hnatoni|hnatoni
hoba|hoba
hobabu|hobabu
hodafiah|hodafiah
hodiah|hodiah
hodṣi|hodʃi
hofira|hofira
hogla|hoɡla
hohamu|hohamu
hohùn|hohùn
homamu|homamu
homeri|homeri
horebu|horebu
horeṣi|horeʃi
hori|hori
horma|horma
hormah|hormah
horonaimu|horonaimu
horoni|horoni
hosa|hosa
hosana|hosana
hose|hose
hosea|hosea
hoògùn|hoòɡùn
hoṣaiah|hoʃaiah
hu|hu
hufamu|hufamu
hukoki|hukoki
hulda|hulda
hun|hũ
huppimu|huk͡pk͡pimu
huramu|huramu
huri|huri
huṣai|huʃai
huṣati|huʃati
huṣimu|huʃimu
hà|hà
hàn|hàn
hàì|hàì
há|há
hámọ́ra|hámɔ́ra
hángógó|hánɡóɡó
háà|háà
hé|hé
híhu|híhu
híhun|híhũ
híhó|híhó
híhù|híhù
híhún|híhún
hínì|hínì
hísópù|hísók͡pù
hó|hó
hóró|hóró
hósítẹ̀lì|hósítɛ̀lì
hù|hù
hùrùhẹrẹ|hùrùhɛrɛ
hùwà|hùwà
hú|hú
hẹlẹ|hɛlɛ
i|i
ibi|ibi
ibiiṣẹ́|ibiiʃɛ́
