ሀ|hə
ራጫቸው|rat͡ʃʼat͡ʃəw
ራፍ|raf
ራፕ|rap
ሬ|re
ሬር|rer
ሬሲፌ|resife
ሬሳ|resa
ሬሳው|resaw
ሬስቶራንት|resɨtoranɨt
ሬስቶራንቶች|resɨtoranɨtot͡ʃ
ሬሽን|reʃɨn
ሬት|ret
ሬን|ren
ሬኖ|reno
ሬከር|rekər
ሬክተር|rekɨtər
ሬውተር|rewɨtər
ሬዚስ|rezis
ሬዝ|rez
ሬዲዮ|redijo
ሬዲዮኖቹ|redijonot͡ʃu
ሬዲዮው|redijow
ሬዴሬሽኑ|redereʃɨnu
ሬዴሬሽን|redereʃɨn
ሬዴዮና|redejona
ሬድ|red
ሬድዮ|redɨjo
ሬጂ|red͡ʒi
ር|r
ርላንዳ|rɨlanɨda
ርማን|rɨman
ርም|rɨm
ርምት|rɨmɨt
ርምጃ|rɨmɨd͡ʒa
ርሰው|rɨsəw
ርሱ|rɨsu
ርሳል|rɨsal
ርሳቸው|rɨsat͡ʃəw
ርስ|rɨs
ርሷ|rɨsʷa
ርቀ|rɨkʼə
ርቀት|rɨkʼət
ርቀዋል|rɨkʼəwal
ርቃል|rɨkʼal
ርቅ|rɨkʼ
ርቲ|rɨti
ርትእ|rɨtɨ
ርችት|rɨt͡ʃɨt
ርእሰ|rɨɨsə
ርእስ|rɨɨs
ርእሶች|rɨɨsot͡ʃ
ርእዮተ|rɨɨjotə
ርእዮት|rɨɨjot
ርኩሳን|rɨkusan
ርክቻ|rɨkɨt͡ʃa
ርክክቡ|rɨkɨkɨbu
ርክክብ|rɨkɨkɨb
ርዋል|rɨwal
ርዝመት|rɨzɨmət
ርያ|rɨja
ርደው|rɨdəw
ርዳታ|rɨdata
ርድ|rɨd
ርዶ|rɨdo
ርጂ|rɨd͡ʒi
ርገን|rɨɡən
ርጊስ|rɨɡis
ርጋ|rɨɡa
ርግ|rɨɡ
ርግጠ|rɨɡɨtʼə
ርግጥ|rɨɡɨtʼ
ርጥ|rɨtʼ
ርፋል|rɨfal
ርፍበት|rɨfɨbət
ሮ|ro
ሮሀ|rohə
ሮማ|roma
ሮማሪዮ|romarijo
ሮማኒያ|romanija
ሮማን|roman
ሮማውያን|romawɨjan
ሮሜ|rome
ሮም|rom
ሮበርት|robərɨt
ሮቡእ|robu
ሮቢ|robi
ሮቢት|robit
ሮቢን|robin
ሮቢንሰን|robinɨsən
ሮባ|roba
ሮቤርቶ|roberɨto
ሮት|rot
ሮቹ|rot͡ʃu
ሮቻችን|rot͡ʃat͡ʃɨn
ሮቼ|rot͡ʃe
ሮች|rot͡ʃ
ሮችና|rot͡ʃɨna
ሮቿን|rot͡ʃʷan
ሮኒ|roni
ሮናልድ|ronalɨd
ሮናልዶ|ronalɨdo
ሮኬት|roket
ሮኬቶች|roketot͡ʃ
ሮክ|rok
ሮክቪሉ|rokɨvilu
ሮዛ|roza
ሮዛሪዮ|rozarijo
ሮይተር|rojɨtər
ሮይተርስ|rojɨtərɨs
ሮድ|rod
ሮዶልፍ|rodolɨf
ሮዶልፎ|rodolɨfo
ሮጀር|rod͡ʒər
ሮጠው|rotʼəw
ሮጡ|rotʼu
ሮጥ|rotʼ
ሮጦ|rotʼo
ሯ|rʷa
ሯል|rʷal
ሯሯጡ|rʷarʷatʼu
ሯት|rʷat
ሯቸው|rʷat͡ʃəw
ሯቸውን|rʷat͡ʃəwɨn
ሯን|rʷan
ሯጭ|rʷat͡ʃʼ
ሰ|sə
ሰሀ|səhə
ሰለሞን|sələmon
ሰለሰ|sələsə
ሰለስቱ|sələsɨtu
ሰለባ|sələba
ሰለቸው|sələt͡ʃəw
ሰለጠነ|sələtʼənə
ሰለጠኑት|sələtʼənut
ሰለጥ|sələtʼ
ሰለጥኑ|sələtʼɨnu
ሰለጥን|sələtʼɨn
ሰለፈ|sələfə
ሰለፉ|sələfu
ሰለፍ|sələf
ሰሊጥ|səlitʼ
ሰላ|səla
ሰላሙ|səlamu
ሰላማዊ|səlamawi
ሰላም|səlam
ሰላምታ|səlamɨta
ሰላሳ|səlasa
ሰላይ|səlaj
ሰላዮ|səlajo
ሰላዮች|səlajot͡ʃ
ሰላጤው|səlatʼew
ሰልለው|səlɨləw
ሰልሉ|səlɨlu
ሰልል|səlɨl
ሰልቦ|səlɨbo
ሰልጣኞቹ|səlɨtʼaɲot͡ʃu
ሰልጣኞች|səlɨtʼaɲot͡ʃ
ሰልጥነን|səlɨtʼɨnən
ሰልጥነዋል|səlɨtʼɨnəwal
ሰልጥነው|səlɨtʼɨnəw
ሰልጥና|səlɨtʼɨna
ሰልፈኞቹ|səlɨfəɲot͡ʃu
ሰልፈኞች|səlɨfəɲot͡ʃ
ሰልፈው|səlɨfəw
ሰልፉ|səlɨfu
ሰልፋቸው|səlɨfat͡ʃəw
ሰልፍ|səlɨf
ሰልፎች|səlɨfot͡ʃ
ሰሎሜ|səlome
ሰመረ|səmərə
ሰሙ|səmu
ሰሙት|səmut
ሰሚ|səmi
ሰማ|səma
ሰማሁ|səmahu
ሰማሁት|səmahut
ሰማህ|səmah
ሰማሩ|səmaru
ሰማራ|səmara
ሰማቸው|səmat͡ʃəw
ሰማች|səmat͡ʃ
ሰማችሁ|səmat͡ʃɨhu
ሰማነው|səmanəw
ሰማኒያ|səmanija
ሰማን|səman
ሰማንያ|səmanɨja
ሰማኝ|səmaɲ
ሰማእታት|səmaɨtat
ሰማእት|səmaɨt
ሰማው|səmaw
ሰማያት|səmajat
ሰማያዊ|səmajawi
ሰማይ|səmaj
ሰሜናዊ|səmenawi
ሰሜን|səmen
ሰም|səm
ሰምተ|səmɨtə
ሰምተናል|səmɨtənal
ሰምተዋል|səmɨtəwal
ሰምታ|səmɨta
ሰምቶ|səmɨto
ሰምቷል|səmɨtʷal
ሰምቼ|səmɨt͡ʃe
ሰሞኑ|səmonu
ሰሞን|səmon
ሰረዘ|sərəzə
ሰረዙ|sərəzu
ሰረዝ|sərəz
ሰሩ|səru
ሰሩት|sərut
ሰሪ|səri
ሰሪዋ|səriwa
ሰራ|səra
ሰራሁ|sərahu
ሰራሽ|səraʃ
ሰራበት|sərabət
ሰራተ|səratə
ሰራተኛ|səratəɲa
ሰራተኛዋ|səratəɲawa
ሰራተኛው|səratəɲaw
ሰራተኞቹ|səratəɲot͡ʃu
ሰራተኞቻቸው|səratəɲot͡ʃat͡ʃəw
ሰራተኞች|səratəɲot͡ʃ
ሰራቸው|sərat͡ʃəw
ሰራኸው|səraxəw
ሰራዊቱ|sərawitu
ሰራዊታቸው|sərawitat͡ʃəw
ሰራዊታችን|sərawitat͡ʃɨn
ሰራዊት|sərawit
ሰራዊቶች|sərawitot͡ʃ
ሰራዊቷ|sərawitʷa
ሰራው|səraw
ሰራዡን|səraʒun
ሰራዧ|səraʒʷa
ሰራጨው|sərat͡ʃʼəw
ሰራጩ|sərat͡ʃʼu
ሰራጭ|sərat͡ʃʼ
ሰር|sər
ሰርቪስ|sərɨvis
ሰርተ|sərɨtə
ሰርተዋል|sərɨtəwal
ሰርተው|sərɨtəw
ሰርተፊኬት|sərɨtəfiket
ሰርታ|sərɨta
ሰርቶ|sərɨto
ሰርከስ|sərɨkəs
ሰርዘው|sərɨzəw
ሰርዝ|sərɨz
ሰርጉ|sərɨɡu
ሰርግ|sərɨɡ
ሰርጐ|sərɨɡʷe
ሰሯቸው|sərʷat͡ʃəw
ሰሰ|səsə
ሰቃ|səkʼa
ሰቃየው|səkʼajəw
ሰቃዩ|səkʼaju
ሰቃይ|səkʼaj
ሰቅ|səkʼ
ሰቅለው|səkʼɨləw
ሰቅላ|səkʼɨla
ሰቆቃ|səkʼokʼa
ሰበሰበ|səbəsəbə
ሰበሰበው|səbəsəbəw
ሰበሰቡ|səbəsəbu
ሰበስቡ|səbəsɨbu
ሰበብ|səbəb
ሰባ|səba
ሰባሰቡ|səbasəbu
ሰባሰብ|səbasəb
ሰባስበው|səbasɨbəw
ሰባስቡ|səbasɨbu
ሰባስብ|səbasɨb
ሰባበሩ|səbabəru
ሰባብረ|səbabɨrə
ሰባተኛ|səbatəɲa
ሰባተኛው|səbatəɲaw
ሰባቱ|səbatu
ሰባት|səbat
ሰባችን|səbat͡ʃɨn
ሰባዊ|səbawi
ሰባዎቹ|səbawot͡ʃu
ሰብ|səb
ሰብሮ|səbɨro
ሰብሳቢ|səbɨsabi
ሰብሳቢነት|səbɨsabinət
ሰብሳቢዎቹ|səbɨsabiwot͡ʃu
ሰብስቤ|səbɨsɨbe
ሰብስቦ|səbɨsɨbo
ሰብአዊ|səbɨəwi
ሰብእና|səbɨɨna
ሰብካ|səbɨka
ሰብክ|səbɨk
ሰቧ|səbʷa
ሰት|sət
ሰነ|sənə
ሰነዘረ|sənəzərə
ሰነዘሩ|sənəzəru
ሰነዘሩት|sənəzərut
ሰነዱ|sənədu
ሰነድ|sənəd
ሰነዶች|sənədot͡ʃ
ሰነፍ|sənəf
ሰናበተው|sənabətəw
ሰናበቱ|sənabətu
ሰናበት|sənabət
ሰናብት|sənabɨt
ሰናይ|sənaj
ሰናፍጬ|sənafɨt͡ʃʼe
ሰኔ|səne
ሰን|sən
ሰንሰለት|sənɨsələt
ሰንበት|sənɨbət
ሰንብ|sənɨb
ሰንአፌ|sənɨəfe
ሰንካላ|sənɨkala
ሰንዝ|sənɨz
ሰንዝረው|sənɨzɨrəw
ሰንዝሮ|sənɨzɨro
ሰንደቅ|sənɨdəkʼ
ሰንዳፋ|sənɨdafa
ሰኙ|səɲu
ሰኛል|səɲal
ሰኞ|səɲo
ሰኞች|səɲot͡ʃ
ሰአሊ|səəli
ሰአቱ|səətu
ሰአታት|səətat
ሰአት|səət
ሰኢድ|səid
ሰካ|səka
ሰወሩ|səwəru
ሰዉን|səwun
ሰዊዳ|səwida
ሰዋል|səwal
ሰው|səw
ሰውነቱ|səwɨnətu
ሰውነታቸው|səwɨnətat͡ʃəw
ሰውነታችን|səwɨnətat͡ʃɨn
ሰውነቴ|səwɨnəte
ሰውነት|səwɨnət
ሰውየው|səwɨjəw
ሰውዬው|səwɨjew
ሰዎቹ|səwot͡ʃu
ሰዎቻቸው|səwot͡ʃat͡ʃəw
ሰዎች|səwot͡ʃ
ሰየመ|səjəmə
ሰየመው|səjəməw
ሰየም|səjəm
ሰይሙ|səjɨmu
ሰይም|səjɨm
ሰይጣናዊ|səjɨtʼanawi
ሰደ|sədə
ሰደቡ|sədəbu
ሰደዋል|sədəwal
ሰደው|sədəw
ሰደደው|sədədəw
ሰደዱ|sədədu
ሰደድ|sədəd
ሰድበው|sədɨbəw
ሰድብ|sədɨb
ሰድደዋል|sədɨdəwal
ሰድደው|sədɨdəw
ሰገ|səɡə
ሰገራ|səɡəra
ሰገድ|səɡəd
ሰጉ|səɡu
ሰጋ|səɡa
ሰግ|səɡ
ሰግድ|səɡɨd
ሰጠ|sətʼə
ሰጠሁ|sətʼəhu
ሰጠች|sətʼət͡ʃ
ሰጠችው|sətʼət͡ʃɨw
ሰጠን|sətʼən
ሰጠው|sətʼəw
ሰጡ|sətʼu
ሰጡበት|sətʼubət
ሰጡት|sətʼut
ሰጡን|sətʼun
ሰጡኝ|sətʼuɲ
ሰጣቸው|sətʼat͡ʃəw
ሰጣችሁ|sətʼat͡ʃɨhu
ሰጥ|sətʼ
ሰጥተ|sətʼɨtə
ሰጥተዋል|sətʼɨtəwal
ሰጥተው|sətʼɨtəw
ሰጥታ|sətʼɨta
ሰጥቶ|sətʼɨto
ሰጧቸው|sətʼʷat͡ʃəw
ሰጪ|sət͡ʃʼi
ሰጭ|sət͡ʃʼ
ሰፈ|səfə
ሰፈረች|səfərət͡ʃ
ሰፈረው|səfərəw
ሰፈሩ|səfəru
ሰፈራቸው|səfərat͡ʃəw
ሰፈር|səfər
ሰፈሮች|səfərot͡ʃ
ሰፈነ|səfənə
ሰፉ|səfu
ሰፊ|səfi
ሰፊው|səfiw
ሰፋ|səfa
ሰፍሩ|səfɨru
ሰፍር|səfɨr
ሰፓዊ|səpawi
ሱ|su
ሱልጣን|sulɨtʼan
ሱማሊያ|sumalija
ሱማሌ|sumale
ሱሰንዮስ|susənɨjos
ሱስ|sus
ሱቃ|sukʼa
ሱቅ|sukʼ
ሱቆቹ|sukʼot͡ʃu
ሱቆች|sukʼot͡ʃ
ሱበትን|subətɨn
ሱባኤ|subae
ሱት|sut
ሱን|sun
ሱዋ|suwa
ሱዛን|suzan
ሱዱን|sudun
ሱዲ|sudi
ሱዳ|suda
ሱዳኑ|sudanu
ሱዳናዊ|sudanawi
ሱዳን|sudan
ሱዳኖች|sudanot͡ʃ
ሱፐር|supər
ሲ|si
ሲሆን|sihon
ሲሉ|silu
ሲል|sil
ሲልቬስተር|silɨvesɨtər
ሲመት|simət
ሲሚንቶ|siminɨto
ሲሞኔ|simone
ሲሪ|siri
ሲሰጡ|sisətʼu
ሲሰጥ|sisətʼ
ሲስተም|sisɨtəm
ሲሸ|siʃə
ሲቀር|sikʼər
ሲቪላ|sivila
ሲቪል|sivil
ሲቪሎች|sivilot͡ʃ
ሲቪክ|sivik
ሲቭ|siv
ሲታይ|sitaj
ሲነሳ|sinəsa
ሲኒማ|sinima
ሲናገሩ|sinaɡəru
ሲንጋፖር|sinɨɡapor
ሲኖ|sino
ሲኖር|sinor
ሲኖዶሱ|sinodosu
ሲኖዶስ|sinodos
ሲኦል|siol
ሲወራ|siwəra
ሲዝ|siz
ሲዝኑ|sizɨnu
ሲያ|sija
ሲያስ|sijas
ሲያወድ|sijawəd
ሲያዝ|sijaz
ሲያዩ|sijaju
ሲያደርጉ|sijadərɨɡu
ሲያደርግ|sijadərɨɡ
ሲያጣ|sijatʼa
ሲዮ|sijo
ሲደርስ|sidərɨs
ሲዲ|sidi
ሲዲኒ|sidini
ሲዳማ|sidama
ሲዳሞ|sidamo
ሲድኒ|sidɨni
ሲገልጹ|siɡəlɨt͡sʼu
ሲገባ|siɡəba
ሲጠቀሙ|sitʼəkʼəmu
ሲጠበቅ|sitʼəbəkʼ
ሲጠይቁ|sitʼəjɨkʼu
ሲፈ|sifə
ሲፈጽሙ|sifət͡sʼɨmu
ሲፎክሩ|sifokɨru
ሲፒጄ|sipid͡ʒe
ሳ|sa
ሳህል|sahɨl
ሳህኑ|sahɨnu
ሳሆ|saho
ሳለህ|saləh
ሳለቁ|saləkʼu
ሳለች|salət͡ʃ
ሳለን|salən
ሳሉ|salu
ሳሊም|salim
ሳላ|sala
ሳላማንካ|salamanɨka
ሳላስ|salas
ሳላችሁ|salat͡ʃɨhu
ሳል|sal
ሳልፍ|salɨf
ሳሎ|salo
ሳመ|samə
ሳሙና|samuna
ሳሙኤል|samuel
ሳሚ|sami
ሳምራውያን|samɨrawɨjan
ሳምሰንግ|samɨsənɨɡ
ሳምሶን|samɨson
ሳምባ|samɨba
ሳምንቱ|samɨnɨtu
ሳምንታት|samɨnɨtat
ሳምንት|samɨnɨt
ሳምፓ|samɨpa
ሳምፕዶሪያ|samɨpɨdorija
ሳሞራ|samora
ሳሪ|sari
ሳሬኒታ|sarenita
ሳር|sar
ሳሰቡ|sasəbu
ሳሰባቸው|sasəbat͡ʃəw
ሳሳት|sasat
ሳስበው|sasɨbəw
ሳስብ|sasɨb
ሳቁ|sakʼu
ሳቃ|sakʼa
ሳቄ|sakʼe
ሳቅ|sakʼ
ሳቋ|sakʼʷa
ሳበው|sabəw
ሳቢያ|sabija
ሳባ|saba
ሳተ|satə
ሳተላይት|satəlajɨt
ሳተው|satəw
ሳተፉ|satəfu
ሳተፍ|satəf
ሳታ|sata
ሳት|sat
ሳቸው|sat͡ʃəw
ሳቸውን|sat͡ʃəwɨn
ሳችን|sat͡ʃɨn
ሳነው|sanəw
ሳን|san
ሳንሎሬንዞ|sanɨlorenɨzo
ሳንሲሮ|sanɨsiro
ሳንባ|sanɨba
ሳንቲም|sanɨtim
ሳንቲያጐ|sanɨtijaɡʷe
ሳንቶስ|sanɨtos
ሳንጃ|sanɨd͡ʒa
ሳንጆ|sanɨd͡ʒo
ሳኡዲ|saudi
ሳኦ|sao
ሳኦፖሎ|saopolo
ሳኩለት|sakulət
ሳኪ|saki
ሳክፎኒስቱ|sakɨfonisɨtu
ሳወቁ|sawəkʼu
ሳዊ|sawi
ሳውቁ|sawɨkʼu
ሳውንድ|sawɨnɨd
ሳውዛምፕተ|sawɨzamɨpɨtə
ሳውዝ|sawɨz
ሳውዲ|sawɨdi
ሳዝነው|sazɨnəw
ሳዝን|sazɨn
ሳያ|saja
ሳያስ|sajas
ሳያስቡ|sajasɨbu
ሳያዩ|sajaju
ሳያደርጉ|sajadərɨɡu
ሳያደርግ|sajadərɨɡ
ሳይ|saj
ሳይሆን|sajɨhon
ሳይነግሩ|sajɨnəɡɨru
ሳይንሳዊ|sajɨnɨsawi
ሳይንስ|sajɨnɨs
ሳይንቲስቱ|sajɨnɨtisɨtu
ሳይንቲስቶ|sajɨnɨtisɨto
ሳይንቲስቶች|sajɨnɨtisɨtot͡ʃ
ሳይኖር|sajɨnor
ሳይኮሎጂ|sajɨkolod͡ʒi
ሳይደረግ|sajɨdərəɡ
ሳደረ|sadərə
ሳደብ|sadəb
ሳደዳቸው|sadədat͡ʃəw
ሳደድ|sadəd
ሳደጉ|sadəɡu
ሳዲቅ|sadikʼ
ሳዳም|sadam
ሳድሩ|sadɨru
ሳዶ|sado
ሳግ|saɡ
ሳጥን|satʼɨn
ሴ|se
ሴል|sel
ሴሎ|selo
ሴሚናሩ|seminaru
ሴሚናር|seminar
ሴሚናሮች|seminarot͡ʃ
ሴሜ|seme
ሴም|sem
ሴምስተሩን|semɨsɨtərun
ሴረ|serə
ሴረኛ|serəɲa
ሴሪ|seri
ሴሪአ|seriə
ሴራ|sera
ሴራሊዮን|seralijon
ሴር|ser
ሴርቦንቺኒ|serɨbonɨt͡ʃini
ሴሴኮ|seseko
ሴተኛ|setəɲa
ሴቲቱ|setitu
ሴት|set
ሴትየዋ|setɨjəwa
ሴትዮ|setɨjo
ሴትዮዋ|setɨjowa
ሴቶቹ|setot͡ʃu
ሴቶች|setot͡ʃ
ሴቶችን|setot͡ʃɨn
ሴቷ|setʷa
ሴኔት|senet
ሴን|sen
ሴንቲ|senɨti
ሴንት|senɨt
ሴኤስኬ|seesɨke
ሴኩሪቲ|sekuriti
ሴካፋ|sekafa
ሴኮ|seko
ሴኮንድ|sekonɨd
ሴዛር|sezar
ሴፕ|sep
ስ|s
ስህተተ|sɨhɨtətə
ስህተቱ|sɨhɨtətu
ስህተታቸው|sɨhɨtətat͡ʃəw
ስህተታችን|sɨhɨtətat͡ʃɨn
ስህተት|sɨhɨtət
ስህተቶች|sɨhɨtətot͡ʃ
ስለ|sɨlə
ስለሆነ|sɨləhonə
ስለሆኑ|sɨləhonu
ስለላ|sɨləla
ስለሌ|sɨləle
ስለመሆኑ|sɨləməhonu
ስለመሆኗ|sɨləməhonwa
ስለሚ|sɨləmi
ስለሚችል|sɨləmit͡ʃɨl
ስለሚያ|sɨləmija
ስለማ|sɨləma
ስለማን|sɨləman
ስለማያ|sɨləmaja
ስለማያውቁ|sɨləmajawɨkʼu
ስለማይ|sɨləmaj
ስለም|sɨləm
ስለምን|sɨləmɨn
ስለተነኮስን|sɨlətənəkosɨn
ስለተኰተኰተ|sɨlətəkʷetəkʷetə
ስለው|sɨləw
ስለዚህ|sɨləzih
ስላ|sɨla
ስላለ|sɨlalə
ስላለች|sɨlalət͡ʃ
ስላለፈ|sɨlaləfə
ስላሉ|sɨlalu
ስላል|sɨlal
ስላልተሳካ|sɨlalɨtəsaka
ስላመ|sɨlamə
ስላመነ|sɨlamənə
ስላመጣ|sɨlamətʼa
ስላሴ|sɨlase
ስላስ|sɨlas
ስላስከተለ|sɨlasɨkətələ
ስላበቃ|sɨlabəkʼa
ስላዘጋጇት|sɨlazəɡad͡ʒʷat
ስላደ|sɨladə
ስላደረ|sɨladərə
ስላደረሰ|sɨladərəsə
ስላደረገ|sɨladərəɡə
ስላገኙ|sɨlaɡəɲu
ስላጣ|sɨlatʼa
ስሌት|sɨlet
ስል|sɨl
ስልሳ|sɨlɨsa
ስልት|sɨlɨt
ስልቶቹ|sɨlɨtot͡ʃu
ስልቶች|sɨlɨtot͡ʃ
ስልኩ|sɨlɨku
ስልክ|sɨlɨk
ስልኮች|sɨlɨkot͡ʃ
ስልጠና|sɨlɨtʼəna
ስልጡን|sɨlɨtʼun
ስልጣኑ|sɨlɨtʼanu
ስልጣናቱ|sɨlɨtʼanatu
ስልጣናቸው|sɨlɨtʼanat͡ʃəw
ስልጣኔ|sɨlɨtʼane
ስልጣን|sɨlɨtʼan
ስመዘግበው|sɨməzəɡɨbəw
ስሙ|sɨmu
ስማ|sɨma
ስማሙ|sɨmamu
ስማማ|sɨmama
ስማቸው|sɨmat͡ʃəw
ስማችን|sɨmat͡ʃɨn
ስሜ|sɨme
ስሜታቸው|sɨmetat͡ʃəw
ስሜታዊ|sɨmetawi
ስሜት|sɨmet
ስሜን|sɨmen
ስምምነቱ|sɨmɨmɨnətu
ስምምነት|sɨmɨmɨnət
ስምምነቶቹ|sɨmɨmɨnətot͡ʃu
ስምምነቶች|sɨmɨmɨnətot͡ʃ
ስምሪቱ|sɨmɨritu
ስምሪት|sɨmɨrit
ስምንተኛ|sɨmɨnɨtəɲa
ስምንተኛው|sɨmɨnɨtəɲaw
ስምንቱ|sɨmɨnɨtu
ስምንት|sɨmɨnɨt
ስምኦን|sɨmɨon
ስሞ|sɨmo
ስሞታ|sɨmota
ስሞች|sɨmot͡ʃ
ስሟ|sɨmʷa
ስረ|sɨrə
ስረዛ|sɨrəza
ስሩ|sɨru
ስሪ|sɨri
ስራ|sɨra
ስራቸው|sɨrat͡ʃəw
ስራችን|sɨrat͡ʃɨn
ስራኤላዊያን|sɨraelawijan
ስራዋ|sɨrawa
ስራው|sɨraw
ስራዎች|sɨrawot͡ʃ
ስራዬ|sɨraje
ስር|sɨr
ስርቆት|sɨrɨkʼot
ስርአተ|sɨrɨətə
ስርአቱ|sɨrɨətu
ስርአታቸው|sɨrɨətat͡ʃəw
ስርአታችን|sɨrɨətat͡ʃɨn
ስርአት|sɨrɨət
ስርአቶች|sɨrɨətot͡ʃ
ስርወ|sɨrɨwə
ስርጭ|sɨrɨt͡ʃʼ
ስርጭት|sɨrɨt͡ʃʼɨt
ስቃ|sɨkʼa
ስቃዬ|sɨkʼaje
ስቃይ|sɨkʼaj
ስቅ|sɨkʼ
ስቅለት|sɨkʼɨlət
ስቅላት|sɨkʼɨlat
ስበዋል|sɨbəwal
ስበው|sɨbəw
ስቡት|sɨbut
ስባተኛ|sɨbatəɲa
ስብ|sɨb
ስብሀት|sɨbɨhət
ስብሰ|sɨbɨsə
ስብሰባ|sɨbɨsəba
ስብሰባው|sɨbɨsəbaw
ስብሰባዎች|sɨbɨsəbawot͡ʃ
ስብስቡ|sɨbɨsɨbu
ስብስባ|sɨbɨsɨba
ስብስብ|sɨbɨsɨb
ስብእና|sɨbɨɨna
ስብጥር|sɨbɨtʼɨr
ስቧል|sɨbʷal
ስተ|sɨtə
ስተር|sɨtər
ስተቱ|sɨtətu
ስተት|sɨtət
ስተናገደ|sɨtənaɡədə
ስተናገዱ|sɨtənaɡədu
ስተናገድ|sɨtənaɡəd
ስተናግዱ|sɨtənaɡɨdu
ስተን|sɨtən
ስተካከሉ|sɨtəkakəlu
ስተካከል|sɨtəkakəl
ስተዋሉ|sɨtəwalu
ስተዋል|sɨtəwal
ስተዋውቅ|sɨtəwawɨkʼ
ስተው|sɨtəw
ስተውል|sɨtəwɨl
ስተዳድረው|sɨtədadɨrəw
ስተጋቡ|sɨtəɡabu
ስቱ|sɨtu
ስቱትጋርት|sɨtutɨɡarɨt
ስቱዲዮ|sɨtudijo
ስቲ|sɨti
ስቲክ|sɨtik
ስታ|sɨta
ስታር|sɨtar
ስታት|sɨtat
ስታንስ|sɨtanɨs
ስታውስ|sɨtawɨs
ስታዲ|sɨtadi
ስታዲየሙ|sɨtadijəmu
ስታዲየም|sɨtadijəm
ስታዲዮም|sɨtadijom
ስታድየም|sɨtadɨjəm
ስቴ|sɨte
ስቴት|sɨtet
ስቴትስ|sɨtetɨs
ስቴዲዮም|sɨtedijom
ስቴፋን|sɨtefan
ስት|sɨt
ስትል|sɨtɨl
ስትራ|sɨtɨra
ስትራቴጂ|sɨtɨrated͡ʒi
ስትራቴጂካዊ|sɨtɨrated͡ʒikawi
ስትራቴጂክ|sɨtɨrated͡ʒik
ስቶ|sɨto
ስቶች|sɨtot͡ʃ
ስቶክሆልም|sɨtokɨholɨm
ስነ|sɨnə
ስነልቦና|sɨnəlɨbona
ስነሳ|sɨnəsa
ስነስርአ|sɨnəsɨrɨə
ስኒከር|sɨnikər
ስናስ|sɨnas
ስናነሳ|sɨnanəsa
ስን|sɨn
ስንሻው|sɨnɨʃaw
ስንቅ|sɨnɨkʼ
ስንብት|sɨnɨbɨt
ስንቱ|sɨnɨtu
ስንት|sɨnɨt
ስንቶቹ|sɨnɨtot͡ʃu
ስንኩላን|sɨnɨkulan
ስንዘራዋ|sɨnɨzərawa
ስንዟዟር|sɨnɨzʷazʷar
ስንዴ|sɨnɨde
ስንዴውን|sɨnɨdewɨn
ስንጥሩን|sɨnɨtʼɨrun
ስእሉ|sɨɨlu
ስእል|sɨɨl
ስከትሉ|sɨkətɨlu
ስኩ|sɨku
ስኩዴታውን|sɨkudetawɨn
ስኩዴቶ|sɨkudeto
ስኩዴቶው|sɨkudetow
ስካንዴኔቪያን|sɨkanɨdenevijan
ስኬቶች|sɨketot͡ʃ
ስክሪ|sɨkɨri
ስክርነታቸውን|sɨkɨrɨnətat͡ʃəwɨn
ስኮ|sɨko
ስኮላሪ|sɨkolari
ስኮላርሽፕ|sɨkolarɨʃɨp
ስኮት|sɨkot
ስኮትላንድ|sɨkotɨlanɨd
ስኮትላንዶች|sɨkotɨlanɨdot͡ʃ
ስኮቺቭ|sɨkot͡ʃiv
ስኳ|sɨkʷa
ስኳር|sɨkʷar
ስዊዘርላንድ|sɨwizərɨlanɨd
ስዊዝ|sɨwiz
ስዊድናዊ|sɨwidɨnawi
ስዊድን|sɨwidɨn
ስዊፐ|sɨwipə
ስዋሂሊ|sɨwahili
ስውር|sɨwɨr
ስዩም|sɨjum
ስያሜ|sɨjame
ስያሜው|sɨjamew
ስዬ|sɨje
ስደተኛ|sɨdətəɲa
ስደተኛው|sɨdətəɲaw
ስደተኝ|sɨdətəɲ
ስደተኝነት|sɨdətəɲɨnət
ስደተኞቹ|sɨdətəɲot͡ʃu
ስደተኞች|sɨdətəɲot͡ʃ
ስደቱ|sɨdətu
ስደት|sɨdət
ስድስተኛ|sɨdɨsɨtəɲa
ስድስተኛው|sɨdɨsɨtəɲaw
ስድስቱ|sɨdɨsɨtu
ስድስት|sɨdɨsɨt
ስድቡ|sɨdɨbu
ስድብ|sɨdɨb
ስገባ|sɨɡəba
ስገቧቸው|sɨɡəbʷat͡ʃəw
ስጋ|sɨɡa
ስጋቱ|sɨɡatu
ስጋታቸው|sɨɡatat͡ʃəw
ስጋት|sɨɡat
ስጋዊ|sɨɡawi
ስጋው|sɨɡaw
ስግብግብ|sɨɡɨbɨɡɨb
ስግደት|sɨɡɨdət
ስጠነቅቀን|sɨtʼənəkʼɨkʼən
ስጠነቅቁ|sɨtʼənəkʼɨkʼu
ስጠነቅቅ|sɨtʼənəkʼɨkʼ
ስጠን|sɨtʼən
ስጠኝ|sɨtʼəɲ
ስጠው|sɨtʼəw
ስጡ|sɨtʼu
ስጣቸው|sɨtʼat͡ʃəw
ስጥ|sɨtʼ
ስጦታ|sɨtʼota
ስፋት|sɨfat
ስፋቷ|sɨfatʷa
ስፋፉ|sɨfafu
