'ики'|'ikʰi'
бөхчүүд|poxt͡ʃʰuːt
бөөмдаж|poːmtat͡ʃ
бөөмдүү|poːmtuː
бөөн|poːn
бөөнөөр|poːnoːr
бөөргхий|poːrɡxiː
вавилона|wawiɮɔna
вангийн|wanɡiːn
ванлий|wanɮiː
вант|wantʰ
варшаваас|warʃawaːs
варшавт|warʃawtʰ
вашингтон|waʃinɡtʰɔn
вашингтонд|waʃinɡtʰɔnt
веб|wJip
вейсел|wJijsJiɮ
венад|wJinat
визээс|wit͡sɛːs
вискиний|wiskʰiniː
витекийн|witʰJikʰiːn
владимир|wɮatimir
ворошилов|wɔrɔʃiɮɔw
вэ|wɛ
вүд|wut
вүлтажио|wuɮtʰat͡ʃiɔ
г|ɡ
гаалийн|ɡaːɮiːn
габриль|ɡapriɮʲ
гаваа|ɡawaː
гавлын|ɡawɮiːn
гавсүм|ɡawsum
гагаар|ɡaɡaːr
гагнуурын|ɡaɡnʊːriːn
гагц|ɡaɡt͡sʰ
гагцхүү|ɡaɡt͡sʰxuː
гадаа|ɡataː
гадаад|ɡataːt
гадаадад|ɡataːtat
гадаадын|ɡataːtiːn
гадагш|ɡataɡʃ
гадагшаа|ɡataɡʃaː
гадаргуутай|ɡatarɡʊːtʰaj
гадарлаж|ɡatarɮat͡ʃ
гадарлахтайгаа|ɡatarɮaxtʰajɡaː
гаднаа|ɡatnaː
гаднаас|ɡatnaːs
гаднын|ɡatniːn
гадуур|ɡatʊːr
гаж|ɡat͡ʃ
газар|ɡat͡sar
газаргүй|ɡat͡sarɡuj
газарт|ɡat͡sartʰ
газарчид|ɡat͡sart͡ʃʰit
газарчилдаг|ɡat͡sart͡ʃʰiɮtaɡ
газраа|ɡat͡sraː
газраас|ɡat͡sraːs
газрын|ɡat͡sriːn
газрынхан|ɡat͡sriːnxan
гай|ɡaj
гайгүй|ɡajɡuj
гайхаад|ɡajxaːt
гайхав|ɡajxaw
гайхаж|ɡajxat͡ʃ
гайхам|ɡajxam
гайхан|ɡajxan
гайхаш|ɡajxaʃ
гайхлаар|ɡajxɮaːr
гайхна|ɡajxna
гайхсан|ɡajxsan
гайхуулах|ɡajxʊːɮax
галаа|ɡaɮaː
галаар|ɡaɮaːr
галдан|ɡaɮtan
галдангийн|ɡaɮtanɡiːn
галигласан|ɡaɮiɡɮasan
галиран|ɡaɮiran
галлаж|ɡaɮɮat͡ʃ
галтай|ɡaɮtʰaj
галууд|ɡaɮʊːt
галын|ɡaɮiːn
гамильтон|ɡamiɮʲtʰɔn
гамингууд|ɡaminɡʊːt
ганболд|ɡanpɔɮt
ганганаж|ɡanɡanat͡ʃ
ганцаараа|ɡant͡sʰaːraː
ганцааранд|ɡant͡sʰaːrant
ганцаардлыг|ɡant͡sʰaːrtɮiːɡ
ганцаархнаа|ɡant͡sʰaːrxnaː
ганцхан|ɡant͡sʰxan
гараа|ɡaraː
гараагүй|ɡaraːɡuj
гараад|ɡaraːt
гараас|ɡaraːs
гараасаа|ɡaraːsaː
гарав|ɡaraw
гараг|ɡaraɡ
гаралтай|ɡaraɮtʰaj
гаран|ɡaran
гарахад|ɡaraxat
гарахдаа|ɡaraxtaː
гарбинэ|ɡarpinɛ
гарвал|ɡarwaɮ
гарга|ɡarɡa
гаргаач|ɡarɡaːt͡ʃʰ
гаргадаг|ɡarɡataɡ
гаргаж|ɡarɡat͡ʃ
гаргажээ|ɡarɡat͡ʃɛː
гаргалгүй|ɡarɡaɮɡuj
гаргалтын|ɡarɡaɮtʰiːn
гарган|ɡarɡan
гаргана|ɡarɡana
гаргасан|ɡarɡasan
гаргасанд|ɡarɡasant
гаргах|ɡarɡax
гаргахаар|ɡarɡaxaːr
гаргахад|ɡarɡaxat
гаргахгүй|ɡarɡaxɡuj
гаргийн|ɡarɡiːn
гаргуу|ɡarɡʊː
гардаг|ɡartaɡ
гарз|ɡart͡s
гаригаас|ɡariɡaːs
гаригийн|ɡariɡiːn
гарлаа|ɡarɮaː
гарлыг|ɡarɮiːɡ
гарлын|ɡarɮiːn
гарна|ɡarna
гарсан|ɡarsan
гарснаас|ɡarsnaːs
гарсны|ɡarsniː
гарт|ɡartʰ
гартаа|ɡartʰaː
гаруй|ɡarʊi
гарц|ɡart͡sʰ
гарцаагүй|ɡart͡sʰaːɡuj
гарч|ɡart͡ʃʰ
гарчихлаа|ɡart͡ʃʰixɮaː
гарчээ|ɡart͡ʃʰɛː
гарыг|ɡariːɡ
гарын|ɡariːn
гатлан|ɡatʰɮan
гацаж|ɡat͡sʰat͡ʃ
гацчих|ɡat͡sʰt͡ʃʰix
гацчихаад|ɡat͡sʰt͡ʃʰixaːt
гашуудан|ɡaʃʊːtan
гашууджээ|ɡaʃʊːtt͡ʃɛː
гегәг|ɡJiɡәɡ
гегән|ɡJiɡәn
геедрҗ|ɡJiJitrҗ
геедрәд|ɡJiJitrәt
геесндән|ɡJiJisntәn
геехлә|ɡJiJixɮә
гейүрҗ|ɡJijurҗ
гекҗәнә|ɡJikʰҗәnә
гекҗәсинь|ɡJikʰҗәsinʲ
гелң|ɡJiɮң
гелңгин|ɡJiɮңɡin
гелңгүд|ɡJiɮңɡut
гелңгүдиг|ɡJiɮңɡutiɡ
гелңгүдин|ɡJiɮңɡutin
гелңгүдт|ɡJiɮңɡuttʰ
гем|ɡJim
гемтә|ɡJimtʰә
гемшәв|ɡJimʃәw
гемшәтн|ɡJimʃәtʰn
гемшәцхәв|ɡJimʃәt͡sʰxәw
гемшәҗәнәт|ɡJimʃәҗәnәtʰ
гемшәһәд|ɡJimʃәһәt
гемән|ɡJimәn
гемәсн|ɡJimәsn
генерал|ɡJinJiraɮ
генесәрет|ɡJinJisәrJitʰ
генетикийн|ɡJinJitʰikʰiːn
генри|ɡJinri
генткн|ɡJintʰkʰn
гер|ɡJir
гергн|ɡJirɡn
гергнднь|ɡJirɡntnʲ
гергндән|ɡJirɡntәn
гергнлә|ɡJirɡnɮә
гергнч|ɡJirɡnt͡ʃʰ
гергнь|ɡJirɡnʲ
гергнә|ɡJirɡnә
гергнәсн|ɡJirɡnәsn
гергтәһән|ɡJirɡtʰәһәn
гергән|ɡJirɡәn
гериг|ɡJiriɡ
герин|ɡJirin
гериннь|ɡJirinnʲ
геркулес|ɡJirkʰʊɮJis
герл|ɡJirɮ
герлд|ɡJirɮt
герлиг|ɡJirɮiɡ
герлин|ɡJirɮin
герлтв|ɡJirɮtʰw
герлтсн|ɡJirɮtʰsn
герлттхә|ɡJirɮtʰtʰxә
герлән|ɡJirɮәn
герләр|ɡJirɮәr
германаар|ɡJirmanaːr
германчууд|ɡJirmant͡ʃʰʊːt
германы|ɡJirmaniː
герт|ɡJirtʰ
гертән|ɡJirtʰәn
гертәсн|ɡJirtʰәsn
гертәснь|ɡJirtʰәsnʲ
герч|ɡJirt͡ʃʰ
герчлхәр|ɡJirt͡ʃʰɮxәr
герчлцхәв|ɡJirt͡ʃʰɮt͡sʰxәw
герчлҗ|ɡJirt͡ʃʰɮҗ
герчлҗәнә|ɡJirt͡ʃʰɮҗәnә
герүрн|ɡJirurn
герүрнь|ɡJirurnʲ
герән|ɡJirәn
герәс|ɡJirәs
герәсәр|ɡJirәsәr
геснд|ɡJisnt
гесндән|ɡJisntәn
геснь|ɡJisnʲ
гестапогийнхан|ɡJistʰapʰɔɡiːnxan
гесән|ɡJisәn
гетлгв|ɡJitʰɮɡw
гетлгит|ɡJitʰɮɡitʰ
гетлгх|ɡJitʰɮɡx
гетлгхлә|ɡJitʰɮɡxɮә
гетлгҗ|ɡJitʰɮɡҗ
гетсемән|ɡJitʰsJimәn
гетсемәнд|ɡJitʰsJimәnt
гешүн|ɡJiʃun
гибрид|ɡiprit
гив|ɡiw
гидг|ɡitɡ
гидгинь|ɡitɡinʲ
гидгәр|ɡitɡәr
гидролизын|ɡitrɔɮit͡siːn
гиигрх|ɡiiɡrx
гиигрүлхәр|ɡiiɡruɮxәr
гиичин|ɡiit͡ʃʰin
гиичлүрин|ɡiit͡ʃʰɮurin
гиичлүрт|ɡiit͡ʃʰɮurtʰ
гий|ɡiː
гийчид|ɡiːt͡ʃʰit
гийчин|ɡiːt͡ʃʰin
гилвкв|ɡiɮwkʰw
гилвкдг|ɡiɮwkʰtɡ
гилвксн|ɡiɮwkʰsn
гилвкҗ|ɡiɮwkʰҗ
гилч|ɡiɮt͡ʃʰ
гилә|ɡiɮә
гиләв|ɡiɮәw
гимнази|ɡimnat͡si
гинжин|ɡint͡ʃin
гинжит|ɡint͡ʃitʰ
гисн|ɡisn
гиснь|ɡisnʲ
гитн|ɡitʰn
гих|ɡix
гихлә|ɡixɮә
гихәр|ɡixәr
гишгэн|ɡiʃɡɛn
гишгэх|ɡiʃɡɛx
гишгүүлж|ɡiʃɡuːɮt͡ʃ
гишгүүр|ɡiʃɡuːr
гишүүддээ|ɡiʃuːttɛː
гишүүн|ɡiʃuːn
гишүүнийг|ɡiʃuːniːɡ
гишүүнээр|ɡiʃuːnɛːr
гиҗ|ɡiҗ
гиҗәләв|ɡiҗәɮәw
гиҗәнә|ɡiҗәnә
гиһәд|ɡiһәt
говийн|ɡɔwiːn
говьд|ɡɔwʲt
гогцоо|ɡɔɡt͡sʰɔː
годгононо|ɡɔtɡɔnɔnɔ
гозгонуулаад|ɡɔt͡sɡɔnʊːɮaːt
гозойлгон|ɡɔt͡sɔjɮɡɔn
гойд|ɡɔjt
голгофа|ɡɔɮɡɔfa
голд|ɡɔɮt
голдуу|ɡɔɮtʊː
голио|ɡɔɮiɔ
голлон|ɡɔɮɮɔn
голлоход|ɡɔɮɮɔxɔt
голох|ɡɔɮɔx
голтой|ɡɔɮtʰɔj
голыг|ɡɔɮiːɡ
голын|ɡɔɮiːn
гомбо|ɡɔmpɔ
гомбоор|ɡɔmpɔːr
гомбын|ɡɔmpiːn
гомдмоор|ɡɔmtmɔːr
гомдож|ɡɔmtɔt͡ʃ
гомдол|ɡɔmtɔɮ
гомдолгүй|ɡɔmtɔɮɡuj
гомдоож|ɡɔmtɔːt͡ʃ
гомдоохгүй|ɡɔmtɔːxɡuj
гомдох|ɡɔmtɔx
гомдсон|ɡɔmtsɔn
гонгиноод|ɡɔnɡinɔːt
гонгор|ɡɔnɡɔr
гондорчууд|ɡɔntɔrt͡ʃʰʊːt
гонжийн|ɡɔnt͡ʃiːn
гонир|ɡɔnir
гонсгор|ɡɔnsɡɔr
гонсойвч|ɡɔnsɔjwt͡ʃʰ
гонсойлгосон|ɡɔnsɔjɮɡɔsɔn
гонсойлгох|ɡɔnsɔjɮɡɔx
гоонь|ɡɔːnʲ
горлосын|ɡɔrɮɔsiːn
горхи|ɡɔrxi
горьгүй|ɡɔrʲɡuj
горьдлого|ɡɔrʲtɮɔɡɔ
гоц|ɡɔt͡sʰ
гоё|ɡɔj
гоёж|ɡɔjt͡ʃ
гоёл|ɡɔjɮ
гоёмсгоо|ɡɔjmsɡɔː
гоёмсог|ɡɔjmsɔɡ
гоёсон|ɡɔjsɔn
гоёх|ɡɔjx
градус|ɡratʊs
грамм|ɡramm
гранат|ɡranatʰ
грегори|ɡrJiɡɔri
гривсыг|ɡriwsiːɡ
грифитс|ɡrifitʰs
гуай|ɡʊaj
гуайг|ɡʊajɡ
гуайн|ɡʊajn
гуайнд|ɡʊajnt
гуайнхаар|ɡʊajnxaːr
гуанз|ɡʊant͡s
гуанзанд|ɡʊant͡sant
гудамжаар|ɡʊtamt͡ʃaːr
гудамжинд|ɡʊtamt͡ʃint
гудамжны|ɡʊtamt͡ʃniː
гудас|ɡʊtas
гуй|ɡʊi
гуйв|ɡʊiw
гуйгаа|ɡʊiɡaː
гуйдаг|ɡʊitaɡ
гуйж|ɡʊit͡ʃ
гуйлаху|ɡʊiɮaxʊ
гуйлгасангүй|ɡʊiɮɡasanɡuj
гуйна|ɡʊina
гуйсан|ɡʊisan
гуйсныг|ɡʊisniːɡ
гуйхгүй|ɡʊixɡuj
гуйхдаа|ɡʊixtaː
гулгаж|ɡʊɮɡat͡ʃ
гулган|ɡʊɮɡan
гунигийг|ɡʊniɡiːɡ
гуниглаж|ɡʊniɡɮat͡ʃ
гунигтай|ɡʊniɡtʰaj
гунхсан|ɡʊnxsan
гуньж|ɡʊnʲt͡ʃ
гураван|ɡʊrawan
гуравдагч|ɡʊrawtaɡt͡ʃʰ
гуравдугаар|ɡʊrawtʊɡaːr
гуравны|ɡʊrawniː
гуравхан|ɡʊrawxan
гурваар|ɡʊrwaːr
гурван|ɡʊrwan
гурвуулаа|ɡʊrwʊːɮaː
гурвын|ɡʊrwiːn
гутаав|ɡʊtʰaːw
гутаагүй|ɡʊtʰaːɡuj
гутарч|ɡʊtʰart͡ʃʰ
гутлаараа|ɡʊtʰɮaːraː
гутлын|ɡʊtʰɮiːn
гутралаар|ɡʊtʰraɮaːr
гутрах|ɡʊtʰrax
гучаад|ɡʊt͡ʃʰaːt
гучин|ɡʊt͡ʃʰin
гэв|ɡɛw
гэвч|ɡɛwt͡ʃʰ
гэвш|ɡɛwʃ
гэвэл|ɡɛwɛɮ
гэгддэг|ɡɛɡttɛɡ
гэгч|ɡɛɡt͡ʃʰ
гэгчээр|ɡɛɡt͡ʃʰɛːr
гэгэлзээд|ɡɛɡɛɮt͡sɛːt
гэгээ|ɡɛɡɛː
гэгээн|ɡɛɡɛːn
гэгээнтэн|ɡɛɡɛːntʰɛn
гэгээрэхийг|ɡɛɡɛːrɛxiːɡ
гэгээрэхийн|ɡɛɡɛːrɛxiːn
гэдгийг|ɡɛtɡiːɡ
гэдгээ|ɡɛtɡɛː
гэдгээрээ|ɡɛtɡɛːrɛː
гэдэг|ɡɛtɛɡ
гэдэгт|ɡɛtɛɡtʰ
гэж|ɡɛt͡ʃ
гэжээ|ɡɛt͡ʃɛː
гэзгээ|ɡɛt͡sɡɛː
гэзэгт|ɡɛt͡sɛɡtʰ
гэлтгүй|ɡɛɮtʰɡuj
гэлтэй|ɡɛɮtʰɛj
гэлцдэг|ɡɛɮt͡sʰtɛɡ
гэлцэв|ɡɛɮt͡sʰɛw
гэлцэнэ|ɡɛɮt͡sʰɛnɛ
гэлцэх|ɡɛɮt͡sʰɛx
гэлээ|ɡɛɮɛː
гэлүгвагийн|ɡɛɮuɡwaɡiːn
гэм|ɡɛm
гэмгүй|ɡɛmɡuj
гэмт|ɡɛmtʰ
гэмтлээс|ɡɛmtʰɮɛːs
гэмтэлгүй|ɡɛmtʰɛɮɡuj
гэмтэх|ɡɛmtʰɛx
гэмтээжээ|ɡɛmtʰɛːt͡ʃɛː
гэмээр|ɡɛmɛːr
гэндальф|ɡɛntaɮʲf
гэндэн|ɡɛntɛn
гэнэ|ɡɛnɛ
гэнэн|ɡɛnɛn
гэнэт|ɡɛnɛtʰ
гэрийг|ɡɛriːɡ
гэрийн|ɡɛriːn
гэрийнх|ɡɛriːnx
гэрийнхэн|ɡɛriːnxɛn
гэрлэж|ɡɛrɮɛt͡ʃ
гэрлэлт|ɡɛrɮɛɮtʰ
гэрлэсэн|ɡɛrɮɛsɛn
гэрлэх|ɡɛrɮɛx
гэрлээ|ɡɛrɮɛː
гэрлүүлэхийг|ɡɛrɮuːɮɛxiːɡ
гэрсэг|ɡɛrsɛɡ
гэрт|ɡɛrtʰ
гэртээ|ɡɛrtʰɛː
гэрч|ɡɛrt͡ʃʰ
гэрчийн|ɡɛrt͡ʃʰiːn
гэрчилгээний|ɡɛrt͡ʃʰiɮɡɛːniː
гэрэг|ɡɛrɛɡ
гэрэлд|ɡɛrɛɮt
гэрэлмаад|ɡɛrɛɮmaːt
гэрэлтэж|ɡɛrɛɮtʰɛt͡ʃ
гэрэлтэй|ɡɛrɛɮtʰɛj
гэрээ|ɡɛrɛː
гэрээг|ɡɛrɛːɡ
гэрээний|ɡɛrɛːniː
гэрээс|ɡɛrɛːs
гэрээсээ|ɡɛrɛːsɛː
гэсгээн|ɡɛsɡɛːn
гэсгээсэн|ɡɛsɡɛːsɛn
гэснийг|ɡɛsniːɡ
гэснээ|ɡɛsnɛː
гэсэн|ɡɛsɛn
гэсэндээ|ɡɛsɛntɛː
гэсэр|ɡɛsɛr
гэсээр|ɡɛsɛːr
гэт|ɡɛtʰ
гэтлэх|ɡɛtʰɮɛx
гэтэж|ɡɛtʰɛt͡ʃ
гэтэл|ɡɛtʰɛɮ
гэтэн|ɡɛtʰɛn
гэх|ɡɛx
гэхдээ|ɡɛxtɛː
гэхийг|ɡɛxiːɡ
гэхийн|ɡɛxiːn
гэхлээр|ɡɛxɮɛːr
гэхэд|ɡɛxɛt
гэхээр|ɡɛxɛːr
гэхээс|ɡɛxɛːs
гэхээсээ|ɡɛxɛːsɛː
гэцгээв|ɡɛt͡sʰɡɛːw
гээв|ɡɛːw
гээгүй|ɡɛːɡuj
гээд|ɡɛːt
гээрэй|ɡɛːrɛj
гээч|ɡɛːt͡ʃʰ
гээчихлээ|ɡɛːt͡ʃʰixɮɛː
гялайн|ɡJaɮajn
гялалзаж|ɡJaɮaɮt͡sat͡ʃ
гялалзсан|ɡJaɮaɮt͡ssan
гялс|ɡJaɮs
гялтганан|ɡJaɮtʰɡanan
гялтганана|ɡJaɮtʰɡanana
гярхай|ɡJarxaj
гүехэн|ɡujxɛn
гүзээгээ|ɡut͡sɛːɡɛː
гүйв|ɡujw
гүйгээд|ɡujɡɛːt
гүйж|ɡujt͡ʃ
гүйлгээ|ɡujɮɡɛː
гүйн|ɡujn
гүйсэн|ɡujsɛn
гүйх|ɡujx
гүйцгээлээ|ɡujt͡sʰɡɛːɮɛː
гүйцлээ|ɡujt͡sʰɮɛː
гүйцсэн|ɡujt͡sʰsɛn
гүйцэв|ɡujt͡sʰɛw
гүйцэгддэггүй|ɡujt͡sʰɛɡttɛɡɡuj
гүйцэтгэдэг|ɡujt͡sʰɛtʰɡɛtɛɡ
гүйцэтгэж|ɡujt͡sʰɛtʰɡɛt͡ʃ
гүйцэтгэлийн|ɡujt͡sʰɛtʰɡɛɮiːn
гүйцэтгэхийн|ɡujt͡sʰɛtʰɡɛxiːn
гүйцэтгээрэй|ɡujt͡sʰɛtʰɡɛːrɛj
гүйцэхгүй|ɡujt͡sʰɛxɡuj
гүйцээгүй|ɡujt͡sʰɛːɡuj
гүйцээд|ɡujt͡sʰɛːt
гүйцээсэн|ɡujt͡sʰɛːsɛn
гүйчихдэг|ɡujt͡ʃʰixtɛɡ
гүнд|ɡunt
гүрсн|ɡursn
гүрэм|ɡurɛm
гүрэмч|ɡurɛmt͡ʃʰ
гүрәд|ɡurәt
гүсэнтүгийн|ɡusɛntʰuɡiːn
гүтгэлэг|ɡutʰɡɛɮɛɡ
гүү|ɡuː
гүүгээ|ɡuːɡɛː
гүүлһн|ɡuːɮһn
гүүрэгх|ɡuːrɛɡx
гүүхәр|ɡuːxәr
гүүцхәв|ɡuːt͡sʰxәw
гүүҗ|ɡuːҗ
гүүһәд|ɡuːһәt
гәд|ɡәt
гөлмән|ɡoɮmәn
гөлрүүлж|ɡoɮruːɮt͡ʃ
гөлөг|ɡoɮoɡ
гөлөглөж|ɡoɮoɡɮot͡ʃ
гөлөрч|ɡoɮort͡ʃʰ
д|t
да|ta
даа|taː
дааврта|taːwrtʰa
даавууг|taːwʊːɡ
даавуунууд|taːwʊːnʊːt
дааж|taːt͡ʃ
даажин|taːt͡ʃin
даалгавар|taːɮɡawar
даалгаварт|taːɮɡawartʰ
даалгавраа|taːɮɡawraː
даалин|taːɮin
даалһад|taːɮһat
даалһв|taːɮһw
даалһвр|taːɮһwr
даамжирсан|taːmt͡ʃirsan
даан|taːn
даанч|taːnt͡ʃʰ
даапаалж|taːpʰaːɮt͡ʃ
даарах|taːrax
даасан|taːsan
даатгалыг|taːtʰɡaɮiːɡ
даатгахад|taːtʰɡaxat
даах|taːx
даашинз|taːʃint͡s
даашинзаа|taːʃint͡saː
даашинзтай|taːʃint͡stʰaj
дааҗ|taːҗ
дааҗанавидн|taːҗanawitn
дааҗахан|taːҗaxan
дав|taw
даваад|tawaːt
давад|tawat
давалгаа|tawaɮɡaː
давамгайлж|tawamɡajɮt͡ʃ
даван|tawan
давах|tawax
давбал|tawpaɮ
давв|taww
давид|tawit
давидин|tawitin
давидт|tawittʰ
давсалж|tawsaɮt͡ʃ
давсан|tawsan
давсиг|tawsiɡ
давсн|tawsn
давсна|tawsna
давтагдаж|tawtʰaɡtat͡ʃ
давтагдсан|tawtʰaɡtsan
давтад|tawtʰat
давтамжтай|tawtʰamt͡ʃtʰaj
давтана|tawtʰana
давтахаас|tawtʰaxaːs
давтҗ|tawtʰҗ
даву|tawʊ
давуу|tawʊː
давуул|tawʊːɮ
давхарруу|tawxarrʊː
давхиад|tawxiat
давхив|tawxiw
давхивал|tawxiwaɮ
давхиж|tawxit͡ʃ
давхин|tawxin
давхихад|tawxixat
давхрлад|tawxrɮat
давчдаж|tawt͡ʃʰtat͡ʃ
давшад|tawʃat
давшив|tawʃiw
давших|tawʃix
давшҗ|tawʃҗ
давын|tawiːn
давҗ|tawҗ
дагаад|taɡaːt
дагавар|taɡawar
дагагчийн|taɡaɡt͡ʃʰiːn
дагадаг|taɡataɡ
дагаж|taɡat͡ʃ
дагалаа|taɡaɮaː
дагалдан|taɡaɮtan
даган|taɡan
дагах|taɡax
дагвын|taɡwiːn
дагданы|taɡtaniː
дагжин|taɡt͡ʃin
дагтаршсан|taɡtʰarʃsan
дагуу|taɡʊː
дагуулаад|taɡʊːɮaːt
дагуулан|taɡʊːɮan
дагуулж|taɡʊːɮt͡ʃ
дагуулсан|taɡʊːɮsan
дагуух|taɡʊːx
дадлага|tatɮaɡa
дадлагын|tatɮaɡiːn
дажгүй|tat͡ʃɡuj
дайжиж|tajt͡ʃit͡ʃ
дайллага|tajɮɮaɡa
дайнд|tajnt
дайны|tajniː
дайраад|tajraːt
дайравч|tajrawt͡ʃʰ
дайран|tajran
дайрахад|tajraxat
дайсагнасан|tajsaɡnasan
дайснуудтай|tajsnʊːttʰaj
дайсны|tajsniː
дайчдын|tajt͡ʃʰtiːn
дайчид|tajt͡ʃʰit
дайчин|tajt͡ʃʰin
дайчлан|tajt͡ʃʰɮan
дала|taɮa
далавчаар|taɮawt͡ʃʰaːr
далайгаас|taɮajɡaːs
далайн|taɮajn
далан|taɮan
даланзадгадаас|taɮant͡satɡataːs
даланзадгадын|taɮant͡satɡatiːn
далваг|taɮwaɡ
далвагнь|taɮwaɡnʲ
далвган|taɮwɡan
далд|taɮt
далдлах|taɮtɮax
далдыг|taɮtiːɡ
даллав|taɮɮaw
даллага|taɮɮaɡa
даллан|taɮɮan
далха|taɮxa
далын|taɮiːn
дамаск|tamaskʰ
дамжигтай|tamt͡ʃiɡtʰaj
дамжиж|tamt͡ʃit͡ʃ
дамжин|tamt͡ʃin
дамжсан|tamt͡ʃsan
дамжуулалтыг|tamt͡ʃʊːɮaɮtʰiːɡ
дамжуулан|tamt͡ʃʊːɮan
дамжуулж|tamt͡ʃʊːɮt͡ʃ
дамиран|tamiran
дамираныг|tamiraniːɡ
дамнасан|tamnasan
дампуурч|tampʰʊːrt͡ʃʰ
дамрын|tamriːn
дамын|tamiːn
дамҗад|tamҗat
дамҗулад|tamҗʊɮat
дамҗулҗ|tamҗʊɮҗ
дамҗҗ|tamҗҗ
дан|tan
данаар|tanaːr
дангаар|tanɡaːr
данд|tant
дандаа|tantaː
дандар|tantar
данзан|tant͡san
дансаар|tansaːr
дансаас|tansaːs
данслуулсан|tansɮʊːɮsan
дансны|tansniː
дансыг|tansiːɡ
дантай|tantʰaj
данхтай|tanxtʰaj
даныг|taniːɡ
даныд|taniːt
дар|tar
дараа|taraː
дараагаар|taraːɡaːr
дараагаас|taraːɡaːs
дараагийн|taraːɡiːn
дараагийнх|taraːɡiːnx
дараад|taraːt
дараалан|taraːɮan
дараалсан|taraːɮsan
дараатай|taraːtʰaj
дараах|taraːx
дараахан|taraːxan
дарагдаад|taraɡtaːt
дарагдаж|taraɡtat͡ʃ
дарагдан|taraɡtan
дарагдах|taraɡtax
дарагджээ|taraɡtt͡ʃɛː
дарагдсан|taraɡtsan
дарагдуулдаг|taraɡtʊːɮtaɡ
даралт|taraɮtʰ
дарам|taram
дарамтын|taramtʰiːn
даран|taran
даранднь|tarantnʲ
дарань|taranʲ
дарах|tarax
дарга|tarɡa
даргаар|tarɡaːr
даргаас|tarɡaːs
даргыг|tarɡiːɡ
даргын|tarɡiːn
дардаг|tartaɡ
дарж|tart͡ʃ
дариавуус|tariawʊːs
дариавуусал|tariawʊːsaɮ
дарлах|tarɮax
дарсан|tarsan
дарснууд|tarsnʊːt
даруй|tarʊi
даруйдаа|tarʊitaː
даруйхан|tarʊixan
дарукинь|tarʊkʰinʲ
дарукнь|tarʊkʰnʲ
дарунь|tarʊnʲ
даруу|tarʊː
дарханы|tarxaniː
дасгаар|tasɡaːr
дасгалжуулагчийн|tasɡaɮt͡ʃʊːɮaɡt͡ʃʰiːn
дасна|tasna
дасхсн|tasxsn
дах|tax
дахад|taxat
дахиад|taxiat
дахинд|taxint
дахулад|taxʊɮat
дахулхан|taxʊɮxan
дахулҗ|taxʊɮҗ
дахцхав|taxt͡sʰxaw
дахҗ|taxҗ
дашчойлин|taʃt͡ʃʰɔjɮin
даяар|tajar
даҗрад|taҗrat
даҗргдҗахинь|taҗrɡtҗaxinʲ
даҗрллһнас|taҗrɮɮһnas
де|tJi
деврәд|tJiwrәt
девскр|tJiwskʰr
дегд|tJiɡt
дегтрин|tJiɡtʰrin
дегц|tJiɡt͡sʰ
деегшлсмт|tJiJiɡʃɮsmtʰ
деегшлүлҗ|tJiJiɡʃɮuɮҗ
деегшән|tJiJiɡʃәn
деед|tJiJit
деер|tJiJir
деерк|tJiJirkʰ
деермч|tJiJirmt͡ʃʰ
деермчнр|tJiJirmt͡ʃʰnr
деермчнрин|tJiJirmt͡ʃʰnrin
деернь|tJiJirnʲ
деерән|tJiJirәn
деерәс|tJiJirәs
деерәснь|tJiJirәsnʲ
деерәһүр|tJiJirәһur
деес|tJiJis
деесәрн|tJiJisәrn
дейтона|tJijtʰɔna
делгрүлнә|tJiɮɡruɮnә
делкә|tJiɮkʰә
делкәд|tJiɮkʰәt
деләд|tJiɮәt
дерән|tJirәn
джузеппег|tt͡ʃʊt͡sJipʰpʰJiɡ
диваажингийн|tiwaːt͡ʃinɡiːn
дизайнерууд|tit͡sajnJirʊːt
диилсмн|tiiɮsmn
диилтхә|tiiɮtʰxә
диилҗ|tiiɮҗ
дийлдэггүй|tiːɮtɛɡɡuj
дийлдэн|tiːɮtɛn
дийлсэнгүй|tiːɮsɛnɡuj
дийлэнх|tiːɮɛnx
дийлэнхийг|tiːɮɛnxiːɡ
дина|tina
дипломын|tipʰɮɔmiːn
дияан|tiJaan
довны|tɔwniː
довтлон|tɔwtʰɮɔn
довтлох|tɔwtʰɮɔx
довтлҗ|tɔwtʰɮҗ
дог|tɔɡ
догдлад|tɔɡtɮat
догдолж|tɔɡtɔɮt͡ʃ
догдолмоор|tɔɡtɔɮmɔːr
догдолсондоо|tɔɡtɔɮsɔntɔː
доголосон|tɔɡɔɮɔsɔn
доголохоо|tɔɡɔɮɔxɔː
догор|tɔɡɔr
догшар|tɔɡʃar
догширно|tɔɡʃirnɔ
догшрҗ|tɔɡʃrҗ
додижажаа|tɔtit͡ʃat͡ʃaː
доктор|tɔkʰtʰɔr
докторт|tɔkʰtʰɔrtʰ
докторууд|tɔkʰtʰɔrʊːt
доладгч|tɔɮatɡt͡ʃʰ
долан|tɔɮan
долатаһас|tɔɮatʰaһas
долгионы|tɔɮɡiɔniː
должинтой|tɔɮt͡ʃintʰɔj
долларын|tɔɮɮariːn
долоогийн|tɔɮɔːɡiːn
долоогоосоо|tɔɮɔːɡɔːsɔː
